,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,HYG,2021-12-31,WORST,2022-01-06,66433.467,324651.605,391085.072
1,HYG,2021-12-31,WORST,2022-01-10,7534.386,72785.022,80319.408
2,HYG,2021-12-31,WORST,2022-01-14,1828.584,0.0,1828.584
3,HYG,2021-12-31,WORST,2022-01-15,463.78,31149.379,31613.159
4,HYG,2021-12-31,WORST,2022-01-18,262997.496,145592.36,408589.856
5,HYG,2021-12-31,WORST,2022-01-20,7992.501,0.0,7992.501
6,HYG,2021-12-31,WORST,2022-01-21,3388.27,0.0,3388.27
7,HYG,2021-12-31,WORST,2022-01-24,6451.41,0.0,6451.41
8,HYG,2021-12-31,WORST,2022-01-25,1581.718,0.0,1581.718
9,HYG,2021-12-31,WORST,2022-01-30,19651.862,1465735.781,1485387.643
10,HYG,2021-12-31,WORST,2022-01-31,37997.054,0.0,37997.054
11,HYG,2021-12-31,WORST,2022-02-01,156782.378,450442.28,607224.658
12,HYG,2021-12-31,WORST,2022-02-04,1879.588,0.0,1879.588
13,HYG,2021-12-31,WORST,2022-02-07,1263.792,0.0,1263.792
14,HYG,2021-12-31,WORST,2022-02-10,1376.113,0.0,1376.113
15,HYG,2021-12-31,WORST,2022-02-14,571.321,0.0,571.321
16,HYG,2021-12-31,WORST,2022-02-15,232701.558,749656.882,982358.44
17,HYG,2021-12-31,WORST,2022-02-16,1551.849,0.0,1551.849
18,HYG,2021-12-31,WORST,2022-02-17,1719.961,0.0,1719.961
19,HYG,2021-12-31,WORST,2022-02-22,1363.344,0.0,1363.344
20,HYG,2021-12-31,WORST,2022-02-28,6767.268,0.0,6767.268
21,HYG,2021-12-31,WORST,2022-03-01,135939.752,532799.129,668738.881
22,HYG,2021-12-31,WORST,2022-03-04,885.973,0.0,885.973
23,HYG,2021-12-31,WORST,2022-03-08,697.216,0.0,697.216
24,HYG,2021-12-31,WORST,2022-03-09,2183.102,0.0,2183.102
25,HYG,2021-12-31,WORST,2022-03-14,1880.587,54699.393,56579.98
26,HYG,2021-12-31,WORST,2022-03-15,180052.015,825154.125,1005206.141
27,HYG,2021-12-31,WORST,2022-03-18,2723.682,0.0,2723.682
28,HYG,2021-12-31,WORST,2022-03-21,3140.181,0.0,3140.181
29,HYG,2021-12-31,WORST,2022-03-25,2450.698,0.0,2450.698
30,HYG,2021-12-31,WORST,2022-03-28,1292.211,0.0,1292.211
31,HYG,2021-12-31,WORST,2022-03-30,13209.319,155678.76,168888.078
32,HYG,2021-12-31,WORST,2022-03-31,7731.768,0.0,7731.768
33,HYG,2021-12-31,WORST,2022-04-01,157737.257,615942.919,773680.176
34,HYG,2021-12-31,WORST,2022-04-04,8300.099,0.0,8300.099
35,HYG,2021-12-31,WORST,2022-04-06,960.142,0.0,960.142
36,HYG,2021-12-31,WORST,2022-04-08,109.55,73241.49,73351.039
37,HYG,2021-12-31,WORST,2022-04-11,1677.681,0.0,1677.681
38,HYG,2021-12-31,WORST,2022-04-14,1191.662,0.0,1191.662
39,HYG,2021-12-31,WORST,2022-04-15,190358.731,1125848.453,1316207.184
40,HYG,2021-12-31,WORST,2022-04-18,3982.264,0.0,3982.264
41,HYG,2021-12-31,WORST,2022-04-19,8031.979,0.0,8031.979
42,HYG,2021-12-31,WORST,2022-04-20,7992.501,0.0,7992.501
43,HYG,2021-12-31,WORST,2022-04-22,5812.81,0.0,5812.81
44,HYG,2021-12-31,WORST,2022-04-25,1002.42,0.0,1002.42
45,HYG,2021-12-31,WORST,2022-04-26,831.232,0.0,831.232
46,HYG,2021-12-31,WORST,2022-04-28,2953.301,0.0,2953.301
47,HYG,2021-12-31,WORST,2022-04-29,2176.972,0.0,2176.972
48,HYG,2021-12-31,WORST,2022-05-01,1479.423,116179.871,117659.295
49,HYG,2021-12-31,WORST,2022-05-02,134865.427,992588.876,1127454.302
50,HYG,2021-12-31,WORST,2022-05-03,4564.327,0.0,4564.327
51,HYG,2021-12-31,WORST,2022-05-04,773.566,0.0,773.566
52,HYG,2021-12-31,WORST,2022-05-09,3555.379,0.0,3555.379
53,HYG,2021-12-31,WORST,2022-05-13,4652.153,0.0,4652.153
54,HYG,2021-12-31,WORST,2022-05-15,1240.584,94122.337,95362.921
55,HYG,2021-12-31,WORST,2022-05-16,166720.222,1066411.8,1233132.022
56,HYG,2021-12-31,WORST,2022-05-17,999.123,0.0,999.123
57,HYG,2021-12-31,WORST,2022-05-20,5939.765,0.0,5939.765
58,HYG,2021-12-31,WORST,2022-05-23,1166.252,0.0,1166.252
59,HYG,2021-12-31,WORST,2022-05-24,2601.084,0.0,2601.084
60,HYG,2021-12-31,WORST,2022-05-31,7561.156,51078.734,58639.891
61,HYG,2021-12-31,WORST,2022-06-01,144207.322,454376.1,598583.422
62,HYG,2021-12-31,WORST,2022-06-06,4966.8,0.0,4966.8
