,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,MBB,2021-12-31,WORST,2022-01-06,0.0,417239.295,417239.295
1,MBB,2021-12-31,WORST,2022-01-15,20285.826,154735.064,175020.89
2,MBB,2021-12-31,WORST,2022-01-20,39224.178,332075.346,371299.52
3,MBB,2021-12-31,WORST,2022-01-25,140991.881,898180.869,1039172.724
4,MBB,2021-12-31,WORST,2022-02-15,20009.267,124048.651,144057.919
5,MBB,2021-12-31,WORST,2022-02-20,42812.671,294596.746,337409.413
6,MBB,2021-12-31,WORST,2022-02-25,166836.709,825316.452,992153.16
7,MBB,2021-12-31,WORST,2022-03-15,19649.961,118408.226,138058.188
8,MBB,2021-12-31,WORST,2022-03-20,42021.649,272166.793,314188.447
9,MBB,2021-12-31,WORST,2022-03-25,164808.234,810165.062,974973.315
10,MBB,2021-12-31,WORST,2022-04-15,19306.997,139524.784,158831.782
11,MBB,2021-12-31,WORST,2022-04-20,41291.526,318943.589,360235.097
12,MBB,2021-12-31,WORST,2022-04-25,162834.046,987695.717,1150529.738
13,MBB,2021-12-31,WORST,2022-05-15,18902.744,130987.869,149890.613
14,MBB,2021-12-31,WORST,2022-05-20,40448.751,307315.473,347764.207
15,MBB,2021-12-31,WORST,2022-05-25,160437.386,959450.021,1119887.425
16,MBB,2021-12-31,WORST,2022-06-15,18523.932,135428.042,153951.973
17,MBB,2021-12-31,WORST,2022-06-20,39645.272,328443.332,368088.607
18,MBB,2021-12-31,WORST,2022-06-25,158135.584,1021641.386,1179777.01
19,MBB,2021-12-31,WORST,2022-07-15,18131.741,141479.708,159611.45
20,MBB,2021-12-31,WORST,2022-07-20,38798.091,340828.033,379626.097
21,MBB,2021-12-31,WORST,2022-07-25,155705.501,1099155.609,1254861.055
22,MBB,2021-12-31,WORST,2022-08-15,17723.022,124469.881,142192.904
23,MBB,2021-12-31,WORST,2022-08-20,37924.249,308490.081,346414.302
24,MBB,2021-12-31,WORST,2022-08-25,153107.638,985240.798,1138348.425
25,MBB,2021-12-31,WORST,2022-09-15,17363.579,133533.411,150896.989
26,MBB,2021-12-31,WORST,2022-09-20,37139.105,331309.16,368448.264
27,MBB,2021-12-31,WORST,2022-09-25,150795.516,1080287.107,1231082.604
28,MBB,2021-12-31,WORST,2022-10-15,16977.944,115102.927,132080.874
29,MBB,2021-12-31,WORST,2022-10-20,36299.621,285177.389,321476.987
30,MBB,2021-12-31,WORST,2022-10-25,148267.168,941725.014,1089992.213
31,MBB,2021-12-31,WORST,2022-11-15,16644.607,107192.557,123837.162
32,MBB,2021-12-31,WORST,2022-11-20,35577.042,262144.765,297721.823
33,MBB,2021-12-31,WORST,2022-11-25,146069.944,889731.198,1035801.125
34,MBB,2021-12-31,WORST,2022-12-15,16335.111,103560.554,119895.666
35,MBB,2021-12-31,WORST,2022-12-20,34915.253,256677.049,291592.318
36,MBB,2021-12-31,WORST,2022-12-25,144005.547,873381.73,1017387.344
37,MBB,2021-12-31,WORST,2023-01-15,16035.759,107123.148,123158.907
38,MBB,2021-12-31,WORST,2023-01-20,34270.617,265115.806,299386.433
39,MBB,2021-12-31,WORST,2023-01-25,141984.867,912757.709,1054742.562
40,MBB,2021-12-31,WORST,2023-02-15,15725.921,94052.211,109778.126
41,MBB,2021-12-31,WORST,2023-02-20,33606.07,225723.036,259329.074
42,MBB,2021-12-31,WORST,2023-02-25,139878.565,805062.907,944941.562
43,MBB,2021-12-31,WORST,2023-03-15,15453.754,87903.684,103357.44
44,MBB,2021-12-31,WORST,2023-03-20,33040.089,215651.566,248691.637
45,MBB,2021-12-31,WORST,2023-03-25,138021.248,760280.357,898301.549
46,MBB,2021-12-31,WORST,2023-04-15,15199.63,104205.911,119405.543
47,MBB,2021-12-31,WORST,2023-04-20,32501.813,246977.265,279479.075
48,MBB,2021-12-31,WORST,2023-04-25,136277.814,931802.871,1068080.675
49,MBB,2021-12-31,WORST,2023-05-15,14898.561,95467.478,110366.04
50,MBB,2021-12-31,WORST,2023-05-20,31885.747,226784.007,258669.741
51,MBB,2021-12-31,WORST,2023-05-25,134151.819,867063.784,1001215.608
52,MBB,2021-12-31,WORST,2023-06-15,14623.247,106350.251,120973.495
53,MBB,2021-12-31,WORST,2023-06-20,31322.367,258132.92,289455.277
54,MBB,2021-12-31,WORST,2023-06-25,132188.501,990267.573,1122456.049
55,MBB,2021-12-31,WORST,2023-07-15,14316.516,107568.0,121884.518
56,MBB,2021-12-31,WORST,2023-07-20,30683.985,259781.697,290465.707
57,MBB,2021-12-31,WORST,2023-07-25,129958.381,1021341.888,1151300.289
58,MBB,2021-12-31,WORST,2023-08-15,14006.429,94820.06,108826.487
59,MBB,2021-12-31,WORST,2023-08-20,30043.728,230714.512,260758.26
60,MBB,2021-12-31,WORST,2023-08-25,127670.291,899134.144,1026804.434
61,MBB,2021-12-31,WORST,2023-09-15,13733.411,101326.028,115059.441
62,MBB,2021-12-31,WORST,2023-09-20,29476.555,250061.931,279538.497
63,MBB,2021-12-31,WORST,2023-09-25,125661.011,975830.336,1101491.377
64,MBB,2021-12-31,WORST,2023-10-15,13441.189,84677.324,98118.517
65,MBB,2021-12-31,WORST,2023-10-20,28863.654,207037.384,235901.044
66,MBB,2021-12-31,WORST,2023-10-25,123482.05,807726.595,931208.621
67,MBB,2021-12-31,WORST,2023-11-15,13196.816,84365.611,97562.426
68,MBB,2021-12-31,WORST,2023-11-20,28355.559,204753.036,233108.588
69,MBB,2021-12-31,WORST,2023-11-25,121677.634,811948.925,933626.589
70,MBB,2021-12-31,WORST,2023-12-15,12953.493,81527.479,94480.969
71,MBB,2021-12-31,WORST,2023-12-20,27854.382,199142.867,226997.245
72,MBB,2021-12-31,WORST,2023-12-25,119867.281,790932.948,910800.163
73,MBB,2021-12-31,WORST,2024-01-15,12718.13,76427.275,89145.409
74,MBB,2021-12-31,WORST,2024-01-20,27368.677,184391.319,211759.993
75,MBB,2021-12-31,WORST,2024-01-25,118104.674,740280.813,858385.439
76,MBB,2021-12-31,WORST,2024-02-15,12497.979,71703.592,84201.571
77,MBB,2021-12-31,WORST,2024-02-20,26919.32,167426.975,194346.249
78,MBB,2021-12-31,WORST,2024-02-25,116459.658,691234.722,807694.362
79,MBB,2021-12-31,WORST,2024-03-15,12291.115,69534.191,81825.305
80,MBB,2021-12-31,WORST,2024-03-20,26510.815,167079.165,193589.959
81,MBB,2021-12-31,WORST,2024-03-25,114917.356,674448.265,789365.589
82,MBB,2021-12-31,WORST,2024-04-15,12090.585,74669.578,86760.161
83,MBB,2021-12-31,WORST,2024-04-20,26104.897,172617.328,198722.237
84,MBB,2021-12-31,WORST,2024-04-25,113417.193,746926.012,860343.281
85,MBB,2021-12-31,WORST,2024-05-15,11875.684,77847.982,89723.663
86,MBB,2021-12-31,WORST,2024-05-20,25685.664,183139.761,208825.454
87,MBB,2021-12-31,WORST,2024-05-25,111766.795,793022.795,904789.611
88,MBB,2021-12-31,WORST,2024-06-15,11651.567,81050.796,92702.365
89,MBB,2021-12-31,WORST,2024-06-20,25242.181,193813.581,219055.779
90,MBB,2021-12-31,WORST,2024-06-25,110020.288,840986.597,951006.884
91,MBB,2021-12-31,WORST,2024-07-15,11418.462,76832.147,88250.606
92,MBB,2021-12-31,WORST,2024-07-20,24774.533,181463.946,206238.476
93,MBB,2021-12-31,WORST,2024-07-25,108177.707,803766.045,911943.698
94,MBB,2021-12-31,WORST,2024-08-15,11197.813,77558.847,88756.662
95,MBB,2021-12-31,WORST,2024-08-20,24337.433,186682.975,211020.414
96,MBB,2021-12-31,WORST,2024-08-25,106423.581,811652.012,918075.593
97,MBB,2021-12-31,WORST,2024-09-15,10974.868,75017.259,85992.128
98,MBB,2021-12-31,WORST,2024-09-20,23888.145,181113.541,205001.697
99,MBB,2021-12-31,WORST,2024-09-25,104651.041,787376.793,892027.838
100,MBB,2021-12-31,WORST,2024-10-15,10759.197,65193.138,75952.341
101,MBB,2021-12-31,WORST,2024-10-20,23453.011,155969.831,179422.844
102,MBB,2021-12-31,WORST,2024-10-25,102932.872,672574.655,775507.501
103,MBB,2021-12-31,WORST,2024-11-15,10571.58,66858.975,77430.553
104,MBB,2021-12-31,WORST,2024-11-20,23077.307,159788.44,182865.712
105,MBB,2021-12-31,WORST,2024-11-25,101461.67,694664.149,796125.824
106,MBB,2021-12-31,WORST,2024-12-15,10379.183,59116.085,69495.268
107,MBB,2021-12-31,WORST,2024-12-20,22693.034,140529.569,163222.593
108,MBB,2021-12-31,WORST,2024-12-25,99943.256,609772.623,709715.769
109,MBB,2021-12-31,WORST,2025-01-15,10209.204,61038.685,71247.892
110,MBB,2021-12-31,WORST,2025-01-20,22355.931,145933.318,168289.248
111,MBB,2021-12-31,WORST,2025-01-25,98611.358,632223.518,730834.851
