,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,CHICAGO ILL O HARE INTL ARPT R,CHITRN,US167593QY10,167593QY1,United States,5525000,5662,5662,USD,ISHMUNI,10/15/2015,
12/30/2021,KING CNTY WASH SWR REV,KINUTL,US495289B667,495289B66,United States,4000000,4099,4099,USD,ISHMUNI,4/18/2012,
12/30/2021,NEW JERSEY ST TPK AUTH TPK REV,NJSTRN,US646139Y417,646139Y41,United States,1000000,1025,1025,USD,ISHMUNI,6/18/2012,
12/30/2021,NEW JERSEY ST TPK AUTH TPK REV,NJSTRN,US646139Y664,646139Y66,United States,2000000,2050,2050,USD,ISHMUNI,6/18/2012,
12/30/2021,NEW JERSEY ST TPK AUTH TPK REV,NJSTRN,US646139Z406,646139Z40,United States,1120000,1148,1148,USD,ISHMUNI,9/20/2012,
12/30/2021,NEW YORK ST TWY AUTH GEN REV,NYSTRN,US650009YF40,650009YF4,United States,12000000,12298,12298,USD,ISHMUNI,7/11/2012,
12/30/2021,NEW YORK ST TWY AUTH GEN REV,NYSTRN,US650009YJ61,650009YJ6,United States,12200000,12503,12503,USD,ISHMUNI,7/11/2012,
12/30/2021,NEW YORK ST TWY AUTH GEN REV,NYSTRN,US650009ZA44,650009ZA4,United States,8860000,9080,9080,USD,ISHMUNI,7/11/2012,
12/30/2021,NEW YORK ST TWY AUTH GEN REV,NYSTRN,US650009ZB27,650009ZB2,United States,2000000,2050,2050,USD,ISHMUNI,7/11/2012,
12/30/2021,NEW YORK ST TWY AUTH GEN REV,NYSTRN,US650009ZC00,650009ZC0,United States,1000000,1025,1025,USD,ISHMUNI,7/11/2012,
12/30/2021,NORTH CAROLINA EASTN MUN PWR A,NCEPWR,US658196PP94,658196PP9,United States,6960000,7168,7168,USD,ISHMUNI,1/1/1993,
