,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,SHY,2021-12-31,WORST,2022-01-06,0.0,39112.365,39112.365
1,SHY,2021-12-31,WORST,2022-01-18,4038.763,0.0,4038.763
2,SHY,2021-12-31,WORST,2022-01-31,18695.35,0.0,18695.35
3,SHY,2021-12-31,WORST,2022-02-15,37962.308,0.0,37962.308
4,SHY,2021-12-31,WORST,2022-02-28,37604.503,0.0,37604.503
5,SHY,2021-12-31,WORST,2022-03-15,1252.777,0.0,1252.777
6,SHY,2021-12-31,WORST,2022-03-31,22663.671,0.0,22663.671
7,SHY,2021-12-31,WORST,2022-04-18,26938.061,0.0,26938.061
8,SHY,2021-12-31,WORST,2022-05-02,80229.951,0.0,80229.951
9,SHY,2021-12-31,WORST,2022-05-16,48100.683,0.0,48100.683
10,SHY,2021-12-31,WORST,2022-05-31,80644.28,0.0,80644.28
11,SHY,2021-12-31,WORST,2022-06-15,19028.141,0.0,19028.141
12,SHY,2021-12-31,WORST,2022-06-30,53042.084,0.0,53042.084
13,SHY,2021-12-31,WORST,2022-07-15,4038.763,0.0,4038.763
14,SHY,2021-12-31,WORST,2022-08-01,18695.35,684.647,19379.997
15,SHY,2021-12-31,WORST,2022-08-15,37962.308,41.494,38003.802
16,SHY,2021-12-31,WORST,2022-08-31,37604.503,116.183,37720.685
17,SHY,2021-12-31,WORST,2022-09-15,1252.777,0.0,1252.777
18,SHY,2021-12-31,WORST,2022-09-30,22663.671,95.436,22759.107
19,SHY,2021-12-31,WORST,2022-10-17,26938.061,5780.083,32718.144
20,SHY,2021-12-31,WORST,2022-10-31,80229.951,13634.855,93864.805
21,SHY,2021-12-31,WORST,2022-11-15,48100.683,6381.743,54482.426
22,SHY,2021-12-31,WORST,2022-11-30,80644.28,37531.12,118175.4
23,SHY,2021-12-31,WORST,2022-12-15,19028.141,0.0,19028.141
24,SHY,2021-12-31,WORST,2023-01-03,53042.084,2112829.046,2165871.13
25,SHY,2021-12-31,WORST,2023-01-17,4038.763,0.0,4038.763
26,SHY,2021-12-31,WORST,2023-01-31,18688.932,3045257.261,3063946.193
27,SHY,2021-12-31,WORST,2023-02-15,37961.997,1212132.78,1250094.777
28,SHY,2021-12-31,WORST,2023-02-28,37603.507,2329469.295,2367072.801
29,SHY,2021-12-31,WORST,2023-03-15,1252.777,0.0,1252.777
30,SHY,2021-12-31,WORST,2023-03-31,22662.802,1456572.614,1479235.416
31,SHY,2021-12-31,WORST,2023-04-17,26898.323,2815211.618,2842109.942
32,SHY,2021-12-31,WORST,2023-05-01,80094.305,4858379.668,4938473.973
33,SHY,2021-12-31,WORST,2023-05-15,48048.831,1282835.685,1330884.516
34,SHY,2021-12-31,WORST,2023-05-31,80268.968,1546780.083,1627049.051
35,SHY,2021-12-31,WORST,2023-06-15,19028.141,452917.012,471945.153
36,SHY,2021-12-31,WORST,2023-06-30,32795.35,1714688.797,1747484.147
37,SHY,2021-12-31,WORST,2023-07-17,4038.763,2800734.44,2804773.203
38,SHY,2021-12-31,WORST,2023-07-31,829.323,962116.183,962945.506
39,SHY,2021-12-31,WORST,2023-08-15,12326.175,148199.17,160525.345
40,SHY,2021-12-31,WORST,2023-08-31,16593.286,8076033.195,8092626.481
41,SHY,2021-12-31,WORST,2023-09-15,1252.777,8091.286,9344.064
42,SHY,2021-12-31,WORST,2023-10-02,16313.941,1025656.846,1041970.787
