,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY NOTE,TNOTE,US91282CCF68,91282CCF6,United States,3022000,2963,2963,USD,ISHTIPS,6/1/2021,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBZ32,91282CBZ3,United States,833000,827,827,USD,ISHTIPS,4/30/2021,
12/30/2021,TREASURY BOND,TBOND,US912810SU34,912810SU3,United States,86000,86,86,USD,ISHTIPS,2/16/2021,
12/30/2021,TREASURY BOND (2OLD),TBOND,US912810SX72,912810SX7,United States,260000,288,288,USD,ISHTIPS,5/17/2021,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828SA95,912828SA9,United States,116032,116,116,USD,ISHTIPS,1/31/2012,
12/30/2021,TREASURY (CPI) NOTES,TIPS,US912828X398,912828X39,United States,3581777,3638,3638,USD,ISHTIPS,4/28/2017,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828UH11,912828UH1,United States,1584916414,1639373,1639373,USD,ISHTIPS,1/31/2013,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US9128284H06,9128284H0,United States,1381565032,1447494,1447494,USD,ISHTIPS,4/30/2018,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828VM96,912828VM9,United States,599221993,631710,631710,USD,ISHTIPS,7/31/2013,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828B253,912828B25,United States,363636059,388400,388400,USD,ISHTIPS,1/31/2014,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US9128286N55,9128286N5,United States,2978531750,3182106,3182106,USD,ISHTIPS,4/30/2019,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828WU04,912828WU0,United States,330174603,352461,352461,USD,ISHTIPS,7/31/2014,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828YL86,912828YL8,United States,1162450626,1243037,1243037,USD,ISHTIPS,10/31/2019,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828H458,912828H45,United States,853526359,916075,916075,USD,ISHTIPS,1/30/2015,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828ZJ22,912828ZJ2,United States,2265560146,2426819,2426819,USD,ISHTIPS,4/30/2020,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828XL95,912828XL9,United States,56165618,61178,61178,USD,ISHTIPS,7/31/2015,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US91282CAQ42,91282CAQ4,United States,374236977,404125,404125,USD,ISHTIPS,10/30/2020,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810FS25,,United States,315850109,368762,368762,USD,ISHTIPS,1/31/2006,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828N712,912828N71,United States,2475061116,2728543,2728543,USD,ISHTIPS,1/29/2016,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US91282CCA71,91282CCA7,United States,994548896,1074874,1074874,USD,ISHTIPS,4/30/2021,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828S505,912828S50,United States,966780725,1051517,1051517,USD,ISHTIPS,7/29/2016,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US91282CDC29,91282CDC2,United States,32664190,35566,35566,USD,ISHTIPS,10/29/2021,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828V491,912828V49,United States,1123928619,1239919,1239919,USD,ISHTIPS,1/31/2017,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US9128282L36,9128282L3,United States,1137825622,1266490,1266490,USD,ISHTIPS,7/31/2017,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810PV44,,United States,852977217,1031236,1031236,USD,ISHTIPS,1/31/2008,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US9128283R96,9128283R9,United States,818383168,918992,918992,USD,ISHTIPS,1/31/2018,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810FD55,,United States,248197998,332235,332235,USD,ISHTIPS,4/15/1998,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828Y388,912828Y38,United States,526075812,605465,605465,USD,ISHTIPS,7/31/2018,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810PZ57,,United States,453054681,585148,585148,USD,ISHTIPS,1/30/2009,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US9128285W63,9128285W6,United States,935262972,1087524,1087524,USD,ISHTIPS,1/31/2019,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810FH69,,United States,384024470,538916,538916,USD,ISHTIPS,4/15/1999,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US9128287D64,9128287D6,United States,188789029,212044,212044,USD,ISHTIPS,7/31/2019,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828Z377,912828Z37,United States,2253928470,2508718,2508718,USD,ISHTIPS,1/31/2020,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912828ZZ63,912828ZZ6,United States,1153534066,1293381,1293381,USD,ISHTIPS,7/31/2020,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US91282CBF77,91282CBF7,United States,1357040249,1523110,1523110,USD,ISHTIPS,1/29/2021,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US91282CCM10,91282CCM1,United States,809552163,912332,912332,USD,ISHTIPS,7/30/2021,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810QF84,912810QF8,United States,243237550,374595,374595,USD,ISHTIPS,2/26/2010,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810QP66,912810QP6,United States,141795025,220968,220968,USD,ISHTIPS,2/28/2011,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810QV35,912810QV3,United States,605692622,768639,768639,USD,ISHTIPS,2/29/2012,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810RA88,912810RA8,United States,169964872,212160,212160,USD,ISHTIPS,2/28/2013,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810RF75,912810RF7,United States,823584012,1182343,1182343,USD,ISHTIPS,2/28/2014,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810RL44,912810RL4,United States,1188067955,1536628,1536628,USD,ISHTIPS,2/27/2015,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810RR14,912810RR1,United States,498921150,685789,685789,USD,ISHTIPS,2/29/2016,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810RW09,912810RW0,United States,240753377,327342,327342,USD,ISHTIPS,2/28/2017,
12/30/2021,TREASURY (CPI) NOTE,TIPS,US912810SB52,912810SB5,United States,229340576,323762,323762,USD,ISHTIPS,2/28/2018,
