,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,AGZ,2021-12-31,WORST,2022-01-06,13565.891,46879.309,60445.2
1,AGZ,2021-12-31,WORST,2022-01-10,5404.457,0.0,5404.457
2,AGZ,2021-12-31,WORST,2022-01-18,63790.297,0.0,63790.297
3,AGZ,2021-12-31,WORST,2022-01-24,348.837,0.0,348.837
4,AGZ,2021-12-31,WORST,2022-02-01,167.151,0.0,167.151
5,AGZ,2021-12-31,WORST,2022-02-03,18406.744,0.0,18406.744
6,AGZ,2021-12-31,WORST,2022-02-07,4813.953,0.0,4813.953
7,AGZ,2021-12-31,WORST,2022-02-10,5878.574,0.0,5878.574
8,AGZ,2021-12-31,WORST,2022-02-15,2083.333,0.0,2083.333
9,AGZ,2021-12-31,WORST,2022-02-24,193.798,0.0,193.798
10,AGZ,2021-12-31,WORST,2022-02-28,1159.877,0.0,1159.877
11,AGZ,2021-12-31,WORST,2022-03-08,22630.814,0.0,22630.814
12,AGZ,2021-12-31,WORST,2022-03-09,6.298,0.0,6.298
13,AGZ,2021-12-31,WORST,2022-03-14,20410.562,0.0,20410.562
14,AGZ,2021-12-31,WORST,2022-03-15,122190.568,0.0,122190.568
15,AGZ,2021-12-31,WORST,2022-03-18,239241.473,0.0,239241.473
16,AGZ,2021-12-31,WORST,2022-04-01,13674.419,0.0,13674.419
17,AGZ,2021-12-31,WORST,2022-04-08,16281.0,0.0,16281.0
18,AGZ,2021-12-31,WORST,2022-04-13,32.849,0.0,32.849
19,AGZ,2021-12-31,WORST,2022-04-26,2344.961,0.0,2344.961
20,AGZ,2021-12-31,WORST,2022-05-02,295013.663,0.0,295013.663
21,AGZ,2021-12-31,WORST,2022-05-10,125.969,0.0,125.969
22,AGZ,2021-12-31,WORST,2022-05-16,154572.5,3565.891,158138.391
23,AGZ,2021-12-31,WORST,2022-05-27,988.76,0.0,988.76
24,AGZ,2021-12-31,WORST,2022-06-02,1022.287,0.0,1022.287
25,AGZ,2021-12-31,WORST,2022-06-06,359426.744,0.0,359426.744
26,AGZ,2021-12-31,WORST,2022-06-08,3936.047,0.0,3936.047
27,AGZ,2021-12-31,WORST,2022-06-09,2544.089,0.0,2544.089
28,AGZ,2021-12-31,WORST,2022-06-10,9689.922,0.0,9689.922
29,AGZ,2021-12-31,WORST,2022-06-13,66751.453,0.0,66751.453
30,AGZ,2021-12-31,WORST,2022-06-14,16472.868,0.0,16472.868
31,AGZ,2021-12-31,WORST,2022-06-15,14845.736,0.0,14845.736
32,AGZ,2021-12-31,WORST,2022-06-17,9205.426,0.0,9205.426
33,AGZ,2021-12-31,WORST,2022-06-27,11.628,0.0,11.628
34,AGZ,2021-12-31,WORST,2022-06-30,7690.771,0.0,7690.771
35,AGZ,2021-12-31,WORST,2022-07-05,13565.891,0.0,13565.891
36,AGZ,2021-12-31,WORST,2022-07-11,5404.457,0.0,5404.457
37,AGZ,2021-12-31,WORST,2022-07-15,60532.849,0.0,60532.849
38,AGZ,2021-12-31,WORST,2022-07-18,1914.729,0.0,1914.729
39,AGZ,2021-12-31,WORST,2022-07-25,348.837,0.0,348.837
40,AGZ,2021-12-31,WORST,2022-08-01,167.151,0.0,167.151
41,AGZ,2021-12-31,WORST,2022-08-03,18406.744,0.0,18406.744
42,AGZ,2021-12-31,WORST,2022-08-08,4813.953,0.0,4813.953
43,AGZ,2021-12-31,WORST,2022-08-10,5878.574,0.0,5878.574
44,AGZ,2021-12-31,WORST,2022-08-15,2083.333,0.0,2083.333
45,AGZ,2021-12-31,WORST,2022-08-24,193.798,0.0,193.798
46,AGZ,2021-12-31,WORST,2022-08-29,1242.733,0.0,1242.733
47,AGZ,2021-12-31,WORST,2022-09-08,22630.814,0.0,22630.814
48,AGZ,2021-12-31,WORST,2022-09-09,6.298,0.0,6.298
49,AGZ,2021-12-31,WORST,2022-09-12,92.733,0.0,92.733
50,AGZ,2021-12-31,WORST,2022-09-14,20317.829,0.0,20317.829
51,AGZ,2021-12-31,WORST,2022-09-15,122190.891,0.0,122190.891
52,AGZ,2021-12-31,WORST,2022-09-19,239241.473,0.0,239241.473
53,AGZ,2021-12-31,WORST,2022-10-03,13674.419,0.0,13674.419
54,AGZ,2021-12-31,WORST,2022-10-11,16281.0,0.0,16281.0
55,AGZ,2021-12-31,WORST,2022-10-13,32.849,0.0,32.849
56,AGZ,2021-12-31,WORST,2022-10-26,2344.961,0.0,2344.961
57,AGZ,2021-12-31,WORST,2022-11-01,295013.663,0.0,295013.663
58,AGZ,2021-12-31,WORST,2022-11-10,125.969,0.0,125.969
59,AGZ,2021-12-31,WORST,2022-11-15,154522.578,0.0,154522.578
60,AGZ,2021-12-31,WORST,2022-11-28,988.76,0.0,988.76
61,AGZ,2021-12-31,WORST,2022-12-02,1022.287,0.0,1022.287
62,AGZ,2021-12-31,WORST,2022-12-05,359426.744,0.0,359426.744
63,AGZ,2021-12-31,WORST,2022-12-08,3936.047,0.0,3936.047
64,AGZ,2021-12-31,WORST,2022-12-09,2544.089,0.0,2544.089
65,AGZ,2021-12-31,WORST,2022-12-12,9689.922,0.0,9689.922
66,AGZ,2021-12-31,WORST,2022-12-13,66751.453,0.0,66751.453
67,AGZ,2021-12-31,WORST,2022-12-14,16472.868,0.0,16472.868
68,AGZ,2021-12-31,WORST,2022-12-15,14845.736,0.0,14845.736
69,AGZ,2021-12-31,WORST,2022-12-19,9205.426,0.0,9205.426
70,AGZ,2021-12-31,WORST,2022-12-27,11.628,0.0,11.628
71,AGZ,2021-12-31,WORST,2022-12-30,2581.395,0.0,2581.395
72,AGZ,2021-12-31,WORST,2023-01-03,18727.834,0.0,18727.834
73,AGZ,2021-12-31,WORST,2023-01-10,5404.457,0.0,5404.457
74,AGZ,2021-12-31,WORST,2023-01-17,60532.849,0.0,60532.849
75,AGZ,2021-12-31,WORST,2023-01-18,1914.729,0.0,1914.729
76,AGZ,2021-12-31,WORST,2023-01-23,348.837,0.0,348.837
77,AGZ,2021-12-31,WORST,2023-02-01,167.151,0.0,167.151
78,AGZ,2021-12-31,WORST,2023-02-03,18406.744,0.0,18406.744
79,AGZ,2021-12-31,WORST,2023-02-06,4813.953,0.0,4813.953
80,AGZ,2021-12-31,WORST,2023-02-10,5878.574,0.0,5878.574
81,AGZ,2021-12-31,WORST,2023-02-15,2083.333,0.0,2083.333
82,AGZ,2021-12-31,WORST,2023-02-24,193.798,0.0,193.798
83,AGZ,2021-12-31,WORST,2023-02-28,1242.733,0.0,1242.733
84,AGZ,2021-12-31,WORST,2023-03-08,22630.814,0.0,22630.814
85,AGZ,2021-12-31,WORST,2023-03-09,6.298,10077.519,10083.818
86,AGZ,2021-12-31,WORST,2023-03-13,92.733,0.0,92.733
87,AGZ,2021-12-31,WORST,2023-03-14,20317.829,0.0,20317.829
88,AGZ,2021-12-31,WORST,2023-03-15,122190.891,0.0,122190.891
89,AGZ,2021-12-31,WORST,2023-03-20,239241.473,0.0,239241.473
90,AGZ,2021-12-31,WORST,2023-04-03,13674.419,0.0,13674.419
91,AGZ,2021-12-31,WORST,2023-04-10,16281.0,0.0,16281.0
92,AGZ,2021-12-31,WORST,2023-04-13,32.849,52558.14,52590.988
93,AGZ,2021-12-31,WORST,2023-04-26,2344.961,0.0,2344.961
94,AGZ,2021-12-31,WORST,2023-05-01,295013.663,0.0,295013.663
95,AGZ,2021-12-31,WORST,2023-05-10,125.969,201550.388,201676.357
96,AGZ,2021-12-31,WORST,2023-05-15,154522.578,0.0,154522.578
97,AGZ,2021-12-31,WORST,2023-05-30,988.76,0.0,988.76
98,AGZ,2021-12-31,WORST,2023-06-02,1022.287,1635658.915,1636681.202
99,AGZ,2021-12-31,WORST,2023-06-05,359426.744,0.0,359426.744
100,AGZ,2021-12-31,WORST,2023-06-08,3936.047,0.0,3936.047
101,AGZ,2021-12-31,WORST,2023-06-09,2544.089,157364.341,159908.43
102,AGZ,2021-12-31,WORST,2023-06-12,9689.922,0.0,9689.922
103,AGZ,2021-12-31,WORST,2023-06-13,66751.453,0.0,66751.453
104,AGZ,2021-12-31,WORST,2023-06-14,16472.868,0.0,16472.868
105,AGZ,2021-12-31,WORST,2023-06-15,14845.736,0.0,14845.736
106,AGZ,2021-12-31,WORST,2023-06-19,9205.426,0.0,9205.426
107,AGZ,2021-12-31,WORST,2023-06-26,11.628,9302.326,9313.953
108,AGZ,2021-12-31,WORST,2023-06-30,7690.771,0.0,7690.771
109,AGZ,2021-12-31,WORST,2023-07-03,13565.891,0.0,13565.891
110,AGZ,2021-12-31,WORST,2023-07-10,5404.457,4323565.891,4328970.349
111,AGZ,2021-12-31,WORST,2023-07-17,60532.849,0.0,60532.849
112,AGZ,2021-12-31,WORST,2023-07-18,1914.729,0.0,1914.729
113,AGZ,2021-12-31,WORST,2023-07-24,348.837,0.0,348.837
114,AGZ,2021-12-31,WORST,2023-08-01,167.151,0.0,167.151
115,AGZ,2021-12-31,WORST,2023-08-03,18406.744,12271162.791,12289569.535
116,AGZ,2021-12-31,WORST,2023-08-07,4813.953,0.0,4813.953
117,AGZ,2021-12-31,WORST,2023-08-10,5878.574,3674108.527,3679987.101
118,AGZ,2021-12-31,WORST,2023-08-15,2083.333,0.0,2083.333
119,AGZ,2021-12-31,WORST,2023-08-24,193.798,155038.76,155232.558
120,AGZ,2021-12-31,WORST,2023-08-28,1242.733,1988372.093,1989614.826
121,AGZ,2021-12-31,WORST,2023-09-08,22630.814,1341085.271,1363716.085
122,AGZ,2021-12-31,WORST,2023-09-12,92.733,1395.349,1488.081
123,AGZ,2021-12-31,WORST,2023-09-14,20317.829,0.0,20317.829
124,AGZ,2021-12-31,WORST,2023-09-15,122190.891,0.0,122190.891
125,AGZ,2021-12-31,WORST,2023-09-18,239241.473,8699689.922,8938931.395
126,AGZ,2021-12-31,WORST,2023-10-02,13674.419,0.0,13674.419
127,AGZ,2021-12-31,WORST,2023-10-10,16281.0,0.0,16281.0
128,AGZ,2021-12-31,WORST,2023-10-26,2344.961,0.0,2344.961
129,AGZ,2021-12-31,WORST,2023-11-01,295013.663,0.0,295013.663
130,AGZ,2021-12-31,WORST,2023-11-15,154522.578,0.0,154522.578
131,AGZ,2021-12-31,WORST,2023-11-27,988.76,791007.752,791996.512
132,AGZ,2021-12-31,WORST,2023-12-04,359426.744,13089302.326,13448729.07
133,AGZ,2021-12-31,WORST,2023-12-08,3936.047,261240.31,265176.357
134,AGZ,2021-12-31,WORST,2023-12-11,9689.922,0.0,9689.922
135,AGZ,2021-12-31,WORST,2023-12-13,66751.453,0.0,66751.453
136,AGZ,2021-12-31,WORST,2023-12-14,16472.868,0.0,16472.868
137,AGZ,2021-12-31,WORST,2023-12-15,14845.736,0.0,14845.736
138,AGZ,2021-12-31,WORST,2023-12-18,9205.426,0.0,9205.426
139,AGZ,2021-12-31,WORST,2024-01-02,21309.229,0.0,21309.229
140,AGZ,2021-12-31,WORST,2024-01-16,60532.849,942635.659,1003168.508
141,AGZ,2021-12-31,WORST,2024-01-18,1914.729,0.0,1914.729
142,AGZ,2021-12-31,WORST,2024-01-23,348.837,0.0,348.837
143,AGZ,2021-12-31,WORST,2024-02-01,167.151,0.0,167.151
144,AGZ,2021-12-31,WORST,2024-02-06,4813.953,0.0,4813.953
145,AGZ,2021-12-31,WORST,2024-02-15,2083.333,0.0,2083.333
146,AGZ,2021-12-31,WORST,2024-03-12,72.674,0.0,72.674
147,AGZ,2021-12-31,WORST,2024-03-14,20317.829,0.0,20317.829
148,AGZ,2021-12-31,WORST,2024-03-15,122190.891,0.0,122190.891
149,AGZ,2021-12-31,WORST,2024-04-01,13674.419,0.0,13674.419
150,AGZ,2021-12-31,WORST,2024-04-08,16281.0,0.0,16281.0
151,AGZ,2021-12-31,WORST,2024-04-26,2344.961,85271.318,87616.279
152,AGZ,2021-12-31,WORST,2024-05-01,295013.663,0.0,295013.663
153,AGZ,2021-12-31,WORST,2024-05-15,154522.578,0.0,154522.578
154,AGZ,2021-12-31,WORST,2024-06-10,9689.922,0.0,9689.922
155,AGZ,2021-12-31,WORST,2024-06-13,66751.453,0.0,66751.453
156,AGZ,2021-12-31,WORST,2024-06-14,16472.868,0.0,16472.868
157,AGZ,2021-12-31,WORST,2024-06-17,24051.163,0.0,24051.163
158,AGZ,2021-12-31,WORST,2024-07-01,7699.626,0.0,7699.626
159,AGZ,2021-12-31,WORST,2024-07-02,13565.891,1550387.597,1563953.488
160,AGZ,2021-12-31,WORST,2024-07-15,43801.066,0.0,43801.066
161,AGZ,2021-12-31,WORST,2024-07-18,1914.729,0.0,1914.729
162,AGZ,2021-12-31,WORST,2024-07-23,348.837,155038.76,155387.597
163,AGZ,2021-12-31,WORST,2024-08-01,167.151,0.0,167.151
164,AGZ,2021-12-31,WORST,2024-08-06,4813.953,0.0,4813.953
165,AGZ,2021-12-31,WORST,2024-08-15,2083.333,77519.38,79602.713
166,AGZ,2021-12-31,WORST,2024-09-12,72.674,0.0,72.674
167,AGZ,2021-12-31,WORST,2024-09-16,142508.721,1009302.326,1151811.047
168,AGZ,2021-12-31,WORST,2024-10-01,13674.419,0.0,13674.419
169,AGZ,2021-12-31,WORST,2024-10-08,16281.0,0.0,16281.0
170,AGZ,2021-12-31,WORST,2024-11-01,295013.663,172093.023,467106.686
171,AGZ,2021-12-31,WORST,2024-11-15,154522.578,0.0,154522.578
172,AGZ,2021-12-31,WORST,2024-12-10,9689.922,0.0,9689.922
173,AGZ,2021-12-31,WORST,2024-12-13,66751.453,0.0,66751.453
174,AGZ,2021-12-31,WORST,2024-12-16,31318.605,2558139.535,2589458.14
