,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,AFRICAN EXPORT-IMPORT BANK MTN RegS,AFREXI,XS1892247963,,Supranational,600000,643,643,USD,ISHCEMB,10/11/2018,
12/30/2021,AFRICAN EXPORT-IMPORT BANK MTN RegS,AFREXI,XS1633896813,,Supranational,600000,628,628,USD,ISHCEMB,6/20/2017,
12/30/2021,AFRICAN EXPORT-IMPORT BANK MTN RegS,AFREXI,XS2343006958,,Supranational,600000,605,605,USD,ISHCEMB,5/17/2021,
12/30/2021,AFRICAN EXPORT-IMPORT BANK MTN RegS,AFREXI,XS2053566068,,Supranational,800000,832,832,USD,ISHCEMB,9/23/2019,
12/30/2021,AFRICAN EXPORT-IMPORT BANK MTN RegS,AFREXI,XS2343007170,,Supranational,600000,614,614,USD,ISHCEMB,5/17/2021,
12/30/2021,AFRICA FINANCE CORP        RegS,AFRFIN,XS1598047550,,Nigeria,400000,423,423,USD,ISHCEMB,4/13/2017,
12/30/2021,AFRICA FINANCE CORP        RegS,AFRFIN,XS2189425122,,Nigeria,600000,619,619,USD,ISHCEMB,6/16/2020,
12/30/2021,AFRICA FINANCE CORP MTN RegS,AFRFIN,XS1983289791,,Nigeria,600000,650,650,USD,ISHCEMB,4/17/2019,
12/30/2021,AFRICA FINANCE CORP        RegS,AFRFIN,XS2337067792,,Nigeria,800000,798,798,USD,ISHCEMB,4/28/2021,
12/30/2021,AFRICA FINANCE CORP        RegS,AFRFIN,XS2072933778,,Nigeria,400000,417,417,USD,ISHCEMB,10/30/2019,
12/30/2021,INVENTIVE GLOBAL INVESTMENTS LTD MTN RegS,ABCIHL,XS2224513379,,China,200000,198,198,USD,ISHCEMB,9/3/2020,
12/30/2021,UNION NATIONAL BANK PJSC MTN RegS,ADCBUH,XS1789460216,,United Arab Emirates,400000,417,417,USD,ISHCEMB,3/13/2018,
12/30/2021,ADCB FINANCE CAYMAN LTD MTN RegS,ADCBUH,XS1800010693,,United Arab Emirates,400000,416,416,USD,ISHCEMB,3/29/2018,
12/30/2021,AHB SUKUK COMPANY LTD      RegS,ALHILA,XS1876097129,,United Arab Emirates,200000,213,213,USD,ISHCEMB,9/19/2018,
12/30/2021,ABU DHABI NATIONAL ENERGY CO MTN RegS,TAQAUH,XS1017435352,,United Arab Emirates,200000,213,213,USD,ISHCEMB,5/6/2014,
12/30/2021,ABU DHABI NATIONAL ENERGY CO PJSC MTN RegS,TAQAUH,XS1808737594,,United Arab Emirates,600000,656,656,USD,ISHCEMB,4/23/2018,
12/30/2021,ABU DHABI NATIONAL ENERGY CO PJSC MTN RegS,TAQAUH,XS1435072464,,United Arab Emirates,400000,443,443,USD,ISHCEMB,6/22/2016,
12/30/2021,ABU DHABI NATIONAL ENERGY COMPANY MTN RegS,TAQAUH,XS2333388184,,United Arab Emirates,600000,595,595,USD,ISHCEMB,4/29/2021,
12/30/2021,ABU DHABI NATIONAL ENERGY CO PJSC MTN RegS,TAQAUH,XS1808738212,,United Arab Emirates,600000,717,717,USD,ISHCEMB,4/23/2018,
12/30/2021,RUWAIS POWER CO PJSC       RegS,RPCUH,USM8220VAA28,,United Arab Emirates,400000,536,536,USD,ISHCEMB,8/6/2013,
12/30/2021,ABU DHABI NATIONAL ENERGY CO RegS,TAQAUH,XS0272949016,,United Arab Emirates,300000,428,428,USD,ISHCEMB,10/27/2006,
12/30/2021,ABU DHABI NATIONAL ENERGY COMPANY MTN RegS,TAQAUH,XS2060897506,,United Arab Emirates,200000,230,230,USD,ISHCEMB,10/3/2019,
12/30/2021,ABU DHABI NATIONAL ENERGY COMPANY MTN RegS,TAQAUH,XS2333388937,,United Arab Emirates,400000,420,420,USD,ISHCEMB,4/29/2021,
12/30/2021,SA GLOBAL SUKUK LTD        RegS,ARAMCO,XS2352861574,,Saudi Arabia,600000,591,591,USD,ISHCEMB,6/17/2021,
12/30/2021,SA GLOBAL SUKUK LTD        RegS,ARAMCO,XS2352861814,,Saudi Arabia,1000000,984,984,USD,ISHCEMB,6/17/2021,
12/30/2021,SA GLOBAL SUKUK LTD        RegS,ARAMCO,XS2352862119,,Saudi Arabia,1600000,1610,1610,USD,ISHCEMB,6/17/2021,
12/30/2021,AXIATA SPV2 BHD MTN RegS,AXIATA,XS1382802095,,Malaysia,400000,442,442,USD,ISHCEMB,3/24/2016,
12/30/2021,AXIATA SPV2 BHD MTN RegS,AXIATA,XS2216900105,,Malaysia,800000,792,792,USD,ISHCEMB,8/19/2020,
12/30/2021,AXIATA SPV5 LABUAN LTD MTN RegS,AXIATA,XS2216900287,,Malaysia,800000,776,776,USD,ISHCEMB,8/19/2020,
12/30/2021,CHINA CINDA FINANCE (2017) I LTD MTN RegS,CCAMCL,XS1757392201,,China,200000,207,207,USD,ISHCEMB,2/8/2018,
12/30/2021,BANK OF CHINA LTD (HONG KONG BRANC MTN RegS,BCHINA,XS1785829687,,China,200000,201,201,USD,ISHCEMB,3/8/2018,
12/30/2021,CNPC GENERAL CAPITAL LTD   RegS,CNPCCH,USG22004AE89,,China,200000,207,207,USD,ISHCEMB,4/16/2013,
12/30/2021,SINOPEC CAPITAL (2013) LTD RegS,SINOPC,USG81877AA34,,China,400000,412,412,USD,ISHCEMB,4/24/2013,
12/30/2021,CHINA OVERSEAS FINANCE (CAYMAN) VI RegS,CHIOLI,XS1811821054,,China,200000,207,207,USD,ISHCEMB,4/26/2018,
12/30/2021,CNOOC FINANCE (2013) LTD,CNOOC,US12625GAC87,12625GAC8,China,200000,205,205,USD,ISHCEMB,5/9/2013,
12/30/2021,CRCC YUXIANG LIMITED       RegS,RLCONS,XS0928126340,,China,200000,206,206,USD,ISHCEMB,5/16/2013,
12/30/2021,BOC AVIATION LTD           RegS,BOCAVI,US09681MAH16,,Singapore,600000,601,601,USD,ISHCEMB,9/26/2018,
12/30/2021,INDUSTRIAL AND COMMERCIAL BANK OF MTN RegS,ICBCAS,XS1897342124,,China,400000,403,403,USD,ISHCEMB,10/25/2018,
12/30/2021,AGRICULTURAL BANK OF CHINA LTD (NE MTN RegS,AGRBK,XS2279820125,,China,200000,199,199,USD,ISHCEMB,1/19/2021,
12/30/2021,BOC AVIATION LTD MTN RegS,BOCAVI,XS1938443329,,Singapore,400000,425,425,USD,ISHCEMB,1/25/2019,
