,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,CMBS,2021-12-31,WORST,2022-01-06,0.0,192006.67,192006.67
1,CMBS,2021-12-31,WORST,2022-01-10,21182.846,15122.203,36305.05
2,CMBS,2021-12-31,WORST,2022-01-12,167.66,0.0,167.66
3,CMBS,2021-12-31,WORST,2022-01-13,704.478,0.0,704.478
4,CMBS,2021-12-31,WORST,2022-01-15,58817.232,29724.157,88541.386
5,CMBS,2021-12-31,WORST,2022-01-25,50280.839,17938.901,68219.739
6,CMBS,2021-12-31,WORST,2022-02-10,21146.13,17783.965,38930.095
7,CMBS,2021-12-31,WORST,2022-02-12,167.66,0.0,167.66
8,CMBS,2021-12-31,WORST,2022-02-13,704.474,0.0,704.474
9,CMBS,2021-12-31,WORST,2022-02-15,58730.705,11637.352,70368.055
10,CMBS,2021-12-31,WORST,2022-02-25,50237.812,12492.622,62730.428
11,CMBS,2021-12-31,WORST,2022-03-10,21095.815,10603.519,31699.333
12,CMBS,2021-12-31,WORST,2022-03-12,167.66,0.0,167.66
13,CMBS,2021-12-31,WORST,2022-03-13,704.346,0.0,704.346
14,CMBS,2021-12-31,WORST,2022-03-15,58698.876,15568.521,74267.396
15,CMBS,2021-12-31,WORST,2022-03-25,50214.017,19527.409,69741.426
16,CMBS,2021-12-31,WORST,2022-04-10,21131.296,22336.472,43467.767
17,CMBS,2021-12-31,WORST,2022-04-12,167.66,0.0,167.66
18,CMBS,2021-12-31,WORST,2022-04-13,707.966,0.0,707.966
19,CMBS,2021-12-31,WORST,2022-04-15,58748.193,42531.747,101279.941
20,CMBS,2021-12-31,WORST,2022-04-25,50278.692,16631.593,66910.282
21,CMBS,2021-12-31,WORST,2022-05-10,21000.943,9706.471,30707.414
22,CMBS,2021-12-31,WORST,2022-05-12,167.66,0.0,167.66
23,CMBS,2021-12-31,WORST,2022-05-13,703.989,0.0,703.989
24,CMBS,2021-12-31,WORST,2022-05-15,58610.897,23400.139,82011.035
25,CMBS,2021-12-31,WORST,2022-05-25,50123.803,20185.49,70309.298
26,CMBS,2021-12-31,WORST,2022-06-10,21040.154,11582.315,32622.47
27,CMBS,2021-12-31,WORST,2022-06-12,167.66,0.0,167.66
28,CMBS,2021-12-31,WORST,2022-06-13,707.686,0.0,707.686
29,CMBS,2021-12-31,WORST,2022-06-15,58560.593,43499.467,102060.059
30,CMBS,2021-12-31,WORST,2022-06-25,50190.686,14141.793,64332.473
31,CMBS,2021-12-31,WORST,2022-07-10,20942.867,9176.088,30118.955
32,CMBS,2021-12-31,WORST,2022-07-12,167.66,0.0,167.66
33,CMBS,2021-12-31,WORST,2022-07-13,703.773,0.0,703.773
34,CMBS,2021-12-31,WORST,2022-07-15,58446.178,14075.911,72522.088
35,CMBS,2021-12-31,WORST,2022-07-25,50041.071,20190.487,70231.556
36,CMBS,2021-12-31,WORST,2022-08-10,21277.093,15956.252,37233.346
37,CMBS,2021-12-31,WORST,2022-08-12,167.66,0.0,167.66
38,CMBS,2021-12-31,WORST,2022-08-13,707.353,0.0,707.353
39,CMBS,2021-12-31,WORST,2022-08-15,58478.081,25108.245,83586.327
40,CMBS,2021-12-31,WORST,2022-08-25,50108.157,15137.418,65245.57
41,CMBS,2021-12-31,WORST,2022-09-10,20938.477,30335.37,51273.845
42,CMBS,2021-12-31,WORST,2022-09-12,167.66,103.661,271.321
43,CMBS,2021-12-31,WORST,2022-09-13,707.345,0.0,707.345
44,CMBS,2021-12-31,WORST,2022-09-15,58323.939,21087.879,79411.816
45,CMBS,2021-12-31,WORST,2022-09-25,50071.918,19981.448,70053.365
46,CMBS,2021-12-31,WORST,2022-10-10,20794.255,71109.158,91903.414
47,CMBS,2021-12-31,WORST,2022-10-12,167.382,1086.813,1254.195
