,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,FNMA_20-M20   A2,FNMA_20-M20-A2,US3136B9WE35,,United States,250000,245,245,USD,ISHCMBS,5/1/2020,
12/30/2021,FNMA_21-M4   A2,FNMA_21-M4-A2,US3136BDZA93,,United States,1500000,1459,1459,USD,ISHCMBS,2/1/2021,
12/30/2021,FNMA_20-M14   A2,FNMA_20-M14-A2,US3136B9KC07,,United States,1000000,1003,1003,USD,ISHCMBS,4/1/2020,
12/30/2021,FNMA_20-M8   A2,FNMA_20-M8-A2,US3136B8M973,,United States,100000,101,101,USD,ISHCMBS,3/1/2020,
12/30/2021,FNMA_20-M01   A1,FNMA_20-M01-A1,US3136B75L13,3136B75L1,United States,2014579,2073,2073,USD,ISHCMBS,1/1/2020,
12/30/2021,FNMA_20-M05   A3,FNMA_20-M05-A3,US3136B8TH20,3136B8TH2,United States,1000000,1033,1033,USD,ISHCMBS,2/1/2020,
12/30/2021,FNMA_20-M5   A2,FNMA_20-M5-A2,US3136B8TG47,,United States,2600000,2691,2691,USD,ISHCMBS,2/1/2020,
12/30/2021,FNMA_13-M7   A2,FNMA_13-M7-A2,US3136AEGQ49,,United States,284108,288,288,USD,ISHCMBS,5/1/2013,
12/30/2021,FNMA_16-M9   A2,FNMA_16-M9-A2,US3136ATYT54,,United States,2000000,2065,2065,USD,ISHCMBS,9/1/2016,
12/30/2021,FNMA_16-M12  AV2,FNMA_16-M12-AV2,US3136AUEU11,,United States,374344,380,380,USD,ISHCMBS,11/1/2016,
12/30/2021,FNMA_17-M1   A2,FNMA_17-M1-A2,US3136AUG215,,United States,854165,889,889,USD,ISHCMBS,1/1/2017,
12/30/2021,FNMA_20-M1   A2,FNMA_20-M1-A2,US3136B75M95,,United States,4530000,4770,4770,USD,ISHCMBS,1/1/2020,
12/30/2021,FNMA_17-M3   A2,FNMA_17-M3-A2,US3136AVYL74,,United States,787739,822,822,USD,ISHCMBS,3/1/2017,
12/30/2021,FNMA_16-M5   A2,FNMA_16-M5-A2,US3136AR5S36,,United States,500000,518,518,USD,ISHCMBS,5/1/2016,
12/30/2021,FNMA_12-M9   A2,FNMA_12-M9-A2,US3136A72D33,,United States,104423,105,105,USD,ISHCMBS,8/1/2012,
12/30/2021,FNMA_16-M6   A2,FNMA_16-M6-A2,US3136ASVZ68,,United States,310000,321,321,USD,ISHCMBS,6/1/2016,
12/30/2021,FNMA_15-M1   A2,FNMA_15-M1-A2,US3136AMKZ18,,United States,629206,646,646,USD,ISHCMBS,1/1/2015,
12/30/2021,FNMA_17-M4   A2,FNMA_17-M4-A2,US3136AVY521,,United States,831963,872,872,USD,ISHCMBS,4/1/2017,
12/30/2021,FNMA_17-M15  AV2,FNMA_17-M15-AV2,US3136AY6S72,,United States,735110,756,756,USD,ISHCMBS,12/1/2017,
12/30/2021,FNMA_15-M2    A,FNMA_15-M2-A,US3136AMLX50,3136AMLX5,United States,333647,343,343,USD,ISHCMBS,1/1/2015,
12/30/2021,FNMA_15-M13   A2,FNMA_15-M13-A2,US3136AQHL72,,United States,854059,885,885,USD,ISHCMBS,10/1/2015,
12/30/2021,FNMA_17-M2   A2,FNMA_17-M2-A2,US3136AVKR90,,United States,1885250,1997,1997,USD,ISHCMBS,2/1/2017,
12/30/2021,FNMA_15-M11   A2,FNMA_15-M11-A2,US3136APSZ66,,United States,800000,831,831,USD,ISHCMBS,7/1/2015,
12/30/2021,FNMA_17-M14   A2,FNMA_17-M14-A2,US3136AY2H53,3136AY2H5,United States,1818712,1951,1951,USD,ISHCMBS,11/1/2017,
12/30/2021,FNMA_19-M12   A2,FNMA_19-M12-A2,US3136B5NV39,,United States,1175000,1270,1270,USD,ISHCMBS,7/1/2019,
12/30/2021,FNMA_15-M8   A2,FNMA_15-M8-A2,US3136ANSB41,,United States,1248615,1295,1295,USD,ISHCMBS,5/1/2015,
12/30/2021,FNMA_15-M15   A2,FNMA_15-M15-A2,US3136AQSZ40,,United States,837044,875,875,USD,ISHCMBS,11/1/2015,
12/30/2021,FNMA_19-M9   A2,FNMA_19-M9-A2,US3136B4VT26,3136B4VT2,United States,1970000,2133,2133,USD,ISHCMBS,6/1/2019,
12/30/2021,FNMA_16-M1   A2,FNMA_16-M1-A2,US3136AQV808,,United States,924311,975,975,USD,ISHCMBS,1/1/2016,
12/30/2021,FNMA_17-M15   A2,FNMA_17-M15-A2,US3136AY6X67,,United States,1000000,1075,1075,USD,ISHCMBS,12/1/2017,
12/30/2021,FNMA_17-M7   A2,FNMA_17-M7-A2,US3136AV7G89,,United States,1038000,1101,1101,USD,ISHCMBS,6/1/2017,
12/30/2021,FNMA_17-M11   A2,FNMA_17-M11-A2,US3136AX3J29,,United States,1000000,1087,1087,USD,ISHCMBS,9/1/2017,
12/30/2021,FNMA_18-M1   A2,FNMA_18-M1-A2,US3136AY7L11,,United States,916962,983,983,USD,ISHCMBS,1/1/2018,
12/30/2021,FNMA_16-M10  AV2,FNMA_16-M10-AV2,US3136ATX667,,United States,500000,533,533,USD,ISHCMBS,9/1/2016,
12/30/2021,FNMA_14-M13   A2,FNMA_14-M13-A2,US3136ALYF25,,United States,136597,142,142,USD,ISHCMBS,11/1/2014,
12/30/2021,FNMA_17-M8-A2     A2,FNMA_17-M8,US3136AW7J01,,United States,2395914,2575,2575,USD,ISHCMBS,7/1/2017,
12/30/2021,FNMA_18-M7   A2,FNMA_18-M7-A2,US3136B1K865,,United States,784231,850,850,USD,ISHCMBS,5/1/2018,
12/30/2021,FNMA_15-M10   A2,FNMA_15-M10-A2,US3136AN6U63,,United States,2461037,2639,2639,USD,ISHCMBS,6/1/2015,
12/30/2021,FNMA_14-M11A   1A,FNMA_14-M11A-1A,US3136AK2E22,3136AK2E2,United States,641768,670,670,USD,ISHCMBS,9/1/2014,
12/30/2021,FNMA_19-M7   A2,FNMA_19-M7-A2,US3136B4QB72,,United States,1300000,1426,1426,USD,ISHCMBS,5/1/2019,
12/30/2021,FNMA_19-M5   A2,FNMA_19-M5-A2,US3136B4KB37,,United States,2450000,2695,2695,USD,ISHCMBS,4/1/2019,
12/30/2021,FNMA_14-M11B   2A,FNMA_14-M11B-2A,US3136AK2F96,3136AK2F9,United States,569024,613,613,USD,ISHCMBS,9/1/2014,
12/30/2021,FNMA_19-M6   A1,FNMA_19-M6-A1,US3136B4KH07,3136B4KH0,United States,494377,508,508,USD,ISHCMBS,4/1/2019,
12/30/2021,FNMA_13-M14   A2,FNMA_13-M14-A2,US3136AHAG51,,United States,2620738,2699,2699,USD,ISHCMBS,11/1/2013,
12/30/2021,FNMA_14-M4   A2,FNMA_14-M4-A2,US3136AJB540,,United States,480185,500,500,USD,ISHCMBS,4/1/2014,
12/30/2021,FNMA_13-M6  1A2,FNMA_13-M6-1A2,US3136AC7G06,,United States,165496,182,182,USD,ISHCMBS,4/1/2013,
12/30/2021,FNMA_13-M6  1AC,FNMA_13-M6-1AC,US3136AC7M73,,United States,165496,182,182,USD,ISHCMBS,4/1/2013,
12/30/2021,FNMA_19-M1   A1,FNMA_19-M1-A1,US3136B3UQ13,,United States,531396,559,559,USD,ISHCMBS,1/1/2019,
12/30/2021,FNMA_18-M10   A2,FNMA_18-M10-A2,US3136B2HA35,,United States,1040000,1152,1152,USD,ISHCMBS,7/1/2018,
12/30/2021,FNMA_19-M6-A2     A2,FNMA_19-M6-A2A2,US3136B4KJ62,3136B4KJ6,United States,1000000,1113,1113,USD,ISHCMBS,4/1/2019,
12/30/2021,FNMA_14-M3   A2,FNMA_14-M3-A2,US3136AJLC84,,United States,438516,457,457,USD,ISHCMBS,3/1/2014,
12/30/2021,FNMA_19-M1   A2,FNMA_19-M1-A2,US3136B3XY10,,United States,3000000,3365,3365,USD,ISHCMBS,1/1/2019,
12/30/2021,FNMA_18-M14   A2,FNMA_18-M14-A2,US3136B27L04,3136B27L0,United States,427463,480,480,USD,ISHCMBS,11/1/2018,
12/30/2021,FNMA_19-M2   A2,FNMA_19-M2-A2,US3136B3J509,,United States,1961471,2206,2206,USD,ISHCMBS,2/1/2019,
12/30/2021,FNMA_18-M13   A2,FNMA_18-M13-A2,US3136B3DE75,,United States,100000,115,115,USD,ISHCMBS,10/1/2018,
12/30/2021,WFCM_16-LC25    B,WFCM_16-LC25-B,US95000JBA51,95000JBA5,United States,198000,214,214,USD,ISHCMBS,12/1/2016,
12/30/2021,COMM_12-CR1   A3,COMM_12-CR1-A3,US12624BAC00,,United States,115811,116,116,USD,ISHCMBS,5/1/2012,
12/30/2021,JPMCC_12-C8  ASB,JPMCC_12-C8-ASB,US46638UAD81,,United States,37381,38,38,USD,ISHCMBS,10/1/2012,
12/30/2021,UBSBB_12-C4  AAB,UBSBB_12-C4-AAB,US90270RBF01,,United States,35202,35,35,USD,ISHCMBS,12/1/2012,
12/30/2021,BBCMS_17-C1   A2,BBCMS_17-C1-A2,US07332VBA26,,United States,864060,868,868,USD,ISHCMBS,2/1/2017,
12/30/2021,FHMS_K720   A2,FHMS_K720-A2,US3137BLUR72,,United States,630762,635,635,USD,ISHCMBS,11/1/2015,
12/30/2021,COMM_13-LC6  ASB,COMM_13-LC6-ASB,US20048EAW12,,United States,48565,49,49,USD,ISHCMBS,1/1/2013,
12/30/2021,COMM_13-CR6  ASB,COMM_13-CR6-ASB,US12624XAC20,,United States,137988,139,139,USD,ISHCMBS,3/1/2013,
12/30/2021,MSBAM_13-C7  AAB,MSBAM_13-C7-AA,US61690KAC62,,United States,29395,30,30,USD,ISHCMBS,1/1/2013,
12/30/2021,MSBAM_13-C10  ASB,MSBAM_13-C10-ASB,US61762MBU45,,United States,62612,64,64,USD,ISHCMBS,7/1/2013,
12/30/2021,FHMS_K729   A1,FHMS_K729-A1,US3137FCM358,,United States,354944,361,361,USD,ISHCMBS,12/1/2017,
12/30/2021,JPMCC_13-C13  ASB,JPMCC_13-C13-ASB,US46640JAS69,,United States,15076,15,15,USD,ISHCMBS,7/1/2013,
12/30/2021,UBSBB_13-C5   A4,UBSBB_13-C5-A4,US90270YBF51,,United States,1222000,1243,1243,USD,ISHCMBS,2/1/2013,
12/30/2021,GSMS_13-GC10   A5,GSMS_13-GC10-A5,US36192CAE57,,United States,400000,408,408,USD,ISHCMBS,2/1/2013,
12/30/2021,UBSBB_13-C6   A4,UBSBB_13-C6-A4,US90349GBF19,,United States,677000,692,692,USD,ISHCMBS,4/1/2013,
12/30/2021,JPMBB_14-C18  ASB,JPMBB_14-C18-ASB,US46641JAX46,,United States,565172,578,578,USD,ISHCMBS,2/1/2014,
12/30/2021,CGCMT_13-GC11     A3,CGCMT_13-GC11-A3,US17320DAE85,,United States,810666,821,821,USD,ISHCMBS,4/1/2013,
12/30/2021,JPMCC_13-C10   A5,JPMCC_13-C10-,US46639JAE01,,United States,589428,601,601,USD,ISHCMBS,3/1/2013,
12/30/2021,WFRBS_12-C10   A3,WFRBS_12-C10-A3,US92890NAU37,,United States,200000,203,203,USD,ISHCMBS,12/1/2012,
12/30/2021,CGCMT_18-B2   A2,CGCMT_18-B2-A2,US17327FAB22,,United States,1000000,1030,1030,USD,ISHCMBS,3/1/2018,
12/30/2021,BMARK _18-B1   A2,BMARK _18-B1-A2,US08162PAT84,,United States,1251747,1275,1275,USD,ISHCMBS,1/1/2018,
12/30/2021,COMM_14-CR16  ASB,COMM_14-CR16-ASB,US12591VAC54,,United States,87063,89,89,USD,ISHCMBS,4/1/2014,
12/30/2021,FHLMC_K029   A2,FHLMC_K029-A2,US3137B36J22,,United States,2915389,2993,2993,USD,ISHCMBS,7/1/2013,
12/30/2021,WFRBS_13-C17  ASB,WFRBS_13-C17-ASB,US92938GAE89,,United States,294991,303,303,USD,ISHCMBS,11/1/2013,
12/30/2021,FHLMC_K027   A2,FHLMC_K027-A2,US3137B1UG56,,United States,1000000,1020,1020,USD,ISHCMBS,5/1/2013,
12/30/2021,BMARK_18-B2   A2,BMARK_18-B2-A2,US08161CAB72,,United States,600000,613,613,USD,ISHCMBS,2/1/2018,
12/30/2021,JPMCC_13-LC11     A5,JPMCC_13-LC11-A5,US46639YAQ08,,United States,500000,512,512,USD,ISHCMBS,5/1/2013,
12/30/2021,MSBAM_14-C15  ASB,MSBAM_14-C15-ASB,US61763KAY01,,United States,102577,105,105,USD,ISHCMBS,4/1/2014,
12/30/2021,WFCMT_15-LC20     A3,WFCMT_15-LC20-A3,US94989EAC12,,United States,600000,602,602,USD,ISHCMBS,3/1/2015,
12/30/2021,WFRBS_14-C20  ASB,WFRBS_14-C20-ASB,US92890FAV85,,United States,172652,178,178,USD,ISHCMBS,5/1/2014,
12/30/2021,JPMCC_13-C13   A4,JPMCC_13-C13-A4,US46640JAR86,,United States,205272,213,213,USD,ISHCMBS,7/1/2013,
12/30/2021,WFCM_14-LC16  ASB,WFCM_14-LC16-ASB,US94988XAV82,,United States,662590,680,680,USD,ISHCMBS,6/1/2014,
12/30/2021,FHMS_13-K031   A2,FHMS_13-K031-A2,US3137B3NX29,,United States,2000000,2062,2062,USD,ISHCMBS,8/1/2013,
12/30/2021,JPMBB_14-C21  ASB,JPMBB_14-C21-ASB,US46642EAZ97,,United States,192674,198,198,USD,ISHCMBS,7/1/2014,
12/30/2021,BMARK_18-B4   A2,BMARK_18-B4-A2,US08161HAB69,,United States,435457,452,452,USD,ISHCMBS,7/1/2018,
12/30/2021,MSBAM_13-C9   A4,MSBAM_13-C9-A4,US61762DAW11,,United States,1500000,1531,1531,USD,ISHCMBS,5/1/2013,
12/30/2021,COMM_13-CR8   A5,COMM_13-CR8-A5,US12625KAE55,,United States,1605000,1656,1656,USD,ISHCMBS,6/1/2013,
12/30/2021,WFCM_13-LC12   A4,WFCM_13-LC12-A4,US94988QAG64,94988QAG6,United States,2975000,3087,3087,USD,ISHCMBS,7/1/2013,
12/30/2021,COMM_13-LC13   A5,COMM_13-LC13-A5,US12626GAF00,,United States,777563,815,815,USD,ISHCMBS,9/1/2013,
12/30/2021,DBJPM_17-C6   A3,DBJPM_17-C6-A3,US23312JAC71,,United States,750000,769,769,USD,ISHCMBS,6/1/2017,
12/30/2021,MSBAM_13-C10   A4,MSBAM_13-C10-A4,US61762MBW01,,United States,1000000,1033,1033,USD,ISHCMBS,7/1/2013,
12/30/2021,GSMS_14-GC24  AAB,GSMS_14-GC24-AAB,US36253GAF90,,United States,319855,330,330,USD,ISHCMBS,9/1/2014,
12/30/2021,COMM_13-CR9   A4,COMM_13-CR9-A4,US12625UBF93,,United States,1200000,1246,1246,USD,ISHCMBS,7/1/2013,
12/30/2021,FHMS_K032   A2,FHMS_K032-A2,US3137B4GY67,,United States,180000,186,186,USD,ISHCMBS,9/1/2013,
12/30/2021,GSMS_13-GC12   AS,GSMS_13-GC12-AS,US36197XAP96,,United States,300000,308,308,USD,ISHCMBS,5/1/2013,
12/30/2021,JPMBB_13-C14   A4,JPMBB_13-C14-A4,US46640LAD47,,United States,512580,529,529,USD,ISHCMBS,8/1/2013,
12/30/2021,GSMS_13-GC14   A5,GSMS_13-GC14-A5,US36198FAE25,,United States,550000,575,575,USD,ISHCMBS,8/1/2013,
12/30/2021,FHLMC_K723   A2,FHLMC_K723-A2,US3137BSPW75,,United States,437971,447,447,USD,ISHCMBS,11/1/2016,
12/30/2021,FHLMC_13-K033     A2,FHLMC_13-K033-A2,US3137B4WB80,,United States,2000000,2061,2061,USD,ISHCMBS,10/1/2013,
12/30/2021,FHLMC_13-K034     A2,FHLMC_13-K034-A2,US3137B5JM67,,United States,2271000,2356,2356,USD,ISHCMBS,11/1/2013,
