,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,CMF,2021-12-31,WORST,2022-01-06,200342.674,98873.407,299216.081
1,CMF,2021-12-31,WORST,2022-01-18,25460.064,0.0,25460.064
2,CMF,2021-12-31,WORST,2022-02-01,204935.77,190734.824,395670.594
3,CMF,2021-12-31,WORST,2022-02-15,21929.89,0.0,21929.89
4,CMF,2021-12-31,WORST,2022-03-01,103267.016,40415.335,143682.351
5,CMF,2021-12-31,WORST,2022-03-15,4057.508,0.0,4057.508
6,CMF,2021-12-31,WORST,2022-04-01,190878.217,709105.431,899983.648
7,CMF,2021-12-31,WORST,2022-04-15,798.722,0.0,798.722
8,CMF,2021-12-31,WORST,2022-05-02,187575.568,400319.489,587895.057
9,CMF,2021-12-31,WORST,2022-05-16,108167.732,330670.927,438838.658
10,CMF,2021-12-31,WORST,2022-06-01,113789.429,211821.086,325610.516
11,CMF,2021-12-31,WORST,2022-06-15,4133.387,53035.144,57168.53
12,CMF,2021-12-31,WORST,2022-06-23,6247.781,159744.409,165992.19
13,CMF,2021-12-31,WORST,2022-07-01,211054.69,489780.478,700835.168
14,CMF,2021-12-31,WORST,2022-07-15,29006.438,0.0,29006.438
15,CMF,2021-12-31,WORST,2022-08-01,199030.551,422364.217,621394.768
16,CMF,2021-12-31,WORST,2022-08-15,21792.332,14696.486,36488.818
17,CMF,2021-12-31,WORST,2022-09-01,100864.816,218690.096,319554.912
18,CMF,2021-12-31,WORST,2022-09-15,4057.508,0.0,4057.508
19,CMF,2021-12-31,WORST,2022-10-03,175115.216,598881.789,773997.005
20,CMF,2021-12-31,WORST,2022-10-17,798.722,0.0,798.722
21,CMF,2021-12-31,WORST,2022-11-01,177830.272,591693.291,769523.562
22,CMF,2021-12-31,WORST,2022-11-15,99932.907,0.0,99932.907
23,CMF,2021-12-31,WORST,2022-12-01,107030.012,141853.035,248883.047
24,CMF,2021-12-31,WORST,2022-12-15,2807.508,0.0,2807.508
25,CMF,2021-12-31,WORST,2023-01-01,0.0,14376.997,14376.997
26,CMF,2021-12-31,WORST,2023-01-03,197903.446,80351.438,278254.884
27,CMF,2021-12-31,WORST,2023-01-17,28604.633,15974.441,44579.073
28,CMF,2021-12-31,WORST,2023-02-01,189385.982,347603.834,536989.816
29,CMF,2021-12-31,WORST,2023-02-15,21424.92,233226.837,254651.757
30,CMF,2021-12-31,WORST,2023-03-01,95285.144,22204.473,117489.617
31,CMF,2021-12-31,WORST,2023-03-15,4057.508,0.0,4057.508
32,CMF,2021-12-31,WORST,2023-04-03,160618.411,551916.933,712535.343
33,CMF,2021-12-31,WORST,2023-04-17,798.722,0.0,798.722
34,CMF,2021-12-31,WORST,2023-04-20,935.947,103674.121,104610.069
35,CMF,2021-12-31,WORST,2023-05-01,165681.709,66932.907,232614.617
36,CMF,2021-12-31,WORST,2023-05-15,99932.907,477635.783,577568.69
37,CMF,2021-12-31,WORST,2023-06-01,103611.482,343450.479,447061.961
38,CMF,2021-12-31,WORST,2023-06-15,2807.508,22364.217,25171.725
39,CMF,2021-12-31,WORST,2023-07-01,532.481,25559.105,26091.587
40,CMF,2021-12-31,WORST,2023-07-03,196074.373,862405.004,1058479.377
41,CMF,2021-12-31,WORST,2023-07-17,28604.633,0.0,28604.633
42,CMF,2021-12-31,WORST,2023-08-01,180036.941,948543.45,1128580.391
43,CMF,2021-12-31,WORST,2023-08-15,16500.799,145367.412,161868.211
44,CMF,2021-12-31,WORST,2023-09-01,94730.032,425559.105,520289.137
45,CMF,2021-12-31,WORST,2023-09-15,4057.508,0.0,4057.508
46,CMF,2021-12-31,WORST,2023-10-02,147032.548,144568.69,291601.238
47,CMF,2021-12-31,WORST,2023-10-16,798.722,0.0,798.722
48,CMF,2021-12-31,WORST,2023-11-01,164176.118,877795.527,1041971.645
49,CMF,2021-12-31,WORST,2023-11-15,87992.013,47923.323,135915.335
50,CMF,2021-12-31,WORST,2023-12-01,95066.659,139137.38,234204.039
51,CMF,2021-12-31,WORST,2023-12-15,2248.403,0.0,2248.403
52,CMF,2021-12-31,WORST,2024-01-01,0.0,14384.026,14384.026
53,CMF,2021-12-31,WORST,2024-01-02,174248.142,189776.358,364024.5
54,CMF,2021-12-31,WORST,2024-01-16,28604.633,293610.224,322214.856
55,CMF,2021-12-31,WORST,2024-02-01,158659.145,0.0,158659.145
56,CMF,2021-12-31,WORST,2024-02-15,12896.432,15335.463,28231.896
57,CMF,2021-12-31,WORST,2024-03-01,84773.163,60702.875,145476.038
58,CMF,2021-12-31,WORST,2024-03-15,4057.508,0.0,4057.508
