,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,BAY AREA TOLL AUTH CALIF TOLL,BAYTRN,US072024RS34,072024RS3,United States,1200000,1229,1229,USD,ISHCALI,10/23/2012,
12/30/2021,BAY AREA TOLL AUTH CALIF TOLL,BAYTRN,US072024SD55,072024SD5,United States,1000000,1024,1024,USD,ISHCALI,10/23/2012,
12/30/2021,BAY AREA TOLL AUTH CALIF TOLL,BAYTRN,US072024SH69,072024SH6,United States,1360000,1393,1393,USD,ISHCALI,10/23/2012,
12/30/2021,SAN DIEGO CNTY CALIF REGL TRANSN C,SDGTRN,US797400HG69,,United States,1500000,1536,1536,USD,ISHCALI,6/14/2012,
12/30/2021,SAN DIEGO COUNTY REGIONAL TRANSPOR,SDGTRN,US797400HN11,,United States,4500000,4609,4609,USD,ISHCALI,6/14/2012,
12/30/2021,CALIFORNIA ST DEPT WTR RES PWR,CASPWR,US13066YSX84,13066YSX8,United States,4515000,4624,4624,USD,ISHCALI,4/29/2015,
12/30/2021,SAN FRANCISCO CALIF CITY & CNT,SFOWTR,US79765RXH73,79765RXH7,United States,1525000,1562,1562,USD,ISHCALI,6/7/2012,
12/30/2021,SAN FRANCISCO CALIF CITY & CNT,SFOWTR,US79765RXJ30,79765RXJ3,United States,1000000,1024,1024,USD,ISHCALI,6/7/2012,
12/30/2021,SAN FRANCISCO CALIF CITY & CNT,SFOWTR,US79765RXN42,79765RXN4,United States,780000,799,799,USD,ISHCALI,6/7/2012,
12/30/2021,SAN FRANCISCO CALIF CITY & CNT,SFOWTR,US79765RXP99,79765RXP9,United States,1105000,1132,1132,USD,ISHCALI,6/7/2012,
12/30/2021,SAN FRANCISCO CALIF CITY & CNT,SFOWTR,US79765RXQ72,79765RXQ7,United States,460000,469,469,USD,ISHCALI,6/7/2012,
12/30/2021,SAN FRANCISCO CALIF CITY & CNT,SFOWTR,US79765RXR55,79765RXR5,United States,740000,754,754,USD,ISHCALI,6/7/2012,
12/30/2021,SAN FRANCISCO CALIF CITY & CNT,SFOAPT,US79766DFX21,79766DFX2,United States,365000,374,374,USD,ISHCALI,2/25/2016,
12/30/2021,UNIVERSITY CALIF REVS FOR PREV,UNVHGR,US91412G5W10,91412G5W1,United States,465000,476,476,USD,ISHCALI,8/9/2012,
12/30/2021,UNIVERSITY CALIF REVS FOR PREV,UNVHGR,US91412G5X92,91412G5X9,United States,230000,236,236,USD,ISHCALI,8/9/2012,
12/30/2021,UNIVERSITY CALIF REVS FOR PREV,UNVHGR,US91412G6J99,91412G6J9,United States,335000,343,343,USD,ISHCALI,8/9/2012,
12/30/2021,UNIVERSITY CALIF REVS FOR PREV,UNVHGR,US91412G6K62,91412G6K6,United States,660000,676,676,USD,ISHCALI,8/9/2012,
12/30/2021,UNIVERSITY CALIF REVS,UNVHGR,US91412HMQ38,91412HMQ3,United States,20000,20,20,USD,ISHCALI,8/9/2012,
12/30/2021,UNIVERSITY CALIF REVS,UNVHGR,US91412HMR11,91412HMR1,United States,10000,10,10,USD,ISHCALI,8/9/2012,
12/30/2021,UNIVERSITY CALIF REVS,UNVHGR,US91412HMT76,91412HMT7,United States,15000,15,15,USD,ISHCALI,8/9/2012,
12/30/2021,SAN FRANCISCO CALIF BAY AREA R,SFOTRN,US797669YH55,797669YH5,United States,135000,142,142,USD,ISHCALI,10/4/2012,
12/30/2021,SAN FRANCISCO CALIF BAY AREA R,SFOTRN,US797669YU66,797669YU6,United States,370000,388,388,USD,ISHCALI,10/4/2012,
12/30/2021,LONG BEACH CALIF CMNTY COLLEGE,LONHGR,US542411GE77,542411GE7,United States,2120000,2223,2223,USD,ISHCALI,12/12/2012,
12/30/2021,SAN DIEGO CALIF CMNTY COLLEGE,SDGHGR,US797272LQ25,797272LQ2,United States,1070000,1122,1122,USD,ISHCALI,3/22/2012,
12/30/2021,SAN DIEGO CALIF CMNTY COLLEGE,SDGHGR,US797272LV10,797272LV1,United States,770000,808,808,USD,ISHCALI,3/22/2012,
12/30/2021,CALIFORNIA ST UNIV REV,CASHGR,US13077CXZ21,13077CXZ2,United States,200000,208,208,USD,ISHCALI,8/22/2012,
