,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,KSA SUKUK LTD MTN RegS,KSA,XS1599284202,,Saudi Arabia,52375000,57118,57118,USD,ISHEMX,4/20/2017,
12/30/2021,POWER SECTOR ASSETS AND LIABILITIE RegS,PSALM,USY7083VAD11,,Philippines,23588000,27812,27812,USD,ISHEMX,12/2/2009,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2225210256,,United Arab Emirates,22455000,22432,22432,USD,ISHEMX,9/2/2020,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2057865896,,United Arab Emirates,34684000,35683,35683,USD,ISHEMX,9/30/2019,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2125308085,,United Arab Emirates,34720000,36200,36200,USD,ISHEMX,4/16/2020,
12/30/2021,ABU DHABI (EMIRATE OF)     RegS,ADGB,XS1402929746,,United Arab Emirates,29047000,31050,31050,USD,ISHEMX,5/3/2016,
12/30/2021,ABU DHABI (EMIRATE OF)     RegS,ADGB,XS1696892295,,United Arab Emirates,46304000,49955,49955,USD,ISHEMX,10/11/2017,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2348236980,,United Arab Emirates,22485000,22221,22221,USD,ISHEMX,6/2/2021,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2057865979,,United Arab Emirates,34647000,36180,36180,USD,ISHEMX,9/30/2019,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2125308168,,United Arab Emirates,34945000,38000,38000,USD,ISHEMX,4/16/2020,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2225210413,,United Arab Emirates,17424000,17020,17020,USD,ISHEMX,9/2/2020,
12/30/2021,ABU DHABI (EMIRATE OF) MTN 144A,ADGB,US29135LAQ32,29135LAQ3,United Arab Emirates,14093000,13941,13941,USD,ISHEMX,9/15/2021,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2386638733,,United Arab Emirates,6400000,6331,6331,USD,ISHEMX,9/15/2021,
12/30/2021,ABU DHABI (EMIRATE OF)     RegS,ADGB,XS1696899035,,United Arab Emirates,32568000,39254,39254,USD,ISHEMX,10/11/2017,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2057866191,,United Arab Emirates,46117000,47227,47227,USD,ISHEMX,9/30/2019,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2125308242,,United Arab Emirates,43376000,50770,50770,USD,ISHEMX,4/16/2020,
12/30/2021,ABU DHABI (EMIRATE OF) MTN 144A,ADGB,US29135LAR15,,United Arab Emirates,11940000,12044,12044,USD,ISHEMX,9/15/2021,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2386638816,,United Arab Emirates,5150000,5195,5195,USD,ISHEMX,9/15/2021,
12/30/2021,ABU DHABI (EMIRATE OF) MTN RegS,ADGB,XS2225210330,,United Arab Emirates,17996000,16468,16468,USD,ISHEMX,9/2/2020,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863CF36,,Chile,42151000,44958,44958,USD,ISHEMX,2/6/2018,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863DP09,168863DP0,Chile,37316000,37354,37354,USD,ISHEMX,5/12/2020,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863DN50,,Chile,31699000,31920,31920,USD,ISHEMX,1/27/2020,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863DT21,168863DT2,Chile,47952000,47153,47153,USD,ISHEMX,7/27/2021,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863DS48,,Chile,57042000,56047,56047,USD,ISHEMX,5/7/2021,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863CE60,,Chile,26118000,28890,28890,USD,ISHEMX,6/21/2017,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863DL94,,Chile,48289000,50852,50852,USD,ISHEMX,6/25/2019,
12/30/2021,CHILE (REPUBLIC OF),CHILE,XS2327851874,,Chile,31795000,32997,32997,USD,ISHEMX,4/15/2021,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863DQ81,,Chile,42017000,39406,39406,USD,ISHEMX,1/22/2021,
12/30/2021,CHILE (REPUBLIC OF),CHILE,US168863DU93,168863DU9,Chile,21382000,19895,19895,USD,ISHEMX,9/21/2021,
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM RegS,CHINA,XS1891571348,,China,21049000,22065,22065,USD,ISHEMX,10/19/2018,
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM RegS,CHINA,USY15025AA02,,China,18121000,17979,17979,USD,ISHEMX,10/21/2020,
