,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,FALN,2021-12-31,WORST,2022-01-06,12063.342,21058.873,33122.215
1,FALN,2021-12-31,WORST,2022-01-10,2649.35,0.0,2649.35
2,FALN,2021-12-31,WORST,2022-01-18,95812.749,4322.411,100135.159
3,FALN,2021-12-31,WORST,2022-01-20,570.798,0.0,570.798
4,FALN,2021-12-31,WORST,2022-01-24,3917.642,0.0,3917.642
5,FALN,2021-12-31,WORST,2022-01-25,4361.513,0.0,4361.513
6,FALN,2021-12-31,WORST,2022-01-26,1602.179,0.0,1602.179
7,FALN,2021-12-31,WORST,2022-01-27,1245.359,0.0,1245.359
8,FALN,2021-12-31,WORST,2022-01-31,920.851,0.0,920.851
9,FALN,2021-12-31,WORST,2022-02-01,56569.397,0.0,56569.397
10,FALN,2021-12-31,WORST,2022-02-04,872.788,0.0,872.788
11,FALN,2021-12-31,WORST,2022-02-07,668.81,0.0,668.81
12,FALN,2021-12-31,WORST,2022-02-09,1327.99,0.0,1327.99
13,FALN,2021-12-31,WORST,2022-02-15,40611.946,598.086,41210.033
14,FALN,2021-12-31,WORST,2022-02-16,1918.025,0.0,1918.025
15,FALN,2021-12-31,WORST,2022-02-28,46.895,66.398,113.293
16,FALN,2021-12-31,WORST,2022-03-01,24130.677,0.0,24130.677
17,FALN,2021-12-31,WORST,2022-03-08,402.667,0.0,402.667
18,FALN,2021-12-31,WORST,2022-03-10,365.921,0.0,365.921
19,FALN,2021-12-31,WORST,2022-03-11,625.897,0.0,625.897
20,FALN,2021-12-31,WORST,2022-03-15,90121.711,13861.699,103983.41
21,FALN,2021-12-31,WORST,2022-03-18,1243.041,0.0,1243.041
22,FALN,2021-12-31,WORST,2022-03-21,7632.738,0.0,7632.738
23,FALN,2021-12-31,WORST,2022-03-22,1644.812,0.0,1644.812
24,FALN,2021-12-31,WORST,2022-03-30,5558.074,0.0,5558.074
25,FALN,2021-12-31,WORST,2022-03-31,4063.031,0.0,4063.031
26,FALN,2021-12-31,WORST,2022-04-01,73172.94,3132.254,76305.193
27,FALN,2021-12-31,WORST,2022-04-04,21243.644,0.0,21243.644
28,FALN,2021-12-31,WORST,2022-04-06,1296.632,0.0,1296.632
29,FALN,2021-12-31,WORST,2022-04-14,3407.76,0.0,3407.76
30,FALN,2021-12-31,WORST,2022-04-15,24307.772,0.0,24307.772
31,FALN,2021-12-31,WORST,2022-04-18,4412.007,0.0,4412.007
32,FALN,2021-12-31,WORST,2022-04-19,3810.535,0.0,3810.535
33,FALN,2021-12-31,WORST,2022-04-20,570.798,0.0,570.798
34,FALN,2021-12-31,WORST,2022-04-28,4530.661,0.0,4530.661
35,FALN,2021-12-31,WORST,2022-04-29,4794.318,0.0,4794.318
36,FALN,2021-12-31,WORST,2022-05-01,2162.787,0.0,2162.787
37,FALN,2021-12-31,WORST,2022-05-02,19786.122,4115.45,23901.573
38,FALN,2021-12-31,WORST,2022-05-03,7175.103,0.0,7175.103
39,FALN,2021-12-31,WORST,2022-05-04,451.809,0.0,451.809
40,FALN,2021-12-31,WORST,2022-05-15,125.819,11363.636,11489.455
41,FALN,2021-12-31,WORST,2022-05-16,54065.332,2765.058,56830.391
42,FALN,2021-12-31,WORST,2022-05-24,5967.252,0.0,5967.252
43,FALN,2021-12-31,WORST,2022-06-01,64210.767,242593.668,306804.435
44,FALN,2021-12-31,WORST,2022-06-03,347.305,726.199,1073.503
45,FALN,2021-12-31,WORST,2022-06-06,9386.915,0.0,9386.915
46,FALN,2021-12-31,WORST,2022-06-08,2320.307,0.0,2320.307
47,FALN,2021-12-31,WORST,2022-06-09,448.517,0.0,448.517
48,FALN,2021-12-31,WORST,2022-06-15,46890.613,930.682,47821.295
49,FALN,2021-12-31,WORST,2022-06-21,5413.538,0.0,5413.538
50,FALN,2021-12-31,WORST,2022-06-27,9325.109,0.0,9325.109
51,FALN,2021-12-31,WORST,2022-06-30,7379.287,0.0,7379.287
52,FALN,2021-12-31,WORST,2022-07-01,10179.218,0.0,10179.218
53,FALN,2021-12-31,WORST,2022-07-05,75.385,2272.016,2347.402
54,FALN,2021-12-31,WORST,2022-07-08,893.156,0.0,893.156
55,FALN,2021-12-31,WORST,2022-07-11,1756.193,0.0,1756.193
56,FALN,2021-12-31,WORST,2022-07-15,73935.19,5815.829,79751.019
57,FALN,2021-12-31,WORST,2022-07-18,8751.03,0.0,8751.03
58,FALN,2021-12-31,WORST,2022-07-20,570.798,0.0,570.798
59,FALN,2021-12-31,WORST,2022-07-25,8279.155,0.0,8279.155
60,FALN,2021-12-31,WORST,2022-07-26,1602.179,0.0,1602.179
61,FALN,2021-12-31,WORST,2022-07-27,1245.359,0.0,1245.359
62,FALN,2021-12-31,WORST,2022-08-01,57973.255,38857.656,96830.91
63,FALN,2021-12-31,WORST,2022-08-04,872.788,0.0,872.788
64,FALN,2021-12-31,WORST,2022-08-08,668.81,0.0,668.81
65,FALN,2021-12-31,WORST,2022-08-09,1327.99,0.0,1327.99
66,FALN,2021-12-31,WORST,2022-08-15,40989.617,56345.694,97335.311
67,FALN,2021-12-31,WORST,2022-08-16,1918.025,0.0,1918.025
68,FALN,2021-12-31,WORST,2022-08-31,44.609,65.083,109.692
69,FALN,2021-12-31,WORST,2022-09-01,24386.284,20448.565,44834.849
70,FALN,2021-12-31,WORST,2022-09-08,402.667,0.0,402.667
71,FALN,2021-12-31,WORST,2022-09-12,991.818,0.0,991.818
72,FALN,2021-12-31,WORST,2022-09-15,89902.033,703.804,90605.836
73,FALN,2021-12-31,WORST,2022-09-19,8875.779,0.0,8875.779
74,FALN,2021-12-31,WORST,2022-09-22,1644.812,0.0,1644.812
75,FALN,2021-12-31,WORST,2022-09-30,9621.105,5292.077,14913.182
76,FALN,2021-12-31,WORST,2022-10-03,81238.81,3068.212,84307.021
77,FALN,2021-12-31,WORST,2022-10-04,12813.098,0.0,12813.098
78,FALN,2021-12-31,WORST,2022-10-06,1296.632,0.0,1296.632
79,FALN,2021-12-31,WORST,2022-10-14,3407.76,0.0,3407.76
80,FALN,2021-12-31,WORST,2022-10-17,28719.778,0.0,28719.778
81,FALN,2021-12-31,WORST,2022-10-19,3810.535,0.0,3810.535
82,FALN,2021-12-31,WORST,2022-10-20,570.798,0.0,570.798
83,FALN,2021-12-31,WORST,2022-10-28,4530.661,0.0,4530.661
84,FALN,2021-12-31,WORST,2022-10-31,4794.318,0.0,4794.318
85,FALN,2021-12-31,WORST,2022-11-01,24640.891,4109.387,28750.278
86,FALN,2021-12-31,WORST,2022-11-02,483.834,0.0,483.834
87,FALN,2021-12-31,WORST,2022-11-03,2958.397,0.0,2958.397
88,FALN,2021-12-31,WORST,2022-11-04,451.809,0.0,451.809
89,FALN,2021-12-31,WORST,2022-11-14,6431.785,0.0,6431.785
90,FALN,2021-12-31,WORST,2022-11-15,47384.625,168309.781,215694.406
91,FALN,2021-12-31,WORST,2022-11-25,5967.252,0.0,5967.252
92,FALN,2021-12-31,WORST,2022-12-01,55742.415,114168.66,169911.075
93,FALN,2021-12-31,WORST,2022-12-05,9717.426,682.202,10399.628
94,FALN,2021-12-31,WORST,2022-12-08,2320.307,0.0,2320.307
95,FALN,2021-12-31,WORST,2022-12-09,448.517,0.0,448.517
96,FALN,2021-12-31,WORST,2022-12-15,50463.925,502001.256,552465.181
97,FALN,2021-12-31,WORST,2022-12-19,5413.538,0.0,5413.538
98,FALN,2021-12-31,WORST,2022-12-27,9325.109,0.0,9325.109
99,FALN,2021-12-31,WORST,2022-12-30,7379.287,0.0,7379.287
100,FALN,2021-12-31,WORST,2023-01-03,10179.218,0.0,10179.218
101,FALN,2021-12-31,WORST,2023-01-09,2649.35,45005.981,47655.331
102,FALN,2021-12-31,WORST,2023-01-15,790.718,56459.33,57250.048
103,FALN,2021-12-31,WORST,2023-01-17,75945.718,29812.429,105758.147
104,FALN,2021-12-31,WORST,2023-01-18,6616.507,0.0,6616.507
105,FALN,2021-12-31,WORST,2023-01-20,570.798,0.0,570.798
106,FALN,2021-12-31,WORST,2023-01-23,3917.642,0.0,3917.642
107,FALN,2021-12-31,WORST,2023-01-25,4361.513,158600.478,162961.992
108,FALN,2021-12-31,WORST,2023-01-26,1602.179,0.0,1602.179
109,FALN,2021-12-31,WORST,2023-01-27,1245.359,0.0,1245.359
110,FALN,2021-12-31,WORST,2023-01-30,920.851,0.0,920.851
111,FALN,2021-12-31,WORST,2023-02-01,59404.986,196662.679,256067.665
112,FALN,2021-12-31,WORST,2023-02-06,1541.598,0.0,1541.598
113,FALN,2021-12-31,WORST,2023-02-09,1327.99,0.0,1327.99
114,FALN,2021-12-31,WORST,2023-02-15,41425.29,163929.426,205354.716
115,FALN,2021-12-31,WORST,2023-02-16,1918.025,0.0,1918.025
116,FALN,2021-12-31,WORST,2023-02-28,42.369,71.798,114.166
117,FALN,2021-12-31,WORST,2023-03-01,24028.847,167535.885,191564.733
118,FALN,2021-12-31,WORST,2023-03-08,402.667,0.0,402.667
119,FALN,2021-12-31,WORST,2023-03-10,365.921,0.0,365.921
120,FALN,2021-12-31,WORST,2023-03-13,625.897,0.0,625.897
121,FALN,2021-12-31,WORST,2023-03-15,79114.368,203992.658,283107.026
122,FALN,2021-12-31,WORST,2023-03-19,1475.947,93217.703,94693.65
123,FALN,2021-12-31,WORST,2023-03-20,8875.779,0.0,8875.779
124,FALN,2021-12-31,WORST,2023-03-22,1644.812,0.0,1644.812
125,FALN,2021-12-31,WORST,2023-03-30,5558.074,0.0,5558.074
126,FALN,2021-12-31,WORST,2023-03-31,3910.884,2347.677,6258.56
127,FALN,2021-12-31,WORST,2023-04-01,4486.083,86543.062,91029.146
128,FALN,2021-12-31,WORST,2023-04-03,76904.635,3004.169,79908.804
129,FALN,2021-12-31,WORST,2023-04-04,12813.098,0.0,12813.098
130,FALN,2021-12-31,WORST,2023-04-06,1296.632,0.0,1296.632
131,FALN,2021-12-31,WORST,2023-04-14,3407.76,0.0,3407.76
132,FALN,2021-12-31,WORST,2023-04-17,28046.931,0.0,28046.931
133,FALN,2021-12-31,WORST,2023-04-19,2039.399,0.0,2039.399
134,FALN,2021-12-31,WORST,2023-04-20,570.798,0.0,570.798
135,FALN,2021-12-31,WORST,2023-04-28,4530.661,0.0,4530.661
136,FALN,2021-12-31,WORST,2023-05-01,25149.158,4115.167,29264.325
137,FALN,2021-12-31,WORST,2023-05-02,4700.539,0.0,4700.539
138,FALN,2021-12-31,WORST,2023-05-03,2958.397,0.0,2958.397
139,FALN,2021-12-31,WORST,2023-05-04,451.809,29186.603,29638.411
140,FALN,2021-12-31,WORST,2023-05-15,51976.525,103437.759,155414.284
141,FALN,2021-12-31,WORST,2023-05-24,5967.252,277805.024,283772.276
142,FALN,2021-12-31,WORST,2023-06-01,54864.864,138474.88,193339.745
143,FALN,2021-12-31,WORST,2023-06-05,9386.915,0.0,9386.915
144,FALN,2021-12-31,WORST,2023-06-06,314.735,682.201,996.937
145,FALN,2021-12-31,WORST,2023-06-08,2320.307,0.0,2320.307
146,FALN,2021-12-31,WORST,2023-06-09,448.517,0.0,448.517
147,FALN,2021-12-31,WORST,2023-06-15,45020.909,243251.256,288272.165
148,FALN,2021-12-31,WORST,2023-06-19,5413.538,0.0,5413.538
149,FALN,2021-12-31,WORST,2023-06-26,9325.109,0.0,9325.109
150,FALN,2021-12-31,WORST,2023-06-30,7379.287,0.0,7379.287
151,FALN,2021-12-31,WORST,2023-07-01,462.891,26931.818,27394.709
