,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,FIBR,2021-12-31,WORST,2022-01-06,23957.065,-24932470.774,-24908513.709
1,FIBR,2021-12-31,WORST,2022-01-10,5230.435,0.0,5230.435
2,FIBR,2021-12-31,WORST,2022-01-11,3433.391,0.0,3433.391
3,FIBR,2021-12-31,WORST,2022-01-15,5406.667,140339.204,145745.871
4,FIBR,2021-12-31,WORST,2022-01-18,79740.697,0.0,79740.697
5,FIBR,2021-12-31,WORST,2022-01-19,1071.32,0.0,1071.32
6,FIBR,2021-12-31,WORST,2022-01-20,21018.907,223722.42,244741.321
7,FIBR,2021-12-31,WORST,2022-01-21,9894.935,0.0,9894.935
8,FIBR,2021-12-31,WORST,2022-01-24,6988.043,0.0,6988.043
9,FIBR,2021-12-31,WORST,2022-01-25,61686.091,436957.197,498643.292
10,FIBR,2021-12-31,WORST,2022-01-26,2008.696,0.0,2008.696
11,FIBR,2021-12-31,WORST,2022-01-27,4524.457,0.0,4524.457
12,FIBR,2021-12-31,WORST,2022-01-28,1663.043,0.0,1663.043
13,FIBR,2021-12-31,WORST,2022-01-30,6648.832,560396.617,567045.449
14,FIBR,2021-12-31,WORST,2022-01-31,8421.432,0.0,8421.432
15,FIBR,2021-12-31,WORST,2022-02-01,51748.707,0.0,51748.707
16,FIBR,2021-12-31,WORST,2022-02-02,743.478,0.0,743.478
17,FIBR,2021-12-31,WORST,2022-02-04,1050.261,0.0,1050.261
18,FIBR,2021-12-31,WORST,2022-02-07,1504.348,0.0,1504.348
19,FIBR,2021-12-31,WORST,2022-02-09,565.217,0.0,565.217
20,FIBR,2021-12-31,WORST,2022-02-10,7134.783,104347.826,111482.609
21,FIBR,2021-12-31,WORST,2022-02-14,6247.717,0.0,6247.717
22,FIBR,2021-12-31,WORST,2022-02-15,73121.539,99476.985,172598.527
23,FIBR,2021-12-31,WORST,2022-02-17,283.478,0.0,283.478
24,FIBR,2021-12-31,WORST,2022-02-20,36607.878,233051.845,269659.716
25,FIBR,2021-12-31,WORST,2022-02-22,508.696,0.0,508.696
26,FIBR,2021-12-31,WORST,2022-02-23,1980.0,0.0,1980.0
27,FIBR,2021-12-31,WORST,2022-02-24,1206.522,0.0,1206.522
28,FIBR,2021-12-31,WORST,2022-02-25,121995.469,621579.671,743575.111
29,FIBR,2021-12-31,WORST,2022-03-01,37175.198,224347.826,261523.024
30,FIBR,2021-12-31,WORST,2022-03-02,1050.0,0.0,1050.0
31,FIBR,2021-12-31,WORST,2022-03-03,440.217,0.0,440.217
32,FIBR,2021-12-31,WORST,2022-03-08,4125.983,0.0,4125.983
33,FIBR,2021-12-31,WORST,2022-03-09,4675.348,0.0,4675.348
34,FIBR,2021-12-31,WORST,2022-03-10,3369.565,0.0,3369.565
35,FIBR,2021-12-31,WORST,2022-03-11,1152.609,0.0,1152.609
36,FIBR,2021-12-31,WORST,2022-03-14,16102.174,91685.217,107787.391
37,FIBR,2021-12-31,WORST,2022-03-15,103064.733,621715.41,724780.147
38,FIBR,2021-12-31,WORST,2022-03-20,35952.163,220277.408,256229.578
39,FIBR,2021-12-31,WORST,2022-03-21,1321.739,0.0,1321.739
40,FIBR,2021-12-31,WORST,2022-03-22,1206.522,0.0,1206.522
41,FIBR,2021-12-31,WORST,2022-03-24,339.674,0.0,339.674
42,FIBR,2021-12-31,WORST,2022-03-25,122695.443,606341.906,729037.382
43,FIBR,2021-12-31,WORST,2022-03-28,2973.913,0.0,2973.913
44,FIBR,2021-12-31,WORST,2022-03-29,1636.0,0.0,1636.0
45,FIBR,2021-12-31,WORST,2022-03-30,4744.565,72434.783,77179.348
46,FIBR,2021-12-31,WORST,2022-03-31,6521.739,0.0,6521.739
47,FIBR,2021-12-31,WORST,2022-04-01,42003.806,230747.739,272751.545
48,FIBR,2021-12-31,WORST,2022-04-04,2079.348,0.0,2079.348
49,FIBR,2021-12-31,WORST,2022-04-06,1300.0,0.0,1300.0
50,FIBR,2021-12-31,WORST,2022-04-07,228.261,0.0,228.261
51,FIBR,2021-12-31,WORST,2022-04-12,1506.522,0.0,1506.522
52,FIBR,2021-12-31,WORST,2022-04-13,2566.957,0.0,2566.957
53,FIBR,2021-12-31,WORST,2022-04-15,71489.16,507262.802,578751.961
54,FIBR,2021-12-31,WORST,2022-04-19,4021.739,0.0,4021.739
55,FIBR,2021-12-31,WORST,2022-04-20,36007.249,246022.854,282030.067
56,FIBR,2021-12-31,WORST,2022-04-21,732.522,0.0,732.522
