,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,FLOT,2021-12-31,WORST,2022-01-06,2480.967,2841226.561,2843707.527
1,FLOT,2021-12-31,WORST,2022-01-07,241.332,0.0,241.332
2,FLOT,2021-12-31,WORST,2022-01-10,1096.795,78423.645,79520.44
3,FLOT,2021-12-31,WORST,2022-01-11,1295.292,0.0,1295.292
4,FLOT,2021-12-31,WORST,2022-01-12,1169.979,0.0,1169.979
5,FLOT,2021-12-31,WORST,2022-01-13,507.591,0.0,507.591
6,FLOT,2021-12-31,WORST,2022-01-14,277.562,0.0,277.562
7,FLOT,2021-12-31,WORST,2022-01-15,5.424,7297.678,7303.102
8,FLOT,2021-12-31,WORST,2022-01-18,3611.863,0.0,3611.863
9,FLOT,2021-12-31,WORST,2022-01-19,491.738,0.0,491.738
10,FLOT,2021-12-31,WORST,2022-01-20,1670.135,693462.35,695132.486
11,FLOT,2021-12-31,WORST,2022-01-21,1283.025,0.0,1283.025
12,FLOT,2021-12-31,WORST,2022-01-24,6618.091,0.0,6618.091
13,FLOT,2021-12-31,WORST,2022-01-25,1912.343,0.0,1912.343
14,FLOT,2021-12-31,WORST,2022-01-26,825.273,0.0,825.273
15,FLOT,2021-12-31,WORST,2022-01-27,778.488,0.0,778.488
16,FLOT,2021-12-31,WORST,2022-01-30,725.409,546509.5,547234.909
17,FLOT,2021-12-31,WORST,2022-01-31,2624.009,0.0,2624.009
18,FLOT,2021-12-31,WORST,2022-02-01,1916.762,287002.111,288918.873
19,FLOT,2021-12-31,WORST,2022-02-02,267.771,0.0,267.771
20,FLOT,2021-12-31,WORST,2022-02-03,392.659,77192.118,77584.778
21,FLOT,2021-12-31,WORST,2022-02-04,585.442,0.0,585.442
22,FLOT,2021-12-31,WORST,2022-02-07,1088.788,54152.006,55240.794
23,FLOT,2021-12-31,WORST,2022-02-08,1209.307,0.0,1209.307
24,FLOT,2021-12-31,WORST,2022-02-09,718.569,185144.265,185862.833
25,FLOT,2021-12-31,WORST,2022-02-10,672.606,0.0,672.606
26,FLOT,2021-12-31,WORST,2022-02-11,1011.767,0.0,1011.767
27,FLOT,2021-12-31,WORST,2022-02-14,2034.785,79169.599,81204.383
28,FLOT,2021-12-31,WORST,2022-02-15,6093.33,487227.305,493320.634
29,FLOT,2021-12-31,WORST,2022-02-16,2003.837,0.0,2003.837
30,FLOT,2021-12-31,WORST,2022-02-17,2045.17,0.0,2045.17
31,FLOT,2021-12-31,WORST,2022-02-18,1309.225,114215.341,115524.566
32,FLOT,2021-12-31,WORST,2022-02-22,3370.7,324546.094,327916.794
33,FLOT,2021-12-31,WORST,2022-02-23,2617.545,0.0,2617.545
34,FLOT,2021-12-31,WORST,2022-02-24,811.402,153849.402,154660.804
35,FLOT,2021-12-31,WORST,2022-02-25,1340.279,101688.951,103029.23
36,FLOT,2021-12-31,WORST,2022-02-28,4453.736,394144.968,398598.705
37,FLOT,2021-12-31,WORST,2022-03-01,2786.647,89064.039,91850.687
38,FLOT,2021-12-31,WORST,2022-03-02,1084.211,0.0,1084.211
39,FLOT,2021-12-31,WORST,2022-03-03,354.163,134778.325,135132.488
40,FLOT,2021-12-31,WORST,2022-03-04,499.096,189831.105,190330.201
41,FLOT,2021-12-31,WORST,2022-03-07,2952.533,199394.792,202347.325
42,FLOT,2021-12-31,WORST,2022-03-08,1254.208,91083.744,92337.952
43,FLOT,2021-12-31,WORST,2022-03-09,509.01,0.0,509.01
44,FLOT,2021-12-31,WORST,2022-03-10,1577.213,79908.515,81485.728
45,FLOT,2021-12-31,WORST,2022-03-11,1669.22,139824.068,141493.287
46,FLOT,2021-12-31,WORST,2022-03-14,4539.483,65700.211,70239.694
