,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,GHYG,2021-12-31,WORST,2022-01-06,31855.71,401755.117,433610.827
1,GHYG,2021-12-31,WORST,2022-01-10,3731.388,29357.143,33088.531
2,GHYG,2021-12-31,WORST,2022-01-11,203.071,0.0,203.071
3,GHYG,2021-12-31,WORST,2022-01-14,2820.054,0.0,2820.054
4,GHYG,2021-12-31,WORST,2022-01-15,276.508,18571.429,18847.937
5,GHYG,2021-12-31,WORST,2022-01-17,30674.335,0.0,30674.335
6,GHYG,2021-12-31,WORST,2022-01-18,103627.794,45607.143,149234.937
7,GHYG,2021-12-31,WORST,2022-01-19,1177.814,0.0,1177.814
8,GHYG,2021-12-31,WORST,2022-01-20,3181.25,0.0,3181.25
9,GHYG,2021-12-31,WORST,2022-01-21,500.0,0.0,500.0
10,GHYG,2021-12-31,WORST,2022-01-24,5486.079,0.0,5486.079
11,GHYG,2021-12-31,WORST,2022-01-25,785.714,0.0,785.714
12,GHYG,2021-12-31,WORST,2022-01-28,1502.729,0.0,1502.729
13,GHYG,2021-12-31,WORST,2022-01-30,10410.09,737343.327,747753.417
14,GHYG,2021-12-31,WORST,2022-01-31,19199.808,22337.857,41537.665
15,GHYG,2021-12-31,WORST,2022-02-01,71124.614,209233.357,280357.971
16,GHYG,2021-12-31,WORST,2022-02-03,527.986,0.0,527.986
17,GHYG,2021-12-31,WORST,2022-02-04,974.743,0.0,974.743
18,GHYG,2021-12-31,WORST,2022-02-07,4159.96,0.0,4159.96
19,GHYG,2021-12-31,WORST,2022-02-10,675.0,0.0,675.0
20,GHYG,2021-12-31,WORST,2022-02-11,934.129,0.0,934.129
21,GHYG,2021-12-31,WORST,2022-02-14,2811.883,33547.4,36359.283
22,GHYG,2021-12-31,WORST,2022-02-15,99798.92,330111.621,429910.541
23,GHYG,2021-12-31,WORST,2022-02-16,1192.436,0.0,1192.436
24,GHYG,2021-12-31,WORST,2022-02-17,2875.979,0.0,2875.979
25,GHYG,2021-12-31,WORST,2022-02-18,852.9,0.0,852.9
26,GHYG,2021-12-31,WORST,2022-02-22,1797.125,0.0,1797.125
27,GHYG,2021-12-31,WORST,2022-02-23,1299.657,0.0,1299.657
28,GHYG,2021-12-31,WORST,2022-02-28,3919.05,0.0,3919.05
29,GHYG,2021-12-31,WORST,2022-03-01,60041.762,227679.771,287721.533
30,GHYG,2021-12-31,WORST,2022-03-04,2257.086,0.0,2257.086
