,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,GOVZ,2021-12-31,WORST,2022-01-06,0.0,10357.688,10357.688
1,GOVZ,2021-12-31,WORST,2046-05-15,0.0,317287.749,317287.749
2,GOVZ,2021-12-31,WORST,2046-11-15,0.0,339487.179,339487.179
3,GOVZ,2021-12-31,WORST,2047-02-15,0.0,176695.157,176695.157
4,GOVZ,2021-12-31,WORST,2047-08-15,0.0,3214871.795,3214871.795
5,GOVZ,2021-12-31,WORST,2047-11-15,0.0,4696980.057,4696980.057
6,GOVZ,2021-12-31,WORST,2048-02-18,0.0,5698.006,5698.006
7,GOVZ,2021-12-31,WORST,2048-05-15,0.0,5698.006,5698.006
8,GOVZ,2021-12-31,WORST,2048-08-17,0.0,5698.006,5698.006
9,GOVZ,2021-12-31,WORST,2048-11-16,0.0,4374415.954,4374415.954
10,GOVZ,2021-12-31,WORST,2049-02-16,0.0,4441595.442,4441595.442
11,GOVZ,2021-12-31,WORST,2049-05-17,0.0,378005.698,378005.698
12,GOVZ,2021-12-31,WORST,2049-08-16,0.0,4722393.162,4722393.162
13,GOVZ,2021-12-31,WORST,2049-11-15,0.0,1521538.462,1521538.462
14,GOVZ,2021-12-31,WORST,2050-02-15,0.0,1376182.336,1376182.336
15,GOVZ,2021-12-31,WORST,2050-05-16,0.0,5698.006,5698.006
16,GOVZ,2021-12-31,WORST,2050-08-15,0.0,1523646.724,1523646.724
17,GOVZ,2021-12-31,WORST,2050-11-15,0.0,7142877.493,7142877.493
18,GOVZ,2021-12-31,WORST,2051-02-15,0.0,3290940.171,3290940.171
19,GOVZ,2021-12-31,MATURITY,2022-01-06,0.0,10357.688,10357.688
20,GOVZ,2021-12-31,MATURITY,2046-05-15,0.0,317287.749,317287.749
21,GOVZ,2021-12-31,MATURITY,2046-11-15,0.0,339487.179,339487.179
22,GOVZ,2021-12-31,MATURITY,2047-02-15,0.0,176695.157,176695.157
23,GOVZ,2021-12-31,MATURITY,2047-08-15,0.0,3214871.795,3214871.795
24,GOVZ,2021-12-31,MATURITY,2047-11-15,0.0,4696980.057,4696980.057
25,GOVZ,2021-12-31,MATURITY,2048-02-18,0.0,5698.006,5698.006
26,GOVZ,2021-12-31,MATURITY,2048-05-15,0.0,5698.006,5698.006
27,GOVZ,2021-12-31,MATURITY,2048-08-17,0.0,5698.006,5698.006
28,GOVZ,2021-12-31,MATURITY,2048-11-16,0.0,4374415.954,4374415.954
29,GOVZ,2021-12-31,MATURITY,2049-02-16,0.0,4441595.442,4441595.442
30,GOVZ,2021-12-31,MATURITY,2049-05-17,0.0,378005.698,378005.698
31,GOVZ,2021-12-31,MATURITY,2049-08-16,0.0,4722393.162,4722393.162
32,GOVZ,2021-12-31,MATURITY,2049-11-15,0.0,1521538.462,1521538.462
33,GOVZ,2021-12-31,MATURITY,2050-02-15,0.0,1376182.336,1376182.336
34,GOVZ,2021-12-31,MATURITY,2050-05-16,0.0,5698.006,5698.006
35,GOVZ,2021-12-31,MATURITY,2050-08-15,0.0,1523646.724,1523646.724
36,GOVZ,2021-12-31,MATURITY,2050-11-15,0.0,7142877.493,7142877.493
37,GOVZ,2021-12-31,MATURITY,2051-02-15,0.0,3290940.171,3290940.171
