,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803ET65,912803ET6,United States,25568400,15712,15712,USD,ISHGOVZ,5/16/2016,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803EV12,912803EV1,United States,5958000,3641,3641,USD,ISHGOVZ,11/15/2016,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803EW94,912803EW9,United States,3101000,1889,1889,USD,ISHGOVZ,2/15/2017,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803EZ26,912803EZ2,United States,56421000,34097,34097,USD,ISHGOVZ,8/15/2017,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FA65,912803FA6,United States,82432000,49545,49545,USD,ISHGOVZ,11/15/2017,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FB49,912803FB4,United States,100000,60,60,USD,ISHGOVZ,2/15/2018,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FD05,912803FD0,United States,100000,60,60,USD,ISHGOVZ,5/15/2018,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FE87,912803FE8,United States,100000,60,60,USD,ISHGOVZ,8/15/2018,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FF52,912803FF5,United States,76771000,45897,45897,USD,ISHGOVZ,11/15/2018,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FG36,912803FG3,United States,77950000,46242,46242,USD,ISHGOVZ,2/15/2019,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FJ74,912803FJ7,United States,6634000,3918,3918,USD,ISHGOVZ,5/15/2019,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FK48,912803FK4,United States,82878000,48596,48596,USD,ISHGOVZ,8/15/2019,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FL21,912803FL2,United States,26703000,15597,15597,USD,ISHGOVZ,11/15/2019,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FM04,912803FM0,United States,24152000,13990,13990,USD,ISHGOVZ,2/18/2020,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FP35,912803FP3,United States,100000,57,57,USD,ISHGOVZ,5/15/2020,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FR90,912803FR9,United States,26740000,15293,15293,USD,ISHGOVZ,8/17/2020,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FT56,912803FT5,United States,107157500,61017,61017,USD,ISHGOVZ,11/16/2020,
12/30/2021,TREASURY STRIP (PRIN),TSTRIP,US912803FV03,912803FV0,United States,54756000,31177,31177,USD,ISHGOVZ,2/16/2021,
12/30/2021,USD CASH,USD,,,United States,-934564,-935,-935,USD,ISHGOVZ,1/1/1989,
12/30/2021,BLK CSH FND TREASURY SL AGENCY,XTSLA,US0669224778,066922477,United States,960000,960,960,USD,ISHGOVZ,2/4/2009,
