,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,HYBB,2021-12-31,WORST,2022-01-06,30277.047,331298.737,361575.784
1,HYBB,2021-12-31,WORST,2022-01-07,764.803,0.0,764.803
2,HYBB,2021-12-31,WORST,2022-01-10,2359.298,67598.684,69957.982
3,HYBB,2021-12-31,WORST,2022-01-14,1471.974,0.0,1471.974
4,HYBB,2021-12-31,WORST,2022-01-15,259.32,40534.737,40794.057
5,HYBB,2021-12-31,WORST,2022-01-18,140535.913,136914.558,277450.471
6,HYBB,2021-12-31,WORST,2022-01-20,6362.632,0.0,6362.632
7,HYBB,2021-12-31,WORST,2022-01-24,4805.921,0.0,4805.921
8,HYBB,2021-12-31,WORST,2022-01-25,1809.211,0.0,1809.211
9,HYBB,2021-12-31,WORST,2022-01-26,1447.368,0.0,1447.368
10,HYBB,2021-12-31,WORST,2022-01-27,631.579,0.0,631.579
11,HYBB,2021-12-31,WORST,2022-01-30,4209.574,399516.042,403725.617
12,HYBB,2021-12-31,WORST,2022-01-31,18134.525,0.0,18134.525
13,HYBB,2021-12-31,WORST,2022-02-01,86528.373,107220.526,193748.899
14,HYBB,2021-12-31,WORST,2022-02-07,1174.013,0.0,1174.013
15,HYBB,2021-12-31,WORST,2022-02-09,1026.316,0.0,1026.316
16,HYBB,2021-12-31,WORST,2022-02-14,513.158,0.0,513.158
17,HYBB,2021-12-31,WORST,2022-02-15,122064.948,265096.7,387161.648
18,HYBB,2021-12-31,WORST,2022-02-16,1731.908,0.0,1731.908
19,HYBB,2021-12-31,WORST,2022-02-17,814.145,0.0,814.145
20,HYBB,2021-12-31,WORST,2022-02-22,1159.539,0.0,1159.539
21,HYBB,2021-12-31,WORST,2022-02-28,3191.842,0.0,3191.842
22,HYBB,2021-12-31,WORST,2022-03-01,82316.95,80863.421,163180.371
23,HYBB,2021-12-31,WORST,2022-03-04,641.447,0.0,641.447
24,HYBB,2021-12-31,WORST,2022-03-08,1928.421,0.0,1928.421
25,HYBB,2021-12-31,WORST,2022-03-09,1738.487,0.0,1738.487
26,HYBB,2021-12-31,WORST,2022-03-10,198.947,0.0,198.947
27,HYBB,2021-12-31,WORST,2022-03-14,2332.237,44394.947,46727.184
28,HYBB,2021-12-31,WORST,2022-03-15,118273.163,186862.289,305135.452
29,HYBB,2021-12-31,WORST,2022-03-21,2138.158,0.0,2138.158
30,HYBB,2021-12-31,WORST,2022-03-22,322.368,0.0,322.368
31,HYBB,2021-12-31,WORST,2022-03-24,674.342,0.0,674.342
32,HYBB,2021-12-31,WORST,2022-03-25,4678.618,0.0,4678.618
33,HYBB,2021-12-31,WORST,2022-03-28,2026.316,0.0,2026.316
34,HYBB,2021-12-31,WORST,2022-03-30,4917.434,0.0,4917.434
35,HYBB,2021-12-31,WORST,2022-03-31,6062.418,131.579,6193.997
36,HYBB,2021-12-31,WORST,2022-04-01,69331.941,104032.921,173364.862
37,HYBB,2021-12-31,WORST,2022-04-04,7208.947,0.0,7208.947
38,HYBB,2021-12-31,WORST,2022-04-06,2434.211,0.0,2434.211
39,HYBB,2021-12-31,WORST,2022-04-07,855.263,0.0,855.263
40,HYBB,2021-12-31,WORST,2022-04-08,151.316,0.0,151.316
41,HYBB,2021-12-31,WORST,2022-04-11,1700.658,0.0,1700.658
42,HYBB,2021-12-31,WORST,2022-04-14,953.947,0.0,953.947
43,HYBB,2021-12-31,WORST,2022-04-15,76009.777,427604.395,503614.172
44,HYBB,2021-12-31,WORST,2022-04-18,2598.684,0.0,2598.684
45,HYBB,2021-12-31,WORST,2022-04-19,4957.237,0.0,4957.237
46,HYBB,2021-12-31,WORST,2022-04-20,6362.632,0.0,6362.632
47,HYBB,2021-12-31,WORST,2022-04-25,1159.539,0.0,1159.539
48,HYBB,2021-12-31,WORST,2022-04-28,2342.105,0.0,2342.105
49,HYBB,2021-12-31,WORST,2022-04-29,2280.921,0.0,2280.921
50,HYBB,2021-12-31,WORST,2022-05-01,935.307,53103.053,54038.359
51,HYBB,2021-12-31,WORST,2022-05-02,57631.442,404059.579,461691.021
52,HYBB,2021-12-31,WORST,2022-05-03,1769.868,0.0,1769.868
53,HYBB,2021-12-31,WORST,2022-05-04,203.684,0.0,203.684
54,HYBB,2021-12-31,WORST,2022-05-13,3350.329,0.0,3350.329
55,HYBB,2021-12-31,WORST,2022-05-15,904.605,67598.684,68503.289
56,HYBB,2021-12-31,WORST,2022-05-16,93193.949,463474.663,556668.612
57,HYBB,2021-12-31,WORST,2022-05-20,5141.447,0.0,5141.447
58,HYBB,2021-12-31,WORST,2022-05-23,2039.803,0.0,2039.803
59,HYBB,2021-12-31,WORST,2022-05-24,2034.947,0.0,2034.947
60,HYBB,2021-12-31,WORST,2022-05-31,2442.171,0.0,2442.171
61,HYBB,2021-12-31,WORST,2022-06-01,76433.818,390984.605,467418.423
62,HYBB,2021-12-31,WORST,2022-06-06,7258.053,0.0,7258.053
63,HYBB,2021-12-31,WORST,2022-06-08,1807.553,0.0,1807.553
64,HYBB,2021-12-31,WORST,2022-06-13,690.789,0.0,690.789
65,HYBB,2021-12-31,WORST,2022-06-15,83396.071,194211.079,277607.15
66,HYBB,2021-12-31,WORST,2022-06-16,1011.513,0.0,1011.513
67,HYBB,2021-12-31,WORST,2022-06-17,238.487,0.0,238.487
68,HYBB,2021-12-31,WORST,2022-06-18,613.292,27039.474,27652.765
69,HYBB,2021-12-31,WORST,2022-06-21,2444.934,0.0,2444.934
