,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,HYDB,2021-12-31,WORST,2022-01-06,69865.754,906562.962,976428.715
1,HYDB,2021-12-31,WORST,2022-01-10,4103.652,213945.205,218048.858
2,HYDB,2021-12-31,WORST,2022-01-15,1286.89,201155.945,202442.836
3,HYDB,2021-12-31,WORST,2022-01-18,151151.38,0.0,151151.38
4,HYDB,2021-12-31,WORST,2022-01-26,4143.836,0.0,4143.836
5,HYDB,2021-12-31,WORST,2022-01-30,14147.565,920674.521,934822.086
6,HYDB,2021-12-31,WORST,2022-01-31,22462.329,0.0,22462.329
7,HYDB,2021-12-31,WORST,2022-02-01,118293.572,375770.548,494064.12
8,HYDB,2021-12-31,WORST,2022-02-15,103904.887,259154.507,363059.394
9,HYDB,2021-12-31,WORST,2022-02-22,925.514,0.0,925.514
10,HYDB,2021-12-31,WORST,2022-02-28,988.87,0.0,988.87
11,HYDB,2021-12-31,WORST,2022-03-01,90545.311,370631.849,461177.16
12,HYDB,2021-12-31,WORST,2022-03-15,183161.695,767296.671,950458.366
13,HYDB,2021-12-31,WORST,2022-03-18,1506.849,0.0,1506.849
14,HYDB,2021-12-31,WORST,2022-03-28,12313.356,0.0,12313.356
15,HYDB,2021-12-31,WORST,2022-03-29,2979.452,0.0,2979.452
16,HYDB,2021-12-31,WORST,2022-03-30,6518.836,0.0,6518.836
17,HYDB,2021-12-31,WORST,2022-03-31,2938.356,0.0,2938.356
18,HYDB,2021-12-31,WORST,2022-04-01,133105.736,901390.164,1034495.901
19,HYDB,2021-12-31,WORST,2022-04-08,117.2,78356.164,78473.364
20,HYDB,2021-12-31,WORST,2022-04-14,4897.26,0.0,4897.26
21,HYDB,2021-12-31,WORST,2022-04-15,103356.47,1011732.877,1115089.346
22,HYDB,2021-12-31,WORST,2022-04-18,5695.034,0.0,5695.034
23,HYDB,2021-12-31,WORST,2022-04-19,3789.212,0.0,3789.212
24,HYDB,2021-12-31,WORST,2022-04-22,9648.116,0.0,9648.116
25,HYDB,2021-12-31,WORST,2022-05-02,95501.428,766964.871,862466.299
26,HYDB,2021-12-31,WORST,2022-05-03,4380.993,0.0,4380.993
27,HYDB,2021-12-31,WORST,2022-05-16,101868.674,998327.671,1100196.345
28,HYDB,2021-12-31,WORST,2022-05-20,10128.596,0.0,10128.596
29,HYDB,2021-12-31,WORST,2022-05-31,13715.753,0.0,13715.753
30,HYDB,2021-12-31,WORST,2022-06-01,96101.043,667034.123,763135.167
31,HYDB,2021-12-31,WORST,2022-06-07,4458.118,214071.847,218529.965
32,HYDB,2021-12-31,WORST,2022-06-08,5617.158,0.0,5617.158
33,HYDB,2021-12-31,WORST,2022-06-13,9373.288,0.0,9373.288
34,HYDB,2021-12-31,WORST,2022-06-15,89193.493,686607.26,775800.753
35,HYDB,2021-12-31,WORST,2022-06-27,3436.301,0.0,3436.301
36,HYDB,2021-12-31,WORST,2022-07-01,69153.425,560351.027,629504.452
37,HYDB,2021-12-31,WORST,2022-07-15,142309.589,494833.37,637142.959
38,HYDB,2021-12-31,WORST,2022-07-26,4143.836,0.0,4143.836
39,HYDB,2021-12-31,WORST,2022-08-01,129300.137,312452.055,441752.192
40,HYDB,2021-12-31,WORST,2022-08-15,94495.548,173016.592,267512.14
41,HYDB,2021-12-31,WORST,2022-08-22,925.514,0.0,925.514
42,HYDB,2021-12-31,WORST,2022-08-31,941.781,0.0,941.781
43,HYDB,2021-12-31,WORST,2022-09-01,82800.41,164474.301,247274.711
44,HYDB,2021-12-31,WORST,2022-09-15,157703.048,760299.658,918002.705
45,HYDB,2021-12-31,WORST,2022-09-19,1506.849,0.0,1506.849
46,HYDB,2021-12-31,WORST,2022-09-27,12313.356,0.0,12313.356
47,HYDB,2021-12-31,WORST,2022-09-29,2979.452,0.0,2979.452
48,HYDB,2021-12-31,WORST,2022-09-30,9457.192,228437.753,237894.945
49,HYDB,2021-12-31,WORST,2022-10-03,96653.596,179794.521,276448.116
50,HYDB,2021-12-31,WORST,2022-10-14,4897.26,0.0,4897.26
51,HYDB,2021-12-31,WORST,2022-10-17,71927.226,281713.989,353641.215
52,HYDB,2021-12-31,WORST,2022-10-19,3789.212,0.0,3789.212
53,HYDB,2021-12-31,WORST,2022-10-24,9648.116,0.0,9648.116
54,HYDB,2021-12-31,WORST,2022-11-01,70383.733,149604.488,219988.221
55,HYDB,2021-12-31,WORST,2022-11-14,369.863,0.0,369.863
56,HYDB,2021-12-31,WORST,2022-11-15,70489.298,176712.329,247201.627
57,HYDB,2021-12-31,WORST,2022-11-16,1232.877,0.0,1232.877
58,HYDB,2021-12-31,WORST,2022-11-21,10128.596,0.0,10128.596
59,HYDB,2021-12-31,WORST,2022-11-30,13715.753,0.0,13715.753
60,HYDB,2021-12-31,WORST,2022-12-01,74434.384,0.0,74434.384
61,HYDB,2021-12-31,WORST,2022-12-08,5617.158,0.0,5617.158
62,HYDB,2021-12-31,WORST,2022-12-12,9373.288,0.0,9373.288
63,HYDB,2021-12-31,WORST,2022-12-15,67515.24,310360.274,377875.514
64,HYDB,2021-12-31,WORST,2022-12-27,4006.849,39363.014,43369.863
65,HYDB,2021-12-31,WORST,2023-01-03,52638.014,0.0,52638.014
66,HYDB,2021-12-31,WORST,2023-01-17,126714.555,333291.041,460005.596
67,HYDB,2021-12-31,WORST,2023-01-26,4143.836,0.0,4143.836
68,HYDB,2021-12-31,WORST,2023-01-30,107.877,0.0,107.877
69,HYDB,2021-12-31,WORST,2023-01-31,12806.507,0.0,12806.507
70,HYDB,2021-12-31,WORST,2023-02-01,104536.438,0.0,104536.438
71,HYDB,2021-12-31,WORST,2023-02-15,86610.788,554096.658,640707.445
72,HYDB,2021-12-31,WORST,2023-02-21,925.514,0.0,925.514
73,HYDB,2021-12-31,WORST,2023-02-28,2791.857,178082.192,180874.049
74,HYDB,2021-12-31,WORST,2023-03-01,84363.51,328767.123,413130.633
75,HYDB,2021-12-31,WORST,2023-03-04,4557.791,148060.788,152618.579
