,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,WESTERN DIGITAL CORPORATION,WDC,US958102AM75,958102AM7,United States,1169000,1301,1301,USD,ISHHYDB,2/13/2018,
12/30/2021,APOLLO COMMERCIAL REAL ESTATE FINA 144A,ARI,US03762UAD72,03762UAD7,United States,680000,665,665,USD,ISHHYDB,6/29/2021,
12/30/2021,BROOKFIELD PROPERTY REIT INC 144A,BPR,US11284DAA37,11284DAA3,United States,1480000,1542,1542,USD,ISHHYDB,5/1/2019,
12/30/2021,BROOKFIELD PROPERTY REIT INC 144A,BPR,US11284DAC92,11284DAC9,United States,55000,55,55,USD,ISHHYDB,9/29/2021,
12/30/2021,BURFORD CAPITAL GLOBAL FINANCE LLC 144A,BURLN,US12116LAA70,12116LAA7,United States,350000,376,376,USD,ISHHYDB,4/5/2021,
12/30/2021,CREDIT ACCEPTANCE CORPORATION,CACC,US225310AM36,225310AM3,United States,320000,339,339,USD,ISHHYDB,3/24/2020,
12/30/2021,NATIONSTAR MORTGAGE HOLDINGS INC 144A,NSM,US63861CAD11,63861CAD1,United States,920000,910,910,USD,ISHHYDB,12/4/2020,
12/30/2021,NATIONSTAR MORTGAGE HOLDINGS INC 144A,NSM,US63861CAE93,63861CAE9,United States,225000,226,226,USD,ISHHYDB,11/4/2021,
12/30/2021,CURO GROUP HOLDINGS CORP   144A,CURO,US23131LAC19,23131LAC1,United States,1205000,1266,1266,USD,ISHHYDB,7/30/2021,
12/30/2021,FIVE POINT OPERATING COMPANY LP 144A,FPH,US33834YAA64,33834YAA6,United States,830000,878,878,USD,ISHHYDB,11/22/2017,
12/30/2021,FORTRESS TRANSPORTATION AND INFRAS 144A,FTAI,US34960PAB76,34960PAB7,United States,1120000,1178,1178,USD,ISHHYDB,9/18/2018,
12/30/2021,FORTRESS TRANSPORTATION AND INFRAS 144A,FTAI,US34960PAC59,,United States,301000,350,350,USD,ISHHYDB,7/28/2020,
12/30/2021,FORTRESS TRANSPORTATION AND INFRAS 144A,FTAI,US34960PAD33,34960PAD3,United States,135000,139,139,USD,ISHHYDB,4/12/2021,
12/30/2021,ICAHN ENTERPRISES LP,IEP,US451102BQ92,451102BQ9,United States,225000,230,230,USD,ISHHYDB,2/8/2018,
12/30/2021,ICAHN ENTERPRISES LP,IEP,US451102BT32,451102BT3,United States,1030000,1082,1082,USD,ISHHYDB,10/21/2019,
12/30/2021,ICAHN ENTERPRISES LP,IEP,US451102BZ91,,United States,700000,726,726,USD,ISHHYDB,3/9/2020,
12/30/2021,NMI HOLDINGS INC           144A,NMIH,US629209AA52,629209AA5,United States,301000,344,344,USD,ISHHYDB,6/19/2020,
12/30/2021,SPRINGLEAF FINANCE CORP,OMF,US85172FAM14,85172FAM1,United States,780000,886,886,USD,ISHHYDB,3/12/2018,
12/30/2021,SPRINGLEAF FINANCE CORP,OMF,US85172FAN96,,United States,1160000,1347,1347,USD,ISHHYDB,5/11/2018,
12/30/2021,SPRINGLEAF FINANCE CORP,OMF,US85172FAQ28,85172FAQ2,United States,95000,110,110,USD,ISHHYDB,5/9/2019,
12/30/2021,PENNYMAC FINANCIAL SERVICES INC 144A,PFSI,US70932MAC10,70932MAC1,United States,685000,702,702,USD,ISHHYDB,9/16/2021,
