,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,ELECTRICITE DE FRANCE SA   144A,EDF,US268317AF12,,France,33500000,35360,35360,USD,ISHHYLD,1/29/2013,
12/30/2021,ELECTRICITE DE FRANCE SA   144A,EDF,US268317AM62,268317AM6,France,26628000,28721,28721,USD,ISHHYLD,1/22/2014,
12/30/2021,CDW LLC / CDW FINANCE CORP,CDWC,US12513GBA67,,United States,5084000,5575,5575,USD,ISHHYLD,12/1/2014,
12/30/2021,CDW LLC,CDWC,US12513GBE89,12513GBE8,United States,11209000,11621,11621,USD,ISHHYLD,4/21/2020,
12/30/2021,CDW LLC,CDWC,US12513GBD07,,United States,13546000,14152,14152,USD,ISHHYLD,9/26/2019,
12/30/2021,CDW LLC,CDWC,US12513GBF54,12513GBF5,United States,14407000,14720,14720,USD,ISHHYLD,8/13/2020,
12/30/2021,CONTINENTAL RESOURCES INC,CLR,US212015AL58,212015AL5,United States,914000,952,952,USD,ISHHYLD,7/12/2013,
12/30/2021,CONTINENTAL RESOURCES INC,CLR,US212015AN15,212015AN1,United States,5507000,5754,5754,USD,ISHHYLD,9/5/2014,
12/30/2021,CONTINENTAL RESOURCES INC,CLR,US212015AS02,212015AS0,United States,5516000,6077,6077,USD,ISHHYLD,5/23/2018,
12/30/2021,CONTINENTAL RESOURCES INC  144A,CLR,US212015AT84,212015AT8,United States,6577000,7915,7915,USD,ISHHYLD,11/25/2020,
12/30/2021,MICROCHIP TECHNOLOGY INCORPORATED,MCHP,US595017BA15,,United States,1201000,1264,1264,USD,ISHHYLD,5/29/2020,
12/30/2021,WESTERN DIGITAL CORPORATION,WDC,US958102AM75,958102AM7,United States,36699000,40892,40892,USD,ISHHYLD,2/13/2018,
12/30/2021,JBS INVESTMENTS II GMBH    144A,JBSSBZ,US46650CAB54,,Brazil,6371000,6835,6835,USD,ISHHYLD,7/30/2019,
12/30/2021,JBS USA LUX SA/JBS USA FINANCE INC 144A,JBSSBZ,US472141AA82,472141AA8,Brazil,5722000,6323,6323,USD,ISHHYLD,2/15/2018,
12/30/2021,JBS USA LUX SA             144A,JBSSBZ,US46590XAA46,46590XAA4,Brazil,4709000,5244,5244,USD,ISHHYLD,4/15/2019,
12/30/2021,JBS USA LUX SA             144A,JBSSBZ,US46590XAB29,46590XAB2,Brazil,6873000,7661,7661,USD,ISHHYLD,8/6/2019,
12/30/2021,JBS USA LUX SA             144A,JBSSBZ,US46590XAC02,46590XAC0,Brazil,3262000,3342,3342,USD,ISHHYLD,5/28/2021,
12/30/2021,JBS FINANCE LUXEMBOURG SARL 144A,JBSSBZ,US46592QAA76,46592QAA7,Brazil,1692000,1738,1738,USD,ISHHYLD,6/15/2021,
12/30/2021,GLOBAL ATLANTIC (FIN) CO   144A,GBLATL,US37959GAC15,,United States,13071000,13416,13416,USD,ISHHYLD,7/6/2021,
12/30/2021,KONINKLIJKE KPN NV         144A,KPN,US50048VAA89,50048VAA8,Netherlands,9219000,9831,9831,USD,ISHHYLD,3/28/2013,
12/30/2021,RAKUTEN GROUP INC          144A,RAKUTN,US75102WAA62,75102WAA6,Japan,14027000,14233,14233,USD,ISHHYLD,4/22/2021,
12/30/2021,RAKUTEN GROUP INC          144A,RAKUTN,US75102WAB46,75102WAB4,Japan,17784000,19036,19036,USD,ISHHYLD,4/22/2021,
12/30/2021,VODAFONE GROUP PLC,VOD,US92857WBQ24,92857WBQ2,United Kingdom,35102000,43006,43006,USD,ISHHYLD,4/4/2019,
12/30/2021,VODAFONE GROUP PLC,VOD,US92857WBV19,92857WBV1,United Kingdom,9076000,9093,9093,USD,ISHHYLD,6/4/2021,
12/30/2021,VODAFONE GROUP PLC,VOD,US92857WBW91,92857WBW9,United Kingdom,18575000,18498,18498,USD,ISHHYLD,6/4/2021,
12/30/2021,FIRSTCASH INC              144A,FCFS,US31944TAA88,31944TAA8,United States,7195000,7358,7358,USD,ISHHYLD,12/13/2021,
12/30/2021,ACRISURE LLC / ACRISURE FINANCE IN 144A,ACRISU,US00489LAA17,,United States,17419000,17648,17648,USD,ISHHYLD,11/17/2017,
12/30/2021,ACRISURE LLC               144A,ACRISU,US00489LAD55,00489LAD5,United States,6536000,7463,7463,USD,ISHHYLD,8/1/2019,
12/30/2021,ACRISURE LLC               144A,ACRISU,US00489LAF04,00489LAF0,United States,13700000,13589,13589,USD,ISHHYLD,2/16/2021,
12/30/2021,ACRISURE LLC               144A,ACRISU,US00489LAH69,00489LAH6,United States,8417000,8489,8489,USD,ISHHYLD,8/10/2021,
12/30/2021,AERCAP GLOBAL AVIATION TRUST 144A,AER,US00773HAA59,00773HAA5,Ireland,8464000,9149,9149,USD,ISHHYLD,6/9/2015,
12/30/2021,ALLY FINANCIAL INC,ALLY,US02005NBF69,,United States,18704000,21210,21210,USD,ISHHYLD,11/20/2015,
12/30/2021,ASSUREDPARTNERS INC        144A,ASSPAR,US04624VAA70,,United States,8283000,8586,8586,USD,ISHHYLD,8/2/2017,
12/30/2021,GTCR (AP) FINANCE INC      144A,ASSPAR,US40060QAA31,40060QAA3,United States,8531000,8915,8915,USD,ISHHYLD,5/13/2019,
