,,,,,,,,,,,,,,,,,,,,,,,,,,BlackRock High Yield Muni Income Bond ETF
BLACKROCK LIQ MUNICASH CL INS MMF,Cash and/or Derivatives,Money Market,"1,324,251.40",5.09,"1,324,251.40","1,324,119.00",09248U841,US09248U8412,B0BW5H6,1.0,United States,-,USD,0.04,0.13,1.0,-,0.02,0.04,-,0.13,0.04,0.13,USD,-,"Feb 23, 1984"
ILLINOIS ST,Government Related,Fixed Income,"882,402.29",3.39,"882,402.29","750,000.00",452153AV1,US452153AV19,-,116.32,United States,-,USD,10.67,2.89,1.0,"Mar 01, 2041",4.0,13.67,-,2.04,7.72,2.04,USD,"Mar 24, 2021","Mar 24, 2021"
DISTRICT COLUMBIA TOB SETTLEMENT F,Government Related,Fixed Income,"702,863.37",2.7,"702,863.37","6,800,000.00",254842BD8,US254842BD82,-,10.34,United States,-,USD,0.04,6.9,1.0,"Jun 15, 2055",0.0,31.26,-,-5.0,0.13,-5.0,USD,"Aug 30, 2006","Aug 30, 2006"
PUEBLO COLO URBAN RENEWAL AUTH,Municipals,Fixed Income,"679,169.34",2.61,"679,169.34","600,000.00",744826AW8,US744826AW80,-,112.8,United States,-,USD,8.63,3.92,1.0,"Dec 01, 2045",4.75,10.55,-,3.1,6.94,3.1,USD,"Mar 30, 2021","Mar 30, 2021"
MEMPHIS-SHELBY CNTY TENN ARPT,Government Related,Fixed Income,"646,860.46",2.49,"646,860.46","500,000.00",586111PN0,US586111PN00,-,125.69,United States,-,USD,10.59,3.53,1.0,"Jul 01, 2049",5.0,15.37,-,2.01,7.61,2.01,USD,"Apr 06, 2021","Apr 06, 2021"
NEW YORK TRANSN DEV CORP SPL F,Government Related,Fixed Income,"639,041.19",2.46,"639,041.19","500,000.00",650116EP7,US650116EP75,-,127.39,United States,-,USD,8.56,2.5,1.0,"Dec 01, 2034",5.0,9.94,-,1.68,7.43,1.68,USD,"Dec 15, 2020","Dec 15, 2020"
GOLDEN ST TOB SECURITIZATION C,Government Related,Fixed Income,"615,438.51",2.36,"615,438.51","500,000.00",38122NZC9,US38122NZC90,-,122.67,United States,-,USD,4.85,0.72,1.0,"Jun 01, 2027",5.0,4.85,-,0.72,4.85,0.72,USD,"Apr 13, 2017","Apr 13, 2017"
NEXUS NORTH AT DIA MET DIST CO,Municipals,Fixed Income,"609,931.03",2.34,"609,931.03","565,000.00",65344KAB9,US65344KAB98,-,107.54,United States,-,USD,8.35,4.54,1.0,"Dec 01, 2051",5.0,14.92,-,3.7,3.75,3.7,USD,"Apr 01, 2021","Apr 01, 2021"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"594,062.33",2.28,"594,062.33","500,000.00",64990FA38,US64990FA384,-,117.63,United States,-,USD,11.44,3.0,1.0,"Mar 15, 2047",4.0,15.94,-,1.9,7.77,1.9,USD,"Mar 25, 2021","Mar 25, 2021"
PUERTO RICO SALES TAX FING COR,Corporates,Fixed Income,"582,249.99",2.24,"582,249.99","500,000.00",74529JRL1,US74529JRL16,-,114.06,United States,-,USD,9.29,4.04,1.0,"Jul 01, 2058",4.78,17.57,-,2.43,5.54,2.43,USD,"Aug 01, 2019","Aug 01, 2019"
