,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
TRANSDIGM INC 144A,Capital Goods,Fixed Income,"1,047,016.85",0.73,"1,047,016.85","990,000.00",893647BE6,US893647BE67,BJJQH22,103.92,United States,-,USD,0.2,5.2,1.0,"Mar 15, 2026",6.25,3.62,-,2.26,0.2,2.26,USD,"Feb 13, 2019","Feb 13, 2019"
DAVITA INC 144A,Consumer Non-Cyclical,Fixed Income,"741,811.80",0.51,"741,811.80","720,000.00",23918KAS7,US23918KAS78,-,102.64,United States,-,USD,5.39,4.25,1.0,"Jun 01, 2030",4.63,6.92,-,4.25,6.92,4.25,USD,"Jun 09, 2020","Jun 09, 2020"
1011778 BC UNLIMITED LIABILITY CO 144A,Consumer Cyclical,Fixed Income,"737,228.29",0.51,"737,228.29","740,000.00",68245XAM1,US68245XAM11,-,98.78,Canada,-,USD,6.2,4.17,1.0,"Oct 15, 2030",4.0,7.27,-,4.17,7.27,4.17,USD,"Oct 05, 2020","Oct 05, 2020"
ORGANON FINANCE 1 LLC 144A,Consumer Non-Cyclical,Fixed Income,"710,917.88",0.49,"710,917.88","675,000.00",68622TAB7,US68622TAB70,-,104.47,United States,-,USD,5.77,4.53,1.0,"Apr 30, 2031",5.13,7.35,-,4.4,6.05,4.4,USD,"Apr 22, 2021","Apr 22, 2021"
HCA INC,Consumer Non-Cyclical,Fixed Income,"683,789.16",0.47,"683,789.16","610,000.00",404119BR9,US404119BR91,BVD8LL5,109.86,United States,-,USD,2.83,2.06,1.0,"Feb 01, 2025",5.38,2.81,-,2.06,2.81,2.06,USD,"Jan 16, 2015","Jan 16, 2015"
CENTENE CORPORATION,Insurance,Fixed Income,"681,191.00",0.47,"681,191.00","630,000.00",15135BAT8,US15135BAT89,-,107.92,United States,-,USD,3.99,3.48,1.0,"Dec 15, 2029",4.63,6.67,-,2.58,2.76,2.58,USD,"Dec 06, 2019","May 06, 2020"
HCA INC,Consumer Non-Cyclical,Fixed Income,"635,356.87",0.44,"635,356.87","595,000.00",404119CA5,US404119CA57,BLF2KK7,105.62,United States,-,USD,7.22,2.77,1.0,"Sep 01, 2030",3.5,7.4,-,2.73,7.03,2.73,USD,"Feb 26, 2020","Feb 26, 2020"
TRANSDIGM INC,Capital Goods,Fixed Income,"632,867.54",0.44,"632,867.54","610,000.00",893647BL0,US893647BL01,-,103.05,United States,-,USD,2.87,4.9,1.0,"Nov 15, 2027",5.5,4.96,-,4.36,2.62,4.36,USD,"May 15, 2020","Jun 12, 2020"
NETFLIX INC,Communications,Fixed Income,"600,943.34",0.42,"600,943.34","495,000.00",64110LAT3,US64110LAT35,BJRDX72,120.65,United States,-,USD,5.79,2.58,1.0,"Nov 15, 2028",5.88,5.76,-,2.58,5.76,2.58,USD,"Apr 26, 2018","Apr 26, 2018"
VODAFONE GROUP PLC,Communications,Fixed Income,"597,766.79",0.41,"597,766.79","490,000.00",92857WBQ2,US92857WBQ24,BJWZHR1,120.32,United Kingdom,-,USD,5.67,5.47,1.0,"Apr 04, 2079",7.0,5.74,-,3.68,5.62,3.68,USD,"Apr 04, 2019","Apr 04, 2019"
WESTERN DIGITAL CORPORATION,Technology,Fixed Income,"585,020.33",0.41,"585,020.33","525,000.00",958102AM7,US958102AM75,BFZHJV4,109.64,United States,-,USD,3.56,2.29,1.0,"Feb 15, 2026",4.75,3.71,-,2.14,3.5,2.14,USD,"Feb 13, 2018","Feb 13, 2018"
NEWELL BRANDS INC,Consumer Non-Cyclical,Fixed Income,"579,033.00",0.4,"579,033.00","525,000.00",651229AW6,US651229AW64,BD3J3H2,109.12,United States,-,USD,3.68,2.43,1.0,"Apr 01, 2026",4.7,3.83,-,2.3,3.63,2.3,USD,"Mar 30, 2016","Mar 30, 2016"
SS&C TECHNOLOGIES INC 144A,Technology,Fixed Income,"551,803.20",0.38,"551,803.20","520,000.00",78466CAC0,US78466CAC01,BJQ1YJ6,104.74,United States,-,USD,0.94,4.55,1.0,"Sep 30, 2027",5.5,4.85,-,2.86,0.25,2.86,USD,"Mar 28, 2019","Mar 28, 2019"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"527,312.62",0.37,"527,312.62","450,000.00",50077LAB2,US50077LAB27,BD7YG30,116.82,United States,-,USD,15.49,3.36,1.0,"Jun 01, 2046",4.38,15.67,-,3.35,15.47,3.35,USD,"May 24, 2016","Aug 19, 2016"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"525,000.00",0.36,"525,000.00","525,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
SIRIUS XM RADIO INC 144A,Communications,Fixed Income,"524,239.72",0.36,"524,239.72","510,000.00",82967NBJ6,US82967NBJ63,-,100.68,United States,-,USD,4.68,3.88,1.0,"Jul 15, 2028",4.0,5.59,-,3.83,4.03,3.83,USD,"Jun 21, 2021","Jun 21, 2021"
UNITI GROUP LP 144A,Communications,Fixed Income,"509,584.75",0.35,"509,584.75","475,000.00",91327AAA0,US91327AAA07,BL6Z5M2,104.31,United States,-,USD,0.24,6.33,1.0,"Feb 15, 2025",7.88,2.67,-,4.53,0.12,4.53,USD,"Feb 10, 2020","Feb 10, 2020"
CENTENE CORPORATION,Insurance,Fixed Income,"498,250.72",0.35,"498,250.72","475,000.00",15135BAR2,US15135BAR24,BMCTMH9,104.71,United States,-,USD,1.53,3.37,1.0,"Dec 15, 2027",4.25,5.24,-,1.49,0.94,1.49,USD,"Dec 06, 2019","May 06, 2020"
NEXSTAR ESCROW INC 144A,Communications,Fixed Income,"495,538.45",0.34,"495,538.45","460,000.00",65343HAA9,US65343HAA95,BJXR8L7,105.13,United States,-,USD,1.84,4.57,1.0,"Jul 15, 2027",5.63,4.63,-,3.74,0.52,3.74,USD,"Jul 03, 2019","Jul 03, 2019"
SPRINGLEAF FINANCE CORP,Finance Companies,Fixed Income,"495,107.65",0.34,"495,107.65","425,000.00",85172FAN9,US85172FAN96,BDTMS47,114.4,United States,-,USD,3.66,3.42,1.0,"Mar 15, 2026",7.13,3.62,-,3.42,3.62,3.42,USD,"May 11, 2018","May 11, 2018"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"495,024.00",0.34,"495,024.00","450,000.00",126307AZ0,US126307AZ02,BJ555Z2,107.3,United States,-,USD,3.16,5.25,1.0,"Feb 01, 2029",6.5,5.55,-,4.31,1.9,4.31,USD,"Jan 31, 2019","Jan 31, 2019"
ORGANON FINANCE 1 LLC 144A,Consumer Non-Cyclical,Fixed Income,"490,297.38",0.34,"490,297.38","475,000.00",68622TAA9,US68622TAA97,-,102.53,United States,-,USD,4.24,3.67,1.0,"Apr 30, 2028",4.13,5.51,-,3.49,3.92,3.49,USD,"Apr 22, 2021","Apr 22, 2021"
POST HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"487,832.40",0.34,"487,832.40","485,000.00",737446AR5,US737446AR57,-,99.26,United States,-,USD,6.55,4.59,1.0,"Sep 15, 2031",4.5,7.68,-,4.59,7.68,4.59,USD,"Mar 10, 2021","Mar 10, 2021"
GLOBAL AIRCRAFT LEASING CO LTD 144A,Finance Companies,Fixed Income,"471,277.23",0.33,"471,277.23","478,518.00",37960JAA6,US37960JAA60,BKDRG65,96.59,Cayman Islands,-,USD,2.45,7.92,1.0,"Sep 15, 2024",6.5,2.38,-,7.92,2.38,7.92,USD,"Jul 31, 2019","Jul 31, 2019"
ZIGGO BV 144A,Communications,Fixed Income,"467,381.98",0.32,"467,381.98","443,000.00",98954NAA7,US98954NAA72,BZCR8C1,102.98,Netherlands,-,USD,0.04,4.83,1.0,"Jan 15, 2027",5.5,4.27,-,-0.09,0.04,-0.09,USD,"Sep 23, 2016","Sep 23, 2016"
AVANTOR FUNDING INC 144A,Consumer Non-Cyclical,Fixed Income,"461,040.15",0.32,"461,040.15","430,000.00",05352TAA7,US05352TAA79,BMVVY70,105.09,United States,-,USD,2.77,3.74,1.0,"Jul 15, 2028",4.63,5.52,-,2.71,1.46,2.71,USD,"Jul 17, 2020","Jul 17, 2020"
COMMSCOPE INC 144A,Technology,Fixed Income,"458,694.45",0.32,"458,694.45","435,000.00",20338QAD5,US20338QAD51,BGDS1B0,103.45,United States,-,USD,0.5,5.07,1.0,"Mar 01, 2026",6.0,3.6,-,3.15,0.16,3.15,USD,"Feb 19, 2019","Feb 19, 2019"
HCA INC,Consumer Non-Cyclical,Fixed Income,"455,215.56",0.32,"455,215.56","395,000.00",404119BS7,US404119BS74,BYQ2966,113.03,United States,-,USD,3.28,2.53,1.0,"Feb 15, 2026",5.88,3.63,-,2.12,3.24,2.12,USD,"Nov 13, 2015","Nov 13, 2015"
UNITED RENTALS (NORTH AMERICA) INC,Capital Goods,Fixed Income,"445,415.00",0.31,"445,415.00","415,000.00",911365BG8,US911365BG81,BDGSYG2,105.08,United States,-,USD,1.74,3.92,1.0,"Jan 15, 2028",4.88,5.11,-,2.23,0.99,2.23,USD,"Aug 11, 2017","Aug 11, 2017"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"444,422.97",0.31,"444,422.97","425,000.00",126307AQ0,US126307AQ03,BD9FV69,103.41,United States,-,USD,0.89,4.76,1.0,"Apr 15, 2027",5.5,4.52,-,3.08,0.28,3.08,USD,"Sep 23, 2016","Sep 23, 2016"
SPRINGLEAF FINANCE CORP,Finance Companies,Fixed Income,"436,706.68",0.3,"436,706.68","385,000.00",85172FAM1,US85172FAM14,BF28TP4,111.41,United States,-,USD,2.88,3.11,1.0,"Mar 15, 2025",6.88,2.85,-,3.11,2.85,3.11,USD,"Mar 12, 2018","Mar 12, 2018"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"436,208.90",0.3,"436,208.90","425,000.00",126307BA4,US126307BA42,BKFH0Y9,99.99,United States,-,USD,5.36,5.75,1.0,"Jan 15, 2030",5.75,6.2,-,5.75,6.2,5.75,USD,"Jul 10, 2019","Jul 10, 2019"
ROYAL CARIBBEAN CRUISES LTD 144A,Consumer Cyclical,Fixed Income,"435,278.48",0.3,"435,278.48","370,000.00",780153AZ5,US780153AZ50,-,112.37,United States,-,USD,0.4,7.35,1.0,"Jun 01, 2025",11.5,2.72,-,2.28,0.39,2.28,USD,"May 19, 2020","May 19, 2020"
TRIVIUM PACKAGING FINANCE BV 144A,Capital Goods,Fixed Income,"425,970.00",0.3,"425,970.00","400,000.00",89686QAA4,US89686QAA40,BK0YKJ0,104.43,Netherlands,-,USD,1.15,4.43,1.0,"Aug 15, 2026",5.5,3.99,-,2.69,0.6,2.69,USD,"Aug 02, 2019","Aug 02, 2019"
UNIVISION COMMUNICATIONS INC 144A,Communications,Fixed Income,"416,604.97",0.29,"416,604.97","385,000.00",914906AU6,US914906AU68,-,107.66,United States,-,USD,1.94,4.99,1.0,"Jun 01, 2027",6.63,4.54,-,3.35,1.35,3.35,USD,"Jun 18, 2020","Jun 18, 2020"
NETFLIX INC,Communications,Fixed Income,"415,602.60",0.29,"415,602.60","360,000.00",64110LAS5,US64110LAS51,BG47ZP8,114.42,United States,-,USD,5.47,2.39,1.0,"Apr 15, 2028",4.88,5.44,-,2.39,5.44,2.39,USD,"Oct 26, 2017","Oct 26, 2017"
SIRIUS XM RADIO INC 144A,Communications,Fixed Income,"414,414.23",0.29,"414,414.23","405,000.00",82967NBG2,US82967NBG25,BLFGN11,100.26,United States,-,USD,5.72,4.09,1.0,"Jul 01, 2030",4.13,6.97,-,4.08,5.54,4.08,USD,"Jun 11, 2020","Jun 11, 2020"
JAZZ SECURITIES DAC 144A,Consumer Non-Cyclical,Fixed Income,"409,801.00",0.28,"409,801.00","385,000.00",47216FAA5,US47216FAA57,-,103.51,United States,-,USD,4.28,3.8,1.0,"Jan 15, 2029",4.38,5.87,-,3.53,3.99,3.53,USD,"Apr 29, 2021","Apr 29, 2021"
SBA COMMUNICATIONS CORP,Communications,Fixed Income,"408,298.37",0.28,"408,298.37","390,000.00",78410GAD6,US78410GAD60,-,103.23,United States,-,USD,2.53,3.19,1.0,"Feb 15, 2027",3.88,4.57,-,2.65,1.08,2.65,USD,"Aug 15, 2020","Dec 28, 2020"
POST HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"405,488.42",0.28,"405,488.42","385,000.00",737446AM6,US737446AM60,BYNHPV1,103.41,United States,-,USD,0.2,4.99,1.0,"Mar 01, 2027",5.75,4.37,-,2.44,0.16,2.44,USD,"Feb 14, 2017","Feb 14, 2017"
1011778 BC UNLIMITED LIABILITY CO 144A,Consumer Cyclical,Fixed Income,"404,428.54",0.28,"404,428.54","395,000.00",68245XAH2,US68245XAH26,BJJJT70,101.25,Canada,-,USD,3.28,3.64,1.0,"Jan 15, 2028",3.88,5.29,-,3.39,2.52,3.39,USD,"Sep 24, 2019","Sep 24, 2019"
FMG RESOURCES (AUGUST 2006) PTY LT 144A,Basic Industry,Fixed Income,"403,934.67",0.28,"403,934.67","380,000.00",30251GBC0,US30251GBC06,-,105.22,Australia,-,USD,7.52,3.7,1.0,"Apr 01, 2031",4.38,7.54,-,3.69,7.37,3.69,USD,"Mar 25, 2021","Mar 25, 2021"
ROYAL CARIBBEAN CRUISES LTD 144A,Consumer Cyclical,Fixed Income,"400,876.02",0.28,"400,876.02","390,000.00",780153BG6,US780153BG60,-,101.43,United States,-,USD,5.13,5.23,1.0,"Apr 01, 2028",5.5,5.18,-,5.21,4.82,5.21,USD,"Mar 29, 2021","Mar 29, 2021"
CENTENE CORPORATION,Insurance,Fixed Income,"399,318.40",0.28,"399,318.40","390,000.00",15135BAW1,US15135BAW19,-,101.76,United States,-,USD,7.6,2.77,1.0,"Oct 15, 2030",3.0,7.65,-,2.77,7.46,2.77,USD,"Oct 07, 2020","Oct 07, 2020"
SIRIUS XM RADIO INC 144A,Communications,Fixed Income,"397,868.75",0.28,"397,868.75","375,000.00",82967NBA5,US82967NBA54,BDZVVB6,104.02,United States,-,USD,1.14,4.19,1.0,"Aug 01, 2027",5.0,4.76,-,2.31,0.57,2.31,USD,"Jul 05, 2017","Jul 05, 2017"
UNIVISION COMMUNICATIONS INC 144A,Communications,Fixed Income,"396,404.13",0.27,"396,404.13","385,000.00",914906AS1,US914906AS13,BVGBM41,101.03,United States,-,USD,0.51,4.77,1.0,"Feb 15, 2025",5.13,2.81,-,3.61,0.12,3.61,USD,"Feb 19, 2015","Feb 19, 2015"
HILTON DOMESTIC OPERATING COMPANY 144A,Consumer Cyclical,Fixed Income,"393,648.23",0.27,"393,648.23","390,000.00",432833AN1,US432833AN19,-,99.57,United States,-,USD,6.89,3.68,1.0,"Feb 15, 2032",3.63,8.29,-,3.68,8.29,3.68,USD,"Feb 02, 2021","Feb 02, 2021"
WINDSTREAM ESCROW LLC 144A,Communications,Fixed Income,"391,722.40",0.27,"391,722.40","360,000.00",97382WAA1,US97382WAA18,-,105.88,United States,-,USD,3.16,6.64,1.0,"Aug 15, 2028",7.75,5.04,-,5.92,3.06,5.92,USD,"Aug 25, 2020","Aug 25, 2020"
IQVIA INC 144A,Consumer Non-Cyclical,Fixed Income,"390,689.58",0.27,"390,689.58","375,000.00",46266TAA6,US46266TAA60,BK62T46,103.55,United States,-,USD,0.81,4.25,1.0,"May 15, 2027",5.0,4.66,-,2.1,0.37,2.1,USD,"May 10, 2019","May 10, 2019"
POST HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"389,402.68",0.27,"389,402.68","380,000.00",737446AQ7,US737446AQ74,BLCF601,101.5,United States,-,USD,5.43,4.41,1.0,"Apr 15, 2030",4.63,6.78,-,4.35,5.37,4.35,USD,"Feb 26, 2020","Feb 26, 2020"
