,,,,,,,,,,,,,,,,,,,,,,,,,,iShares International High Yield Bond ETF
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"498,187.45",0.73,"498,187.45","418,000.00",-,XS1846631049,BG106R9,116.17,Italy,-,USD,3.69,2.32,0.88,"Jan 28, 2026",2.88,3.72,-,2.28,3.51,2.28,EUR,"Jun 28, 2018","Jun 28, 2018"
AUTOSTRADE PER LITALIA SPA RegS,Transportation,Fixed Income,"477,684.81",0.7,"477,684.81","400,000.00",-,XS2278566299,-,117.24,Italy,-,USD,7.3,1.59,0.88,"Jan 15, 2030",2.0,7.27,-,1.57,7.06,1.57,EUR,"Jan 15, 2021","Jan 15, 2021"
BELLIS ACQUISITION COMPANY PLC RegS,Consumer Non-Cyclical,Fixed Income,"393,953.01",0.58,"393,953.01","300,000.00",-,XS2303071992,-,130.22,United Kingdom,-,USD,3.63,4.28,0.74,"Feb 16, 2026",3.25,3.78,-,4.28,3.78,4.28,GBP,"Feb 24, 2021","Feb 24, 2021"
CAD CASH,Cash and/or Derivatives,Cash,"389,936.84",0.57,"389,936.84","492,549.00",-,-,-,79.17,Canada,-,USD,0.0,0.45,1.26,-,0.0,0.0,-,0.45,0.0,0.45,CAD,-,"Jan 01, 1989"
VODAFONE GROUP PLC RegS,Communications,Fixed Income,"362,201.11",0.53,"362,201.11","300,000.00",-,XS1888179477,BGNKT67,117.24,United Kingdom,-,USD,1.69,3.10,0.88,"Jan 03, 2079",3.1,1.49,-,1.30,1.68,1.30,EUR,"Oct 03, 2018","Oct 03, 2018"
THYSSENKRUPP AG MTN RegS,Capital Goods,Fixed Income,"358,748.62",0.53,"358,748.62","300,000.00",-,DE000A2TEDB8,BJLRJW7,116.79,Germany,-,USD,1.84,1.58,0.88,"Feb 22, 2024",2.88,2.03,-,1.41,1.81,1.41,EUR,"Feb 22, 2019","Feb 22, 2019"
VERISURE MIDHOLDING AB RegS,Consumer Cyclical,Fixed Income,"352,009.67",0.52,"352,009.67","300,000.00",-,XS2287912450,-,115.1,Sweden,-,USD,4.85,5.11,0.88,"Feb 15, 2029",5.25,5.78,-,4.98,3.61,4.98,EUR,"Jan 25, 2021","Jan 25, 2021"
BANCA MONTE DEI PASCHI DI SIENA SP RegS,Banking,Fixed Income,"350,352.41",0.51,"350,352.41","300,000.00",-,XS2055091784,BJSF9F7,115.68,Italy,-,USD,2.64,2.99,0.88,"Sep 24, 2024",3.63,2.55,-,2.99,2.55,2.99,EUR,"Sep 24, 2019","Sep 24, 2019"
LORCA TELECOM BONDCO SAU RegS,Communications,Fixed Income,"350,148.80",0.51,"350,148.80","300,000.00",-,XS2240463674,-,115.39,Spain,-,USD,4.08,3.75,0.88,"Sep 18, 2027",4.0,5.02,-,3.61,3.42,3.61,EUR,"Sep 30, 2020","Sep 30, 2020"
DEUTSCHE LUFTHANSA AG MTN RegS,Transportation,Fixed Income,"346,178.64",0.51,"346,178.64","300,000.00",-,XS2265369657,BMH3083,113.37,Germany,-,USD,4.07,3.07,0.88,"May 29, 2026",3.0,4.0,-,3.07,3.8,3.07,EUR,"Dec 01, 2020","Dec 01, 2020"
