,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM,CGB,CND100031JZ0,,China,313100000,48923,311960,CNY,ISHIAGG,4/8/2020,
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM,CGB,CND10003C6F7,,China,228000000,36149,230504,CNY,ISHIAGG,7/2/2020,
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM,CGB,CND100036Q75,,China,186560000,28919,184401,CNY,ISHIAGG,5/20/2020,
12/30/2021,CHINA DEVELOPMENT BANK,SDBC,CND10001WKZ7,,China,169500000,28175,179657,CNY,ISHIAGG,1/8/2019,
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM,CGB,CND10002M200,,China,143600000,22624,144264,CNY,ISHIAGG,3/16/2020,
12/30/2021,JAPAN (GOVERNMENT OF) 2YR #423,JGB,JP1024231M43,,Japan,1830000000,15912,1832310,JPY,ISHIAGG,4/1/2021,
12/30/2021,CHINA DEVELOPMENT BANK,SDBC,CND10002KVW4,,China,90000000,14799,94366,CNY,ISHIAGG,1/7/2020,
12/30/2021,JAPAN (GOVERNMENT OF) 10YR #343,JGB,JP1103431G66,,Japan,1640700000,14363,1653985,JPY,ISHIAGG,6/20/2016,
12/30/2021,CHINA DEVELOPMENT BANK,SDBC,CND10000L7C4,,China,77900000,14022,89414,CNY,ISHIAGG,2/9/2018,
12/30/2021,JAPAN (GOVERNMENT OF) 5YR #142,JGB,JP1051421L13,,Japan,1500000000,13101,1508621,JPY,ISHIAGG,1/16/2020,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0013341682,,France,10651000,12811,11306,EUR,ISHIAGG,6/11/2018,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0011317783,,France,9069000,12157,10729,EUR,ISHIAGG,9/11/2012,
12/30/2021,UK CONV GILT               RegS,UKT,GB00BDRHNP05,,United Kingdom,8230000,11466,8496,GBP,ISHIAGG,3/15/2017,
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM,CGB,CND100025LF0,,China,69500000,11334,72275,CNY,ISHIAGG,4/11/2019,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0011486067,,France,9391000,11109,9804,EUR,ISHIAGG,5/7/2013,
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM,CGB,CND1000291L3,,China,65700000,10657,67952,CNY,ISHIAGG,5/23/2019,
12/30/2021,CHINA PEOPLES REPUBLIC OF (GOVERNM,CGB,CND100037XX3,,China,66000000,10617,67701,CNY,ISHIAGG,6/4/2020,
12/30/2021,EXPORT-IMPORT BANK OF CHINA,EXIMCH,CND10001YC12,,China,62700000,10249,65351,CNY,ISHIAGG,2/11/2019,
12/30/2021,AGRICULTURAL DEVELOPMENT BANK OF C,ADBCH,CND10000G727,,China,56100000,9532,60779,CNY,ISHIAGG,1/6/2017,
12/30/2021,EXPORT-IMPORT BANK OF CHINA,EXIMCH,CND10002M036,,China,58100000,9391,59880,CNY,ISHIAGG,2/27/2020,
12/30/2021,UK CONV GILT               RegS,UKT,GB00BFX0ZL78,,United Kingdom,6530000,9328,6911,GBP,ISHIAGG,3/16/2018,
12/30/2021,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,DE0001102440,,Germany,7720000,9277,8187,EUR,ISHIAGG,1/12/2018,
12/30/2021,UK CONV GILT               RegS,UKT,GB00BYZW3G56,,United Kingdom,6600000,9277,6874,GBP,ISHIAGG,2/18/2016,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0014002WK3,,France,8230000,9143,8069,EUR,ISHIAGG,4/12/2021,
12/30/2021,CHINA DEVELOPMENT BANK CORP,SDBC,CND100009CN7,,China,53000000,8988,57313,CNY,ISHIAGG,1/25/2016,
12/30/2021,JAPAN (GOVERNMENT OF) 5YR #141,JGB,JP1051411KA2,,Japan,995000000,8689,1000569,JPY,ISHIAGG,10/18/2019,
12/30/2021,JAPAN (GOVERNMENT OF) 10YR #358,JGB,JP1103581L42,,Japan,979650000,8595,989737,JPY,ISHIAGG,4/3/2020,
