,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBCE,2021-12-31,WORST,2022-01-06,3045.0,1477761.944,1480806.944
1,IBCE,2021-12-31,WORST,2022-01-10,5462.371,52000.0,57462.371
2,IBCE,2021-12-31,WORST,2022-01-11,810.0,0.0,810.0
3,IBCE,2021-12-31,WORST,2022-01-13,1406.4,0.0,1406.4
4,IBCE,2021-12-31,WORST,2022-01-18,12755.78,0.0,12755.78
5,IBCE,2021-12-31,WORST,2022-01-20,1162.0,0.0,1162.0
6,IBCE,2021-12-31,WORST,2022-01-25,2816.8,0.0,2816.8
7,IBCE,2021-12-31,WORST,2022-01-30,1397.597,143200.0,144597.597
8,IBCE,2021-12-31,WORST,2022-01-31,6108.0,0.0,6108.0
9,IBCE,2021-12-31,WORST,2022-02-01,9032.934,56000.0,65032.934
10,IBCE,2021-12-31,WORST,2022-02-02,800.0,0.0,800.0
11,IBCE,2021-12-31,WORST,2022-02-03,726.0,0.0,726.0
12,IBCE,2021-12-31,WORST,2022-02-07,190.0,0.0,190.0
13,IBCE,2021-12-31,WORST,2022-02-08,2580.0,0.0,2580.0
14,IBCE,2021-12-31,WORST,2022-02-09,342.0,0.0,342.0
15,IBCE,2021-12-31,WORST,2022-02-10,1978.0,72000.0,73978.0
16,IBCE,2021-12-31,WORST,2022-02-11,3027.2,0.0,3027.2
17,IBCE,2021-12-31,WORST,2022-02-14,727.972,0.0,727.972
18,IBCE,2021-12-31,WORST,2022-02-15,16332.152,212000.0,228332.152
19,IBCE,2021-12-31,WORST,2022-02-16,867.312,0.0,867.312
20,IBCE,2021-12-31,WORST,2022-02-17,3182.5,0.0,3182.5
21,IBCE,2021-12-31,WORST,2022-02-22,10263.0,0.0,10263.0
22,IBCE,2021-12-31,WORST,2022-02-23,3021.0,0.0,3021.0
23,IBCE,2021-12-31,WORST,2022-02-28,1508.0,0.0,1508.0
24,IBCE,2021-12-31,WORST,2022-03-01,18440.075,156000.0,174440.075
25,IBCE,2021-12-31,WORST,2022-03-07,7484.5,0.0,7484.5
