,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Mar 2023 Term Corporate ex-Financials ETF
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"1,839,000.00",6.0,"1,839,000.00","1,839,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
VISA INC,Technology,Fixed Income,"678,055.43",2.21,"678,055.43","665,000.00",92826CAC6,US92826CAC64,BYPHGM7,101.83,United States,-,USD,0.78,0.87,1.0,"Dec 14, 2022",2.8,0.94,-,0.46,0.78,0.46,USD,"Dec 14, 2015","Dec 14, 2015"
QUALCOMM INCORPORATED,Technology,Fixed Income,"511,820.87",1.67,"511,820.87","505,000.00",747525AE3,US747525AE30,BWX4DC5,101.01,United States,-,USD,0.38,0.38,1.0,"May 20, 2022",3.0,0.39,-,0.38,0.39,0.38,USD,"May 20, 2015","May 20, 2015"
CHEVRON CORP,Energy,Fixed Income,"507,130.42",1.66,"507,130.42","500,000.00",166764AB6,US166764AB69,B7VZR56,101.26,United States,-,USD,0.68,0.99,1.0,"Dec 05, 2022",2.36,0.92,-,0.49,0.67,0.49,USD,"Dec 05, 2012","Dec 05, 2012"
ORACLE CORPORATION,Technology,Fixed Income,"468,872.38",1.53,"468,872.38","460,000.00",68389XAP0,US68389XAP06,B84CSM5,101.4,United States,-,USD,0.79,0.72,1.0,"Oct 15, 2022",2.5,0.78,-,0.72,0.78,0.72,USD,"Oct 25, 2012","Oct 25, 2012"
BP CAPITAL MARKETS PLC,Energy,Fixed Income,"443,965.11",1.45,"443,965.11","435,000.00",05565QCB2,US05565QCB23,B8ZQX87,101.68,United Kingdom,-,USD,0.84,0.51,1.0,"Nov 06, 2022",2.5,0.84,-,0.51,0.84,0.51,USD,"Nov 06, 2012","Nov 06, 2012"
INTEL CORPORATION,Technology,Fixed Income,"383,220.00",1.25,"383,220.00","375,000.00",458140AM2,US458140AM21,B93KPN7,102.07,United States,-,USD,0.95,0.52,1.0,"Dec 15, 2022",2.7,0.95,-,0.52,0.95,0.52,USD,"Dec 11, 2012","Dec 11, 2012"
GLAXOSMITHKLINE CAPITAL PLC,Consumer Non-Cyclical,Fixed Income,"376,756.33",1.23,"376,756.33","372,000.00",377373AD7,US377373AD71,B84G0G5,100.86,United Kingdom,-,USD,0.35,0.41,1.0,"May 08, 2022",2.85,0.35,-,0.41,0.35,0.41,USD,"May 09, 2012","May 09, 2012"
HOME DEPOT INC,Consumer Cyclical,Fixed Income,"373,599.17",1.22,"373,599.17","370,000.00",437076BG6,US437076BG61,BYQF352,100.75,United States,-,USD,0.33,0.81,1.0,"Jun 01, 2022",2.63,0.41,-,0.36,0.34,0.36,USD,"Jun 02, 2015","Jun 02, 2015"
JOHN DEERE CAPITAL CORP,Capital Goods,Fixed Income,"372,396.40",1.22,"372,396.40","360,000.00",24422ETG4,US24422ETG43,BYQ64Y1,102.55,United States,-,USD,1.16,0.63,1.0,"Mar 06, 2023",2.8,1.16,-,0.63,1.16,0.63,USD,"Mar 04, 2016","Mar 04, 2016"
