,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
10/2/2020,INTERNATIONAL LEASE FINANCE CORP,AER,US459745GN96,459745GN9,United States,185000,199,199,USD,ISHIBDD,8/21/2012,
10/2/2020,AMERICAN INTERNATIONAL GROUP INC,AIG,US026874CU91,,United States,250000,272,272,USD,ISHIBDD,5/24/2012,
10/2/2020,AIR LEASE CORPORATION,AL,US00912XAX21,,United States,232000,236,236,USD,ISHIBDD,11/20/2017,
10/2/2020,ALLY FINANCIAL INC,ALLY,US02005NBC39,,United States,10000,11,11,USD,ISHIBDD,5/19/2015,
10/2/2020,TD AMERITRADE HOLDING CORPORATION,AMTD,US87236YAE86,,United States,150000,155,155,USD,ISHIBDD,3/9/2015,
10/2/2020,ANTHEM INC,ANTM,US94973VBA44,,United States,410000,437,437,USD,ISHIBDD,9/10/2012,
10/2/2020,AUSTRALIA AND NEW ZEALAND BANKING MTN,ANZ,US05253JAU51,05253JAU5,Australia,240000,254,254,USD,ISHIBDD,11/9/2017,
10/2/2020,AUSTRALIA AND NEW ZEALAND BANKING MTN,ANZ,US05253JAW18,05253JAW1,Australia,250000,261,261,USD,ISHIBDD,11/21/2019,
10/2/2020,ARES CAPITAL CORPORATION,ARCC,US04010LAU70,04010LAU7,United States,108000,112,112,USD,ISHIBDD,8/10/2017,
10/2/2020,AMERICAN EXPRESS COMPANY,AXP,US025816CD95,025816CD9,United States,230000,240,240,USD,ISHIBDD,5/20/2019,
10/2/2020,AMERICAN EXPRESS CO,AXP,US025816BM04,,United States,225000,234,234,USD,ISHIBDD,8/1/2017,
10/2/2020,AMERICAN EXPRESS CO,AXP,US025816BD05,025816BD0,United States,215000,227,227,USD,ISHIBDD,2/26/2013,
10/2/2020,AMERICAN EXPRESS COMPANY,AXP,US025816BS73,025816BS7,United States,203000,217,217,USD,ISHIBDD,2/27/2018,
10/2/2020,BANK OF AMERICA CORP,BAC,US06051GFZ72,06051GFZ7,United States,409000,422,422,USD,ISHIBDD,10/21/2016,
10/2/2020,BANK OF AMERICA CORP MTN,BAC,US06051GEU94,,United States,650000,695,695,USD,ISHIBDD,1/11/2013,
10/2/2020,BANK OF NEW YORK MELLON CORP/THE MTN,BK,US06406RAK32,,United States,148000,153,153,USD,ISHIBDD,8/23/2019,
10/2/2020,BANK OF NEW YORK MELLON/THE MTN,BK,US06406RAM97,06406RAM9,United States,104000,108,108,USD,ISHIBDD,1/28/2020,
10/2/2020,BANK OF NEW YORK MELLON CORP/THE MTN,BK,US06406RAE71,,United States,141000,150,150,USD,ISHIBDD,1/29/2018,
10/2/2020,BERKSHIRE HATHAWAY FINANCE CORP,BRK,US084664BT72,,United States,130000,137,137,USD,ISHIBDD,5/15/2012,
10/2/2020,BERKSHIRE HATHAWAY INC,BRK,US084670BJ68,,United States,125000,133,133,USD,ISHIBDD,2/11/2013,
10/2/2020,BERKSHIRE HATHAWAY INC,BRK,US084670BR84,,United States,255000,269,269,USD,ISHIBDD,3/15/2016,
10/2/2020,BOSTON PROPERTIES LP,BXP,US10112RAU86,10112RAU8,United States,198000,212,212,USD,ISHIBDD,6/11/2012,
10/2/2020,CITIGROUP INC,C,US172967LG49,,United States,349000,365,365,USD,ISHIBDD,4/25/2017,
10/2/2020,CITIGROUP INC,C,US172967GK16,172967GK1,United States,130000,139,139,USD,ISHIBDD,2/8/2013,
10/2/2020,CITIGROUP INC,C,US172967LQ21,,United States,241000,254,254,USD,ISHIBDD,10/27/2017,
10/2/2020,CITIGROUP INC,C,US172967GL98,172967GL9,United States,75000,80,80,USD,ISHIBDD,2/20/2013,
10/2/2020,CHUBB INA HOLDINGS INC,CB,US00440EAU10,00440EAU1,United States,125000,132,132,USD,ISHIBDD,11/3/2015,
10/2/2020,ACE INA HOLDINGS INC,CB,US00440EAP25,00440EAP2,United States,115000,121,121,USD,ISHIBDD,3/13/2013,
10/2/2020,CITIZENS BANK NA,CFG,US17401QAQ47,17401QAQ4,United States,250000,269,269,USD,ISHIBDD,3/29/2018,
10/2/2020,CME GROUP INC,CME,US12572QAE52,,United States,151000,159,159,USD,ISHIBDD,9/10/2012,
10/2/2020,CAPITAL ONE FINANCIAL CORPORATION,COF,US14040HBU86,14040HBU8,United States,65000,69,69,USD,ISHIBDD,1/30/2018,
10/2/2020,CAPITAL ONE BANK USA NA,COF,US140420NB24,,United States,315000,334,334,USD,ISHIBDD,2/11/2013,
10/2/2020,CREDIT SUISSE AG (NEW YORK BRANCH),CS,US22550L2B68,,Switzerland,250000,263,263,USD,ISHIBDD,4/9/2020,
10/2/2020,AETNA INC,AET,US008117AP87,008117AP8,United States,190000,200,200,USD,ISHIBDD,11/7/2012,
10/2/2020,DEUTSCHE BANK AG (NEW YORK BRANCH),DB,US251526BR93,251526BR9,Germany,280000,296,296,USD,ISHIBDD,2/27/2018,
10/2/2020,DISCOVER FINANCIAL SERVICES,DFS,US254709AG33,,United States,10000,11,11,USD,ISHIBDD,11/15/2012,
10/2/2020,DISCOVER FINANCIAL SERVICES,DFS,US254709AJ71,254709AJ7,United States,190000,206,206,USD,ISHIBDD,3/19/2013,
10/2/2020,DIGITAL REALTY TRUST LP,DLR,US25389JAS50,,United States,100000,105,105,USD,ISHIBDD,8/7/2017,
10/2/2020,FIFTH THIRD BANCORP,FITB,US316773CU23,316773CU2,United States,170000,177,177,USD,ISHIBDD,6/15/2017,
10/2/2020,FIDELITY NATIONAL FINANCIAL INC,FNF,US31620RAF29,,United States,75000,82,82,USD,ISHIBDD,8/28/2012,
10/2/2020,FS INVESTMENT CORP,FSK,US302635AC17,302635AC1,United States,11000,11,11,USD,ISHIBDD,4/30/2015,
10/2/2020,GOLDMAN SACHS GROUP INC/THE,GS,US38141GWC40,,United States,522000,536,536,USD,ISHIBDD,1/26/2017,
10/2/2020,GOLDMAN SACHS GROUP INC/THE,GS,US38141GRD87,,United States,525000,565,565,USD,ISHIBDD,1/22/2013,
10/2/2020,GOLDMAN SACHS GROUP INC/THE,GS,US38141GWT74,38141GWT7,United States,143000,152,152,USD,ISHIBDD,1/23/2018,
10/2/2020,HUNTINGTON NATIONAL BANK (THE),HBAN,US44644MAA99,44644MAA9,United States,250000,258,258,USD,ISHIBDD,2/4/2020,
10/2/2020,HUMANA INC.,HUM,US444859BA90,444859BA9,United States,165000,175,175,USD,ISHIBDD,12/10/2012,
10/2/2020,HUMANA INC,HUM,US444859BJ00,444859BJ0,United States,24000,25,25,USD,ISHIBDD,12/21/2017,
10/2/2020,INTERCONTINENTAL EXCHANGE INC,ICE,US45866FAE43,45866FAE4,United States,156000,161,161,USD,ISHIBDD,8/17/2017,
10/2/2020,JEFFERIES GROUP INC,JEF,US472319AL69,472319AL6,United States,85000,93,93,USD,ISHIBDD,1/18/2013,
10/2/2020,JPMORGAN CHASE & CO,JPM,US46625HJE18,,United States,480000,508,508,USD,ISHIBDD,9/24/2012,
10/2/2020,JPMORGAN CHASE & CO,JPM,US48128BAB71,,United States,241000,250,250,USD,ISHIBDD,12/8/2016,
10/2/2020,JPMORGAN CHASE & CO,JPM,US46625HJH49,,United States,343000,367,367,USD,ISHIBDD,1/25/2013,
10/2/2020,KEYBANK NATIONAL ASSOCIATION,KEY,US49327M2Z60,49327M2Z6,United States,250000,255,255,USD,ISHIBDD,3/10/2020,
10/2/2020,KIMCO REALTY CORPORATION,KIM,US49446RAN98,,United States,100000,107,107,USD,ISHIBDD,10/19/2015,
10/2/2020,KILROY REALTY LP,KRC,US49427RAJ14,,United States,65000,68,68,USD,ISHIBDD,1/14/2013,
10/2/2020,METLIFE INC,MET,US59156RBF47,,United States,96000,102,102,USD,ISHIBDD,10/4/2012,
10/2/2020,MARSH & MCLENNAN COMPANIES INC,MMC,US571748BA95,571748BA9,United States,8000,9,9,USD,ISHIBDD,3/14/2016,
10/2/2020,MORGAN STANLEY,MS,US61744YAH18,61744YAH1,United States,489000,512,512,USD,ISHIBDD,5/19/2017,
10/2/2020,MORGAN STANLEY,MS,US6174824M37,,United States,435000,480,480,USD,ISHIBDD,10/23/2012,
10/2/2020,MORGAN STANLEY,MS,US61744YAN85,61744YAN8,United States,233000,248,248,USD,ISHIBDD,1/23/2018,
10/2/2020,MORGAN STANLEY,MS,US61746BDJ26,,United States,495000,533,533,USD,ISHIBDD,2/25/2013,
10/2/2020,MANUFACTURERS AND TRADERS TRUST CO,MTB,US55279HAL42,55279HAL4,United States,250000,260,260,USD,ISHIBDD,5/18/2017,
10/2/2020,UNIONBANCAL CORPORATION,UNBC,US908906AC47,,United States,191000,202,202,USD,ISHIBDD,6/18/2012,
10/2/2020,NATIONAL AUSTRALIA BANK LIMITED NE,NAB,US63254AAE82,63254AAE8,Australia,250000,266,266,USD,ISHIBDD,1/22/2013,
10/2/2020,REALTY INCOME CORPORATION,O,US756109AN42,,United States,185000,197,197,USD,ISHIBDD,10/10/2012,
10/2/2020,PEOPLES UNITED FINANCIAL INC,PBCT,US712704AA31,712704AA3,United States,90000,96,96,USD,ISHIBDD,12/6/2012,
10/2/2020,PNC BANK NATIONAL ASSOCIATION,PNC,US69349LAG32,,United States,265000,280,280,USD,ISHIBDD,10/22/2012,
10/2/2020,PNC FINANCIAL SERVICES GROUP INC,PNC,US693475AL94,693475AL9,United States,175000,185,185,USD,ISHIBDD,11/9/2012,
10/2/2020,PRIMERICA INC,PRI,US74164MAA62,,United States,100000,107,107,USD,ISHIBDD,7/16/2012,
10/2/2020,REGIONS FINANCIAL CORPORATION,RF,US7591EPAM25,7591EPAM2,United States,195000,203,203,USD,ISHIBDD,8/14/2017,
10/2/2020,SANTANDER HOLDINGS USA INC,SANUSA,US80282KAS50,80282KAS5,United States,225000,237,237,USD,ISHIBDD,3/1/2018,
10/2/2020,CHARLES SCHWAB CORPORATION (THE),SCHW,US808513AT29,808513AT2,United States,150000,158,158,USD,ISHIBDD,12/7/2017,
10/2/2020,SL GREEN OPERATING PARTNERSHIP LP,SLG,US78444FAF36,,United States,34000,35,35,USD,ISHIBDD,10/5/2017,
10/2/2020,SIMON PROPERTY GROUP LP,SPG,US828807CN59,828807CN5,United States,195000,204,204,USD,ISHIBDD,12/17/2012,
10/2/2020,SYNCHRONY BANK,SYF,US87166FAA12,,United States,250000,260,260,USD,ISHIBDD,6/12/2017,
10/2/2020,TRUIST FINANCIAL CORP MTN,TFC,US05531FAX15,05531FAX1,United States,225000,232,232,USD,ISHIBDD,3/21/2017,
10/2/2020,SUNTRUST BANK,TFC,US86787EBE68,,United States,205000,215,215,USD,ISHIBDD,5/17/2019,
10/2/2020,TRUIST FINANCIAL CORP MTN,TFC,US05531FBG72,05531FBG7,United States,210000,221,221,USD,ISHIBDD,3/18/2019,
10/2/2020,SUNTRUST BANK,TFC,US86787EAT47,,United States,237000,247,247,USD,ISHIBDD,7/31/2017,
10/2/2020,TRUIST BANK,TFC,US89788JAB52,89788JAB5,United States,250000,255,255,USD,ISHIBDD,3/9/2020,
10/2/2020,TRUIST FINANCIAL CORP MTN,TFC,US05531FBJ12,05531FBJ1,United States,170000,177,177,USD,ISHIBDD,9/16/2019,
10/2/2020,UNITEDHEALTH GROUP INC,UNH,US91324PDD15,91324PDD1,United States,9000,9,9,USD,ISHIBDD,10/25/2017,
10/2/2020,UNITEDHEALTH GROUP INC,UNH,US91324PBZ45,91324PBZ4,United States,260000,274,274,USD,ISHIBDD,10/22/2012,
10/2/2020,UNITEDHEALTH GROUP INC,UNH,US91324PCC41,,United States,205000,217,217,USD,ISHIBDD,2/28/2013,
10/2/2020,US BANCORP MTN,USB,US91159JAA43,,United States,280000,294,294,USD,ISHIBDD,7/23/2012,
10/2/2020,US BANK NATIONAL ASSOCIATION MTN,USB,US90331HPF46,90331HPF4,United States,250000,260,260,USD,ISHIBDD,12/9/2019,
10/2/2020,WELLTOWER INC,WELL,US42217KBA34,,United States,100000,106,106,USD,ISHIBDD,12/6/2012,
10/2/2020,WELLS FARGO & COMPANY,WFC,US95000U2B83,,United States,606000,632,632,USD,ISHIBDD,7/24/2017,
10/2/2020,WELLS FARGO & COMPANY,WFC,US949746SK86,,United States,482000,500,500,USD,ISHIBDD,1/24/2017,
10/2/2020,WELLS FARGO & CO MTN,WFC,US94974BFJ44,94974BFJ4,United States,325000,346,346,USD,ISHIBDD,2/13/2013,
10/2/2020,AGILENT TECHNOLOGIES INC,A,US00846UAH41,00846UAH4,United States,100000,105,105,USD,ISHIBDD,9/13/2012,
10/2/2020,APPLE INC,AAPL,US037833CQ11,,United States,198000,206,206,USD,ISHIBDD,5/11/2017,
10/2/2020,APPLE INC,AAPL,US037833BF64,,United States,135000,142,142,USD,ISHIBDD,5/13/2015,
10/2/2020,APPLE INC,AAPL,US037833DL15,037833DL1,United States,150000,154,154,USD,ISHIBDD,9/11/2019,
10/2/2020,APPLE INC,AAPL,US037833BU32,,United States,268000,284,284,USD,ISHIBDD,2/23/2016,
10/2/2020,ABB FINANCE USA INC,ABBNVX,US00037BAB80,,Switzerland,260000,273,273,USD,ISHIBDD,5/8/2012,
10/2/2020,ABBVIE INC 144A,ABBV,US00287YCG26,,United States,295000,308,308,USD,ISHIBDD,5/14/2020,
10/2/2020,ABBVIE INC,ABBV,US00287YAL39,00287YAL3,United States,520000,551,551,USD,ISHIBDD,8/5/2013,
10/2/2020,ABBVIE INC,ABBV,US00287YAP43,00287YAP4,United States,173000,184,184,USD,ISHIBDD,5/14/2015,
10/2/2020,ABBVIE INC 144A,ABBV,US00287YBL20,00287YBL2,United States,292000,305,305,USD,ISHIBDD,11/21/2019,
10/2/2020,ANHEUSER-BUSCH INBEV FINANCE INC,ABIBB,US035242AL09,,Belgium,307000,327,327,USD,ISHIBDD,1/25/2016,
10/2/2020,ADOBE INC,ADBE,US00724PAA75,00724PAA7,United States,108000,111,111,USD,ISHIBDD,2/3/2020,
10/2/2020,AMGEN INC,AMGN,US031162CP32,031162CP3,United States,209000,218,218,USD,ISHIBDD,5/11/2017,
10/2/2020,AMGEN INC,AMGN,US031162BN92,,United States,286000,302,302,USD,ISHIBDD,5/15/2012,
10/2/2020,AMERICAN TOWER CORP,AMT,US03027XAB64,03027XAB6,United States,253000,271,271,USD,ISHIBDD,1/8/2013,
10/2/2020,AMAZON.COM INC,AMZN,US023135AJ58,,United States,136000,143,143,USD,ISHIBDD,11/29/2012,
10/2/2020,AMAZON.COM INC,AMZN,US023135AW69,023135AW6,United States,105000,110,110,USD,ISHIBDD,6/6/2018,
10/2/2020,ARROW ELECTRONICS INC,ARW,US042735BD16,042735BD1,United States,100000,103,103,USD,ISHIBDD,3/2/2015,
10/2/2020,BROADCOM INC,AVGO,US11135FAX96,11135FAX9,United States,249000,264,264,USD,ISHIBDD,8/7/2020,
10/2/2020,BROADCOM CORPORATION/BROADCOM CAYM,AVGO,US11134LAM19,11134LAM1,United States,164000,171,171,USD,ISHIBDD,2/14/2018,
10/2/2020,AVNET INC,AVT,US053807AR45,,United States,33000,36,36,USD,ISHIBDD,11/27/2012,
10/2/2020,AUTOZONE INC,AZO,US053332AM44,053332AM4,United States,162000,171,171,USD,ISHIBDD,4/24/2012,
10/2/2020,BOEING CO,BA,US097023BW42,097023BW4,United States,100000,102,102,USD,ISHIBDD,2/23/2018,
10/2/2020,BAT CAPITAL CORP,BATSLN,US05526DAV73,05526DAV7,United Kingdom,496000,516,516,USD,ISHIBDD,11/20/2018,
10/2/2020,BECTON DICKINSON AND COMPANY,BDX,US075887BT55,075887BT5,United States,315000,329,329,USD,ISHIBDD,6/6/2017,
10/2/2020,BUNGE LIMITED FINANCE CORPORATION,BG,US120568AY67,120568AY6,United States,34000,35,35,USD,ISHIBDD,9/25/2017,
10/2/2020,BIOGEN INC,BIIB,US09062XAE31,,United States,221000,235,235,USD,ISHIBDD,9/15/2015,
10/2/2020,BRISTOL-MYERS SQUIBB CO,BMY,US110122AT56,,United States,199000,206,206,USD,ISHIBDD,7/31/2012,
10/2/2020,BRISTOL-MYERS SQUIBB CO,BMY,US110122CW67,110122CW6,United States,212000,224,224,USD,ISHIBDD,7/17/2020,
10/2/2020,BRISTOL-MYERS SQUIBB CO,BMY,US110122CX41,110122CX4,United States,232000,247,247,USD,ISHIBDD,7/15/2020,
10/2/2020,BRISTOL-MYERS SQUIBB CO,BMY,US110122CZ98,110122CZ9,United States,128000,137,137,USD,ISHIBDD,7/17/2020,
10/2/2020,BP CAPITAL MARKETS AMERICA INC.,BPLN,US10373QAJ94,10373QAJ9,United States,228000,241,241,USD,ISHIBDD,12/14/2018,
10/2/2020,BURLINGTON NORTHERN SANTA FE LLC,BNSF,US12189LAL53,12189LAL5,United States,125000,131,131,USD,ISHIBDD,8/23/2012,
10/2/2020,PRECISION CASTPARTS CORP.,PCP,US740189AG06,,United States,225000,236,236,USD,ISHIBDD,12/20/2012,
10/2/2020,BURLINGTON NORTHERN SANTA FE LLC,BNSF,US12189LAM37,12189LAM3,United States,150000,159,159,USD,ISHIBDD,3/12/2013,
10/2/2020,BOSTON SCIENTIFIC CORP,BSX,US101137AQ02,101137AQ0,United States,100000,106,106,USD,ISHIBDD,5/12/2015,
10/2/2020,CONAGRA BRANDS INC,CAG,US205887BR27,,United States,148000,157,157,USD,ISHIBDD,1/25/2013,
10/2/2020,CARDINAL HEALTH INC,CAH,US14149YBF43,,United States,200000,208,208,USD,ISHIBDD,6/12/2017,
10/2/2020,CARDINAL HEALTH INC,CAH,US14149YAY41,14149YAY4,United States,60000,64,64,USD,ISHIBDD,2/22/2013,
10/2/2020,CATERPILLAR FINANCIAL SERVICES COR MTN,CAT,US14913QAA76,14913QAA7,United States,30000,31,31,USD,ISHIBDD,6/6/2017,
10/2/2020,CATERPILLAR INC,CAT,US149123BX80,,United States,299000,311,311,USD,ISHIBDD,6/26/2012,
10/2/2020,CATERPILLAR FINANCIAL SERVICES COR MTN,CAT,US14913Q3C16,14913Q3C1,United States,209000,217,217,USD,ISHIBDD,1/13/2020,
10/2/2020,CATERPILLAR FINANCIAL SERVICES COR MTN,CAT,US14913Q2E80,,United States,100000,105,105,USD,ISHIBDD,11/29/2017,
10/2/2020,CROWN CASTLE INTERNATIONAL CORP,CCI,US228227BD57,228227BD5,United States,280000,311,311,USD,ISHIBDD,2/28/2013,
10/2/2020,CELANESE US HOLDINGS LLC,CE,US15089QAD60,,United States,100000,108,108,USD,ISHIBDD,11/13/2012,
10/2/2020,CHURCH & DWIGHT CO INC,CHD,US171340AH58,,United States,125000,131,131,USD,ISHIBDD,9/26/2012,
10/2/2020,CHARTER COMMUNICATIONS OPERATING L,CHTR,US161175BB96,161175BB9,United States,440000,470,470,USD,ISHIBDD,12/1/2016,
10/2/2020,TIME WARNER ENTERTAINMENT CMPNY LP,TWC,US88731EAF79,,United States,134000,158,158,USD,ISHIBDD,11/5/1993,
10/2/2020,CIGNA CORP,CI,US125523BT66,125523BT6,United States,109000,115,115,USD,ISHIBDD,7/13/2020,
10/2/2020,COLGATE-PALMOLIVE CO MTN,CL,US19416QEA40,19416QEA4,United States,165000,172,172,USD,ISHIBDD,8/1/2012,
10/2/2020,CLOROX CO,CLX,US189054AT60,189054AT6,United States,193000,202,202,USD,ISHIBDD,9/13/2012,
10/2/2020,COMCAST CABLE COMMUNICATIONS HOLDI,CMCSA,US00209TAB17,,United States,185000,227,227,USD,ISHIBDD,11/18/2002,
10/2/2020,CNH INDUSTRIAL CAPITAL LLC,CNHI,US12592BAH78,,United States,11000,12,12,USD,ISHIBDD,4/10/2017,
10/2/2020,CAMPBELL SOUP COMPANY,CPB,US134429BE86,134429BE8,United States,125000,134,134,USD,ISHIBDD,3/16/2018,
10/2/2020,CISCO SYSTEMS INC,CSCO,US17275RAV42,,United States,10000,11,11,USD,ISHIBDD,6/17/2015,
10/2/2020,CISCO SYSTEMS INC,CSCO,US17275RBE18,17275RBE1,United States,75000,79,79,USD,ISHIBDD,2/29/2016,
10/2/2020,CVS HEALTH CORP,CVS,US126650CK42,,United States,290000,306,306,USD,ISHIBDD,7/20/2015,
10/2/2020,CVS HEALTH CORP,CVS,US126650BZ20,,United States,225000,237,237,USD,ISHIBDD,11/29/2012,
10/2/2020,CVS HEALTH CORP,CVS,US126650CQ12,126650CQ1,United States,5000,5,5,USD,ISHIBDD,6/7/2016,
10/2/2020,CVS HEALTH CORP,CVS,US126650CV07,126650CV0,United States,439000,471,471,USD,ISHIBDD,3/9/2018,
10/2/2020,CHEVRON CORP,CVX,US166764AB69,,United States,345000,361,361,USD,ISHIBDD,12/5/2012,
10/2/2020,DEERE & CO,DE,US244199BE40,,United States,211000,220,220,USD,ISHIBDD,6/8/2012,
10/2/2020,JOHN DEERE CAPITAL CORP MTN,DE,US24422ETV10,24422ETV1,United States,96000,100,100,USD,ISHIBDD,9/8/2017,
10/2/2020,JOHN DEERE CAPITAL CORP,DE,US24422ERT81,,United States,50000,53,53,USD,ISHIBDD,6/29/2012,
10/2/2020,JOHN DEERE CAPITAL CORP,DE,US24422ETG43,,United States,374000,397,397,USD,ISHIBDD,3/4/2016,
10/2/2020,VMWARE INC,VMW,US928563AB16,928563AB1,United States,215000,225,225,USD,ISHIBDD,8/21/2017,
10/2/2020,DIAGEO INVESTMENT CORPORATION,DGELN,US25245BAB36,25245BAB3,United Kingdom,256000,269,269,USD,ISHIBDD,5/11/2012,
10/2/2020,D R HORTON INC,DHI,US23331ABE82,,United States,10000,11,11,USD,ISHIBDD,9/14/2012,
10/2/2020,WALT DISNEY CO,DIS,US254687CM62,254687CM6,United States,175000,184,184,USD,ISHIBDD,11/22/2019,
10/2/2020,WALT DISNEY COMPANY (THE) MTN,DIS,US25468PCW41,,United States,147000,154,154,USD,ISHIBDD,11/30/2012,
10/2/2020,DISCOVERY COMMUNICATIONS LLC,DISCA,US25470DAQ25,25470DAQ2,United States,19000,20,20,USD,ISHIBDD,9/21/2017,
10/2/2020,EBAY INC,EBAY,US278642AE34,,United States,200000,207,207,USD,ISHIBDD,7/24/2012,
10/2/2020,EBAY INC,EBAY,US278642AS20,278642AS2,United States,116000,122,122,USD,ISHIBDD,6/6/2017,
10/2/2020,ECOLAB INC,ECL,US278865AY63,278865AY6,United States,181000,188,188,USD,ISHIBDD,8/10/2017,
10/2/2020,EQUIFAX INC.,EFX,US294429AJ43,,United States,84000,89,89,USD,ISHIBDD,12/17/2012,
10/2/2020,EASTMAN CHEMICAL CO,EMN,US277432AN05,277432AN0,United States,135000,142,142,USD,ISHIBDD,6/5/2012,
10/2/2020,EOG RESOURCES INC.,EOG,US26875PAK75,,United States,235000,245,245,USD,ISHIBDD,9/10/2012,
10/2/2020,ENTERPRISE PRODUCTS OPERATING LLC,EPD,US29379VAZ67,29379VAZ6,United States,198000,210,210,USD,ISHIBDD,3/18/2013,
10/2/2020,REGENCY ENERGY PARTNERS LP/REGENCY,ETP,US75886AAQ13,75886AAQ1,United States,145000,153,153,USD,ISHIBDD,7/25/2014,
10/2/2020,SUNOCO LOGISTICS PARTNERS LP,ETP,US86765BAL36,,United States,100000,103,103,USD,ISHIBDD,1/10/2013,
10/2/2020,ENERGY TRANSFER PARTNERS LP,ETP,US29273RAS85,29273RAS8,United States,175000,181,181,USD,ISHIBDD,1/22/2013,
10/2/2020,EATON CORPORATION,ETN,US278062AC86,,United States,268000,284,284,USD,ISHIBDD,11/7/2013,
10/2/2020,FEDEX CORP,FDX,US31428XAS53,31428XAS5,United States,146000,152,152,USD,ISHIBDD,7/27/2012,
