,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBDN,2021-12-31,WORST,2022-01-06,4140.01,2084420.499,2088560.509
1,IBDN,2021-12-31,WORST,2022-01-10,3752.582,228434.505,232187.087
2,IBDN,2021-12-31,WORST,2022-01-11,3761.863,264488.818,268250.681
3,IBDN,2021-12-31,WORST,2022-01-12,1943.896,46277.955,48221.851
4,IBDN,2021-12-31,WORST,2022-01-13,362.3,0.0,362.3
5,IBDN,2021-12-31,WORST,2022-01-14,2578.514,114600.639,117179.153
6,IBDN,2021-12-31,WORST,2022-01-15,1366.406,118817.891,120184.297
7,IBDN,2021-12-31,WORST,2022-01-18,14356.533,224504.792,238861.325
8,IBDN,2021-12-31,WORST,2022-01-20,1551.518,0.0,1551.518
9,IBDN,2021-12-31,WORST,2022-01-21,263.162,29105.431,29368.593
10,IBDN,2021-12-31,WORST,2022-01-24,18166.48,494041.534,512208.013
11,IBDN,2021-12-31,WORST,2022-01-25,2951.924,37380.192,40332.116
12,IBDN,2021-12-31,WORST,2022-01-27,943.89,75511.182,76455.072
13,IBDN,2021-12-31,WORST,2022-01-28,510.938,0.0,510.938
14,IBDN,2021-12-31,WORST,2022-01-30,7929.808,707236.422,715166.23
15,IBDN,2021-12-31,WORST,2022-01-31,3465.192,116198.083,119663.275
16,IBDN,2021-12-31,WORST,2022-02-01,8251.176,295175.719,303426.895
17,IBDN,2021-12-31,WORST,2022-02-02,852.147,0.0,852.147
18,IBDN,2021-12-31,WORST,2022-02-03,393.555,37811.502,38205.056
19,IBDN,2021-12-31,WORST,2022-02-06,540.066,39808.307,40348.373
20,IBDN,2021-12-31,WORST,2022-02-07,895.95,39952.077,40848.027
21,IBDN,2021-12-31,WORST,2022-02-08,3235.042,136980.831,140215.873
22,IBDN,2021-12-31,WORST,2022-02-09,3915.217,229376.997,233292.214
23,IBDN,2021-12-31,WORST,2022-02-10,1889.924,144456.869,146346.793
24,IBDN,2021-12-31,WORST,2022-02-11,894.517,0.0,894.517
25,IBDN,2021-12-31,WORST,2022-02-14,3003.031,146853.035,149856.066
26,IBDN,2021-12-31,WORST,2022-02-15,12718.959,294265.176,306984.134
27,IBDN,2021-12-31,WORST,2022-02-16,571.056,0.0,571.056
28,IBDN,2021-12-31,WORST,2022-02-17,1536.032,59057.508,60593.54
29,IBDN,2021-12-31,WORST,2022-02-22,3161.093,67364.217,70525.31
30,IBDN,2021-12-31,WORST,2022-02-23,570.671,0.0,570.671
31,IBDN,2021-12-31,WORST,2022-02-24,1447.436,46485.623,47933.059
32,IBDN,2021-12-31,WORST,2022-02-28,3077.641,216453.674,219531.315
33,IBDN,2021-12-31,WORST,2022-03-01,11188.415,383961.661,395150.077
34,IBDN,2021-12-31,WORST,2022-03-04,407.616,33274.76,33682.376
35,IBDN,2021-12-31,WORST,2022-03-07,4928.091,281948.882,286876.973
36,IBDN,2021-12-31,WORST,2022-03-08,9963.65,549073.482,559037.133
37,IBDN,2021-12-31,WORST,2022-03-11,3560.301,52444.089,56004.391
38,IBDN,2021-12-31,WORST,2022-03-14,2525.609,0.0,2525.609
39,IBDN,2021-12-31,WORST,2022-03-15,25157.501,356054.313,381211.814
40,IBDN,2021-12-31,WORST,2022-03-21,2187.524,0.0,2187.524
41,IBDN,2021-12-31,WORST,2022-03-22,730.591,48706.07,49436.661
42,IBDN,2021-12-31,WORST,2022-03-23,3422.364,0.0,3422.364
43,IBDN,2021-12-31,WORST,2022-03-25,2875.046,162507.987,165383.033
44,IBDN,2021-12-31,WORST,2022-03-28,2820.375,90846.645,93667.021
45,IBDN,2021-12-31,WORST,2022-03-29,1327.68,84297.125,85624.804
46,IBDN,2021-12-31,WORST,2022-03-30,1244.728,62236.422,63481.15
47,IBDN,2021-12-31,WORST,2022-04-01,11638.129,103482.428,115120.557
48,IBDN,2021-12-31,WORST,2022-04-02,375.599,40063.898,40439.497
