,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2022 Term Corporate ETF
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"124,245,999.96",7.9,"124,245,999.96","124,246,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
WELLS FARGO & COMPANY,Corporates,Fixed Income,"31,121,483.21",1.98,"31,121,483.21","30,608,000.00",94974BFC9,US94974BFC90,B754254,100.58,United States,-,USD,0.18,0.38,1.0,"Mar 08, 2022",3.5,0.19,-,0.38,0.19,0.38,USD,"Mar 08, 2012","Mar 08, 2012"
GOLDMAN SACHS GROUP INC/THE,Corporates,Fixed Income,"20,204,785.27",1.28,"20,204,785.27","19,653,000.00",38141GGS7,US38141GGS75,B94Q103,100.3,United States,-,USD,0.07,1.03,1.0,"Jan 24, 2022",5.75,0.06,-,1.03,0.06,1.03,USD,"Jan 24, 2012","Jan 24, 2012"
ABBVIE INC,Corporates,Fixed Income,"14,664,597.31",0.93,"14,664,597.31","14,366,000.00",00287YCT4,US00287YCT47,-,101.27,United States,-,USD,0.49,1.54,1.0,"Oct 01, 2022",3.25,0.74,-,0.71,0.49,0.71,USD,"Oct 01, 2020","Nov 17, 2020"
JPMORGAN CHASE & CO,Corporates,Fixed Income,"13,561,421.30",0.86,"13,561,421.30","13,184,000.00",46625HJE1,US46625HJE18,B8FF362,101.98,United States,-,USD,0.72,0.52,1.0,"Sep 23, 2022",3.25,0.72,-,0.52,0.72,0.52,USD,"Sep 24, 2012","Sep 24, 2012"
ABBVIE INC,Corporates,Fixed Income,"12,395,576.56",0.79,"12,395,576.56","12,117,000.00",00287YAL3,US00287YAL39,BD035B5,101.86,United States,-,USD,0.84,0.7,1.0,"Nov 06, 2022",2.9,0.84,-,0.7,0.84,0.7,USD,"May 06, 2013","Aug 05, 2013"
CHARTER COMMUNICATIONS OPERATING L,Corporates,Fixed Income,"12,080,463.70",0.77,"12,080,463.70","11,677,000.00",161175BB9,US161175BB96,BDFF420,101.5,United States,-,USD,0.38,1.77,1.0,"Jul 23, 2022",4.46,0.55,-,0.66,0.38,0.66,USD,"Jul 23, 2016","Dec 01, 2016"
MORGAN STANLEY,Corporates,Fixed Income,"11,764,993.11",0.75,"11,764,993.11","11,627,000.00",61744YAH1,US61744YAH18,BZ08VN8,100.87,United States,-,USD,0.38,0.49,1.0,"May 19, 2022",2.75,0.38,-,0.49,0.38,0.49,USD,"May 19, 2017","May 19, 2017"
INTERNATIONAL BUSINESS MACHINES CO,Corporates,Fixed Income,"10,490,560.34",0.67,"10,490,560.34","10,359,000.00",459200JX0,US459200JX08,BK59283,100.89,United States,-,USD,0.36,0.42,1.0,"May 13, 2022",2.85,0.37,-,0.42,0.37,0.42,USD,"May 15, 2019","May 15, 2019"
ORACLE CORPORATION,Corporates,Fixed Income,"10,008,386.69",0.64,"10,008,386.69","9,819,000.00",68389XAP0,US68389XAP06,B84CSM5,101.4,United States,-,USD,0.79,0.72,1.0,"Oct 15, 2022",2.5,0.78,-,0.72,0.78,0.72,USD,"Oct 25, 2012","Oct 25, 2012"
ABBVIE INC,Corporates,Fixed Income,"9,905,427.46",0.63,"9,905,427.46","9,742,000.00",00287YBM0,US00287YBM03,BK76XL2,101.42,United States,-,USD,0.88,0.69,1.0,"Nov 21, 2022",2.3,0.88,-,0.69,0.88,0.69,USD,"May 21, 2020","Nov 19, 2020"
PACIFIC GAS AND ELECTRIC COMPANY,Corporates,Fixed Income,"9,695,379.72",0.62,"9,695,379.72","9,695,000.00",694308JE8,US694308JE87,-,99.93,United States,-,USD,0.39,1.9,1.0,"Jun 16, 2022",1.75,0.45,-,1.9,0.45,1.9,USD,"Jun 19, 2020","Jun 19, 2020"
CREDIT SUISSE GROUP FUNDING GUERNS,Corporates,Fixed Income,"9,556,873.14",0.61,"9,556,873.14","9,254,000.00",225433AH4,US225433AH43,BYVXP44,102.15,Switzerland,-,USD,0.7,0.73,1.0,"Sep 15, 2022",3.8,0.69,-,0.73,0.69,0.73,USD,"Sep 15, 2015","Jan 14, 2016"
COOPERATIEVE CENTRALE RAIFFESEN BO MTN,Corporates,Fixed Income,"8,734,430.35",0.56,"8,734,430.35","8,575,000.00",21685WDD6,US21685WDD65,B7BW3B5,100.32,Netherlands,-,USD,0.11,0.75,1.0,"Feb 08, 2022",3.88,0.1,-,0.75,0.1,0.75,USD,"Feb 08, 2012","Feb 08, 2012"
MITSUBISHI UFJ FINANCIAL GROUP INC,Corporates,Fixed Income,"8,615,397.56",0.55,"8,615,397.56","8,420,000.00",606822BL7,US606822BL79,BKFH1N5,101.13,Japan,-,USD,0.54,0.55,1.0,"Jul 18, 2022",2.62,0.54,-,0.55,0.54,0.55,USD,"Jul 18, 2019","Jul 18, 2019"
CITIGROUP INC,Corporates,Fixed Income,"8,556,458.88",0.54,"8,556,458.88","8,384,000.00",172967LQ2,US172967LQ21,BYWG519,101.58,United States,-,USD,0.73,0.77,1.0,"Oct 27, 2022",2.7,0.81,-,0.56,0.73,0.56,USD,"Oct 27, 2017","Oct 27, 2017"
CITIGROUP INC,Corporates,Fixed Income,"8,537,640.58",0.54,"8,537,640.58","8,450,000.00",172967LG4,US172967LG49,BF1ZBP0,100.53,United States,-,USD,0.23,1.06,1.0,"Apr 25, 2022",2.75,0.32,-,0.46,0.24,0.46,USD,"Apr 25, 2017","Apr 25, 2017"
ORACLE CORPORATION,Corporates,Fixed Income,"8,309,948.81",0.53,"8,309,948.81","8,251,000.00",68389XBB0,US68389XBB01,BWTM323,100.4,United States,-,USD,0.2,1.43,1.0,"May 15, 2022",2.5,0.37,-,0.57,0.21,0.57,USD,"May 05, 2015","May 05, 2015"
CHEVRON CORP,Corporates,Fixed Income,"8,253,040.40",0.52,"8,253,040.40","8,137,000.00",166764AB6,US166764AB69,B7VZR56,101.26,United States,-,USD,0.68,0.99,1.0,"Dec 05, 2022",2.36,0.92,-,0.49,0.67,0.49,USD,"Dec 05, 2012","Dec 05, 2012"
VISA INC,Corporates,Fixed Income,"7,886,855.24",0.5,"7,886,855.24","7,735,000.00",92826CAC6,US92826CAC64,BYPHGM7,101.83,United States,-,USD,0.78,0.87,1.0,"Dec 14, 2022",2.8,0.94,-,0.46,0.78,0.46,USD,"Dec 14, 2015","Dec 14, 2015"
MITSUBISHI UFJ FINANCIAL GROUP INC,Corporates,Fixed Income,"7,835,937.43",0.5,"7,835,937.43","7,660,000.00",606822AP9,US606822AP92,BF8F0S9,101.14,Japan,-,USD,0.56,0.64,1.0,"Jul 25, 2022",2.67,0.56,-,0.64,0.56,0.64,USD,"Jul 25, 2017","Jul 25, 2017"
MORGAN STANLEY,Corporates,Fixed Income,"7,817,729.73",0.5,"7,817,729.73","7,501,000.00",6174824M3,US6174824M37,B970NV7,103.41,United States,-,USD,0.82,0.76,1.0,"Nov 01, 2022",4.88,0.82,-,0.76,0.82,0.76,USD,"Oct 23, 2012","Oct 23, 2012"
AT&T INC,Corporates,Fixed Income,"7,746,316.47",0.49,"7,746,316.47","7,684,000.00",00206RCM2,US00206RCM25,BX2KBC7,100.81,United States,-,USD,0.33,1.37,1.0,"Jun 30, 2022",3.0,0.5,-,0.56,0.33,0.56,USD,"May 04, 2015","May 04, 2015"
TRUIST FINANCIAL CORP MTN,Corporates,Fixed Income,"7,658,087.88",0.49,"7,658,087.88","7,577,000.00",05531FBG7,US05531FBG72,BJ0M5B4,100.98,United States,-,USD,0.38,0.96,1.0,"Jun 20, 2022",3.05,0.47,-,0.51,0.39,0.51,USD,"Mar 18, 2019","Mar 18, 2019"
JPMORGAN CHASE & CO,Corporates,Fixed Income,"7,601,876.91",0.48,"7,601,876.91","7,439,000.00",46625HJD3,US46625HJD35,B7DX9Z2,100.23,United States,-,USD,0.07,0.93,1.0,"Jan 24, 2022",4.5,0.06,-,0.93,0.06,0.93,USD,"Jan 23, 2012","Jan 23, 2012"
BARCLAYS BANK PLC,Corporates,Fixed Income,"7,529,288.75",0.48,"7,529,288.75","7,488,000.00",06739GCR8,US06739GCR83,-,100.32,United Kingdom,-,USD,0.28,0.82,1.0,"May 12, 2022",1.7,0.36,-,0.55,0.28,0.55,USD,"May 12, 2020","May 12, 2020"
ABBVIE INC,Corporates,Fixed Income,"7,522,037.00",0.48,"7,522,037.00","7,438,000.00",00287YCS6,US00287YCS63,-,100.11,United States,-,USD,0.04,2.86,1.0,"Mar 15, 2022",3.45,0.2,-,0.48,0.04,0.48,USD,"Sep 15, 2020","Nov 19, 2020"
