,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBDO,2021-12-31,WORST,2022-01-06,4254.196,1210533.346,1214787.542
1,IBDO,2021-12-31,WORST,2022-01-07,442.742,0.0,442.742
2,IBDO,2021-12-31,WORST,2022-01-10,4648.294,0.0,4648.294
3,IBDO,2021-12-31,WORST,2022-01-11,4780.588,0.0,4780.588
4,IBDO,2021-12-31,WORST,2022-01-13,1188.3,0.0,1188.3
5,IBDO,2021-12-31,WORST,2022-01-14,1142.962,0.0,1142.962
6,IBDO,2021-12-31,WORST,2022-01-18,21336.076,0.0,21336.076
7,IBDO,2021-12-31,WORST,2022-01-19,2882.166,0.0,2882.166
8,IBDO,2021-12-31,WORST,2022-01-20,1292.246,0.0,1292.246
9,IBDO,2021-12-31,WORST,2022-01-24,9715.787,0.0,9715.787
10,IBDO,2021-12-31,WORST,2022-01-25,4412.212,0.0,4412.212
11,IBDO,2021-12-31,WORST,2022-01-26,2901.251,0.0,2901.251
12,IBDO,2021-12-31,WORST,2022-01-27,916.183,0.0,916.183
13,IBDO,2021-12-31,WORST,2022-01-31,7450.346,0.0,7450.346
14,IBDO,2021-12-31,WORST,2022-02-01,10295.433,0.0,10295.433
15,IBDO,2021-12-31,WORST,2022-02-02,593.538,0.0,593.538
16,IBDO,2021-12-31,WORST,2022-02-03,2590.162,0.0,2590.162
17,IBDO,2021-12-31,WORST,2022-02-04,414.285,71000.0,71414.285
18,IBDO,2021-12-31,WORST,2022-02-07,1009.054,0.0,1009.054
19,IBDO,2021-12-31,WORST,2022-02-08,2029.708,0.0,2029.708
20,IBDO,2021-12-31,WORST,2022-02-09,458.492,0.0,458.492
21,IBDO,2021-12-31,WORST,2022-02-10,828.962,0.0,828.962
22,IBDO,2021-12-31,WORST,2022-02-11,1180.008,0.0,1180.008
23,IBDO,2021-12-31,WORST,2022-02-14,2551.931,0.0,2551.931
24,IBDO,2021-12-31,WORST,2022-02-15,12154.003,0.0,12154.003
25,IBDO,2021-12-31,WORST,2022-02-16,2959.523,0.0,2959.523
26,IBDO,2021-12-31,WORST,2022-02-17,996.962,0.0,996.962
27,IBDO,2021-12-31,WORST,2022-02-18,608.077,0.0,608.077
28,IBDO,2021-12-31,WORST,2022-02-22,2682.208,0.0,2682.208
29,IBDO,2021-12-31,WORST,2022-02-23,3628.71,0.0,3628.71
30,IBDO,2021-12-31,WORST,2022-02-24,126.923,0.0,126.923
31,IBDO,2021-12-31,WORST,2022-02-25,2925.635,0.0,2925.635
32,IBDO,2021-12-31,WORST,2022-02-28,3237.681,0.0,3237.681
33,IBDO,2021-12-31,WORST,2022-03-01,12826.489,0.0,12826.489
34,IBDO,2021-12-31,WORST,2022-03-02,1762.237,0.0,1762.237
35,IBDO,2021-12-31,WORST,2022-03-03,1294.5,0.0,1294.5
36,IBDO,2021-12-31,WORST,2022-03-07,2939.638,0.0,2939.638
37,IBDO,2021-12-31,WORST,2022-03-08,205.967,0.0,205.967
38,IBDO,2021-12-31,WORST,2022-03-09,347.692,0.0,347.692
39,IBDO,2021-12-31,WORST,2022-03-10,679.667,0.0,679.667
40,IBDO,2021-12-31,WORST,2022-03-11,359.042,0.0,359.042
41,IBDO,2021-12-31,WORST,2022-03-14,5308.012,0.0,5308.012
42,IBDO,2021-12-31,WORST,2022-03-15,25149.765,0.0,25149.765
43,IBDO,2021-12-31,WORST,2022-03-16,1448.646,0.0,1448.646
44,IBDO,2021-12-31,WORST,2022-03-18,1456.121,0.0,1456.121
45,IBDO,2021-12-31,WORST,2022-03-21,3390.338,0.0,3390.338
46,IBDO,2021-12-31,WORST,2022-03-22,478.125,0.0,478.125
47,IBDO,2021-12-31,WORST,2022-03-23,1935.308,0.0,1935.308
48,IBDO,2021-12-31,WORST,2022-03-25,736.492,0.0,736.492
49,IBDO,2021-12-31,WORST,2022-03-28,1650.685,0.0,1650.685
50,IBDO,2021-12-31,WORST,2022-03-29,1922.712,0.0,1922.712
51,IBDO,2021-12-31,WORST,2022-03-30,675.823,0.0,675.823
52,IBDO,2021-12-31,WORST,2022-03-31,1371.7,0.0,1371.7
