,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBDP,2021-12-31,WORST,2022-01-06,7014.711,518125.022,525139.733
1,IBDP,2021-12-31,WORST,2022-01-10,5531.941,0.0,5531.941
2,IBDP,2021-12-31,WORST,2022-01-11,351.804,0.0,351.804
3,IBDP,2021-12-31,WORST,2022-01-12,1180.78,0.0,1180.78
4,IBDP,2021-12-31,WORST,2022-01-18,20214.242,0.0,20214.242
5,IBDP,2021-12-31,WORST,2022-01-19,78.297,0.0,78.297
6,IBDP,2021-12-31,WORST,2022-01-24,9467.952,0.0,9467.952
7,IBDP,2021-12-31,WORST,2022-01-25,3553.268,0.0,3553.268
8,IBDP,2021-12-31,WORST,2022-01-26,1605.417,0.0,1605.417
9,IBDP,2021-12-31,WORST,2022-01-31,5632.741,0.0,5632.741
10,IBDP,2021-12-31,WORST,2022-02-01,13226.365,0.0,13226.365
11,IBDP,2021-12-31,WORST,2022-02-02,188.0,0.0,188.0
12,IBDP,2021-12-31,WORST,2022-02-04,1425.926,0.0,1425.926
13,IBDP,2021-12-31,WORST,2022-02-07,8852.049,0.0,8852.049
14,IBDP,2021-12-31,WORST,2022-02-08,1528.567,0.0,1528.567
15,IBDP,2021-12-31,WORST,2022-02-09,1339.853,0.0,1339.853
16,IBDP,2021-12-31,WORST,2022-02-10,1242.148,0.0,1242.148
17,IBDP,2021-12-31,WORST,2022-02-11,1297.11,0.0,1297.11
18,IBDP,2021-12-31,WORST,2022-02-14,4514.851,0.0,4514.851
19,IBDP,2021-12-31,WORST,2022-02-15,24196.895,0.0,24196.895
20,IBDP,2021-12-31,WORST,2022-02-16,1224.832,0.0,1224.832
21,IBDP,2021-12-31,WORST,2022-02-18,45.231,0.0,45.231
22,IBDP,2021-12-31,WORST,2022-02-22,4534.083,0.0,4534.083
23,IBDP,2021-12-31,WORST,2022-02-23,27.366,0.0,27.366
24,IBDP,2021-12-31,WORST,2022-02-25,1196.996,0.0,1196.996
25,IBDP,2021-12-31,WORST,2022-02-28,6333.955,0.0,6333.955
26,IBDP,2021-12-31,WORST,2022-03-01,14011.711,0.0,14011.711
27,IBDP,2021-12-31,WORST,2022-03-03,4174.518,0.0,4174.518
28,IBDP,2021-12-31,WORST,2022-03-04,2948.86,0.0,2948.86
29,IBDP,2021-12-31,WORST,2022-03-07,4595.968,0.0,4595.968
30,IBDP,2021-12-31,WORST,2022-03-08,858.216,0.0,858.216
31,IBDP,2021-12-31,WORST,2022-03-09,5092.789,0.0,5092.789
32,IBDP,2021-12-31,WORST,2022-03-10,3819.203,0.0,3819.203
33,IBDP,2021-12-31,WORST,2022-03-11,5467.168,0.0,5467.168
34,IBDP,2021-12-31,WORST,2022-03-14,6984.557,0.0,6984.557
35,IBDP,2021-12-31,WORST,2022-03-15,23728.615,0.0,23728.615
36,IBDP,2021-12-31,WORST,2022-03-17,157.618,0.0,157.618
37,IBDP,2021-12-31,WORST,2022-03-18,744.653,0.0,744.653
38,IBDP,2021-12-31,WORST,2022-03-21,1738.026,0.0,1738.026
39,IBDP,2021-12-31,WORST,2022-03-22,312.758,0.0,312.758
40,IBDP,2021-12-31,WORST,2022-03-25,512.028,0.0,512.028
41,IBDP,2021-12-31,WORST,2022-03-28,750.572,0.0,750.572
42,IBDP,2021-12-31,WORST,2022-03-29,424.286,0.0,424.286
43,IBDP,2021-12-31,WORST,2022-03-30,1093.136,0.0,1093.136
44,IBDP,2021-12-31,WORST,2022-04-01,20274.927,0.0,20274.927
45,IBDP,2021-12-31,WORST,2022-04-04,908.497,0.0,908.497
46,IBDP,2021-12-31,WORST,2022-04-07,484.641,0.0,484.641
47,IBDP,2021-12-31,WORST,2022-04-11,3764.294,436.913,4201.206
48,IBDP,2021-12-31,WORST,2022-04-12,224.608,0.0,224.608
49,IBDP,2021-12-31,WORST,2022-04-13,1314.166,0.0,1314.166
50,IBDP,2021-12-31,WORST,2022-04-15,13178.85,0.0,13178.85
51,IBDP,2021-12-31,WORST,2022-04-18,1611.41,0.0,1611.41
52,IBDP,2021-12-31,WORST,2022-04-19,2974.443,0.0,2974.443
53,IBDP,2021-12-31,WORST,2022-04-22,1420.281,0.0,1420.281
54,IBDP,2021-12-31,WORST,2022-04-25,4976.216,0.0,4976.216
55,IBDP,2021-12-31,WORST,2022-04-26,938.918,0.0,938.918
56,IBDP,2021-12-31,WORST,2022-04-29,6167.568,370.388,6537.956
57,IBDP,2021-12-31,WORST,2022-05-02,17588.712,0.0,17588.712
58,IBDP,2021-12-31,WORST,2022-05-04,2314.742,0.0,2314.742
59,IBDP,2021-12-31,WORST,2022-05-05,761.965,0.0,761.965
60,IBDP,2021-12-31,WORST,2022-05-06,4775.999,0.0,4775.999
61,IBDP,2021-12-31,WORST,2022-05-09,3240.908,0.0,3240.908
62,IBDP,2021-12-31,WORST,2022-05-10,683.278,0.0,683.278
63,IBDP,2021-12-31,WORST,2022-05-11,2573.163,0.0,2573.163
64,IBDP,2021-12-31,WORST,2022-05-12,296.346,0.0,296.346
65,IBDP,2021-12-31,WORST,2022-05-13,1914.874,0.0,1914.874
66,IBDP,2021-12-31,WORST,2022-05-16,26694.926,0.0,26694.926
