,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBDQ,2021-12-31,WORST,2022-01-06,1601.464,446149.237,447750.701
1,IBDQ,2021-12-31,WORST,2022-01-10,3833.794,0.0,3833.794
2,IBDQ,2021-12-31,WORST,2022-01-11,959.001,0.0,959.001
3,IBDQ,2021-12-31,WORST,2022-01-13,1819.745,0.0,1819.745
4,IBDQ,2021-12-31,WORST,2022-01-14,331.976,0.0,331.976
5,IBDQ,2021-12-31,WORST,2022-01-18,29330.163,0.0,29330.163
6,IBDQ,2021-12-31,WORST,2022-01-20,2543.61,0.0,2543.61
7,IBDQ,2021-12-31,WORST,2022-01-21,539.847,0.0,539.847
8,IBDQ,2021-12-31,WORST,2022-01-24,16729.886,0.0,16729.886
9,IBDQ,2021-12-31,WORST,2022-01-27,1015.056,0.0,1015.056
10,IBDQ,2021-12-31,WORST,2022-01-28,2121.067,0.0,2121.067
11,IBDQ,2021-12-31,WORST,2022-01-31,2823.534,0.0,2823.534
12,IBDQ,2021-12-31,WORST,2022-02-01,14005.346,0.0,14005.346
13,IBDQ,2021-12-31,WORST,2022-02-03,813.014,0.0,813.014
14,IBDQ,2021-12-31,WORST,2022-02-04,1710.349,0.0,1710.349
15,IBDQ,2021-12-31,WORST,2022-02-07,2358.518,0.0,2358.518
16,IBDQ,2021-12-31,WORST,2022-02-08,2035.909,0.0,2035.909
17,IBDQ,2021-12-31,WORST,2022-02-09,820.774,0.0,820.774
18,IBDQ,2021-12-31,WORST,2022-02-10,2169.501,0.0,2169.501
19,IBDQ,2021-12-31,WORST,2022-02-11,750.267,0.0,750.267
20,IBDQ,2021-12-31,WORST,2022-02-14,2437.721,0.0,2437.721
21,IBDQ,2021-12-31,WORST,2022-02-15,14150.775,472.101,14622.876
22,IBDQ,2021-12-31,WORST,2022-02-16,1733.656,0.0,1733.656
23,IBDQ,2021-12-31,WORST,2022-02-17,267.24,0.0,267.24
24,IBDQ,2021-12-31,WORST,2022-02-18,3198.569,0.0,3198.569
25,IBDQ,2021-12-31,WORST,2022-02-22,3301.721,0.0,3301.721
26,IBDQ,2021-12-31,WORST,2022-02-23,533.824,0.0,533.824
27,IBDQ,2021-12-31,WORST,2022-02-24,568.534,0.0,568.534
28,IBDQ,2021-12-31,WORST,2022-02-25,1747.841,0.0,1747.841
29,IBDQ,2021-12-31,WORST,2022-02-28,819.796,0.0,819.796
30,IBDQ,2021-12-31,WORST,2022-03-01,12559.901,0.0,12559.901
31,IBDQ,2021-12-31,WORST,2022-03-02,908.981,0.0,908.981
32,IBDQ,2021-12-31,WORST,2022-03-03,517.133,0.0,517.133
33,IBDQ,2021-12-31,WORST,2022-03-04,448.32,0.0,448.32
34,IBDQ,2021-12-31,WORST,2022-03-07,2218.787,0.0,2218.787
35,IBDQ,2021-12-31,WORST,2022-03-09,146.69,0.0,146.69
36,IBDQ,2021-12-31,WORST,2022-03-10,1477.546,0.0,1477.546
37,IBDQ,2021-12-31,WORST,2022-03-11,1129.847,0.0,1129.847
38,IBDQ,2021-12-31,WORST,2022-03-14,3535.232,0.0,3535.232
39,IBDQ,2021-12-31,WORST,2022-03-15,24961.115,0.0,24961.115
40,IBDQ,2021-12-31,WORST,2022-03-16,2874.901,0.0,2874.901
41,IBDQ,2021-12-31,WORST,2022-03-17,1692.27,0.0,1692.27
42,IBDQ,2021-12-31,WORST,2022-03-18,812.5,0.0,812.5
43,IBDQ,2021-12-31,WORST,2022-03-21,2600.98,0.0,2600.98
44,IBDQ,2021-12-31,WORST,2022-03-22,377.368,0.0,377.368
45,IBDQ,2021-12-31,WORST,2022-03-24,2153.895,0.0,2153.895
46,IBDQ,2021-12-31,WORST,2022-03-25,2507.088,0.0,2507.088
47,IBDQ,2021-12-31,WORST,2022-03-28,4016.774,0.0,4016.774
48,IBDQ,2021-12-31,WORST,2022-03-29,2517.105,0.0,2517.105
