,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBDR,2021-12-31,WORST,2022-01-06,6693.708,124266.677,130960.385
1,IBDR,2021-12-31,WORST,2022-01-10,991.004,0.0,991.004
2,IBDR,2021-12-31,WORST,2022-01-12,4563.852,0.0,4563.852
3,IBDR,2021-12-31,WORST,2022-01-13,1234.796,0.0,1234.796
4,IBDR,2021-12-31,WORST,2022-01-14,3406.152,0.0,3406.152
5,IBDR,2021-12-31,WORST,2022-01-18,28887.74,521.303,29409.043
6,IBDR,2021-12-31,WORST,2022-01-21,1834.888,0.0,1834.888
7,IBDR,2021-12-31,WORST,2022-01-24,2322.271,0.0,2322.271
8,IBDR,2021-12-31,WORST,2022-01-27,7974.216,0.0,7974.216
9,IBDR,2021-12-31,WORST,2022-01-28,2139.756,0.0,2139.756
10,IBDR,2021-12-31,WORST,2022-01-30,189.959,31153.324,31343.284
11,IBDR,2021-12-31,WORST,2022-01-31,4468.874,0.0,4468.874
12,IBDR,2021-12-31,WORST,2022-02-01,12535.147,0.0,12535.147
13,IBDR,2021-12-31,WORST,2022-02-02,366.35,0.0,366.35
14,IBDR,2021-12-31,WORST,2022-02-03,956.906,0.0,956.906
15,IBDR,2021-12-31,WORST,2022-02-04,3656.528,0.0,3656.528
16,IBDR,2021-12-31,WORST,2022-02-07,1448.931,0.0,1448.931
17,IBDR,2021-12-31,WORST,2022-02-08,2461.859,0.0,2461.859
18,IBDR,2021-12-31,WORST,2022-02-09,1687.517,0.0,1687.517
19,IBDR,2021-12-31,WORST,2022-02-10,2626.357,0.0,2626.357
20,IBDR,2021-12-31,WORST,2022-02-11,1707.44,0.0,1707.44
21,IBDR,2021-12-31,WORST,2022-02-14,3354.037,0.0,3354.037
22,IBDR,2021-12-31,WORST,2022-02-15,17038.298,0.0,17038.298
23,IBDR,2021-12-31,WORST,2022-02-16,766.153,0.0,766.153
24,IBDR,2021-12-31,WORST,2022-02-17,2613.501,0.0,2613.501
25,IBDR,2021-12-31,WORST,2022-02-18,1567.775,0.0,1567.775
26,IBDR,2021-12-31,WORST,2022-02-22,3284.722,0.0,3284.722
27,IBDR,2021-12-31,WORST,2022-02-23,2014.824,0.0,2014.824
28,IBDR,2021-12-31,WORST,2022-02-24,993.195,0.0,993.195
29,IBDR,2021-12-31,WORST,2022-02-25,4132.564,0.0,4132.564
30,IBDR,2021-12-31,WORST,2022-02-28,1287.12,0.0,1287.12
31,IBDR,2021-12-31,WORST,2022-03-01,25614.819,0.0,25614.819
32,IBDR,2021-12-31,WORST,2022-03-02,329.98,0.0,329.98
33,IBDR,2021-12-31,WORST,2022-03-03,2544.919,615.817,3160.736
34,IBDR,2021-12-31,WORST,2022-03-04,1193.758,0.0,1193.758
35,IBDR,2021-12-31,WORST,2022-03-07,1032.115,0.0,1032.115
36,IBDR,2021-12-31,WORST,2022-03-08,5107.687,0.0,5107.687
37,IBDR,2021-12-31,WORST,2022-03-09,3531.342,0.0,3531.342
38,IBDR,2021-12-31,WORST,2022-03-10,1063.942,0.0,1063.942
39,IBDR,2021-12-31,WORST,2022-03-11,3300.0,0.0,3300.0
40,IBDR,2021-12-31,WORST,2022-03-14,4971.816,0.0,4971.816
41,IBDR,2021-12-31,WORST,2022-03-15,21711.599,0.0,21711.599
42,IBDR,2021-12-31,WORST,2022-03-16,2058.853,0.0,2058.853
43,IBDR,2021-12-31,WORST,2022-03-17,575.888,0.0,575.888
44,IBDR,2021-12-31,WORST,2022-03-21,3007.377,0.0,3007.377
45,IBDR,2021-12-31,WORST,2022-03-22,251.201,0.0,251.201
46,IBDR,2021-12-31,WORST,2022-03-23,2167.49,0.0,2167.49
47,IBDR,2021-12-31,WORST,2022-03-24,2131.934,0.0,2131.934
48,IBDR,2021-12-31,WORST,2022-03-25,3207.572,0.0,3207.572
49,IBDR,2021-12-31,WORST,2022-04-01,22153.136,0.0,22153.136
50,IBDR,2021-12-31,WORST,2022-04-04,1744.189,0.0,1744.189
51,IBDR,2021-12-31,WORST,2022-04-05,3273.197,0.0,3273.197
52,IBDR,2021-12-31,WORST,2022-04-06,1885.499,0.0,1885.499
53,IBDR,2021-12-31,WORST,2022-04-08,205.346,0.0,205.346
54,IBDR,2021-12-31,WORST,2022-04-11,242.451,201.265,443.716
55,IBDR,2021-12-31,WORST,2022-04-13,179.206,0.0,179.206
56,IBDR,2021-12-31,WORST,2022-04-15,16487.006,521.303,17008.309
57,IBDR,2021-12-31,WORST,2022-04-18,2281.791,0.0,2281.791
58,IBDR,2021-12-31,WORST,2022-04-19,2906.719,0.0,2906.719
59,IBDR,2021-12-31,WORST,2022-04-21,2836.482,0.0,2836.482
60,IBDR,2021-12-31,WORST,2022-04-22,4523.338,0.0,4523.338
61,IBDR,2021-12-31,WORST,2022-04-25,2943.521,0.0,2943.521
62,IBDR,2021-12-31,WORST,2022-04-27,1407.313,0.0,1407.313
63,IBDR,2021-12-31,WORST,2022-04-28,956.14,0.0,956.14
64,IBDR,2021-12-31,WORST,2022-04-29,2523.694,0.0,2523.694
65,IBDR,2021-12-31,WORST,2022-05-02,8145.513,0.0,8145.513
66,IBDR,2021-12-31,WORST,2022-05-03,887.429,0.0,887.429
67,IBDR,2021-12-31,WORST,2022-05-04,1854.667,0.0,1854.667
68,IBDR,2021-12-31,WORST,2022-05-09,37.653,0.0,37.653
69,IBDR,2021-12-31,WORST,2022-05-10,1430.343,0.0,1430.343
70,IBDR,2021-12-31,WORST,2022-05-11,108.955,0.0,108.955
71,IBDR,2021-12-31,WORST,2022-05-12,2638.046,0.0,2638.046
72,IBDR,2021-12-31,WORST,2022-05-13,1448.406,0.0,1448.406
73,IBDR,2021-12-31,WORST,2022-05-16,17520.923,0.0,17520.923
74,IBDR,2021-12-31,WORST,2022-05-18,557.571,0.0,557.571
75,IBDR,2021-12-31,WORST,2022-05-19,2483.928,0.0,2483.928
76,IBDR,2021-12-31,WORST,2022-05-20,3277.286,0.0,3277.286
77,IBDR,2021-12-31,WORST,2022-05-23,5175.339,0.0,5175.339
78,IBDR,2021-12-31,WORST,2022-05-25,2077.001,0.0,2077.001
79,IBDR,2021-12-31,WORST,2022-05-31,2284.973,0.0,2284.973
80,IBDR,2021-12-31,WORST,2022-06-01,11029.851,0.0,11029.851
