,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,AMERICAN CAMPUS COMMUNITIES OPERAT,ACC,US024836AE87,024836AE8,United States,1187000,1276,1276,USD,ISHIBDR,6/21/2019,
12/30/2021,ARCH CAPITAL FINANCE LLC,ACGL,US03939CAA18,03939CAA1,United States,880000,968,968,USD,ISHIBDR,12/8/2016,
12/30/2021,AMERICAN FINANCIAL GROUP INC,AFG,US025932AK06,025932AK0,United States,991000,1072,1072,USD,ISHIBDR,8/22/2016,
12/30/2021,AFLAC INCORPORATED,AFL,US001055BK72,001055BK7,United States,1082000,1068,1068,USD,ISHIBDR,3/8/2021,
12/30/2021,AFLAC INCORPORATED,AFL,US001055AQ51,,United States,1022000,1086,1086,USD,ISHIBDR,9/19/2016,
12/30/2021,AMERICAN INTL GROUP,AIG,US026874DH71,026874DH7,United States,2978000,3262,3262,USD,ISHIBDR,3/22/2016,
12/30/2021,AIR LEASE CORPORATION,AL,US00914AAJ16,,United States,2137000,2232,2232,USD,ISHIBDR,8/17/2020,
12/30/2021,AIR LEASE CORPORATION MTN,AL,US00914AAB89,00914AAB8,United States,2157000,2307,2307,USD,ISHIBDR,5/23/2019,
12/30/2021,AIR LEASE CORPORATION MTN,AL,US00914AAM45,00914AAM4,United States,940000,936,936,USD,ISHIBDR,5/24/2021,
12/30/2021,ALLSTATE CORPORATION (THE),ALL,US020002BD26,020002BD2,United States,1103000,1189,1189,USD,ISHIBDR,12/8/2016,
12/30/2021,AMERIPRISE FINANCIAL INC,AMP,US03076CAH97,03076CAH9,United States,1230000,1306,1306,USD,ISHIBDR,8/11/2016,
12/30/2021,ANTHEM INC,ANTM,US036752AR45,,United States,1670000,1675,1675,USD,ISHIBDR,3/17/2021,
12/30/2021,ALEXANDRIA REAL ESTATE EQUITIES IN,ARE,US015271AH27,,United States,560000,625,625,USD,ISHIBDR,11/17/2015,
12/30/2021,ALEXANDRIA REAL ESTATE EQUITIES IN,ARE,US015271AP43,015271AP4,United States,1140000,1246,1246,USD,ISHIBDR,3/21/2019,
12/30/2021,ARES CAPITAL CORPORATION,ARCC,US04010LAZ67,04010LAZ6,United States,2075000,2225,2225,USD,ISHIBDR,7/15/2020,
12/30/2021,ARES CAPITAL CORPORATION,ARCC,US04010LBA08,04010LBA0,United States,1994000,1990,1990,USD,ISHIBDR,1/13/2021,
12/30/2021,AVALONBAY COMMUNITIES INC MTN,AVB,US05348EAX76,05348EAX7,United States,847000,898,898,USD,ISHIBDR,5/11/2016,
