,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBDS,2021-12-31,WORST,2022-01-06,6024.208,173120.95,179145.157
1,IBDS,2021-12-31,WORST,2022-01-10,541.547,0.0,541.547
2,IBDS,2021-12-31,WORST,2022-01-11,4298.562,0.0,4298.562
3,IBDS,2021-12-31,WORST,2022-01-12,2553.008,0.0,2553.008
4,IBDS,2021-12-31,WORST,2022-01-13,2720.0,0.0,2720.0
5,IBDS,2021-12-31,WORST,2022-01-18,36900.972,5891.79,42792.762
6,IBDS,2021-12-31,WORST,2022-01-20,3845.73,0.0,3845.73
7,IBDS,2021-12-31,WORST,2022-01-21,1297.376,0.0,1297.376
8,IBDS,2021-12-31,WORST,2022-01-24,4999.047,0.0,4999.047
9,IBDS,2021-12-31,WORST,2022-01-25,1318.868,0.0,1318.868
10,IBDS,2021-12-31,WORST,2022-01-26,3544.097,0.0,3544.097
11,IBDS,2021-12-31,WORST,2022-01-27,642.03,0.0,642.03
12,IBDS,2021-12-31,WORST,2022-02-01,11529.072,0.0,11529.072
13,IBDS,2021-12-31,WORST,2022-02-03,616.689,0.0,616.689
14,IBDS,2021-12-31,WORST,2022-02-07,4171.361,0.0,4171.361
15,IBDS,2021-12-31,WORST,2022-02-09,3970.322,0.0,3970.322
16,IBDS,2021-12-31,WORST,2022-02-10,714.455,0.0,714.455
17,IBDS,2021-12-31,WORST,2022-02-11,792.215,0.0,792.215
18,IBDS,2021-12-31,WORST,2022-02-14,1205.114,0.0,1205.114
19,IBDS,2021-12-31,WORST,2022-02-15,20315.897,0.0,20315.897
20,IBDS,2021-12-31,WORST,2022-02-16,553.762,0.0,553.762
21,IBDS,2021-12-31,WORST,2022-02-17,1232.89,0.0,1232.89
22,IBDS,2021-12-31,WORST,2022-02-22,9223.509,0.0,9223.509
23,IBDS,2021-12-31,WORST,2022-02-24,791.98,0.0,791.98
24,IBDS,2021-12-31,WORST,2022-02-28,1676.498,0.0,1676.498
25,IBDS,2021-12-31,WORST,2022-03-01,17731.919,0.0,17731.919
26,IBDS,2021-12-31,WORST,2022-03-02,1613.032,0.0,1613.032
27,IBDS,2021-12-31,WORST,2022-03-03,747.723,0.0,747.723
28,IBDS,2021-12-31,WORST,2022-03-08,4425.979,0.0,4425.979
29,IBDS,2021-12-31,WORST,2022-03-09,2310.458,0.0,2310.458
30,IBDS,2021-12-31,WORST,2022-03-11,1036.527,0.0,1036.527
31,IBDS,2021-12-31,WORST,2022-03-14,4680.223,0.0,4680.223
32,IBDS,2021-12-31,WORST,2022-03-15,22344.763,0.0,22344.763
33,IBDS,2021-12-31,WORST,2022-03-16,4371.071,0.0,4371.071
34,IBDS,2021-12-31,WORST,2022-03-21,3140.9,0.0,3140.9
35,IBDS,2021-12-31,WORST,2022-03-22,1192.724,445.68,1638.404
36,IBDS,2021-12-31,WORST,2022-03-23,783.045,0.0,783.045
37,IBDS,2021-12-31,WORST,2022-03-25,3857.599,0.0,3857.599
38,IBDS,2021-12-31,WORST,2022-03-28,2445.458,0.0,2445.458
39,IBDS,2021-12-31,WORST,2022-03-29,8250.223,0.0,8250.223
40,IBDS,2021-12-31,WORST,2022-03-30,979.579,0.0,979.579
41,IBDS,2021-12-31,WORST,2022-04-01,26817.729,0.0,26817.729
42,IBDS,2021-12-31,WORST,2022-04-04,1668.267,0.0,1668.267
43,IBDS,2021-12-31,WORST,2022-04-05,719.745,0.0,719.745
44,IBDS,2021-12-31,WORST,2022-04-06,3611.819,0.0,3611.819
45,IBDS,2021-12-31,WORST,2022-04-11,1546.411,0.0,1546.411
