,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,AMERICAN CAMPUS COMMUNITIES OPERAT,ACC,US024836AD05,,United States,628000,675,675,USD,ISHIBDS,10/10/2017,
12/30/2021,AMERICAN EQUITY INVESTMENT LIFE HO,AEL,US025676AM95,,United States,947000,1079,1079,USD,ISHIBDS,6/16/2017,
12/30/2021,AIR LEASE CORPORATION,AL,US00912XAV64,00912XAV6,United States,792000,841,841,USD,ISHIBDS,3/8/2017,
12/30/2021,AIR LEASE CORPORATION,AL,US00912XAY04,,United States,720000,763,763,USD,ISHIBDS,11/20/2017,
12/30/2021,ANTHEM INC,ANTM,US036752AB92,036752AB9,United States,2443000,2685,2685,USD,ISHIBDS,11/21/2017,
12/30/2021,ALEXANDRIA REAL ESTATE EQUITIES IN,ARE,US015271AJ82,015271AJ8,United States,753000,840,840,USD,ISHIBDS,6/10/2016,
12/30/2021,AVALONBAY COMMUNITIES INC MTN,AVB,US05348EBA64,,United States,680000,734,734,USD,ISHIBDS,5/12/2017,
12/30/2021,AMERICAN EXPRESS COMPANY   144A,AXP,US025816CN77,025816CN7,United States,2898000,3126,3126,USD,ISHIBDS,11/30/2021,
12/30/2021,AMERICAN EXPRESS CREDIT CORPORATIO MTN,AXP,US0258M0EL96,,United States,10000,11,11,USD,ISHIBDS,5/3/2017,
12/30/2021,BANK OF AMERICA CORP MTN,BAC,US06051GGA13,06051GGA1,United States,3795000,4066,4066,USD,ISHIBDS,10/21/2016,
12/30/2021,BANK OF AMERICA CORP MTN,BAC,US06051GGC78,06051GGC7,United States,2934000,3223,3223,USD,ISHIBDS,11/25/2016,
12/30/2021,BLACKSTONE PRIVATE CREDIT FUND 144A,BCRED,US09261HAJ68,09261HAJ6,United States,1470000,1479,1479,USD,ISHIBDS,11/22/2021,
12/30/2021,BRANDYWINE OPERATING PARTNERSHIP L,BDN,US105340AQ63,,United States,398000,430,430,USD,ISHIBDS,11/17/2017,
12/30/2021,BRIGHTHOUSE FINANCIAL INC,BHF,US10922NAC74,10922NAC7,United States,100000,108,108,USD,ISHIBDS,4/25/2018,
12/30/2021,BANK OF NEW YORK MELLON CORP/THE MTN,BK,US06406RAD98,06406RAD9,United States,1491000,1614,1614,USD,ISHIBDS,5/16/2017,
12/30/2021,BRIXMOR OPERATING PARTNERSHIP LP,BRX,US11120VAE39,,United States,616000,671,671,USD,ISHIBDS,3/8/2017,
12/30/2021,BLACKSTONE SECURED LENDING FUND 144A,BXSL,US09261XAC65,09261XAC6,United States,1035000,1016,1016,USD,ISHIBDS,7/23/2021,
12/30/2021,CITIGROUP INC,C,US172967KA87,172967KA8,United States,5579000,6285,6285,USD,ISHIBDS,9/29/2015,
12/30/2021,CHICAGO BOARD OPTIONS EXCHANGE INC,CBOE,US12503MAA62,,United States,1012000,1115,1115,USD,ISHIBDS,1/12/2017,
12/30/2021,CAPITAL ONE FINANCIAL CORPORATION,COF,US14040HBN44,14040HBN4,United States,2204000,2415,2415,USD,ISHIBDS,3/9/2017,
12/30/2021,CAPITAL ONE FINANCIAL CORPORATION,COF,US14040HCE36,14040HCE3,United States,1352000,1466,1466,USD,ISHIBDS,5/11/2020,
