,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2029 Term Corporate ETF
ABBVIE INC,Corporates,Fixed Income,"2,649,084.73",1.78,"2,649,084.73","2,464,000.00",00287YBX6,US00287YBX67,-,107.16,United States,-,USD,6.86,2.21,1.0,"Nov 21, 2029",3.2,6.97,-,2.18,6.77,2.18,USD,"May 21, 2020","Nov 17, 2020"
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Corporates,Fixed Income,"2,171,560.91",1.46,"2,171,560.91","1,831,000.00",035240AQ3,US035240AQ30,BJ52100,116.52,Belgium,-,USD,5.86,2.21,1.0,"Jan 23, 2029",4.75,5.99,-,2.13,5.81,2.13,USD,"Jan 23, 2019","Jan 23, 2019"
VERIZON COMMUNICATIONS INC,Corporates,Fixed Income,"2,152,380.49",1.45,"2,152,380.49","1,913,000.00",92343VEU4,US92343VEU44,-,112.2,United States,-,USD,6.72,2.32,1.0,"Dec 03, 2029",4.02,6.84,-,2.27,6.65,2.27,USD,"Jun 03, 2019","Sep 10, 2019"
INTERNATIONAL BUSINESS MACHINES CO,Corporates,Fixed Income,"1,927,842.82",1.3,"1,927,842.82","1,765,000.00",459200KA8,US459200KA85,BK5CT14,108.78,United States,-,USD,6.52,2.2,1.0,"May 15, 2029",3.5,6.5,-,2.2,6.5,2.2,USD,"May 15, 2019","May 15, 2019"
BRISTOL-MYERS SQUIBB CO,Corporates,Fixed Income,"1,778,703.05",1.2,"1,778,703.05","1,603,000.00",110122CP1,US110122CP17,-,109.5,United States,-,USD,6.5,2.04,1.0,"Jul 26, 2029",3.4,6.63,-,2.0,6.43,2.0,USD,"Jan 26, 2020","Jul 15, 2020"
WELLS FARGO & COMPANY MTN,Corporates,Fixed Income,"1,758,557.39",1.18,"1,758,557.39","1,546,000.00",95000U2D4,US95000U2D40,BJ2KZB6,111.94,United States,-,USD,5.96,2.31,1.0,"Jan 24, 2029",4.15,6.08,-,2.25,5.9,2.25,USD,"Jan 24, 2019","Jan 24, 2019"
AT&T INC,Corporates,Fixed Income,"1,671,140.15",1.12,"1,671,140.15","1,465,000.00",00206RHJ4,US00206RHJ41,BGKCWJ0,112.62,United States,-,USD,6.02,2.42,1.0,"Mar 01, 2029",4.35,6.15,-,2.36,5.96,2.36,USD,"Feb 19, 2019","Feb 19, 2019"
FISERV INC,Corporates,Fixed Income,"1,471,268.60",0.99,"1,471,268.60","1,345,000.00",337738AU2,US337738AU25,BKF0BQ7,107.64,United States,-,USD,6.41,2.38,1.0,"Jul 01, 2029",3.5,6.52,-,2.35,6.32,2.35,USD,"Jun 24, 2019","Jun 24, 2019"
SUMITOMO MITSUI FINANCIAL GROUP IN,Corporates,Fixed Income,"1,456,748.33",0.98,"1,456,748.33","1,375,000.00",86562MBP4,US86562MBP41,BK63D81,104.55,Japan,-,USD,6.67,2.38,1.0,"Jul 16, 2029",3.04,6.65,-,2.38,6.65,2.38,USD,"Jul 16, 2019","Jul 16, 2019"
BROADCOM INC,Corporates,Fixed Income,"1,405,602.78",0.94,"1,405,602.78","1,222,000.00",11135FBA8,US11135FBA84,BKXB3J9,114.02,United States,-,USD,6.07,2.62,1.0,"Apr 15, 2029",4.75,6.19,-,2.56,6.01,2.56,USD,"Apr 15, 2020","Aug 07, 2020"
