,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,AMERICAN CAMPUS COMMUNITIES OPERAT,ACC,US024836AH19,024836AH1,United States,260000,259,259,USD,ISHIBDU,10/7/2021,
12/30/2021,AMERICAN INTERNATIONAL GROUP INC,AIG,US026874DN40,026874DN4,United States,377000,435,435,USD,ISHIBDU,3/15/2019,
12/30/2021,AIR LEASE CORPORATION,AL,US00914AAE29,00914AAE2,United States,254000,263,263,USD,ISHIBDU,9/16/2019,
12/30/2021,AMERICAN HOMES 4 RENT LP,AMH,US02666TAB35,02666TAB3,United States,236000,278,278,USD,ISHIBDU,1/23/2019,
12/30/2021,ANTHEM INC,ANTM,US036752AL74,036752AL7,United States,504000,532,532,USD,ISHIBDU,9/9/2019,
12/30/2021,AON CORP,AON,US037389BC65,037389BC6,United States,461000,509,509,USD,ISHIBDU,5/2/2019,
12/30/2021,ALEXANDRIA REAL ESTATE EQUITIES IN,ARE,US015271AG44,015271AG4,United States,170000,199,199,USD,ISHIBDU,7/18/2014,
12/30/2021,ALEXANDRIA REAL ESTATE EQUITIES IN,ARE,US015271AT64,015271AT6,United States,320000,332,332,USD,ISHIBDU,9/12/2019,
12/30/2021,AVALONBAY COMMUNITIES INC MTN,AVB,US05348EBF51,05348EBF5,United States,256000,277,277,USD,ISHIBDU,5/15/2019,
12/30/2021,AXIS SPECIALTY FINANCE LLC,AXS,US05463HAB78,05463HAB7,United States,118000,131,131,USD,ISHIBDU,6/19/2019,
12/30/2021,BRANDYWINE OPERATING PARTNERSHIP L,BDN,US105340AP80,,United States,140000,158,158,USD,ISHIBDU,9/16/2014,
12/30/2021,BANK OF NEW YORK MELLON CORP/THE MTN,BK,US06406RAZ01,06406RAZ0,United States,25000,25,25,USD,ISHIBDU,10/25/2021,
