,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBHB,2021-12-31,WORST,2022-01-06,10802.419,2069494.997,2080297.416
1,IBHB,2021-12-31,WORST,2022-01-07,2030.806,72580.645,74611.452
2,IBHB,2021-12-31,WORST,2022-01-10,4511.976,24193.548,28705.524
3,IBHB,2021-12-31,WORST,2022-01-15,185.484,16129.032,16314.516
4,IBHB,2021-12-31,WORST,2022-01-18,31113.669,148387.097,179500.766
5,IBHB,2021-12-31,WORST,2022-01-20,2709.677,0.0,2709.677
6,IBHB,2021-12-31,WORST,2022-01-24,9360.0,0.0,9360.0
7,IBHB,2021-12-31,WORST,2022-01-25,3224.516,24193.548,27418.065
8,IBHB,2021-12-31,WORST,2022-01-30,4617.443,408709.677,413327.12
9,IBHB,2021-12-31,WORST,2022-01-31,3364.113,0.0,3364.113
10,IBHB,2021-12-31,WORST,2022-02-01,4433.333,36129.032,40562.366
11,IBHB,2021-12-31,WORST,2022-02-02,705.645,0.0,705.645
12,IBHB,2021-12-31,WORST,2022-02-03,1081.089,0.0,1081.089
13,IBHB,2021-12-31,WORST,2022-02-09,3178.562,40322.581,43501.142
14,IBHB,2021-12-31,WORST,2022-02-10,1579.435,132258.065,133837.5
15,IBHB,2021-12-31,WORST,2022-02-14,1814.516,72580.645,74395.161
16,IBHB,2021-12-31,WORST,2022-02-15,50682.527,674193.548,724876.075
17,IBHB,2021-12-31,WORST,2022-02-22,1689.113,0.0,1689.113
18,IBHB,2021-12-31,WORST,2022-02-24,737.5,0.0,737.5
19,IBHB,2021-12-31,WORST,2022-02-28,809.644,56451.613,57261.257
20,IBHB,2021-12-31,WORST,2022-03-01,9696.841,72580.645,82277.487
21,IBHB,2021-12-31,WORST,2022-03-07,2540.323,0.0,2540.323
22,IBHB,2021-12-31,WORST,2022-03-14,665.323,0.0,665.323
23,IBHB,2021-12-31,WORST,2022-03-15,69278.731,1114193.548,1183472.279
24,IBHB,2021-12-31,WORST,2022-03-16,2516.667,150000.0,152516.667
25,IBHB,2021-12-31,WORST,2022-03-17,23.632,104516.129,104539.761
26,IBHB,2021-12-31,WORST,2022-03-21,1713.71,0.0,1713.71
27,IBHB,2021-12-31,WORST,2022-03-25,774.194,0.0,774.194
28,IBHB,2021-12-31,WORST,2022-03-28,600.806,0.0,600.806
29,IBHB,2021-12-31,WORST,2022-04-01,29882.763,390029.326,419912.088
30,IBHB,2021-12-31,WORST,2022-04-05,246.976,11290.323,11537.298
31,IBHB,2021-12-31,WORST,2022-04-07,1488.71,0.0,1488.71
