,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBHC,2021-12-31,WORST,2022-01-06,7237.847,806176.219,813414.067
1,IBHC,2021-12-31,WORST,2022-01-10,1071.875,0.0,1071.875
2,IBHC,2021-12-31,WORST,2022-01-14,506.944,0.0,506.944
3,IBHC,2021-12-31,WORST,2022-01-15,2171.296,145833.333,148004.63
4,IBHC,2021-12-31,WORST,2022-01-18,36213.989,3710.937,39924.925
5,IBHC,2021-12-31,WORST,2022-01-24,373.264,0.0,373.264
6,IBHC,2021-12-31,WORST,2022-01-25,10045.139,0.0,10045.139
7,IBHC,2021-12-31,WORST,2022-01-30,7899.364,310277.778,318177.142
8,IBHC,2021-12-31,WORST,2022-01-31,3834.375,0.0,3834.375
9,IBHC,2021-12-31,WORST,2022-02-01,13505.208,0.0,13505.208
10,IBHC,2021-12-31,WORST,2022-02-03,180.556,0.0,180.556
11,IBHC,2021-12-31,WORST,2022-02-07,3159.722,0.0,3159.722
12,IBHC,2021-12-31,WORST,2022-02-08,1487.5,0.0,1487.5
13,IBHC,2021-12-31,WORST,2022-02-11,69.059,0.0,69.059
14,IBHC,2021-12-31,WORST,2022-02-15,37444.039,0.0,37444.039
15,IBHC,2021-12-31,WORST,2022-02-18,661.111,0.0,661.111
16,IBHC,2021-12-31,WORST,2022-02-28,8786.667,0.0,8786.667
17,IBHC,2021-12-31,WORST,2022-03-01,13950.608,0.0,13950.608
18,IBHC,2021-12-31,WORST,2022-03-02,156.25,0.0,156.25
19,IBHC,2021-12-31,WORST,2022-03-10,94.931,0.0,94.931
20,IBHC,2021-12-31,WORST,2022-03-14,1646.875,0.0,1646.875
21,IBHC,2021-12-31,WORST,2022-03-15,111898.611,0.0,111898.611
22,IBHC,2021-12-31,WORST,2022-03-21,18051.215,0.0,18051.215
23,IBHC,2021-12-31,WORST,2022-03-23,818.576,0.0,818.576
24,IBHC,2021-12-31,WORST,2022-03-25,6550.347,0.0,6550.347
25,IBHC,2021-12-31,WORST,2022-03-28,358.333,0.0,358.333
26,IBHC,2021-12-31,WORST,2022-03-29,116.667,0.0,116.667
27,IBHC,2021-12-31,WORST,2022-03-31,4861.111,138888.889,143750.0
28,IBHC,2021-12-31,WORST,2022-04-01,36320.139,150000.0,186320.139
29,IBHC,2021-12-31,WORST,2022-04-04,5135.417,0.0,5135.417
30,IBHC,2021-12-31,WORST,2022-04-15,16743.333,0.0,16743.333
31,IBHC,2021-12-31,WORST,2022-04-18,446.885,0.0,446.885
32,IBHC,2021-12-31,WORST,2022-04-19,4082.986,0.0,4082.986
33,IBHC,2021-12-31,WORST,2022-04-26,8055.556,0.0,8055.556
34,IBHC,2021-12-31,WORST,2022-04-29,359.375,0.0,359.375
35,IBHC,2021-12-31,WORST,2022-05-02,103367.917,276388.889,379756.806
36,IBHC,2021-12-31,WORST,2022-05-04,1932.347,0.0,1932.347
37,IBHC,2021-12-31,WORST,2022-05-16,49981.19,7731.966,57713.157
38,IBHC,2021-12-31,WORST,2022-05-17,8540.0,0.0,8540.0
39,IBHC,2021-12-31,WORST,2022-05-23,1828.385,0.0,1828.385
40,IBHC,2021-12-31,WORST,2022-05-26,1222.222,0.0,1222.222
41,IBHC,2021-12-31,WORST,2022-05-31,4364.583,0.0,4364.583
42,IBHC,2021-12-31,WORST,2022-06-01,22425.66,0.0,22425.66
43,IBHC,2021-12-31,WORST,2022-06-06,2312.5,0.0,2312.5
44,IBHC,2021-12-31,WORST,2022-06-10,1609.722,0.0,1609.722
45,IBHC,2021-12-31,WORST,2022-06-15,55164.792,0.0,55164.792
46,IBHC,2021-12-31,WORST,2022-06-17,7942.708,169444.444,177387.153
47,IBHC,2021-12-31,WORST,2022-06-30,5590.278,0.0,5590.278
48,IBHC,2021-12-31,WORST,2022-07-01,921.875,0.0,921.875
49,IBHC,2021-12-31,WORST,2022-07-05,1128.472,0.0,1128.472
50,IBHC,2021-12-31,WORST,2022-07-11,1071.875,0.0,1071.875
51,IBHC,2021-12-31,WORST,2022-07-14,253.472,0.0,253.472
52,IBHC,2021-12-31,WORST,2022-07-15,51296.865,3820.412,55117.277
53,IBHC,2021-12-31,WORST,2022-07-18,944.444,0.0,944.444
54,IBHC,2021-12-31,WORST,2022-07-25,10418.403,0.0,10418.403
55,IBHC,2021-12-31,WORST,2022-08-01,17339.583,0.0,17339.583
56,IBHC,2021-12-31,WORST,2022-08-03,180.556,0.0,180.556
57,IBHC,2021-12-31,WORST,2022-08-08,4647.222,0.0,4647.222
58,IBHC,2021-12-31,WORST,2022-08-11,69.444,0.0,69.444
59,IBHC,2021-12-31,WORST,2022-08-15,37438.021,251388.889,288826.91
60,IBHC,2021-12-31,WORST,2022-08-18,661.111,0.0,661.111
61,IBHC,2021-12-31,WORST,2022-08-29,8786.667,0.0,8786.667
62,IBHC,2021-12-31,WORST,2022-09-01,13952.326,0.0,13952.326
63,IBHC,2021-12-31,WORST,2022-09-02,156.25,0.0,156.25
64,IBHC,2021-12-31,WORST,2022-09-12,1741.806,0.0,1741.806
65,IBHC,2021-12-31,WORST,2022-09-15,111898.611,0.0,111898.611
66,IBHC,2021-12-31,WORST,2022-09-19,17773.438,0.0,17773.438
67,IBHC,2021-12-31,WORST,2022-09-21,277.778,0.0,277.778
68,IBHC,2021-12-31,WORST,2022-09-23,818.576,0.0,818.576
