,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBHD,2021-12-31,WORST,2022-01-06,13215.943,622938.143,636154.086
1,IBHD,2021-12-31,WORST,2022-01-10,2443.37,0.0,2443.37
2,IBHD,2021-12-31,WORST,2022-01-15,914.009,142870.261,143784.27
3,IBHD,2021-12-31,WORST,2022-01-18,23411.399,13271.739,36683.138
4,IBHD,2021-12-31,WORST,2022-01-30,13511.561,868219.0,881730.561
5,IBHD,2021-12-31,WORST,2022-01-31,8213.315,0.0,8213.315
6,IBHD,2021-12-31,WORST,2022-02-01,45824.533,293701.391,339525.924
7,IBHD,2021-12-31,WORST,2022-02-15,32020.109,130434.783,162454.891
8,IBHD,2021-12-31,WORST,2022-02-16,4285.326,0.0,4285.326
9,IBHD,2021-12-31,WORST,2022-03-01,21749.457,0.0,21749.457
10,IBHD,2021-12-31,WORST,2022-03-08,2501.078,0.0,2501.078
11,IBHD,2021-12-31,WORST,2022-03-15,59971.233,0.0,59971.233
12,IBHD,2021-12-31,WORST,2022-03-18,7526.261,0.0,7526.261
13,IBHD,2021-12-31,WORST,2022-03-22,3089.13,0.0,3089.13
14,IBHD,2021-12-31,WORST,2022-03-25,8734.783,0.0,8734.783
15,IBHD,2021-12-31,WORST,2022-04-01,76070.435,127391.304,203461.739
16,IBHD,2021-12-31,WORST,2022-04-08,925.0,0.0,925.0
17,IBHD,2021-12-31,WORST,2022-04-15,36917.384,601717.374,638634.758
18,IBHD,2021-12-31,WORST,2022-04-25,4661.685,0.0,4661.685
19,IBHD,2021-12-31,WORST,2022-04-28,4129.348,0.0,4129.348
20,IBHD,2021-12-31,WORST,2022-05-02,20856.554,0.0,20856.554
21,IBHD,2021-12-31,WORST,2022-05-03,8739.13,0.0,8739.13
22,IBHD,2021-12-31,WORST,2022-05-16,71437.5,0.0,71437.5
23,IBHD,2021-12-31,WORST,2022-05-20,5991.848,0.0,5991.848
24,IBHD,2021-12-31,WORST,2022-05-31,12704.143,0.0,12704.143
25,IBHD,2021-12-31,WORST,2022-06-01,74236.413,462858.696,537095.109
26,IBHD,2021-12-31,WORST,2022-06-03,3423.913,0.0,3423.913
27,IBHD,2021-12-31,WORST,2022-06-07,4083.403,196078.609,200162.012
28,IBHD,2021-12-31,WORST,2022-06-13,9978.261,0.0,9978.261
29,IBHD,2021-12-31,WORST,2022-06-15,64782.337,186956.522,251738.859
30,IBHD,2021-12-31,WORST,2022-06-27,15541.793,0.0,15541.793
31,IBHD,2021-12-31,WORST,2022-06-30,1457.201,0.0,1457.201
32,IBHD,2021-12-31,WORST,2022-07-01,11539.13,0.0,11539.13
33,IBHD,2021-12-31,WORST,2022-07-11,2443.37,0.0,2443.37
34,IBHD,2021-12-31,WORST,2022-07-15,10939.477,13271.739,24211.216
35,IBHD,2021-12-31,WORST,2022-07-18,900.0,0.0,900.0
36,IBHD,2021-12-31,WORST,2022-08-01,43521.543,400434.783,443956.326
37,IBHD,2021-12-31,WORST,2022-08-15,25824.457,96086.957,121911.413
38,IBHD,2021-12-31,WORST,2022-08-16,4285.326,0.0,4285.326
39,IBHD,2021-12-31,WORST,2022-09-01,21749.457,282746.783,304496.239
40,IBHD,2021-12-31,WORST,2022-09-08,2501.078,0.0,2501.078
41,IBHD,2021-12-31,WORST,2022-09-15,59971.233,241304.348,301275.58
42,IBHD,2021-12-31,WORST,2022-09-19,7526.261,0.0,7526.261
43,IBHD,2021-12-31,WORST,2022-09-22,3089.13,0.0,3089.13
44,IBHD,2021-12-31,WORST,2022-09-26,8734.783,0.0,8734.783
45,IBHD,2021-12-31,WORST,2022-10-03,72885.652,0.0,72885.652
46,IBHD,2021-12-31,WORST,2022-10-11,925.0,0.0,925.0
47,IBHD,2021-12-31,WORST,2022-10-17,18198.662,10413.026,28611.688
48,IBHD,2021-12-31,WORST,2022-10-25,4661.685,0.0,4661.685
49,IBHD,2021-12-31,WORST,2022-10-28,4129.348,0.0,4129.348
50,IBHD,2021-12-31,WORST,2022-10-31,586.957,0.0,586.957
51,IBHD,2021-12-31,WORST,2022-11-01,29008.728,173913.043,202921.772
52,IBHD,2021-12-31,WORST,2022-11-14,5489.674,0.0,5489.674
53,IBHD,2021-12-31,WORST,2022-11-15,65947.826,141304.348,207252.174
54,IBHD,2021-12-31,WORST,2022-11-21,5991.848,0.0,5991.848
55,IBHD,2021-12-31,WORST,2022-11-30,12704.143,0.0,12704.143
56,IBHD,2021-12-31,WORST,2022-12-01,56010.19,340312.5,396322.69
57,IBHD,2021-12-31,WORST,2022-12-05,3423.913,0.0,3423.913
58,IBHD,2021-12-31,WORST,2022-12-12,9978.261,0.0,9978.261
59,IBHD,2021-12-31,WORST,2022-12-15,55901.902,0.0,55901.902
60,IBHD,2021-12-31,WORST,2022-12-27,15541.793,0.0,15541.793
61,IBHD,2021-12-31,WORST,2023-01-03,12884.239,0.0,12884.239
62,IBHD,2021-12-31,WORST,2023-01-09,2443.37,0.0,2443.37
63,IBHD,2021-12-31,WORST,2023-01-17,11449.62,13271.739,24721.359
64,IBHD,2021-12-31,WORST,2023-02-01,32094.641,0.0,32094.641
65,IBHD,2021-12-31,WORST,2023-02-15,22521.467,0.0,22521.467
66,IBHD,2021-12-31,WORST,2023-02-16,4285.326,0.0,4285.326
67,IBHD,2021-12-31,WORST,2023-03-01,13705.978,0.0,13705.978
68,IBHD,2021-12-31,WORST,2023-03-08,2501.078,0.0,2501.078
69,IBHD,2021-12-31,WORST,2023-03-15,52470.417,117391.304,169861.722
70,IBHD,2021-12-31,WORST,2023-03-20,7526.261,0.0,7526.261
71,IBHD,2021-12-31,WORST,2023-03-22,3089.13,0.0,3089.13
72,IBHD,2021-12-31,WORST,2023-03-27,8734.783,0.0,8734.783
73,IBHD,2021-12-31,WORST,2023-04-03,72885.652,0.0,72885.652
74,IBHD,2021-12-31,WORST,2023-04-10,925.0,0.0,925.0
75,IBHD,2021-12-31,WORST,2023-04-17,17795.158,10413.026,28208.183
76,IBHD,2021-12-31,WORST,2023-04-25,4661.685,0.0,4661.685
77,IBHD,2021-12-31,WORST,2023-04-28,4129.348,0.0,4129.348
78,IBHD,2021-12-31,WORST,2023-05-01,20856.554,0.0,20856.554
79,IBHD,2021-12-31,WORST,2023-05-02,1891.304,0.0,1891.304
80,IBHD,2021-12-31,WORST,2023-05-15,65697.011,0.0,65697.011
81,IBHD,2021-12-31,WORST,2023-05-22,5991.848,0.0,5991.848
82,IBHD,2021-12-31,WORST,2023-05-31,12704.143,0.0,12704.143
83,IBHD,2021-12-31,WORST,2023-06-01,43540.761,10326.087,53866.848
84,IBHD,2021-12-31,WORST,2023-06-05,3423.913,0.0,3423.913
85,IBHD,2021-12-31,WORST,2023-06-12,9978.261,0.0,9978.261
86,IBHD,2021-12-31,WORST,2023-06-15,55901.902,0.0,55901.902
87,IBHD,2021-12-31,WORST,2023-06-26,15541.793,0.0,15541.793
88,IBHD,2021-12-31,WORST,2023-06-30,1345.109,0.0,1345.109
89,IBHD,2021-12-31,WORST,2023-07-03,11539.13,0.0,11539.13
90,IBHD,2021-12-31,WORST,2023-07-10,2443.37,0.0,2443.37
91,IBHD,2021-12-31,WORST,2023-07-17,11059.763,13271.739,24331.501
92,IBHD,2021-12-31,WORST,2023-08-01,32094.641,117391.304,149485.946
93,IBHD,2021-12-31,WORST,2023-08-15,22521.467,0.0,22521.467
94,IBHD,2021-12-31,WORST,2023-08-16,4285.326,0.0,4285.326
95,IBHD,2021-12-31,WORST,2023-09-01,13705.978,0.0,13705.978
96,IBHD,2021-12-31,WORST,2023-09-08,2501.078,0.0,2501.078
97,IBHD,2021-12-31,WORST,2023-09-15,46894.33,430434.783,477329.113
98,IBHD,2021-12-31,WORST,2023-09-18,7526.261,0.0,7526.261
99,IBHD,2021-12-31,WORST,2023-09-22,3089.13,0.0,3089.13
100,IBHD,2021-12-31,WORST,2023-09-25,8734.783,0.0,8734.783
101,IBHD,2021-12-31,WORST,2023-10-02,72885.652,104347.826,177233.478
102,IBHD,2021-12-31,WORST,2023-10-10,925.0,0.0,925.0
103,IBHD,2021-12-31,WORST,2023-10-16,17391.653,72891.181,90282.834
104,IBHD,2021-12-31,WORST,2023-10-25,4661.685,0.0,4661.685
105,IBHD,2021-12-31,WORST,2023-10-30,4716.304,0.0,4716.304
106,IBHD,2021-12-31,WORST,2023-11-01,22160.902,95652.174,117813.076
107,IBHD,2021-12-31,WORST,2023-11-09,1624.364,128260.87,129885.233
108,IBHD,2021-12-31,WORST,2023-11-14,5489.674,0.0,5489.674
109,IBHD,2021-12-31,WORST,2023-11-15,60207.337,0.0,60207.337
110,IBHD,2021-12-31,WORST,2023-11-16,2142.663,180434.783,182577.446
111,IBHD,2021-12-31,WORST,2023-11-20,5991.848,0.0,5991.848
112,IBHD,2021-12-31,WORST,2023-11-30,12704.143,0.0,12704.143
113,IBHD,2021-12-31,WORST,2023-12-01,44746.603,499891.304,544637.908
114,IBHD,2021-12-31,WORST,2023-12-04,3423.913,0.0,3423.913
115,IBHD,2021-12-31,WORST,2023-12-11,9978.261,0.0,9978.261
116,IBHD,2021-12-31,WORST,2023-12-15,56907.337,86956.522,143863.859
117,IBHD,2021-12-31,WORST,2023-12-26,15541.793,0.0,15541.793
118,IBHD,2021-12-31,WORST,2024-01-01,10485.353,650869.565,661354.919
119,IBHD,2021-12-31,WORST,2024-01-02,12884.239,0.0,12884.239
120,IBHD,2021-12-31,WORST,2024-01-16,10669.905,108586.956,119256.862
121,IBHD,2021-12-31,WORST,2024-01-30,293.478,26086.957,26380.435
122,IBHD,2021-12-31,WORST,2024-02-01,32550.414,595217.391,627767.805
123,IBHD,2021-12-31,WORST,2024-02-15,27227.038,806956.522,834183.56
124,IBHD,2021-12-31,WORST,2024-02-18,6271.885,269565.217,275837.102
125,IBHD,2021-12-31,WORST,2024-03-01,9862.772,563043.478,572906.25
126,IBHD,2021-12-31,WORST,2024-03-08,2501.078,0.0,2501.078
127,IBHD,2021-12-31,WORST,2024-03-15,35645.689,445652.174,481297.863
128,IBHD,2021-12-31,WORST,2024-03-20,3994.565,213043.478,217038.043
129,IBHD,2021-12-31,WORST,2024-03-22,3089.13,0.0,3089.13
130,IBHD,2021-12-31,WORST,2024-03-25,8734.783,285217.391,293952.174
131,IBHD,2021-12-31,WORST,2024-04-01,49197.935,301304.348,350502.283
132,IBHD,2021-12-31,WORST,2024-04-08,925.0,80434.783,81359.783
133,IBHD,2021-12-31,WORST,2024-04-15,25157.476,573913.043,599070.52
134,IBHD,2021-12-31,WORST,2024-04-25,4661.685,0.0,4661.685
135,IBHD,2021-12-31,WORST,2024-04-29,4129.348,0.0,4129.348
136,IBHD,2021-12-31,WORST,2024-05-01,12844.092,260869.565,273713.658
137,IBHD,2021-12-31,WORST,2024-05-14,5489.674,0.0,5489.674
138,IBHD,2021-12-31,WORST,2024-05-15,40713.061,513043.478,553756.539
139,IBHD,2021-12-31,WORST,2024-05-30,12704.143,479130.435,491834.578
140,IBHD,2021-12-31,WORST,2024-06-03,20383.152,362500.0,382883.152
141,IBHD,2021-12-31,WORST,2024-06-11,9978.261,0.0,9978.261
142,IBHD,2021-12-31,WORST,2024-06-15,8910.509,830434.783,839345.291
143,IBHD,2021-12-31,WORST,2024-06-17,48013.315,1045652.174,1093665.489
144,IBHD,2021-12-31,WORST,2024-06-26,15541.793,619565.217,635107.011
145,IBHD,2021-12-31,WORST,2024-07-01,25194.022,1378260.87,1403454.891
146,IBHD,2021-12-31,WORST,2024-07-15,3240.308,273913.043,277153.351
147,IBHD,2021-12-31,WORST,2024-07-16,900.0,50000.0,50900.0
148,IBHD,2021-12-31,WORST,2024-07-22,2059.42,126086.957,128146.376
149,IBHD,2021-12-31,WORST,2024-08-01,15065.217,286956.522,302021.739
150,IBHD,2021-12-31,WORST,2024-08-14,2744.837,241304.348,244049.185
151,IBHD,2021-12-31,WORST,2024-08-15,4622.283,136956.522,141578.804
152,IBHD,2021-12-31,WORST,2024-09-01,4131.962,326086.957,330218.918
153,IBHD,2021-12-31,WORST,2024-09-09,2501.078,136521.739,139022.817
154,IBHD,2021-12-31,WORST,2024-09-15,3161.359,341304.348,344465.707
155,IBHD,2021-12-31,WORST,2024-09-16,19611.178,603420.87,623032.048
156,IBHD,2021-12-31,WORST,2024-09-28,3437.278,284782.609,288219.886
157,IBHD,2021-12-31,WORST,2024-09-30,3204.891,217391.304,220596.195
158,IBHD,2021-12-31,WORST,2024-10-01,22127.157,950434.783,972561.939
159,IBHD,2021-12-31,WORST,2024-10-15,2618.207,89130.435,91748.641
160,IBHD,2021-12-31,WORST,2024-10-25,4661.685,158695.652,163357.337
161,IBHD,2021-12-31,WORST,2024-11-01,3607.337,128260.87,131868.207
162,IBHD,2021-12-31,WORST,2024-11-15,26872.826,825652.174,852525.0
163,IBHD,2021-12-31,WORST,2024-12-02,1613.451,51630.435,53243.886
164,IBHD,2021-12-31,WORST,2024-12-03,3423.913,86956.522,90380.435
165,IBHD,2021-12-31,WORST,2024-12-11,9978.261,234782.609,244760.87
166,IBHD,2021-12-31,WORST,2024-12-16,3372.826,186086.957,189459.783
167,IBHD,2021-12-31,MATURITY,2022-01-06,11539.13,427101.383,438640.513
168,IBHD,2021-12-31,MATURITY,2022-01-10,2443.37,0.0,2443.37
169,IBHD,2021-12-31,MATURITY,2022-01-18,23411.399,13271.739,36683.138
170,IBHD,2021-12-31,MATURITY,2022-01-31,8213.315,0.0,8213.315
171,IBHD,2021-12-31,MATURITY,2022-02-01,45824.533,0.0,45824.533
172,IBHD,2021-12-31,MATURITY,2022-02-15,32020.109,0.0,32020.109
173,IBHD,2021-12-31,MATURITY,2022-02-16,4285.326,0.0,4285.326
174,IBHD,2021-12-31,MATURITY,2022-03-01,21749.457,0.0,21749.457
175,IBHD,2021-12-31,MATURITY,2022-03-08,2501.078,0.0,2501.078
176,IBHD,2021-12-31,MATURITY,2022-03-15,59971.233,0.0,59971.233
177,IBHD,2021-12-31,MATURITY,2022-03-18,7526.261,0.0,7526.261
178,IBHD,2021-12-31,MATURITY,2022-03-22,3089.13,0.0,3089.13
179,IBHD,2021-12-31,MATURITY,2022-03-25,8734.783,0.0,8734.783
180,IBHD,2021-12-31,MATURITY,2022-04-01,76070.435,0.0,76070.435
181,IBHD,2021-12-31,MATURITY,2022-04-08,925.0,0.0,925.0
182,IBHD,2021-12-31,MATURITY,2022-04-15,59384.776,10413.026,69797.802
183,IBHD,2021-12-31,MATURITY,2022-04-25,4661.685,0.0,4661.685
184,IBHD,2021-12-31,MATURITY,2022-04-28,4129.348,0.0,4129.348
185,IBHD,2021-12-31,MATURITY,2022-05-02,25572.587,0.0,25572.587
186,IBHD,2021-12-31,MATURITY,2022-05-03,8739.13,0.0,8739.13
187,IBHD,2021-12-31,MATURITY,2022-05-16,71437.5,0.0,71437.5
188,IBHD,2021-12-31,MATURITY,2022-05-20,5991.848,0.0,5991.848
189,IBHD,2021-12-31,MATURITY,2022-05-31,12704.143,0.0,12704.143
190,IBHD,2021-12-31,MATURITY,2022-06-01,77975.543,10326.087,88301.63
191,IBHD,2021-12-31,MATURITY,2022-06-03,3423.913,0.0,3423.913
192,IBHD,2021-12-31,MATURITY,2022-06-13,9978.261,0.0,9978.261
193,IBHD,2021-12-31,MATURITY,2022-06-15,64782.337,0.0,64782.337
194,IBHD,2021-12-31,MATURITY,2022-06-27,15541.793,0.0,15541.793
195,IBHD,2021-12-31,MATURITY,2022-06-30,1457.201,0.0,1457.201
196,IBHD,2021-12-31,MATURITY,2022-07-01,11539.13,0.0,11539.13
197,IBHD,2021-12-31,MATURITY,2022-07-11,2443.37,0.0,2443.37
