,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,CDW LLC / CDW FINANCE CORP,CDWC,US12513GBA67,,United States,230000,252,252,USD,ISHIBHD,12/1/2014,
12/30/2021,CONTINENTAL RESOURCES INC,CLR,US212015AN15,212015AN1,United States,500000,523,523,USD,ISHIBHD,9/5/2014,
12/30/2021,DEVON ENERGY CORPORATION,DVN,US25179MBC64,25179MBC6,United States,70000,77,77,USD,ISHIBHD,12/29/2021,
12/30/2021,MICHAEL KORS USA INC       144A,KORS,US59408TAA88,59408TAA8,United States,205000,218,218,USD,ISHIBHD,10/20/2017,
12/30/2021,LENNAR CORPORATION,LEN,US526057BZ61,526057BZ6,United States,60000,64,64,USD,ISHIBHD,4/28/2017,
12/30/2021,LENNAR CORPORATION,LEN,US526057CR37,526057CR3,United States,35000,39,39,USD,ISHIBHD,6/11/2018,
12/30/2021,NEWFIELD EXPLORATION CO,OVV,US651290AQ17,651290AQ1,United States,400000,452,452,USD,ISHIBHD,6/26/2012,
12/30/2021,ARCELORMITTAL,MTNA,US03938LBB99,03938LBB9,Luxembourg,115000,122,122,USD,ISHIBHD,7/16/2019,
12/30/2021,CIT GROUP INC,CIT,US125581GY89,,United States,415000,446,446,USD,ISHIBHD,8/17/2018,
12/30/2021,CNG HOLDINGS INC           144A,CNGHLD,US12612DAH98,12612DAH9,United States,230000,219,219,USD,ISHIBHD,6/5/2019,
12/30/2021,SENIOR HOUSING PROPERTIES TRUST,DHC,US81721MAK53,81721MAK5,United States,220000,227,227,USD,ISHIBHD,4/28/2014,
12/30/2021,ENOVA INTERNATIONAL INC    144A,ENVA,US29357KAD54,29357KAD5,United States,185000,194,194,USD,ISHIBHD,9/1/2017,
