,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBHF,2021-12-31,WORST,2022-01-06,24819.367,89677.089,114496.456
1,IBHF,2021-12-31,WORST,2022-01-10,6762.861,85625.0,92387.861
2,IBHF,2021-12-31,WORST,2022-01-15,218.75,51312.5,51531.25
3,IBHF,2021-12-31,WORST,2022-01-18,71193.515,39423.611,110617.126
4,IBHF,2021-12-31,WORST,2022-01-20,7263.889,0.0,7263.889
5,IBHF,2021-12-31,WORST,2022-01-27,933.333,0.0,933.333
6,IBHF,2021-12-31,WORST,2022-01-30,15529.762,993729.944,1009259.706
7,IBHF,2021-12-31,WORST,2022-01-31,2576.389,0.0,2576.389
8,IBHF,2021-12-31,WORST,2022-02-01,67418.156,117552.5,184970.656
9,IBHF,2021-12-31,WORST,2022-02-10,3000.0,0.0,3000.0
10,IBHF,2021-12-31,WORST,2022-02-15,71565.24,364269.378,435834.617
11,IBHF,2021-12-31,WORST,2022-02-22,2774.306,0.0,2774.306
12,IBHF,2021-12-31,WORST,2022-02-28,3208.333,0.0,3208.333
13,IBHF,2021-12-31,WORST,2022-03-01,40635.711,512754.778,553390.488
14,IBHF,2021-12-31,WORST,2022-03-15,89572.685,1131014.611,1220587.296
15,IBHF,2021-12-31,WORST,2022-03-30,3187.5,0.0,3187.5
16,IBHF,2021-12-31,WORST,2022-03-31,6416.667,0.0,6416.667
17,IBHF,2021-12-31,WORST,2022-04-01,51463.72,378951.302,430415.022
18,IBHF,2021-12-31,WORST,2022-04-15,71614.737,270954.018,342568.755
19,IBHF,2021-12-31,WORST,2022-04-20,7263.889,0.0,7263.889
20,IBHF,2021-12-31,WORST,2022-04-26,1458.333,0.0,1458.333
21,IBHF,2021-12-31,WORST,2022-05-01,1682.292,108920.139,110602.431
22,IBHF,2021-12-31,WORST,2022-05-02,40260.108,316458.722,356718.831
23,IBHF,2021-12-31,WORST,2022-05-13,1100.0,0.0,1100.0
24,IBHF,2021-12-31,WORST,2022-05-16,55706.173,511847.5,567553.673
25,IBHF,2021-12-31,WORST,2022-06-01,34552.2,81900.0,116452.2
26,IBHF,2021-12-31,WORST,2022-06-08,3018.056,0.0,3018.056
27,IBHF,2021-12-31,WORST,2022-06-15,24215.316,198708.667,222923.983
28,IBHF,2021-12-31,WORST,2022-07-01,17759.722,0.0,17759.722
29,IBHF,2021-12-31,WORST,2022-07-08,5120.5,0.0,5120.5
30,IBHF,2021-12-31,WORST,2022-07-15,64180.417,297638.444,361818.861
31,IBHF,2021-12-31,WORST,2022-07-20,7263.889,0.0,7263.889
32,IBHF,2021-12-31,WORST,2022-07-27,933.333,0.0,933.333
33,IBHF,2021-12-31,WORST,2022-08-01,62750.833,105107.778,167858.611
34,IBHF,2021-12-31,WORST,2022-08-10,3000.0,0.0,3000.0
35,IBHF,2021-12-31,WORST,2022-08-15,60727.778,432819.444,493547.222
36,IBHF,2021-12-31,WORST,2022-08-22,2774.306,0.0,2774.306
