,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBHG,2021-12-31,WORST,2022-01-06,15350.0,28704.56,44054.56
1,IBHG,2021-12-31,WORST,2022-01-10,2135.5,0.0,2135.5
2,IBHG,2021-12-31,WORST,2022-01-18,89052.294,205500.0,294552.294
3,IBHG,2021-12-31,WORST,2022-01-30,531.599,258091.3,258622.899
4,IBHG,2021-12-31,WORST,2022-01-31,22750.0,0.0,22750.0
5,IBHG,2021-12-31,WORST,2022-02-01,51270.07,454113.3,505383.37
6,IBHG,2021-12-31,WORST,2022-02-15,50794.098,306219.5,357013.598
7,IBHG,2021-12-31,WORST,2022-02-17,2475.0,0.0,2475.0
8,IBHG,2021-12-31,WORST,2022-03-01,41268.75,330050.2,371318.95
9,IBHG,2021-12-31,WORST,2022-03-14,2537.5,73806.6,76344.1
10,IBHG,2021-12-31,WORST,2022-03-15,50626.389,279432.0,330058.389
11,IBHG,2021-12-31,WORST,2022-03-30,9812.5,260312.5,270125.0
12,IBHG,2021-12-31,WORST,2022-03-31,1000.0,0.0,1000.0
13,IBHG,2021-12-31,WORST,2022-04-01,41601.25,269799.5,311400.75
14,IBHG,2021-12-31,WORST,2022-04-15,87477.639,545869.3,633346.939
15,IBHG,2021-12-31,WORST,2022-04-19,4250.0,0.0,4250.0
16,IBHG,2021-12-31,WORST,2022-04-28,1687.5,0.0,1687.5
17,IBHG,2021-12-31,WORST,2022-05-02,44342.904,644235.593,688578.497
18,IBHG,2021-12-31,WORST,2022-05-15,1650.0,123300.0,124950.0
19,IBHG,2021-12-31,WORST,2022-05-16,79793.889,583162.5,662956.389
20,IBHG,2021-12-31,WORST,2022-05-20,1725.0,0.0,1725.0
21,IBHG,2021-12-31,WORST,2022-05-25,2193.75,0.0,2193.75
22,IBHG,2021-12-31,WORST,2022-06-01,37954.028,403043.2,440997.228
23,IBHG,2021-12-31,WORST,2022-06-06,768.75,0.0,768.75
24,IBHG,2021-12-31,WORST,2022-06-13,1312.5,0.0,1312.5
25,IBHG,2021-12-31,WORST,2022-06-15,51071.264,92456.4,143527.664
26,IBHG,2021-12-31,WORST,2022-06-30,3900.0,0.0,3900.0
27,IBHG,2021-12-31,WORST,2022-07-01,14150.0,41125.2,55275.2
28,IBHG,2021-12-31,WORST,2022-07-11,2135.5,0.0,2135.5
29,IBHG,2021-12-31,WORST,2022-07-15,76797.433,943619.7,1020417.133
30,IBHG,2021-12-31,WORST,2022-07-18,1968.75,0.0,1968.75
31,IBHG,2021-12-31,WORST,2022-08-01,57680.625,657612.7,715293.325
32,IBHG,2021-12-31,WORST,2022-08-15,39192.5,380906.25,420098.75
33,IBHG,2021-12-31,WORST,2022-08-17,2475.0,0.0,2475.0
34,IBHG,2021-12-31,WORST,2022-09-01,31218.75,133475.0,164693.75
35,IBHG,2021-12-31,WORST,2022-09-07,3332.386,174250.0,177582.386
36,IBHG,2021-12-31,WORST,2022-09-15,42206.25,372957.1,415163.35
37,IBHG,2021-12-31,WORST,2022-09-30,3937.5,143938.0,147875.5
38,IBHG,2021-12-31,WORST,2022-10-03,33187.5,196312.8,229500.3
39,IBHG,2021-12-31,WORST,2022-10-15,1921.597,72581.6,74503.197
40,IBHG,2021-12-31,WORST,2022-10-17,70747.5,471616.8,542364.3
41,IBHG,2021-12-31,WORST,2022-10-28,1687.5,0.0,1687.5
42,IBHG,2021-12-31,WORST,2022-11-01,22418.411,312327.069,334745.48
43,IBHG,2021-12-31,WORST,2022-11-02,2098.25,0.0,2098.25
44,IBHG,2021-12-31,WORST,2022-11-15,58162.5,163925.8,222088.3
45,IBHG,2021-12-31,WORST,2022-11-21,1725.0,0.0,1725.0
46,IBHG,2021-12-31,WORST,2022-11-25,2193.75,0.0,2193.75
47,IBHG,2021-12-31,WORST,2022-12-01,24087.5,226500.8,250588.3
48,IBHG,2021-12-31,WORST,2022-12-06,768.75,0.0,768.75
49,IBHG,2021-12-31,WORST,2022-12-12,1312.5,0.0,1312.5
50,IBHG,2021-12-31,WORST,2022-12-15,48531.25,720326.0,768857.25
51,IBHG,2021-12-31,WORST,2023-01-03,16925.0,0.0,16925.0
52,IBHG,2021-12-31,WORST,2023-01-09,2135.5,0.0,2135.5
53,IBHG,2021-12-31,WORST,2023-01-17,49457.85,195150.0,244607.85
54,IBHG,2021-12-31,WORST,2023-01-30,4025.0,0.0,4025.0
55,IBHG,2021-12-31,WORST,2023-01-31,6475.0,0.0,6475.0
56,IBHG,2021-12-31,WORST,2023-02-01,26433.75,139631.9,166065.65
57,IBHG,2021-12-31,WORST,2023-02-15,28286.25,327157.1,355443.35
58,IBHG,2021-12-31,WORST,2023-02-17,2475.0,0.0,2475.0
59,IBHG,2021-12-31,WORST,2023-03-01,27743.75,0.0,27743.75
60,IBHG,2021-12-31,WORST,2023-03-15,31500.0,0.0,31500.0
61,IBHG,2021-12-31,WORST,2023-04-03,26875.0,0.0,26875.0
62,IBHG,2021-12-31,WORST,2023-04-17,55731.25,0.0,55731.25
63,IBHG,2021-12-31,WORST,2023-04-28,1687.5,0.0,1687.5
64,IBHG,2021-12-31,WORST,2023-05-01,13073.493,3036.434,16109.927
65,IBHG,2021-12-31,WORST,2023-05-02,2098.25,0.0,2098.25
66,IBHG,2021-12-31,WORST,2023-05-15,54237.5,186750.0,240987.5
67,IBHG,2021-12-31,WORST,2023-05-22,1725.0,0.0,1725.0
68,IBHG,2021-12-31,WORST,2023-05-25,2193.75,0.0,2193.75
69,IBHG,2021-12-31,WORST,2023-06-01,17587.5,185963.4,203550.9
70,IBHG,2021-12-31,WORST,2023-06-06,768.75,0.0,768.75
71,IBHG,2021-12-31,WORST,2023-06-12,1312.5,0.0,1312.5
72,IBHG,2021-12-31,WORST,2023-06-15,28668.75,174450.0,203118.75
73,IBHG,2021-12-31,WORST,2023-06-30,3900.0,0.0,3900.0
74,IBHG,2021-12-31,WORST,2023-07-03,13025.0,208126.0,221151.0
75,IBHG,2021-12-31,WORST,2023-07-10,2135.5,0.0,2135.5
76,IBHG,2021-12-31,WORST,2023-07-17,43607.85,194987.5,238595.35
77,IBHG,2021-12-31,WORST,2023-07-31,10500.0,0.0,10500.0
78,IBHG,2021-12-31,WORST,2023-08-01,21630.625,57437.5,79068.125
79,IBHG,2021-12-31,WORST,2023-08-15,21130.0,0.0,21130.0
80,IBHG,2021-12-31,WORST,2023-08-17,2475.0,0.0,2475.0
81,IBHG,2021-12-31,WORST,2023-09-01,27743.75,0.0,27743.75
82,IBHG,2021-12-31,WORST,2023-09-15,31500.0,0.0,31500.0
83,IBHG,2021-12-31,WORST,2023-10-02,26875.0,0.0,26875.0
84,IBHG,2021-12-31,WORST,2023-10-16,55731.25,175885.0,231616.25
85,IBHG,2021-12-31,WORST,2023-10-30,1687.5,0.0,1687.5
86,IBHG,2021-12-31,WORST,2023-11-01,13022.253,65090.747,78113.0
87,IBHG,2021-12-31,WORST,2023-11-02,2098.25,0.0,2098.25
88,IBHG,2021-12-31,WORST,2023-11-15,48537.5,166050.0,214587.5
89,IBHG,2021-12-31,WORST,2023-11-20,1725.0,0.0,1725.0
90,IBHG,2021-12-31,WORST,2023-11-27,2193.75,0.0,2193.75
91,IBHG,2021-12-31,WORST,2023-12-01,11625.0,0.0,11625.0
92,IBHG,2021-12-31,WORST,2023-12-06,768.75,0.0,768.75
93,IBHG,2021-12-31,WORST,2023-12-12,1312.5,0.0,1312.5
94,IBHG,2021-12-31,WORST,2023-12-15,27031.25,275626.0,302657.25
95,IBHG,2021-12-31,WORST,2024-01-02,8800.0,0.0,8800.0
96,IBHG,2021-12-31,WORST,2024-01-09,2135.5,0.0,2135.5
97,IBHG,2021-12-31,WORST,2024-01-16,36651.6,0.0,36651.6
98,IBHG,2021-12-31,WORST,2024-01-17,1968.75,0.0,1968.75
99,IBHG,2021-12-31,WORST,2024-01-30,4025.0,0.0,4025.0
100,IBHG,2021-12-31,WORST,2024-01-31,6475.0,0.0,6475.0
101,IBHG,2021-12-31,WORST,2024-02-01,19021.25,6000.0,25021.25
102,IBHG,2021-12-31,WORST,2024-02-15,21130.0,0.0,21130.0
103,IBHG,2021-12-31,WORST,2024-02-20,2475.0,0.0,2475.0
104,IBHG,2021-12-31,WORST,2024-03-01,27743.75,120000.0,147743.75
105,IBHG,2021-12-31,WORST,2024-03-15,25875.0,0.0,25875.0
106,IBHG,2021-12-31,WORST,2024-04-01,26875.0,40000.0,66875.0
107,IBHG,2021-12-31,WORST,2024-04-15,50437.5,300000.0,350437.5
108,IBHG,2021-12-31,WORST,2024-04-29,1687.5,0.0,1687.5
109,IBHG,2021-12-31,WORST,2024-05-01,10908.656,3040.282,13948.938
110,IBHG,2021-12-31,WORST,2024-05-02,2098.25,0.0,2098.25
111,IBHG,2021-12-31,WORST,2024-05-15,42487.5,141324.8,183812.3
112,IBHG,2021-12-31,WORST,2024-05-20,1725.0,0.0,1725.0
113,IBHG,2021-12-31,WORST,2024-05-28,2193.75,0.0,2193.75
114,IBHG,2021-12-31,WORST,2024-06-03,11625.0,0.0,11625.0
115,IBHG,2021-12-31,WORST,2024-06-06,768.75,0.0,768.75
116,IBHG,2021-12-31,WORST,2024-06-12,1312.5,0.0,1312.5
117,IBHG,2021-12-31,WORST,2024-06-17,22162.5,0.0,22162.5
118,IBHG,2021-12-31,WORST,2024-07-01,8800.0,0.0,8800.0
119,IBHG,2021-12-31,WORST,2024-07-09,2135.5,0.0,2135.5
120,IBHG,2021-12-31,WORST,2024-07-15,36651.6,251818.9,288470.5
121,IBHG,2021-12-31,WORST,2024-07-17,1968.75,0.0,1968.75
122,IBHG,2021-12-31,WORST,2024-07-30,4025.0,0.0,4025.0
123,IBHG,2021-12-31,WORST,2024-07-31,6475.0,60000.0,66475.0
124,IBHG,2021-12-31,WORST,2024-08-01,18815.0,46466.8,65281.8
125,IBHG,2021-12-31,WORST,2024-08-15,23886.25,320000.0,343886.25
126,IBHG,2021-12-31,WORST,2024-08-19,2475.0,0.0,2475.0
127,IBHG,2021-12-31,WORST,2024-09-03,22793.75,0.0,22793.75
128,IBHG,2021-12-31,WORST,2024-09-16,25875.0,120000.0,145875.0
129,IBHG,2021-12-31,WORST,2024-10-01,25500.0,0.0,25500.0
130,IBHG,2021-12-31,WORST,2024-10-15,39412.5,140000.0,179412.5
131,IBHG,2021-12-31,WORST,2024-10-28,1687.5,0.0,1687.5
132,IBHG,2021-12-31,WORST,2024-11-01,10857.351,43028.685,53886.037
133,IBHG,2021-12-31,WORST,2024-11-04,2098.25,0.0,2098.25
134,IBHG,2021-12-31,WORST,2024-11-15,34844.553,460000.0,494844.553
135,IBHG,2021-12-31,WORST,2024-11-20,1725.0,0.0,1725.0
136,IBHG,2021-12-31,WORST,2024-11-25,2193.75,0.0,2193.75
