,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBMK,2021-12-31,WORST,2022-01-06,123046.502,761945.325,884991.827
1,IBMK,2021-12-31,WORST,2022-01-18,5921.502,25938.567,31860.068
2,IBMK,2021-12-31,WORST,2022-01-31,0.0,1365.188,1365.188
3,IBMK,2021-12-31,WORST,2022-02-01,79013.225,701706.485,780719.71
4,IBMK,2021-12-31,WORST,2022-02-15,33003.413,564846.416,597849.829
5,IBMK,2021-12-31,WORST,2022-03-01,66797.355,1009556.314,1076353.669
6,IBMK,2021-12-31,WORST,2022-03-15,17481.229,554607.509,572088.737
7,IBMK,2021-12-31,WORST,2022-04-01,74954.352,639249.147,714203.498
8,IBMK,2021-12-31,WORST,2022-04-15,10836.177,109215.017,120051.195
9,IBMK,2021-12-31,WORST,2022-05-02,61774.744,736177.474,797952.218
10,IBMK,2021-12-31,WORST,2022-05-15,232.935,8873.72,9106.655
11,IBMK,2021-12-31,WORST,2022-05-16,31683.02,502730.375,534413.396
12,IBMK,2021-12-31,WORST,2022-06-01,83392.065,1415017.065,1498409.13
13,IBMK,2021-12-31,WORST,2022-06-15,19997.507,842320.819,862318.326
14,IBMK,2021-12-31,WORST,2022-07-01,104657.85,4268259.386,4372917.235
15,IBMK,2021-12-31,WORST,2022-07-15,5273.038,214675.768,219948.805
16,IBMK,2021-12-31,WORST,2022-08-01,61649.317,2610238.908,2671888.225
17,IBMK,2021-12-31,WORST,2022-08-15,19162.116,834470.99,853633.106
18,IBMK,2021-12-31,WORST,2022-09-01,41836.604,1743344.71,1785181.314
19,IBMK,2021-12-31,WORST,2022-09-15,3783.276,153583.618,157366.894
20,IBMK,2021-12-31,WORST,2022-10-03,59561.433,2439931.741,2499493.174
21,IBMK,2021-12-31,WORST,2022-10-17,8105.802,351535.836,359641.638
22,IBMK,2021-12-31,WORST,2022-11-01,43627.986,1778839.59,1822467.577
23,IBMK,2021-12-31,WORST,2022-11-15,19265.785,789078.498,808344.283
24,IBMK,2021-12-31,WORST,2022-12-01,48927.474,2006143.345,2055070.819
25,IBMK,2021-12-31,MATURITY,2022-01-06,123046.502,761945.325,884991.827
26,IBMK,2021-12-31,MATURITY,2022-01-18,5921.502,25938.567,31860.068
27,IBMK,2021-12-31,MATURITY,2022-01-31,0.0,1365.188,1365.188
28,IBMK,2021-12-31,MATURITY,2022-02-01,79013.225,701706.485,780719.71
29,IBMK,2021-12-31,MATURITY,2022-02-15,33003.413,564846.416,597849.829
30,IBMK,2021-12-31,MATURITY,2022-03-01,66797.355,1009556.314,1076353.669
31,IBMK,2021-12-31,MATURITY,2022-03-15,17481.229,554607.509,572088.737
32,IBMK,2021-12-31,MATURITY,2022-04-01,74954.352,639249.147,714203.498
33,IBMK,2021-12-31,MATURITY,2022-04-15,10836.177,109215.017,120051.195
34,IBMK,2021-12-31,MATURITY,2022-05-02,61774.744,736177.474,797952.218
35,IBMK,2021-12-31,MATURITY,2022-05-15,232.935,8873.72,9106.655
36,IBMK,2021-12-31,MATURITY,2022-05-16,31683.02,502730.375,534413.396
37,IBMK,2021-12-31,MATURITY,2022-06-01,83392.065,1415017.065,1498409.13
38,IBMK,2021-12-31,MATURITY,2022-06-15,19997.507,842320.819,862318.326
39,IBMK,2021-12-31,MATURITY,2022-07-01,104657.85,4268259.386,4372917.235
40,IBMK,2021-12-31,MATURITY,2022-07-15,5273.038,214675.768,219948.805
41,IBMK,2021-12-31,MATURITY,2022-08-01,61649.317,2610238.908,2671888.225
42,IBMK,2021-12-31,MATURITY,2022-08-15,19162.116,834470.99,853633.106
43,IBMK,2021-12-31,MATURITY,2022-09-01,41836.604,1743344.71,1785181.314
44,IBMK,2021-12-31,MATURITY,2022-09-15,3783.276,153583.618,157366.894
45,IBMK,2021-12-31,MATURITY,2022-10-03,59561.433,2439931.741,2499493.174
46,IBMK,2021-12-31,MATURITY,2022-10-17,8105.802,351535.836,359641.638
47,IBMK,2021-12-31,MATURITY,2022-11-01,43627.986,1778839.59,1822467.577
48,IBMK,2021-12-31,MATURITY,2022-11-15,19265.785,789078.498,808344.283
49,IBMK,2021-12-31,MATURITY,2022-12-01,48927.474,2006143.345,2055070.819
