,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBMM,2021-12-31,WORST,2022-01-06,109800.258,31679.597,141479.855
1,IBMM,2021-12-31,WORST,2022-01-18,10262.887,0.0,10262.887
2,IBMM,2021-12-31,WORST,2022-02-01,84041.881,0.0,84041.881
3,IBMM,2021-12-31,WORST,2022-02-15,31801.546,0.0,31801.546
4,IBMM,2021-12-31,WORST,2022-03-01,49694.015,0.0,49694.015
5,IBMM,2021-12-31,WORST,2022-03-15,26817.01,0.0,26817.01
6,IBMM,2021-12-31,WORST,2022-04-01,61327.32,0.0,61327.32
7,IBMM,2021-12-31,WORST,2022-04-15,11121.134,0.0,11121.134
8,IBMM,2021-12-31,WORST,2022-05-02,58700.601,0.0,58700.601
9,IBMM,2021-12-31,WORST,2022-05-16,31041.237,0.0,31041.237
10,IBMM,2021-12-31,WORST,2022-06-01,77092.354,0.0,77092.354
11,IBMM,2021-12-31,WORST,2022-06-15,23240.836,0.0,23240.836
12,IBMM,2021-12-31,WORST,2022-07-01,110298.54,0.0,110298.54
13,IBMM,2021-12-31,WORST,2022-07-15,10262.887,0.0,10262.887
14,IBMM,2021-12-31,WORST,2022-08-01,84041.881,0.0,84041.881
15,IBMM,2021-12-31,WORST,2022-08-15,31801.546,0.0,31801.546
16,IBMM,2021-12-31,WORST,2022-09-01,49758.376,0.0,49758.376
17,IBMM,2021-12-31,WORST,2022-09-15,26817.01,0.0,26817.01
18,IBMM,2021-12-31,WORST,2022-10-03,61296.392,0.0,61296.392
19,IBMM,2021-12-31,WORST,2022-10-17,11121.134,0.0,11121.134
20,IBMM,2021-12-31,WORST,2022-11-01,58731.959,0.0,58731.959
21,IBMM,2021-12-31,WORST,2022-11-15,31041.237,0.0,31041.237
22,IBMM,2021-12-31,WORST,2022-12-01,76961.34,0.0,76961.34
23,IBMM,2021-12-31,WORST,2022-12-15,23023.196,0.0,23023.196
24,IBMM,2021-12-31,WORST,2023-01-03,110135.309,0.0,110135.309
25,IBMM,2021-12-31,WORST,2023-01-17,10262.887,0.0,10262.887
26,IBMM,2021-12-31,WORST,2023-02-01,84041.881,0.0,84041.881
27,IBMM,2021-12-31,WORST,2023-02-15,31801.546,0.0,31801.546
28,IBMM,2021-12-31,WORST,2023-03-01,49758.376,0.0,49758.376
29,IBMM,2021-12-31,WORST,2023-03-15,26817.01,0.0,26817.01
30,IBMM,2021-12-31,WORST,2023-04-03,61296.392,0.0,61296.392
31,IBMM,2021-12-31,WORST,2023-04-17,11121.134,0.0,11121.134
32,IBMM,2021-12-31,WORST,2023-05-01,58731.959,0.0,58731.959
33,IBMM,2021-12-31,WORST,2023-05-15,31041.237,0.0,31041.237
34,IBMM,2021-12-31,WORST,2023-06-01,76961.34,0.0,76961.34
35,IBMM,2021-12-31,WORST,2023-06-15,23023.196,0.0,23023.196
36,IBMM,2021-12-31,WORST,2023-07-03,110135.309,0.0,110135.309
37,IBMM,2021-12-31,WORST,2023-07-17,10262.887,0.0,10262.887
38,IBMM,2021-12-31,WORST,2023-08-01,84041.881,0.0,84041.881
39,IBMM,2021-12-31,WORST,2023-08-15,31801.546,0.0,31801.546
40,IBMM,2021-12-31,WORST,2023-09-01,49758.376,0.0,49758.376
41,IBMM,2021-12-31,WORST,2023-09-15,26817.01,0.0,26817.01
42,IBMM,2021-12-31,WORST,2023-10-02,61296.392,0.0,61296.392
43,IBMM,2021-12-31,WORST,2023-10-16,11121.134,0.0,11121.134
44,IBMM,2021-12-31,WORST,2023-11-01,58731.959,0.0,58731.959
45,IBMM,2021-12-31,WORST,2023-11-15,31041.237,0.0,31041.237
46,IBMM,2021-12-31,WORST,2023-12-01,76961.34,0.0,76961.34
47,IBMM,2021-12-31,WORST,2023-12-15,23023.196,0.0,23023.196
48,IBMM,2021-12-31,WORST,2024-01-02,110135.309,808247.423,918382.732
49,IBMM,2021-12-31,WORST,2024-01-16,10262.887,65463.918,75726.804
50,IBMM,2021-12-31,WORST,2024-02-01,84041.881,648453.608,732495.49
51,IBMM,2021-12-31,WORST,2024-02-15,31801.546,642268.041,674069.588
52,IBMM,2021-12-31,WORST,2024-03-01,49758.376,731443.299,781201.675
53,IBMM,2021-12-31,WORST,2024-03-15,26817.01,739690.722,766507.732
54,IBMM,2021-12-31,WORST,2024-04-01,61296.392,725257.732,786554.124
