,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2024 Term Muni Bond ETF
MARYLAND ST HEALTH & HIGHER ED,Government Related,Fixed Income,"1,715,723.25",0.66,"1,715,723.25","1,500,000.00",574218SM6,US574218SM63,-,111.76,United States,-,USD,2.33,0.51,1.0,"Jul 01, 2024",5.25,2.33,-,0.51,2.33,0.51,USD,"Nov 19, 2014","Nov 19, 2014"
NEW YORK N Y CITY MUN WTR FIN,Government Related,Fixed Income,"1,488,649.45",0.57,"1,488,649.45","1,335,000.00",64972GSB1,US64972GSB13,-,111.29,United States,-,USD,2.35,0.38,1.0,"Jun 15, 2024",5.0,2.34,-,0.38,2.34,0.38,USD,"Aug 21, 2018","Aug 21, 2018"
OMAHA PUB PWR DIST NEB ELEC RE,Government Related,Fixed Income,"1,270,908.03",0.49,"1,270,908.03","1,115,000.00",682001DZ2,US682001DZ26,-,111.9,United States,-,USD,2.42,0.37,1.0,"Aug 01, 2024",5.0,2.41,-,0.37,2.41,0.37,USD,"Jan 07, 2015","Jan 07, 2015"
TEXAS ST,Government Related,Fixed Income,"1,137,278.70",0.44,"1,137,278.70","1,000,000.00",882723TB5,US882723TB52,-,112.48,United States,-,USD,2.58,0.43,1.0,"Oct 01, 2024",5.0,2.58,-,0.43,2.58,0.43,USD,"Dec 18, 2014","Dec 18, 2014"
CLEVELAND OHIO WTR REV,Government Related,Fixed Income,"1,137,062.89",0.44,"1,137,062.89","1,040,000.00",186427CU2,US186427CU20,-,107.33,United States,-,USD,1.91,0.32,1.0,"Jan 01, 2024",4.0,1.91,-,0.32,1.91,0.32,USD,"May 27, 2015","May 27, 2015"
MONTGOMERY CNTY MD,Government Related,Fixed Income,"1,108,440.67",0.43,"1,108,440.67","1,000,000.00",6133403Q9,US6133403Q95,-,110.18,United States,-,USD,2.7,0.38,1.0,"Nov 01, 2024",4.0,2.69,-,0.38,2.69,0.38,USD,"Nov 19, 2014","Nov 19, 2014"
WASHINGTON ST FOR ISSUES DTD P,Government Related,Fixed Income,"1,019,664.82",0.39,"1,019,664.82","895,000.00",93974DGV4,US93974DGV47,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"Jul 09, 2014","Jul 09, 2014"
MASSACHUSETTS ST,Government Related,Fixed Income,"975,207.72",0.37,"975,207.72","850,000.00",57582PAE0,US57582PAE07,-,112.98,United States,-,USD,2.5,0.35,1.0,"Sep 01, 2024",5.25,2.49,-,0.35,2.49,0.35,USD,"Oct 18, 2006","Oct 18, 2006"
TRIBOROUGH BRDG & TUNL AUTH N,Corporates,Fixed Income,"959,719.22",0.37,"959,719.22","845,000.00",89602N6S8,US89602N6S86,-,112.94,United States,-,USD,2.7,0.46,1.0,"Nov 15, 2024",5.0,2.7,-,0.46,2.7,0.46,USD,"Jan 19, 2017","Jan 19, 2017"
MARYLAND ST,Government Related,Fixed Income,"951,985.53",0.37,"951,985.53","835,000.00",574193PC6,US574193PC67,-,111.93,United States,-,USD,2.42,0.36,1.0,"Aug 01, 2024",5.0,2.42,-,0.36,2.42,0.36,USD,"Aug 30, 2017","Aug 30, 2017"
SALES TAX ASSET RECEIVABLE COR,Government Related,Fixed Income,"928,185.45",0.36,"928,185.45","815,000.00",794665GD5,US794665GD52,-,112.83,United States,-,USD,2.62,0.37,1.0,"Oct 15, 2024",5.0,2.62,-,0.37,2.62,0.37,USD,"Oct 15, 2014","Oct 15, 2014"
NEW JERSEY ST,Government Related,Fixed Income,"922,132.38",0.35,"922,132.38","830,000.00",646039YH4,US646039YH40,-,110.68,United States,-,USD,2.31,0.54,1.0,"Jun 01, 2024",5.0,2.3,-,0.54,2.3,0.54,USD,"Nov 24, 2020","Nov 24, 2020"
PENNSYLVANIA ST,Government Related,Fixed Income,"914,835.34",0.35,"914,835.34","805,000.00",70914PD82,US70914PD827,-,112.17,United States,-,USD,2.54,0.47,1.0,"Sep 15, 2024",5.0,2.54,-,0.47,2.54,0.47,USD,"Aug 19, 2016","Aug 19, 2016"
NEW YORK N Y,Government Related,Fixed Income,"876,822.82",0.34,"876,822.82","770,000.00",64966MJH3,US64966MJH34,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Feb 22, 2017","Feb 22, 2017"
TEXAS TRANSN COMMN ST HWY FD R,Government Related,Fixed Income,"853,821.47",0.33,"853,821.47","765,000.00",88283LJC1,US88283LJC19,-,110.36,United States,-,USD,2.14,0.37,1.0,"Apr 01, 2024",5.0,2.13,-,0.37,2.13,0.37,USD,"Apr 02, 2014","Apr 02, 2014"
METROPOLITAN TRANSN AUTH N Y R,Government Related,Fixed Income,"852,807.30",0.33,"852,807.30","755,000.00",59261APQ4,US59261APQ49,-,112.32,United States,-,USD,2.7,0.66,1.0,"Nov 15, 2024",5.0,2.7,-,0.66,2.7,0.66,USD,"Dec 14, 2017","Dec 14, 2017"
ILLINOIS ST,Government Related,Fixed Income,"799,117.94",0.31,"799,117.94","720,000.00",452152XT3,US452152XT33,-,110.16,United States,-,USD,2.22,0.61,1.0,"May 01, 2024",5.0,2.21,-,0.61,2.21,0.61,USD,"May 08, 2014","May 08, 2014"
SOUTH CAROLINA ST TRANSPRTN INFRAS,Corporates,Fixed Income,"796,505.01",0.31,"796,505.01","700,000.00",837152TJ6,US837152TJ66,-,112.54,United States,-,USD,2.58,0.41,1.0,"Oct 01, 2024",5.0,2.58,-,0.41,2.58,0.41,USD,"Jul 01, 2015","Jul 01, 2015"
NEW JERSEY ECONOMIC DEV AUTH R,Government Related,Fixed Income,"785,520.23",0.3,"785,520.23","725,000.00",64577BKH6,US64577BKH68,-,108.17,United States,-,USD,2.37,0.64,1.0,"Jun 15, 2024",4.0,2.36,-,0.64,2.36,0.64,USD,"Aug 31, 2015","Aug 31, 2015"
ATLANTA GA ARPT PASSENGER FAC,Municipals,Fixed Income,"776,253.84",0.3,"776,253.84","695,000.00",04780TCN2,US04780TCN28,-,109.19,United States,-,USD,1.89,0.38,1.0,"Jan 01, 2024",5.0,1.89,-,0.38,1.89,0.38,USD,"Apr 10, 2014","Apr 10, 2014"
NORTH CAROLINA ST,Government Related,Fixed Income,"759,280.54",0.29,"759,280.54","680,000.00",658256R61,US658256R616,-,110.83,United States,-,USD,2.22,0.34,1.0,"May 01, 2024",5.0,2.22,-,0.34,2.22,0.34,USD,"Feb 28, 2013","Feb 28, 2013"
CONNECTICUT ST,Government Related,Fixed Income,"752,884.10",0.29,"752,884.10","675,000.00",20772KCZ0,US20772KCZ03,-,110.48,United States,-,USD,2.17,0.39,1.0,"Apr 15, 2024",5.0,2.17,-,0.39,2.17,0.39,USD,"Jun 20, 2018","Jun 20, 2018"
WASHINGTON ST,Government Related,Fixed Income,"711,706.83",0.27,"711,706.83","625,000.00",93974DW46,US93974DW465,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Dec 07, 2017","Dec 07, 2017"
CALIFORNIA ST,Government Related,Fixed Income,"711,531.31",0.27,"711,531.31","625,000.00",13063DFT0,US13063DFT00,-,112.6,United States,-,USD,2.58,0.39,1.0,"Oct 01, 2024",5.0,2.58,-,0.39,2.58,0.39,USD,"Mar 15, 2018","Mar 15, 2018"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"709,534.54",0.27,"709,534.54","635,000.00",64990EQB6,US64990EQB64,-,110.27,United States,-,USD,2.09,0.32,1.0,"Mar 15, 2024",5.0,2.09,-,0.32,2.09,0.32,USD,"Jul 08, 2014","Jul 08, 2014"
NEW YORK ST URBAN DEV CORP REV,Government Related,Fixed Income,"697,924.51",0.27,"697,924.51","625,000.00",650035W79,US650035W794,-,110.2,United States,-,USD,2.09,0.35,1.0,"Mar 15, 2024",5.0,2.09,-,0.35,2.09,0.35,USD,"Mar 17, 2016","Mar 17, 2016"
WISCONSIN ST GEN FD ANNUAL APP,Government Related,Fixed Income,"696,327.52",0.27,"696,327.52","625,000.00",977100GM2,US977100GM22,-,110.58,United States,-,USD,2.22,0.44,1.0,"May 01, 2024",5.0,2.22,-,0.44,2.22,0.44,USD,"Jan 31, 2019","Jan 31, 2019"
PENNSYLVANIA ST,Government Related,Fixed Income,"687,927.71",0.26,"687,927.71","605,000.00",70914PYQ9,US70914PYQ98,-,111.82,United States,-,USD,2.45,0.46,1.0,"Aug 15, 2024",5.0,2.45,-,0.46,2.45,0.46,USD,"Jun 16, 2015","Jun 16, 2015"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"687,502.90",0.26,"687,502.90","605,000.00",64971WT91,US64971WT918,-,112.8,United States,-,USD,2.67,0.45,1.0,"Nov 01, 2024",5.0,2.66,-,0.45,2.66,0.45,USD,"Mar 22, 2017","Mar 22, 2017"
NORFOLK VA,Government Related,Fixed Income,"683,575.30",0.26,"683,575.30","600,000.00",655867WK1,US655867WK11,-,112.26,United States,-,USD,2.51,0.37,1.0,"Sep 01, 2024",5.0,2.5,-,0.37,2.5,0.37,USD,"Dec 05, 2017","Dec 05, 2017"
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"676,013.22",0.26,"676,013.22","605,000.00",64990ADQ5,US64990ADQ58,-,110.27,United States,-,USD,2.09,0.32,1.0,"Mar 15, 2024",5.0,2.09,-,0.32,2.09,0.32,USD,"Jul 30, 2015","Jul 30, 2015"
FLORIDA ST DEPT ENVIRONMENTAL,Government Related,Fixed Income,"672,181.28",0.26,"672,181.28","590,000.00",34160WZH0,US34160WZH05,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"Sep 29, 2016","Sep 29, 2016"
INDIANA FIN AUTH HWY REV,Government Related,Fixed Income,"665,864.30",0.26,"665,864.30","585,000.00",45470RCS3,US45470RCS31,-,113.41,United States,-,USD,2.75,0.37,1.0,"Dec 01, 2024",5.0,2.75,-,0.37,2.75,0.37,USD,"Sep 02, 2016","Sep 02, 2016"
BEVERLY HILLS CALIF UNI SCH DIST,Municipals,Fixed Income,"662,569.16",0.25,"662,569.16","670,000.00",088023HT6,US088023HT65,-,98.89,United States,-,USD,2.58,0.43,1.0,"Aug 01, 2024",0.0,2.57,-,0.43,2.57,0.43,USD,"Feb 10, 2009","Feb 10, 2009"
ARKANSAS ST,Government Related,Fixed Income,"654,027.44",0.25,"654,027.44","600,000.00",041042ZK1,US041042ZK19,-,108.67,United States,-,USD,2.33,0.39,1.0,"Jun 01, 2024",4.0,2.32,-,0.39,2.32,0.39,USD,"Mar 12, 2015","Mar 12, 2015"
ATLANTA GA WTR & WASTE WTR REV,Government Related,Fixed Income,"653,932.74",0.25,"653,932.74","575,000.00",047870MS6,US047870MS69,-,112.89,United States,-,USD,2.67,0.42,1.0,"Nov 01, 2024",5.0,2.66,-,0.42,2.66,0.42,USD,"Mar 12, 2015","Mar 12, 2015"
VIRGINIA COLLEGE BLDG AUTH VA,Government Related,Fixed Income,"648,911.52",0.25,"648,911.52","570,000.00",92778WET9,US92778WET99,-,112.18,United States,-,USD,2.51,0.4,1.0,"Sep 01, 2024",5.0,2.5,-,0.4,2.5,0.4,USD,"Dec 05, 2017","Dec 05, 2017"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"637,844.74",0.25,"637,844.74","560,000.00",13063CYD6,US13063CYD63,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Nov 03, 2015","Nov 03, 2015"
ENERGY NORTHWEST WASH ELEC REV,Corporates,Fixed Income,"632,012.30",0.24,"632,012.30","555,000.00",29270CX67,US29270CX673,-,111.38,United States,-,USD,2.33,0.42,1.0,"Jul 01, 2024",5.0,2.33,-,0.42,2.33,0.42,USD,"Mar 29, 2018","Mar 29, 2018"
PHOENIX ARIZ,Government Related,Fixed Income,"626,582.23",0.24,"626,582.23","565,000.00",718814N85,US718814N858,-,108.9,United States,-,USD,2.36,0.42,1.0,"Jul 01, 2024",4.0,2.36,-,0.42,2.36,0.42,USD,"Jun 24, 2014","Jun 24, 2014"
WASHINGTON SUBN SAN DIST MD,Government Related,Fixed Income,"619,440.25",0.24,"619,440.25","555,000.00",940157S84,US940157S844,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Nov 09, 2017","Nov 09, 2017"
MICHIGAN ST,Government Related,Fixed Income,"618,681.43",0.24,"618,681.43","555,000.00",594612DF7,US594612DF77,-,110.0,United States,-,USD,2.09,0.44,1.0,"Mar 15, 2024",5.0,2.09,-,0.44,2.09,0.44,USD,"Aug 12, 2016","Aug 12, 2016"
MARYLAND ST,Government Related,Fixed Income,"609,954.80",0.23,"609,954.80","535,000.00",574193KN7,US574193KN77,-,111.93,United States,-,USD,2.42,0.36,1.0,"Aug 01, 2024",5.0,2.42,-,0.36,2.42,0.36,USD,"Aug 05, 2014","Aug 05, 2014"
NEW MEXICO FIN AUTH ST TRANSN,Corporates,Fixed Income,"601,168.35",0.23,"601,168.35","540,000.00",64711RLY0,US64711RLY08,-,111.11,United States,-,USD,2.35,0.45,1.0,"Jun 15, 2024",5.0,2.34,-,0.45,2.34,0.45,USD,"Jun 27, 2018","Jun 27, 2018"
MIAMI-DADE CNTY FLA WTR & SWR,Government Related,Fixed Income,"590,928.73",0.23,"590,928.73","520,000.00",59334DHX5,US59334DHX57,-,112.39,United States,-,USD,2.58,0.46,1.0,"Oct 01, 2024",5.0,2.58,-,0.46,2.58,0.46,USD,"Jun 03, 2015","Jun 03, 2015"
NORTH EAST INDPT SCH DIST TEX,Government Related,Fixed Income,"587,294.17",0.23,"587,294.17","515,000.00",659155GU3,US659155GU38,-,111.95,United States,-,USD,2.42,0.35,1.0,"Aug 01, 2024",5.0,2.42,-,0.35,2.42,0.35,USD,"Apr 23, 2015","Mar 15, 2015"
DISTRICT COLUMBIA INCOME TAX R,Government Related,Fixed Income,"586,603.69",0.23,"586,603.69","515,000.00",25477GPU3,US25477GPU30,-,112.65,United States,-,USD,2.58,0.37,1.0,"Oct 01, 2024",5.0,2.58,-,0.37,2.58,0.37,USD,"Dec 04, 2019","Dec 04, 2019"
NEW YORK ST URBAN DEV CORP REV,Government Related,Fixed Income,"586,256.59",0.23,"586,256.59","525,000.00",6500354C9,US6500354C90,-,110.2,United States,-,USD,2.09,0.35,1.0,"Mar 15, 2024",5.0,2.09,-,0.35,2.09,0.35,USD,"Mar 23, 2017","Mar 23, 2017"
CENTRAL PUGET SOUND WASH REGL,Government Related,Fixed Income,"585,540.70",0.23,"585,540.70","515,000.00",15504RFU8,US15504RFU86,-,112.86,United States,-,USD,2.67,0.43,1.0,"Nov 01, 2024",5.0,2.66,-,0.43,2.66,0.43,USD,"Sep 10, 2015","Sep 10, 2015"
GUILFORD CNTY N C,Municipals,Fixed Income,"581,105.86",0.22,"581,105.86","520,000.00",401784J87,US401784J879,-,110.08,United States,-,USD,2.05,0.33,1.0,"Mar 01, 2024",5.0,2.05,-,0.33,2.05,0.33,USD,"Nov 16, 2017","Nov 16, 2017"
NEW YORK N Y,Government Related,Fixed Income,"575,059.12",0.22,"575,059.12","505,000.00",64966MAS8,US64966MAS89,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"May 27, 2016","May 27, 2016"
WISCONSIN ST FOR ISSUES DTD PR,Government Related,Fixed Income,"574,323.54",0.22,"574,323.54","505,000.00",97705MJG1,US97705MJG15,-,112.89,United States,-,USD,2.67,0.42,1.0,"Nov 01, 2024",5.0,2.66,-,0.42,2.66,0.42,USD,"Nov 15, 2017","Nov 15, 2017"
DALLAS TEX AREA RAPID TRAN SAL,Government Related,Fixed Income,"574,018.99",0.22,"574,018.99","505,000.00",235241SX5,US235241SX51,-,113.25,United States,-,USD,2.75,0.42,1.0,"Dec 01, 2024",5.0,2.75,-,0.42,2.75,0.42,USD,"Apr 09, 2019","Apr 09, 2019"
DELAWARE TRANSN AUTH TRANSN SY,Government Related,Fixed Income,"570,042.50",0.22,"570,042.50","500,000.00",246428G42,US246428G423,-,111.51,United States,-,USD,2.33,0.37,1.0,"Jul 01, 2024",5.0,2.33,-,0.37,2.33,0.37,USD,"Sep 10, 2019","Sep 10, 2019"
GWINNETT CNTY GA WTR & SEW AUT,Government Related,Fixed Income,"569,776.82",0.22,"569,776.82","500,000.00",403760JZ5,US403760JZ55,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Sep 26, 2019","Sep 26, 2019"
VIRGINIA BEACH VA,Municipals,Fixed Income,"569,515.41",0.22,"569,515.41","500,000.00",927734C35,US927734C353,-,112.43,United States,-,USD,2.54,0.38,1.0,"Sep 15, 2024",5.0,2.54,-,0.38,2.54,0.38,USD,"Apr 21, 2015","Apr 21, 2015"
SAN ANTONIO TEX ELEC & GAS REV,Government Related,Fixed Income,"566,592.58",0.22,"566,592.58","505,000.00",7962532J0,US7962532J08,B817M76,110.01,United States,-,USD,1.97,0.42,1.0,"Feb 01, 2024",5.25,1.96,-,0.42,1.96,0.42,USD,"Jun 28, 2012","Jun 01, 2012"
FAIRFAX CNTY VA,Government Related,Fixed Income,"558,171.95",0.21,"558,171.95","500,000.00",3038207C2,US3038207C28,-,110.38,United States,-,USD,2.14,0.36,1.0,"Apr 01, 2024",5.0,2.13,-,0.36,2.13,0.36,USD,"Feb 02, 2012","Feb 02, 2012"
OREGON ST,Government Related,Fixed Income,"558,171.12",0.21,"558,171.12","500,000.00",68609TKX5,US68609TKX53,-,110.8,United States,-,USD,2.22,0.35,1.0,"May 01, 2024",5.0,2.22,-,0.35,2.22,0.35,USD,"Feb 21, 2019","Feb 21, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"558,047.72",0.21,"558,047.72","500,000.00",13063CKR0,US13063CKR06,-,110.78,United States,-,USD,2.22,0.36,1.0,"May 01, 2024",5.0,2.22,-,0.36,2.22,0.36,USD,"May 01, 2014","May 01, 2014"
LOS ANGELES CNTY CALIF MET TRA,Government Related,Fixed Income,"558,054.28",0.21,"558,054.28","500,000.00",54466HDK9,US54466HDK95,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Nov 30, 2016","Nov 30, 2016"
MASSACHUSETTS ST,Government Related,Fixed Income,"553,326.99",0.21,"553,326.99","485,000.00",57582RJT4,US57582RJT41,-,111.59,United States,-,USD,2.33,0.34,1.0,"Jul 01, 2024",5.0,2.33,-,0.34,2.33,0.34,USD,"Jul 07, 2016","Jul 07, 2016"
LOS ANGELES CALIF UNI SCH DIST,Government Related,Fixed Income,"552,555.80",0.21,"552,555.80","485,000.00",544646S78,US544646S788,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"Jun 26, 2014","Jun 26, 2014"
VIRGINIA ST PUB BLDG AUTH PUB,Government Related,Fixed Income,"552,417.49",0.21,"552,417.49","485,000.00",928172B87,US928172B878,-,111.82,United States,-,USD,2.42,0.4,1.0,"Aug 01, 2024",5.0,2.41,-,0.4,2.41,0.4,USD,"Sep 17, 2014","Sep 17, 2014"
