,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBMN,2021-12-31,WORST,2022-01-06,107886.426,36294.071,144180.497
1,IBMN,2021-12-31,WORST,2022-01-18,11570.922,0.0,11570.922
2,IBMN,2021-12-31,WORST,2022-02-01,82025.118,0.0,82025.118
3,IBMN,2021-12-31,WORST,2022-02-15,36010.638,0.0,36010.638
4,IBMN,2021-12-31,WORST,2022-03-01,46646.474,0.0,46646.474
5,IBMN,2021-12-31,WORST,2022-03-15,25628.448,0.0,25628.448
6,IBMN,2021-12-31,WORST,2022-04-01,66036.348,0.0,66036.348
7,IBMN,2021-12-31,WORST,2022-04-15,8492.908,0.0,8492.908
8,IBMN,2021-12-31,WORST,2022-05-02,53717.199,0.0,53717.199
9,IBMN,2021-12-31,WORST,2022-05-16,27109.929,0.0,27109.929
10,IBMN,2021-12-31,WORST,2022-06-01,84171.099,0.0,84171.099
11,IBMN,2021-12-31,WORST,2022-06-15,25679.768,0.0,25679.768
12,IBMN,2021-12-31,WORST,2022-07-01,108126.773,0.0,108126.773
13,IBMN,2021-12-31,WORST,2022-07-15,11570.922,0.0,11570.922
14,IBMN,2021-12-31,WORST,2022-08-01,81924.645,0.0,81924.645
15,IBMN,2021-12-31,WORST,2022-08-15,36010.638,0.0,36010.638
16,IBMN,2021-12-31,WORST,2022-09-01,46720.745,0.0,46720.745
17,IBMN,2021-12-31,WORST,2022-09-15,25443.262,0.0,25443.262
18,IBMN,2021-12-31,WORST,2022-10-03,66036.348,0.0,66036.348
19,IBMN,2021-12-31,WORST,2022-10-17,8492.908,0.0,8492.908
20,IBMN,2021-12-31,WORST,2022-11-01,53717.199,0.0,53717.199
21,IBMN,2021-12-31,WORST,2022-11-15,27109.929,0.0,27109.929
22,IBMN,2021-12-31,WORST,2022-12-01,84171.099,0.0,84171.099
23,IBMN,2021-12-31,WORST,2022-12-15,25380.319,0.0,25380.319
24,IBMN,2021-12-31,WORST,2023-01-01,1092.199,0.0,1092.199
25,IBMN,2021-12-31,WORST,2023-01-03,107034.574,0.0,107034.574
26,IBMN,2021-12-31,WORST,2023-01-17,11570.922,0.0,11570.922
27,IBMN,2021-12-31,WORST,2023-02-01,81924.645,0.0,81924.645
28,IBMN,2021-12-31,WORST,2023-02-15,36010.638,0.0,36010.638
29,IBMN,2021-12-31,WORST,2023-03-01,46720.745,0.0,46720.745
30,IBMN,2021-12-31,WORST,2023-03-15,25443.262,0.0,25443.262
31,IBMN,2021-12-31,WORST,2023-04-03,66036.348,0.0,66036.348
32,IBMN,2021-12-31,WORST,2023-04-17,8492.908,0.0,8492.908
33,IBMN,2021-12-31,WORST,2023-05-01,53717.199,0.0,53717.199
34,IBMN,2021-12-31,WORST,2023-05-15,27109.929,0.0,27109.929
35,IBMN,2021-12-31,WORST,2023-06-01,84171.099,0.0,84171.099
36,IBMN,2021-12-31,WORST,2023-06-15,25380.319,0.0,25380.319
37,IBMN,2021-12-31,WORST,2023-07-01,1092.199,0.0,1092.199
38,IBMN,2021-12-31,WORST,2023-07-03,107034.574,0.0,107034.574
39,IBMN,2021-12-31,WORST,2023-07-17,11570.922,0.0,11570.922
40,IBMN,2021-12-31,WORST,2023-08-01,81924.645,0.0,81924.645
41,IBMN,2021-12-31,WORST,2023-08-15,36010.638,0.0,36010.638
42,IBMN,2021-12-31,WORST,2023-09-01,46720.745,0.0,46720.745
43,IBMN,2021-12-31,WORST,2023-09-15,25443.262,0.0,25443.262
44,IBMN,2021-12-31,WORST,2023-10-02,66036.348,0.0,66036.348
45,IBMN,2021-12-31,WORST,2023-10-16,8492.908,0.0,8492.908
46,IBMN,2021-12-31,WORST,2023-11-01,53717.199,0.0,53717.199
47,IBMN,2021-12-31,WORST,2023-11-15,27109.929,0.0,27109.929
48,IBMN,2021-12-31,WORST,2023-12-01,84171.099,0.0,84171.099
49,IBMN,2021-12-31,WORST,2023-12-15,25380.319,0.0,25380.319
50,IBMN,2021-12-31,WORST,2024-01-01,1092.199,0.0,1092.199
51,IBMN,2021-12-31,WORST,2024-01-02,107034.574,0.0,107034.574
52,IBMN,2021-12-31,WORST,2024-01-16,11570.922,0.0,11570.922
53,IBMN,2021-12-31,WORST,2024-02-01,81924.645,0.0,81924.645
54,IBMN,2021-12-31,WORST,2024-02-15,36010.638,0.0,36010.638
55,IBMN,2021-12-31,WORST,2024-03-01,46720.745,0.0,46720.745
56,IBMN,2021-12-31,WORST,2024-03-15,25443.262,0.0,25443.262
57,IBMN,2021-12-31,WORST,2024-04-01,66036.348,0.0,66036.348
58,IBMN,2021-12-31,WORST,2024-04-15,8492.908,0.0,8492.908
59,IBMN,2021-12-31,WORST,2024-05-01,53717.199,0.0,53717.199
60,IBMN,2021-12-31,WORST,2024-05-15,27109.929,0.0,27109.929
61,IBMN,2021-12-31,WORST,2024-06-03,84171.099,0.0,84171.099
62,IBMN,2021-12-31,WORST,2024-06-17,25380.319,0.0,25380.319
63,IBMN,2021-12-31,WORST,2024-07-01,108126.773,0.0,108126.773
64,IBMN,2021-12-31,WORST,2024-07-15,11570.922,0.0,11570.922
65,IBMN,2021-12-31,WORST,2024-08-01,81924.645,0.0,81924.645
66,IBMN,2021-12-31,WORST,2024-08-15,36010.638,0.0,36010.638
67,IBMN,2021-12-31,WORST,2024-09-03,46720.745,0.0,46720.745
68,IBMN,2021-12-31,WORST,2024-09-16,25443.262,0.0,25443.262
69,IBMN,2021-12-31,WORST,2024-10-01,66036.348,0.0,66036.348
70,IBMN,2021-12-31,WORST,2024-10-15,8492.908,0.0,8492.908
71,IBMN,2021-12-31,WORST,2024-11-01,53717.199,0.0,53717.199
72,IBMN,2021-12-31,WORST,2024-11-15,27109.929,0.0,27109.929
73,IBMN,2021-12-31,WORST,2024-12-02,84171.099,0.0,84171.099
74,IBMN,2021-12-31,WORST,2024-12-16,25380.319,0.0,25380.319
75,IBMN,2021-12-31,WORST,2025-01-01,1092.199,7801.418,8893.617
76,IBMN,2021-12-31,WORST,2025-01-02,107034.574,1036170.213,1143204.787
