,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBMO,2021-12-31,WORST,2022-01-06,99859.145,17642.522,117501.667
1,IBMO,2021-12-31,WORST,2022-01-18,10869.838,0.0,10869.838
2,IBMO,2021-12-31,WORST,2022-02-01,82878.196,0.0,82878.196
3,IBMO,2021-12-31,WORST,2022-02-15,30482.301,0.0,30482.301
4,IBMO,2021-12-31,WORST,2022-03-01,43829.031,0.0,43829.031
5,IBMO,2021-12-31,WORST,2022-03-15,27274.336,0.0,27274.336
6,IBMO,2021-12-31,WORST,2022-04-01,55521.018,0.0,55521.018
7,IBMO,2021-12-31,WORST,2022-04-15,10398.23,0.0,10398.23
8,IBMO,2021-12-31,WORST,2022-05-02,47742.257,0.0,47742.257
9,IBMO,2021-12-31,WORST,2022-05-16,26269.912,0.0,26269.912
10,IBMO,2021-12-31,WORST,2022-06-01,83325.59,0.0,83325.59
11,IBMO,2021-12-31,WORST,2022-06-15,27985.644,0.0,27985.644
12,IBMO,2021-12-31,WORST,2022-07-01,100777.655,0.0,100777.655
13,IBMO,2021-12-31,WORST,2022-07-15,10774.336,0.0,10774.336
14,IBMO,2021-12-31,WORST,2022-08-01,82691.372,0.0,82691.372
15,IBMO,2021-12-31,WORST,2022-08-15,30482.301,0.0,30482.301
16,IBMO,2021-12-31,WORST,2022-09-01,43936.947,0.0,43936.947
17,IBMO,2021-12-31,WORST,2022-09-15,27274.336,0.0,27274.336
18,IBMO,2021-12-31,WORST,2022-10-03,55521.018,0.0,55521.018
19,IBMO,2021-12-31,WORST,2022-10-17,10398.23,0.0,10398.23
20,IBMO,2021-12-31,WORST,2022-11-01,47794.248,0.0,47794.248
21,IBMO,2021-12-31,WORST,2022-11-15,26269.912,0.0,26269.912
22,IBMO,2021-12-31,WORST,2022-12-01,82508.85,0.0,82508.85
23,IBMO,2021-12-31,WORST,2022-12-15,27415.929,0.0,27415.929
24,IBMO,2021-12-31,WORST,2023-01-03,100630.531,0.0,100630.531
25,IBMO,2021-12-31,WORST,2023-01-17,10774.336,0.0,10774.336
26,IBMO,2021-12-31,WORST,2023-02-01,82691.372,0.0,82691.372
27,IBMO,2021-12-31,WORST,2023-02-15,30482.301,0.0,30482.301
28,IBMO,2021-12-31,WORST,2023-03-01,43936.947,0.0,43936.947
29,IBMO,2021-12-31,WORST,2023-03-15,27274.336,0.0,27274.336
30,IBMO,2021-12-31,WORST,2023-04-03,55521.018,0.0,55521.018
31,IBMO,2021-12-31,WORST,2023-04-17,10398.23,0.0,10398.23
32,IBMO,2021-12-31,WORST,2023-05-01,47794.248,0.0,47794.248
33,IBMO,2021-12-31,WORST,2023-05-15,26269.912,0.0,26269.912
34,IBMO,2021-12-31,WORST,2023-06-01,82508.85,0.0,82508.85
35,IBMO,2021-12-31,WORST,2023-06-15,27415.929,0.0,27415.929
36,IBMO,2021-12-31,WORST,2023-07-03,100630.531,0.0,100630.531
37,IBMO,2021-12-31,WORST,2023-07-17,10774.336,0.0,10774.336
38,IBMO,2021-12-31,WORST,2023-08-01,82691.372,0.0,82691.372
39,IBMO,2021-12-31,WORST,2023-08-15,30482.301,0.0,30482.301
40,IBMO,2021-12-31,WORST,2023-09-01,43936.947,0.0,43936.947
41,IBMO,2021-12-31,WORST,2023-09-15,27274.336,0.0,27274.336
42,IBMO,2021-12-31,WORST,2023-10-02,55521.018,0.0,55521.018
43,IBMO,2021-12-31,WORST,2023-10-16,10398.23,0.0,10398.23
44,IBMO,2021-12-31,WORST,2023-11-01,47794.248,0.0,47794.248
45,IBMO,2021-12-31,WORST,2023-11-15,26269.912,0.0,26269.912
46,IBMO,2021-12-31,WORST,2023-12-01,82508.85,0.0,82508.85
47,IBMO,2021-12-31,WORST,2023-12-15,27415.929,0.0,27415.929
48,IBMO,2021-12-31,WORST,2024-01-02,100630.531,0.0,100630.531
49,IBMO,2021-12-31,WORST,2024-01-16,10774.336,0.0,10774.336
50,IBMO,2021-12-31,WORST,2024-02-01,82691.372,22123.894,104815.265
51,IBMO,2021-12-31,WORST,2024-02-15,30482.301,35398.23,65880.531
52,IBMO,2021-12-31,WORST,2024-03-01,43936.947,75221.239,119158.186
53,IBMO,2021-12-31,WORST,2024-03-15,27274.336,17699.115,44973.451
54,IBMO,2021-12-31,WORST,2024-04-01,55521.018,34513.274,90034.292
55,IBMO,2021-12-31,WORST,2024-04-15,10398.23,0.0,10398.23
56,IBMO,2021-12-31,WORST,2024-05-01,47794.248,43362.832,91157.08
57,IBMO,2021-12-31,WORST,2024-05-15,26269.912,96460.177,122730.088
58,IBMO,2021-12-31,WORST,2024-06-03,82508.85,7079.646,89588.496
59,IBMO,2021-12-31,WORST,2024-06-17,27415.929,77876.106,105292.035
60,IBMO,2021-12-31,WORST,2024-07-01,100630.531,252212.389,352842.92
61,IBMO,2021-12-31,WORST,2024-07-15,10774.336,0.0,10774.336
62,IBMO,2021-12-31,WORST,2024-08-01,82138.274,91150.442,173288.717
63,IBMO,2021-12-31,WORST,2024-08-15,29597.345,0.0,29597.345
64,IBMO,2021-12-31,WORST,2024-09-03,42144.912,50442.478,92587.389
65,IBMO,2021-12-31,WORST,2024-09-16,26831.858,0.0,26831.858
66,IBMO,2021-12-31,WORST,2024-10-01,54830.752,55752.212,110582.965
67,IBMO,2021-12-31,WORST,2024-10-15,10398.23,52212.389,62610.619
68,IBMO,2021-12-31,WORST,2024-11-01,46710.177,14159.292,60869.469
69,IBMO,2021-12-31,WORST,2024-11-15,23858.407,8849.558,32707.965
70,IBMO,2021-12-31,WORST,2024-12-02,82331.858,89380.531,171712.389
71,IBMO,2021-12-31,WORST,2024-12-16,25469.027,58407.08,83876.106
72,IBMO,2021-12-31,WORST,2025-01-02,94325.221,57522.124,151847.345
73,IBMO,2021-12-31,WORST,2025-01-15,10774.336,0.0,10774.336
74,IBMO,2021-12-31,WORST,2025-02-03,80036.504,119469.027,199505.531
75,IBMO,2021-12-31,WORST,2025-02-18,29597.345,63716.814,93314.159
76,IBMO,2021-12-31,WORST,2025-03-03,40883.85,0.0,40883.85
77,IBMO,2021-12-31,WORST,2025-03-17,26831.858,12389.381,39221.239
78,IBMO,2021-12-31,WORST,2025-04-01,53436.947,151327.434,204764.381
79,IBMO,2021-12-31,WORST,2025-04-15,9092.92,0.0,9092.92
80,IBMO,2021-12-31,WORST,2025-05-01,46356.195,171681.416,218037.611
81,IBMO,2021-12-31,WORST,2025-05-15,23637.168,49557.522,73194.69
82,IBMO,2021-12-31,WORST,2025-06-02,80119.469,168141.593,248261.062
83,IBMO,2021-12-31,WORST,2025-06-16,24008.85,176106.195,200115.044
84,IBMO,2021-12-31,WORST,2025-07-01,92887.168,352212.389,445099.558
85,IBMO,2021-12-31,WORST,2025-07-15,10774.336,0.0,10774.336
86,IBMO,2021-12-31,WORST,2025-08-01,77049.779,181415.929,258465.708
87,IBMO,2021-12-31,WORST,2025-08-15,28004.425,190265.487,218269.912
88,IBMO,2021-12-31,WORST,2025-09-02,40883.85,97345.133,138228.982
89,IBMO,2021-12-31,WORST,2025-09-15,26522.124,31858.407,58380.531
90,IBMO,2021-12-31,WORST,2025-10-01,49653.761,213274.336,262928.097
91,IBMO,2021-12-31,WORST,2025-10-15,9092.92,31858.407,40951.327
92,IBMO,2021-12-31,WORST,2025-11-03,42311.947,60176.991,102488.938
93,IBMO,2021-12-31,WORST,2025-11-17,22398.23,36283.186,58681.416
94,IBMO,2021-12-31,WORST,2025-12-01,75915.929,84070.796,159986.726
95,IBMO,2021-12-31,WORST,2025-12-15,20057.522,0.0,20057.522
96,IBMO,2021-12-31,WORST,2026-01-02,83988.938,702654.867,786643.805
97,IBMO,2021-12-31,WORST,2026-01-15,10774.336,90265.487,101039.823
98,IBMO,2021-12-31,WORST,2026-02-01,218.753,17699.115,17917.868
99,IBMO,2021-12-31,WORST,2026-02-02,72602.876,462831.858,535434.735
100,IBMO,2021-12-31,WORST,2026-02-15,353.982,26548.673,26902.655
101,IBMO,2021-12-31,WORST,2026-02-17,23526.549,500000.0,523526.549
102,IBMO,2021-12-31,WORST,2026-03-02,38450.221,472566.372,511016.593
103,IBMO,2021-12-31,WORST,2026-03-16,25725.664,452212.389,477938.053
104,IBMO,2021-12-31,WORST,2026-04-01,44321.903,495575.221,539897.124
105,IBMO,2021-12-31,WORST,2026-04-15,7765.487,38053.097,45818.584
106,IBMO,2021-12-31,WORST,2026-05-01,40365.044,492035.398,532400.442
107,IBMO,2021-12-31,WORST,2026-05-15,21491.15,356637.168,378128.319
108,IBMO,2021-12-31,WORST,2026-06-01,74225.54,1614159.292,1688384.832
109,IBMO,2021-12-31,WORST,2026-06-15,20057.522,810619.469,830676.991
110,IBMO,2021-12-31,WORST,2026-07-01,66373.894,2702654.867,2769028.761
111,IBMO,2021-12-31,WORST,2026-07-15,8517.699,347787.611,356305.31
112,IBMO,2021-12-31,WORST,2026-08-03,60863.938,2645132.743,2705996.681
113,IBMO,2021-12-31,WORST,2026-08-17,11026.549,447787.611,458814.159
114,IBMO,2021-12-31,WORST,2026-09-01,26720.133,1152212.389,1178932.522
115,IBMO,2021-12-31,WORST,2026-09-15,14491.15,579646.018,594137.168
116,IBMO,2021-12-31,WORST,2026-10-01,32380.531,1339823.009,1372203.54
117,IBMO,2021-12-31,WORST,2026-10-15,6814.159,272566.372,279380.531
118,IBMO,2021-12-31,WORST,2026-11-02,28064.159,1169026.549,1197090.708
119,IBMO,2021-12-31,WORST,2026-11-16,12942.478,521238.938,534181.416
120,IBMO,2021-12-31,WORST,2026-12-01,35446.903,1426548.673,1461995.575
121,IBMO,2021-12-31,MATURITY,2022-01-06,99859.145,17642.522,117501.667
122,IBMO,2021-12-31,MATURITY,2022-01-18,10869.838,0.0,10869.838
123,IBMO,2021-12-31,MATURITY,2022-02-01,82878.196,0.0,82878.196
124,IBMO,2021-12-31,MATURITY,2022-02-15,30482.301,0.0,30482.301
125,IBMO,2021-12-31,MATURITY,2022-03-01,43829.031,0.0,43829.031
126,IBMO,2021-12-31,MATURITY,2022-03-15,27274.336,0.0,27274.336
127,IBMO,2021-12-31,MATURITY,2022-04-01,55521.018,0.0,55521.018
128,IBMO,2021-12-31,MATURITY,2022-04-15,10398.23,0.0,10398.23
129,IBMO,2021-12-31,MATURITY,2022-05-02,47742.257,0.0,47742.257
130,IBMO,2021-12-31,MATURITY,2022-05-16,26269.912,0.0,26269.912
