,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBMP,2021-12-31,WORST,2022-01-06,94240.566,46631.392,140871.958
1,IBMP,2021-12-31,WORST,2022-01-18,13679.245,0.0,13679.245
2,IBMP,2021-12-31,WORST,2022-02-01,72022.012,0.0,72022.012
3,IBMP,2021-12-31,WORST,2022-02-15,36599.58,0.0,36599.58
4,IBMP,2021-12-31,WORST,2022-03-01,34471.698,0.0,34471.698
5,IBMP,2021-12-31,WORST,2022-03-15,24669.811,0.0,24669.811
6,IBMP,2021-12-31,WORST,2022-04-01,54235.849,0.0,54235.849
7,IBMP,2021-12-31,WORST,2022-04-15,9056.604,0.0,9056.604
8,IBMP,2021-12-31,WORST,2022-05-02,74301.887,0.0,74301.887
9,IBMP,2021-12-31,WORST,2022-05-16,33283.019,0.0,33283.019
10,IBMP,2021-12-31,WORST,2022-06-01,72129.456,0.0,72129.456
11,IBMP,2021-12-31,WORST,2022-06-15,16787.212,0.0,16787.212
12,IBMP,2021-12-31,WORST,2022-07-01,96724.843,0.0,96724.843
13,IBMP,2021-12-31,WORST,2022-07-15,13679.245,0.0,13679.245
14,IBMP,2021-12-31,WORST,2022-08-01,73410.902,0.0,73410.902
15,IBMP,2021-12-31,WORST,2022-08-15,35122.642,0.0,35122.642
16,IBMP,2021-12-31,WORST,2022-09-01,34471.698,0.0,34471.698
17,IBMP,2021-12-31,WORST,2022-09-15,24669.811,0.0,24669.811
18,IBMP,2021-12-31,WORST,2022-10-03,54235.849,0.0,54235.849
19,IBMP,2021-12-31,WORST,2022-10-17,9056.604,0.0,9056.604
20,IBMP,2021-12-31,WORST,2022-11-01,74301.887,0.0,74301.887
21,IBMP,2021-12-31,WORST,2022-11-15,33283.019,0.0,33283.019
22,IBMP,2021-12-31,WORST,2022-12-01,71735.849,0.0,71735.849
23,IBMP,2021-12-31,WORST,2022-12-15,15990.566,0.0,15990.566
24,IBMP,2021-12-31,WORST,2023-01-03,96127.358,0.0,96127.358
25,IBMP,2021-12-31,WORST,2023-01-17,13679.245,0.0,13679.245
26,IBMP,2021-12-31,WORST,2023-02-01,72981.132,0.0,72981.132
27,IBMP,2021-12-31,WORST,2023-02-15,35122.642,0.0,35122.642
28,IBMP,2021-12-31,WORST,2023-03-01,34471.698,0.0,34471.698
29,IBMP,2021-12-31,WORST,2023-03-15,24669.811,0.0,24669.811
30,IBMP,2021-12-31,WORST,2023-04-03,54235.849,0.0,54235.849
31,IBMP,2021-12-31,WORST,2023-04-17,9056.604,0.0,9056.604
32,IBMP,2021-12-31,WORST,2023-05-01,74301.887,0.0,74301.887
33,IBMP,2021-12-31,WORST,2023-05-15,33283.019,0.0,33283.019
34,IBMP,2021-12-31,WORST,2023-06-01,71735.849,0.0,71735.849
35,IBMP,2021-12-31,WORST,2023-06-15,15990.566,0.0,15990.566
36,IBMP,2021-12-31,WORST,2023-07-03,96127.358,0.0,96127.358
37,IBMP,2021-12-31,WORST,2023-07-17,13679.245,0.0,13679.245
38,IBMP,2021-12-31,WORST,2023-08-01,72981.132,0.0,72981.132
39,IBMP,2021-12-31,WORST,2023-08-15,35122.642,0.0,35122.642
40,IBMP,2021-12-31,WORST,2023-09-01,34471.698,0.0,34471.698
41,IBMP,2021-12-31,WORST,2023-09-15,24669.811,0.0,24669.811
42,IBMP,2021-12-31,WORST,2023-10-02,54235.849,0.0,54235.849
43,IBMP,2021-12-31,WORST,2023-10-16,9056.604,0.0,9056.604
44,IBMP,2021-12-31,WORST,2023-11-01,74301.887,0.0,74301.887
45,IBMP,2021-12-31,WORST,2023-11-15,33283.019,0.0,33283.019
46,IBMP,2021-12-31,WORST,2023-12-01,71735.849,0.0,71735.849
47,IBMP,2021-12-31,WORST,2023-12-15,15990.566,0.0,15990.566
48,IBMP,2021-12-31,WORST,2024-01-02,96127.358,0.0,96127.358
49,IBMP,2021-12-31,WORST,2024-01-16,13679.245,0.0,13679.245
50,IBMP,2021-12-31,WORST,2024-02-01,72981.132,0.0,72981.132
51,IBMP,2021-12-31,WORST,2024-02-15,35122.642,0.0,35122.642
52,IBMP,2021-12-31,WORST,2024-03-01,34471.698,0.0,34471.698
53,IBMP,2021-12-31,WORST,2024-03-15,24669.811,0.0,24669.811
54,IBMP,2021-12-31,WORST,2024-04-01,54235.849,0.0,54235.849
55,IBMP,2021-12-31,WORST,2024-04-15,9056.604,0.0,9056.604
56,IBMP,2021-12-31,WORST,2024-05-01,74301.887,0.0,74301.887
57,IBMP,2021-12-31,WORST,2024-05-15,33283.019,0.0,33283.019
58,IBMP,2021-12-31,WORST,2024-06-03,71735.849,0.0,71735.849
59,IBMP,2021-12-31,WORST,2024-06-17,15990.566,0.0,15990.566
60,IBMP,2021-12-31,WORST,2024-07-01,96127.358,0.0,96127.358
61,IBMP,2021-12-31,WORST,2024-07-15,13679.245,0.0,13679.245
62,IBMP,2021-12-31,WORST,2024-08-01,72981.132,0.0,72981.132
63,IBMP,2021-12-31,WORST,2024-08-15,35122.642,0.0,35122.642
64,IBMP,2021-12-31,WORST,2024-09-03,34471.698,0.0,34471.698
65,IBMP,2021-12-31,WORST,2024-09-16,24669.811,0.0,24669.811
66,IBMP,2021-12-31,WORST,2024-10-01,54235.849,0.0,54235.849
67,IBMP,2021-12-31,WORST,2024-10-15,9056.604,0.0,9056.604
68,IBMP,2021-12-31,WORST,2024-11-01,74301.887,0.0,74301.887
69,IBMP,2021-12-31,WORST,2024-11-15,33283.019,0.0,33283.019
70,IBMP,2021-12-31,WORST,2024-12-02,71735.849,0.0,71735.849
71,IBMP,2021-12-31,WORST,2024-12-16,15990.566,0.0,15990.566
72,IBMP,2021-12-31,WORST,2025-01-02,96127.358,152830.189,248957.547
73,IBMP,2021-12-31,WORST,2025-01-15,13679.245,0.0,13679.245
74,IBMP,2021-12-31,WORST,2025-02-03,72981.132,0.0,72981.132
75,IBMP,2021-12-31,WORST,2025-02-18,35122.642,47169.811,82292.453
76,IBMP,2021-12-31,WORST,2025-03-03,34471.698,33962.264,68433.962
77,IBMP,2021-12-31,WORST,2025-03-17,24669.811,81132.075,105801.887
78,IBMP,2021-12-31,WORST,2025-04-01,54235.849,86792.453,141028.302
79,IBMP,2021-12-31,WORST,2025-04-15,9056.604,0.0,9056.604
80,IBMP,2021-12-31,WORST,2025-05-01,74301.887,103773.585,178075.472
81,IBMP,2021-12-31,WORST,2025-05-15,33283.019,71698.113,104981.132
82,IBMP,2021-12-31,WORST,2025-06-02,71735.849,64150.943,135886.792
83,IBMP,2021-12-31,WORST,2025-06-16,15990.566,0.0,15990.566
84,IBMP,2021-12-31,WORST,2025-07-01,92306.604,220754.717,313061.321
85,IBMP,2021-12-31,WORST,2025-07-15,13679.245,0.0,13679.245
