,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2027 Term Muni Bond ETF
ILLINOIS ST,Government Related,Fixed Income,"548,401.88",0.77,"548,401.88","450,000.00",452152P96,US452152P965,-,121.03,United States,-,USD,5.15,1.25,1.0,"Nov 01, 2027",5.0,5.14,-,1.25,5.14,1.25,USD,"Nov 08, 2017","Nov 08, 2017"
ILLINOIS ST,Government Related,Fixed Income,"485,932.49",0.68,"485,932.49","400,000.00",452153BR9,US452153BR97,-,121.26,United States,-,USD,5.24,1.26,1.0,"Dec 01, 2027",5.0,5.23,-,1.26,5.23,1.26,USD,"Dec 15, 2021","Dec 15, 2021"
NEW YORK N Y,Government Related,Fixed Income,"417,903.23",0.58,"417,903.23","335,000.00",64966MPG8,US64966MPG86,-,122.66,United States,-,USD,5.21,1.39,1.0,"Aug 01, 2028",5.0,5.66,-,0.84,4.91,0.84,USD,"Aug 10, 2017","Aug 10, 2017"
CALIFORNIA ST,Government Related,Fixed Income,"404,540.09",0.57,"404,540.09","325,000.00",13063DBT4,US13063DBT46,-,123.64,United States,-,USD,5.46,1.36,1.0,"Nov 01, 2028",5.0,5.91,-,0.84,5.16,0.84,USD,"Sep 12, 2017","Sep 12, 2017"
NEW JERSEY ST,Government Related,Fixed Income,"396,351.82",0.55,"396,351.82","325,000.00",646039YL5,US646039YL51,-,121.54,United States,-,USD,4.84,0.92,1.0,"Jun 01, 2027",5.0,4.84,-,0.92,4.84,0.92,USD,"Nov 24, 2020","Nov 24, 2020"
ILLINOIS FIN AUTH REV,Corporates,Fixed Income,"393,062.94",0.55,"393,062.94","320,000.00",45204EXX1,US45204EXX11,-,120.33,United States,-,USD,5.13,2.06,1.0,"Jul 01, 2029",5.0,6.27,-,0.84,4.43,0.84,USD,"Sep 12, 2017","Sep 12, 2017"
UTAH ST,Government Related,Fixed Income,"388,948.63",0.54,"388,948.63","310,000.00",917542VG4,US917542VG49,-,122.97,United States,-,USD,5.12,1.3,1.0,"Jul 01, 2028",5.0,5.58,-,0.73,4.84,0.73,USD,"Feb 28, 2018","Feb 28, 2018"
VIRGINIA COMWLTH TRANSN BRD TR,Government Related,Fixed Income,"386,638.17",0.54,"386,638.17","310,000.00",927793D71,US927793D712,-,124.08,United States,-,USD,5.62,1.53,1.0,"May 15, 2029",5.0,6.31,-,0.79,5.2,0.79,USD,"Dec 14, 2017","Dec 14, 2017"
ALABAMA ST PUB SCH & COLLEGE A,Government Related,Fixed Income,"374,385.31",0.52,"374,385.31","300,000.00",010609FF7,US010609FF77,-,123.96,United States,-,USD,5.16,0.79,1.0,"Nov 01, 2027",5.0,5.16,-,0.79,5.16,0.79,USD,"Nov 04, 2020","Nov 04, 2020"
MARYLAND ST,Government Related,Fixed Income,"371,125.69",0.52,"371,125.69","300,000.00",574193NJ3,US574193NJ39,-,122.24,United States,-,USD,4.64,0.65,1.0,"Mar 15, 2027",5.0,4.64,-,0.65,4.64,0.65,USD,"Mar 22, 2017","Mar 22, 2017"
WISCONSIN ST GEN FD ANNUAL APP,Government Related,Fixed Income,"368,248.15",0.52,"368,248.15","300,000.00",977100GQ3,US977100GQ36,-,121.92,United States,-,USD,4.77,0.79,1.0,"May 01, 2027",5.0,4.76,-,0.79,4.76,0.79,USD,"Jan 31, 2019","Jan 31, 2019"
INDIANA FIN AUTH HWY REV,Government Related,Fixed Income,"352,367.94",0.49,"352,367.94","290,000.00",45470RCU8,US45470RCU86,-,121.09,United States,-,USD,4.58,0.99,1.0,"Jun 01, 2027",5.0,4.84,-,0.64,4.44,0.64,USD,"Sep 02, 2016","Sep 02, 2016"
