,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2028 Term Muni Bond ETF
METROPOLITAN TRANSN AUTH N Y R,Government Related,Fixed Income,"542,520.08",0.7,"542,520.08","435,000.00",59261ANL7,US59261ANL79,-,124.08,United States,-,USD,5.96,1.32,1.0,"Nov 15, 2028",5.0,5.95,-,1.32,5.95,1.32,USD,"Sep 28, 2017","Sep 28, 2017"
COLUMBUS OHIO,Government Related,Fixed Income,"524,206.24",0.68,"524,206.24","410,000.00",199492WB1,US199492WB14,-,126.61,United States,-,USD,6.51,1.86,1.0,"Apr 01, 2031",5.0,7.6,-,0.92,5.85,0.92,USD,"Oct 17, 2018","Oct 17, 2018"
ENERGY NORTHWEST WASH ELEC REV,Corporates,Fixed Income,"488,176.99",0.63,"488,176.99","380,000.00",29270C2H7,US29270C2H77,-,125.97,United States,-,USD,5.61,0.88,1.0,"Jul 01, 2028",5.0,5.61,-,0.88,5.61,0.88,USD,"May 31, 2018","May 31, 2018"
DISTRICT COLUMBIA INCOME TAX R,Government Related,Fixed Income,"430,040.30",0.55,"430,040.30","335,000.00",25477GPY5,US25477GPY51,-,127.12,United States,-,USD,5.85,0.86,1.0,"Oct 01, 2028",5.0,5.86,-,0.86,5.86,0.86,USD,"Dec 04, 2019","Dec 04, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"425,772.33",0.55,"425,772.33","350,000.00",13063CX21,US13063CX217,-,119.98,United States,-,USD,4.71,1.8,1.0,"Sep 01, 2028",5.0,5.72,-,0.65,4.2,0.65,USD,"Sep 13, 2016","Sep 13, 2016"
FLORIDA ST,Government Related,Fixed Income,"423,650.92",0.55,"423,650.92","350,000.00",3411506B1,US3411506B18,-,119.04,United States,-,USD,7.0,1.98,1.0,"Jul 01, 2032",4.0,8.63,-,0.97,5.74,0.97,USD,"Apr 04, 2019","Apr 04, 2019"
PENNSYLVANIA ST TPK COMMN REGI,Government Related,Fixed Income,"416,530.09",0.54,"416,530.09","320,000.00",709222CW1,US709222CW16,-,127.74,United States,-,USD,5.61,0.88,1.0,"Jul 15, 2028",5.25,5.61,-,0.88,5.61,0.88,USD,"Aug 01, 2005","Aug 01, 2005"
NEW JERSEY ST TPK AUTH TPK REV,Government Related,Fixed Income,"414,980.64",0.54,"414,980.64","330,000.00",6461397G4,US6461397G41,-,123.25,United States,-,USD,6.25,2.37,1.0,"Jan 01, 2032",5.0,7.97,-,1.0,5.22,1.0,USD,"Aug 03, 2017","Aug 03, 2017"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"399,551.71",0.52,"399,551.71","320,000.00",64990FFV1,US64990FFV13,-,122.97,United States,-,USD,5.1,1.11,1.0,"Feb 15, 2028",5.0,5.33,-,0.81,4.95,0.81,USD,"Oct 13, 2017","Oct 13, 2017"
LOUISIANA ST GRNT ANTIC REV,Government Related,Fixed Income,"398,007.53",0.51,"398,007.53","310,000.00",54641CAK1,US54641CAK18,-,126.72,United States,-,USD,6.06,1.32,1.0,"Sep 01, 2029",5.0,6.49,-,0.87,5.77,0.87,USD,"Apr 23, 2019","Apr 23, 2019"
