,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBTB,2021-12-31,WORST,2022-01-06,0.0,903395.8,903395.8
1,IBTB,2021-12-31,WORST,2022-01-18,2625.0,0.0,2625.0
2,IBTB,2021-12-31,WORST,2022-01-31,30650.36,3965848.485,3996498.845
3,IBTB,2021-12-31,WORST,2022-02-15,35431.439,2834515.152,2869946.591
4,IBTB,2021-12-31,WORST,2022-02-28,62.5,0.0,62.5
5,IBTB,2021-12-31,WORST,2022-03-31,39578.769,0.0,39578.769
6,IBTB,2021-12-31,WORST,2022-04-18,1268.182,112727.273,113995.455
7,IBTB,2021-12-31,WORST,2022-05-02,22789.432,0.0,22789.432
8,IBTB,2021-12-31,WORST,2022-05-31,20011.648,1726939.394,1746951.042
9,IBTB,2021-12-31,WORST,2022-06-30,21875.0,2500000.0,2521875.0
10,IBTB,2021-12-31,WORST,2022-07-15,2625.0,300000.0,302625.0
11,IBTB,2021-12-31,WORST,2022-08-01,637.5,1020000.0,1020637.5
12,IBTB,2021-12-31,WORST,2022-08-31,62.5,100000.0,100062.5
13,IBTB,2021-12-31,WORST,2022-09-30,39578.769,4826030.303,4865609.072
14,IBTB,2021-12-31,WORST,2022-10-31,22789.432,4023545.455,4046334.886
15,IBTB,2021-12-31,WORST,2022-11-30,18932.311,2860787.879,2879720.189
16,IBTB,2021-12-31,MATURITY,2022-01-06,0.0,903395.8,903395.8
17,IBTB,2021-12-31,MATURITY,2022-01-18,2625.0,0.0,2625.0
18,IBTB,2021-12-31,MATURITY,2022-01-31,30650.36,3965848.485,3996498.845
19,IBTB,2021-12-31,MATURITY,2022-02-15,35431.439,2834515.152,2869946.591
20,IBTB,2021-12-31,MATURITY,2022-02-28,62.5,0.0,62.5
21,IBTB,2021-12-31,MATURITY,2022-03-31,39578.769,0.0,39578.769
22,IBTB,2021-12-31,MATURITY,2022-04-18,1268.182,112727.273,113995.455
23,IBTB,2021-12-31,MATURITY,2022-05-02,22789.432,0.0,22789.432
24,IBTB,2021-12-31,MATURITY,2022-05-31,20011.648,1726939.394,1746951.042
25,IBTB,2021-12-31,MATURITY,2022-06-30,21875.0,2500000.0,2521875.0
26,IBTB,2021-12-31,MATURITY,2022-07-15,2625.0,300000.0,302625.0
27,IBTB,2021-12-31,MATURITY,2022-08-01,637.5,1020000.0,1020637.5
28,IBTB,2021-12-31,MATURITY,2022-08-31,62.5,100000.0,100062.5
29,IBTB,2021-12-31,MATURITY,2022-09-30,39578.769,4826030.303,4865609.072
30,IBTB,2021-12-31,MATURITY,2022-10-31,22789.432,4023545.455,4046334.886
31,IBTB,2021-12-31,MATURITY,2022-11-30,18932.311,2860787.879,2879720.189
