,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2022 Term Treasury ETF
TREASURY NOTE,Treasury,Fixed Income,"15,074,043.09",17.99,"15,074,043.09","14,850,000.00",912828L57,US912828L575,BYXJBX1,101.07,United States,-,USD,0.74,0.32,1.0,"Sep 30, 2022",1.75,0.74,-,0.32,0.74,0.32,USD,"Sep 30, 2015","Sep 30, 2015"
TREASURY NOTE,Treasury,Fixed Income,"9,523,904.94",11.37,"9,523,904.94","9,460,400.00",912828Z60,US912828Z609,BKMH688,100.1,United States,-,USD,0.08,0.19,1.0,"Jan 31, 2022",1.38,0.08,-,0.19,0.08,0.19,USD,"Jan 31, 2020","Jan 31, 2020"
TREASURY NOTE,Treasury,Fixed Income,"9,468,363.67",11.3,"9,468,363.67","9,353,900.00",9128286C9,US9128286C90,BJ7G9D9,100.29,United States,-,USD,0.13,0.21,1.0,"Feb 15, 2022",2.5,0.12,-,0.21,0.12,0.21,USD,"Feb 15, 2019","Feb 15, 2019"
TREASURY NOTE,Treasury,Fixed Income,"8,312,518.50",9.92,"8,312,518.50","8,250,000.00",912828XW5,US912828XW50,BF1TTC5,100.76,United States,-,USD,0.5,0.23,1.0,"Jun 30, 2022",1.75,0.5,-,0.23,0.5,0.23,USD,"Jun 30, 2017","Jun 30, 2017"
TREASURY NOTE,Treasury,Fixed Income,"7,256,933.17",8.66,"7,256,933.17","7,136,700.00",9128283C2,US9128283C28,BF2K392,101.35,United States,-,USD,0.83,0.37,1.0,"Oct 31, 2022",2.0,0.83,-,0.37,0.83,0.37,USD,"Oct 31, 2017","Oct 31, 2017"
TREASURY NOTE,Treasury,Fixed Income,"6,132,535.38",7.32,"6,132,535.38","6,034,800.00",912828M80,US912828M805,BYWKSB2,101.45,United States,-,USD,0.9,0.4,1.0,"Nov 30, 2022",2.0,0.9,-,0.4,0.9,0.4,USD,"Nov 30, 2015","Nov 30, 2015"
TREASURY NOTE,Treasury,Fixed Income,"6,131,976.63",7.32,"6,131,976.63","6,141,000.00",91282CAR2,US91282CAR25,BMYVTS3,99.83,United States,-,USD,0.83,0.33,1.0,"Oct 31, 2022",0.13,0.83,-,0.33,0.83,0.33,USD,"Oct 31, 2020","Nov 02, 2020"
TREASURY NOTE,Treasury,Fixed Income,"5,698,617.65",6.8,"5,698,617.65","5,698,900.00",912828ZR4,US912828ZR48,BMC3044,99.98,United States,-,USD,0.41,0.16,1.0,"May 31, 2022",0.13,0.41,-,0.16,0.41,0.16,USD,"May 31, 2020","Jun 01, 2020"
TREASURY NOTE,Treasury,Fixed Income,"3,660,167.80",4.37,"3,660,167.80","3,626,900.00",912828V72,US912828V723,BDFFCZ9,100.14,United States,-,USD,0.08,0.24,1.0,"Jan 31, 2022",1.88,0.08,-,0.24,0.08,0.24,USD,"Jan 31, 2017","Jan 31, 2017"
TREASURY NOTE,Treasury,Fixed Income,"3,398,445.03",4.06,"3,398,445.03","3,405,800.00",91282CAX9,US91282CAX92,BLH34M8,99.77,United States,-,USD,0.9,0.38,1.0,"Nov 30, 2022",0.13,0.9,-,0.38,0.9,0.38,USD,"Nov 30, 2020","Nov 30, 2020"
TREASURY NOTE,Treasury,Fixed Income,"3,365,383.02",4.02,"3,365,383.02","3,366,000.00",91282CAC5,US91282CAC55,BLD0Z64,99.93,United States,-,USD,0.58,0.25,1.0,"Jul 31, 2022",0.13,0.58,-,0.25,0.58,0.25,USD,"Jul 31, 2020","Jul 31, 2020"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"2,980,000.00",3.56,"2,980,000.00","2,980,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
TREASURY NOTE,Treasury,Fixed Income,"1,074,811.12",1.28,"1,074,811.12","1,075,900.00",91282CAN1,US91282CAN11,BMT6SG4,99.87,United States,-,USD,0.75,0.3,1.0,"Sep 30, 2022",0.13,0.75,-,0.3,0.75,0.3,USD,"Sep 30, 2020","Sep 30, 2020"
TREASURY NOTE,Treasury,Fixed Income,"1,005,884.24",1.2,"1,005,884.24","990,000.00",9128287C8,US9128287C81,BJGR182,100.8,United States,-,USD,0.53,0.27,1.0,"Jul 15, 2022",1.75,0.54,-,0.27,0.54,0.27,USD,"Jul 15, 2019","Jul 15, 2019"
TREASURY NOTE,Treasury,Fixed Income,"375,990.67",0.45,"375,990.67","372,000.00",9128286M7,US9128286M72,BJRF884,100.6,United States,-,USD,0.3,0.18,1.0,"Apr 15, 2022",2.25,0.29,-,0.18,0.29,0.18,USD,"Apr 15, 2019","Apr 15, 2019"
TREASURY NOTE,Treasury,Fixed Income,"329,855.55",0.39,"329,855.55","330,000.00",91282CAG6,US91282CAG69,BMV9TW4,99.91,United States,-,USD,0.66,0.25,1.0,"Aug 31, 2022",0.13,0.66,-,0.25,0.66,0.25,USD,"Aug 31, 2020","Aug 31, 2020"
USD CASH,Cash and/or Derivatives,Cash,"2,765.42",0.0,"2,765.42","2,765.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
