,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBTD,2021-12-31,WORST,2022-01-06,0.0,183283.793,183283.793
1,IBTD,2021-12-31,WORST,2022-01-31,99709.397,0.0,99709.397
2,IBTD,2021-12-31,WORST,2022-02-15,58125.0,0.0,58125.0
3,IBTD,2021-12-31,WORST,2022-04-18,88.879,0.0,88.879
4,IBTD,2021-12-31,WORST,2022-05-02,39531.25,0.0,39531.25
5,IBTD,2021-12-31,WORST,2022-05-16,641.724,0.0,641.724
6,IBTD,2021-12-31,WORST,2022-05-31,108621.315,0.0,108621.315
7,IBTD,2021-12-31,WORST,2022-06-15,10.56,0.0,10.56
8,IBTD,2021-12-31,WORST,2022-08-01,99709.397,0.0,99709.397
9,IBTD,2021-12-31,WORST,2022-08-15,58125.0,0.0,58125.0
10,IBTD,2021-12-31,WORST,2022-10-17,88.879,0.0,88.879
11,IBTD,2021-12-31,WORST,2022-10-31,39531.25,0.0,39531.25
12,IBTD,2021-12-31,WORST,2022-11-15,641.724,0.0,641.724
13,IBTD,2021-12-31,WORST,2022-11-30,108621.315,0.0,108621.315
14,IBTD,2021-12-31,WORST,2022-12-15,10.56,0.0,10.56
15,IBTD,2021-12-31,WORST,2023-01-31,99709.397,4922896.552,5022605.948
16,IBTD,2021-12-31,WORST,2023-02-15,58125.0,0.0,58125.0
17,IBTD,2021-12-31,WORST,2023-04-17,88.879,0.0,88.879
18,IBTD,2021-12-31,WORST,2023-05-01,39531.25,0.0,39531.25
19,IBTD,2021-12-31,WORST,2023-05-15,641.724,0.0,641.724
20,IBTD,2021-12-31,WORST,2023-05-31,108621.315,5214275.862,5322897.177
21,IBTD,2021-12-31,WORST,2023-06-15,10.56,0.0,10.56
22,IBTD,2021-12-31,WORST,2023-07-31,41250.0,3000000.0,3041250.0
23,IBTD,2021-12-31,WORST,2023-08-15,58125.0,4650000.0,4708125.0
24,IBTD,2021-12-31,WORST,2023-10-16,88.879,142206.897,142295.776
25,IBTD,2021-12-31,WORST,2023-10-31,39531.25,2750000.0,2789531.25
26,IBTD,2021-12-31,WORST,2023-11-15,641.724,513379.31,514021.034
27,IBTD,2021-12-31,WORST,2023-11-30,46299.892,3220862.069,3267161.961
28,IBTD,2021-12-31,WORST,2023-12-15,10.56,16896.552,16907.112
29,IBTD,2021-12-31,MATURITY,2022-01-06,0.0,183283.793,183283.793
30,IBTD,2021-12-31,MATURITY,2022-01-31,99709.397,0.0,99709.397
31,IBTD,2021-12-31,MATURITY,2022-02-15,58125.0,0.0,58125.0
32,IBTD,2021-12-31,MATURITY,2022-04-18,88.879,0.0,88.879
33,IBTD,2021-12-31,MATURITY,2022-05-02,39531.25,0.0,39531.25
34,IBTD,2021-12-31,MATURITY,2022-05-16,641.724,0.0,641.724
35,IBTD,2021-12-31,MATURITY,2022-05-31,108621.315,0.0,108621.315
36,IBTD,2021-12-31,MATURITY,2022-06-15,10.56,0.0,10.56
37,IBTD,2021-12-31,MATURITY,2022-08-01,99709.397,0.0,99709.397
38,IBTD,2021-12-31,MATURITY,2022-08-15,58125.0,0.0,58125.0
39,IBTD,2021-12-31,MATURITY,2022-10-17,88.879,0.0,88.879
40,IBTD,2021-12-31,MATURITY,2022-10-31,39531.25,0.0,39531.25
41,IBTD,2021-12-31,MATURITY,2022-11-15,641.724,0.0,641.724
42,IBTD,2021-12-31,MATURITY,2022-11-30,108621.315,0.0,108621.315
43,IBTD,2021-12-31,MATURITY,2022-12-15,10.56,0.0,10.56
44,IBTD,2021-12-31,MATURITY,2023-01-31,99709.397,4922896.552,5022605.948
45,IBTD,2021-12-31,MATURITY,2023-02-15,58125.0,0.0,58125.0
46,IBTD,2021-12-31,MATURITY,2023-04-17,88.879,0.0,88.879
47,IBTD,2021-12-31,MATURITY,2023-05-01,39531.25,0.0,39531.25
48,IBTD,2021-12-31,MATURITY,2023-05-15,641.724,0.0,641.724
49,IBTD,2021-12-31,MATURITY,2023-05-31,108621.315,5214275.862,5322897.177
50,IBTD,2021-12-31,MATURITY,2023-06-15,10.56,0.0,10.56
51,IBTD,2021-12-31,MATURITY,2023-07-31,41250.0,3000000.0,3041250.0
52,IBTD,2021-12-31,MATURITY,2023-08-15,58125.0,4650000.0,4708125.0
53,IBTD,2021-12-31,MATURITY,2023-10-16,88.879,142206.897,142295.776
54,IBTD,2021-12-31,MATURITY,2023-10-31,39531.25,2750000.0,2789531.25
55,IBTD,2021-12-31,MATURITY,2023-11-15,641.724,513379.31,514021.034
56,IBTD,2021-12-31,MATURITY,2023-11-30,46299.892,3220862.069,3267161.961
57,IBTD,2021-12-31,MATURITY,2023-12-15,10.56,16896.552,16907.112
