,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY NOTE,TNOTE,US9128283U26,9128283U2,United States,14276400,14718,14718,USD,ISHIBT23,1/31/2018,
12/30/2021,TREASURY NOTE,TNOTE,US9128284S60,9128284S6,United States,13050000,13486,13486,USD,ISHIBT23,5/31/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCD11,91282CCD1,United States,2071400,2059,2059,USD,ISHIBT23,6/1/2021,
12/30/2021,TREASURY NOTE,TNOTE,US912828Y610,912828Y61,United States,8700000,9093,9093,USD,ISHIBT23,7/31/2018,
12/30/2021,TREASURY NOTE,TNOTE,US912828VS66,912828VS6,United States,13485000,14018,14018,USD,ISHIBT23,8/15/2013,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAP68,91282CAP6,United States,412400,408,408,USD,ISHIBT23,10/15/2020,
12/30/2021,TREASURY NOTE,TNOTE,US9128285K26,9128285K2,United States,7975000,8330,8330,USD,ISHIBT23,10/31/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAW10,91282CAW1,United States,1488800,1477,1477,USD,ISHIBT23,11/16/2020,
12/30/2021,TREASURY NOTE,TNOTE,US9128285P13,9128285P1,United States,9340500,9748,9748,USD,ISHIBT23,11/30/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBA80,91282CBA8,United States,49000,48,48,USD,ISHIBT23,12/15/2020,
12/30/2021,USD CASH,USD,,,United States,3918,4,4,USD,ISHIBT23,1/1/1989,
12/30/2021,BLK CSH FND TREASURY SL AGENCY,XTSLA,US0669224778,066922477,United States,527000,527,527,USD,ISHIBT23,2/4/2009,
