,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBTE,2021-12-31,WORST,2022-01-06,0.0,51274.376,51274.376
1,IBTE,2021-12-31,WORST,2022-01-18,1124.226,0.0,1124.226
2,IBTE,2021-12-31,WORST,2022-01-31,47172.738,0.0,47172.738
3,IBTE,2021-12-31,WORST,2022-02-15,4275.0,0.0,4275.0
4,IBTE,2021-12-31,WORST,2022-02-28,16459.315,0.0,16459.315
5,IBTE,2021-12-31,WORST,2022-03-15,12379.643,0.0,12379.643
6,IBTE,2021-12-31,WORST,2022-03-31,33750.0,0.0,33750.0
7,IBTE,2021-12-31,WORST,2022-04-18,585.714,0.0,585.714
8,IBTE,2021-12-31,WORST,2022-05-02,46250.0,0.0,46250.0
9,IBTE,2021-12-31,WORST,2022-05-16,2812.5,0.0,2812.5
10,IBTE,2021-12-31,WORST,2022-05-31,10235.714,0.0,10235.714
11,IBTE,2021-12-31,WORST,2022-06-15,2451.429,0.0,2451.429
12,IBTE,2021-12-31,WORST,2022-07-15,1124.226,0.0,1124.226
13,IBTE,2021-12-31,WORST,2022-08-01,47172.738,0.0,47172.738
14,IBTE,2021-12-31,WORST,2022-08-15,4275.0,0.0,4275.0
15,IBTE,2021-12-31,WORST,2022-08-31,16459.315,0.0,16459.315
16,IBTE,2021-12-31,WORST,2022-09-15,12379.643,0.0,12379.643
17,IBTE,2021-12-31,WORST,2022-09-30,33750.0,0.0,33750.0
18,IBTE,2021-12-31,WORST,2022-10-17,585.714,0.0,585.714
19,IBTE,2021-12-31,WORST,2022-10-31,46250.0,0.0,46250.0
20,IBTE,2021-12-31,WORST,2022-11-15,2812.5,0.0,2812.5
21,IBTE,2021-12-31,WORST,2022-11-30,10235.714,0.0,10235.714
22,IBTE,2021-12-31,WORST,2022-12-15,2451.429,0.0,2451.429
23,IBTE,2021-12-31,WORST,2023-01-17,1124.226,0.0,1124.226
24,IBTE,2021-12-31,WORST,2023-01-31,47172.738,0.0,47172.738
25,IBTE,2021-12-31,WORST,2023-02-15,4275.0,0.0,4275.0
26,IBTE,2021-12-31,WORST,2023-02-28,16459.315,0.0,16459.315
27,IBTE,2021-12-31,WORST,2023-03-15,12379.643,0.0,12379.643
28,IBTE,2021-12-31,WORST,2023-03-31,33750.0,0.0,33750.0
29,IBTE,2021-12-31,WORST,2023-04-17,585.714,0.0,585.714
30,IBTE,2021-12-31,WORST,2023-05-01,46250.0,0.0,46250.0
31,IBTE,2021-12-31,WORST,2023-05-15,2812.5,0.0,2812.5
32,IBTE,2021-12-31,WORST,2023-05-31,10235.714,0.0,10235.714
33,IBTE,2021-12-31,WORST,2023-06-15,2451.429,0.0,2451.429
34,IBTE,2021-12-31,WORST,2023-07-17,1124.226,0.0,1124.226
35,IBTE,2021-12-31,WORST,2023-07-31,47172.738,0.0,47172.738
36,IBTE,2021-12-31,WORST,2023-08-15,4275.0,0.0,4275.0
37,IBTE,2021-12-31,WORST,2023-08-31,16459.315,0.0,16459.315
38,IBTE,2021-12-31,WORST,2023-09-15,12379.643,0.0,12379.643
39,IBTE,2021-12-31,WORST,2023-10-02,33750.0,0.0,33750.0
40,IBTE,2021-12-31,WORST,2023-10-16,585.714,0.0,585.714
41,IBTE,2021-12-31,WORST,2023-10-31,46250.0,0.0,46250.0
42,IBTE,2021-12-31,WORST,2023-11-15,2812.5,0.0,2812.5
43,IBTE,2021-12-31,WORST,2023-11-30,10235.714,0.0,10235.714
44,IBTE,2021-12-31,WORST,2023-12-15,2451.429,0.0,2451.429
45,IBTE,2021-12-31,WORST,2024-01-16,1124.226,1376619.048,1377743.274
46,IBTE,2021-12-31,WORST,2024-01-31,47172.738,3213714.286,3260887.024
47,IBTE,2021-12-31,WORST,2024-02-15,4275.0,0.0,4275.0
48,IBTE,2021-12-31,WORST,2024-02-29,16459.315,1386047.619,1402506.935
49,IBTE,2021-12-31,WORST,2024-03-15,12379.643,0.0,12379.643
50,IBTE,2021-12-31,WORST,2024-04-01,33750.0,0.0,33750.0
51,IBTE,2021-12-31,WORST,2024-04-15,585.714,312380.952,312966.667
52,IBTE,2021-12-31,WORST,2024-04-30,46250.0,4250000.0,4296250.0
53,IBTE,2021-12-31,WORST,2024-05-15,2812.5,0.0,2812.5
54,IBTE,2021-12-31,WORST,2024-05-31,10235.714,0.0,10235.714
55,IBTE,2021-12-31,WORST,2024-06-17,2451.429,56380.952,58832.381
56,IBTE,2021-12-31,WORST,2024-07-15,263.839,140714.286,140978.125
57,IBTE,2021-12-31,WORST,2024-07-31,7001.31,685476.19,692477.5
58,IBTE,2021-12-31,WORST,2024-08-15,4275.0,360000.0,364275.0
59,IBTE,2021-12-31,WORST,2024-09-16,12379.643,6602476.19,6614855.833
60,IBTE,2021-12-31,WORST,2024-09-30,33750.0,4500000.0,4533750.0
61,IBTE,2021-12-31,WORST,2024-11-15,2812.5,250000.0,252812.5
62,IBTE,2021-12-31,WORST,2024-12-02,10235.714,1364761.905,1374997.619
63,IBTE,2021-12-31,WORST,2024-12-16,2380.952,476190.476,478571.429
64,IBTE,2021-12-31,MATURITY,2022-01-06,0.0,51274.376,51274.376
65,IBTE,2021-12-31,MATURITY,2022-01-18,1124.226,0.0,1124.226
66,IBTE,2021-12-31,MATURITY,2022-01-31,47172.738,0.0,47172.738
67,IBTE,2021-12-31,MATURITY,2022-02-15,4275.0,0.0,4275.0
68,IBTE,2021-12-31,MATURITY,2022-02-28,16459.315,0.0,16459.315
69,IBTE,2021-12-31,MATURITY,2022-03-15,12379.643,0.0,12379.643
70,IBTE,2021-12-31,MATURITY,2022-03-31,33750.0,0.0,33750.0
71,IBTE,2021-12-31,MATURITY,2022-04-18,585.714,0.0,585.714
