,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY NOTE,TNOTE,US9128286L99,9128286L9,United States,2328800,2442,2442,USD,ISHIBT26,4/1/2019,
12/30/2021,TREASURY NOTE,TNOTE,US9128286S43,9128286S4,United States,3290000,3464,3464,USD,ISHIBT26,4/30/2019,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBW01,91282CBW0,United States,915300,898,898,USD,ISHIBT26,4/30/2021,
12/30/2021,TREASURY NOTE,TNOTE,US9128287B09,9128287B0,United States,111400,116,116,USD,ISHIBT26,7/1/2019,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCJ80,91282CCJ8,United States,3992100,3947,3947,USD,ISHIBT26,6/30/2021,
12/30/2021,TREASURY NOTE,TNOTE,US912828Y958,912828Y95,United States,2510300,2602,2602,USD,ISHIBT26,7/31/2019,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCP41,91282CCP4,United States,215300,210,210,USD,ISHIBT26,8/2/2021,
12/30/2021,TREASURY NOTE,TNOTE,US912828YD60,912828YD6,United States,228700,231,231,USD,ISHIBT26,9/3/2019,
12/30/2021,TREASURY NOTE,TNOTE,US912828U246,912828U24,United States,266700,277,277,USD,ISHIBT26,11/15/2016,
12/30/2021,TREASURY NOTE,TNOTE,US912828YU85,912828YU8,United States,2183400,2224,2224,USD,ISHIBT26,12/2/2019,
12/30/2021,TREASURY NOTE (OLD),TNOTE,US91282CDK45,91282CDK4,United States,1195300,1196,1196,USD,ISHIBT26,11/30/2021,
12/30/2021,USD CASH,USD,,,United States,1713,2,2,USD,ISHIBT26,1/1/1989,
12/30/2021,BLK CSH FND TREASURY SL AGENCY,XTSLA,US0669224778,066922477,United States,60000,60,60,USD,ISHIBT26,2/4/2009,
