,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2027 Term Treasury ETF
TREASURY NOTE,Treasury,Fixed Income,"9,516,793.50",30.31,"9,516,793.50","9,000,000.00",9128282R0,US9128282R06,BF53YJ5,104.9,United States,-,USD,5.24,1.34,1.0,"Aug 15, 2027",2.25,5.25,-,1.34,5.25,1.34,USD,"Aug 15, 2017","Aug 15, 2017"
TREASURY NOTE,Treasury,Fixed Income,"9,317,294.90",29.67,"9,317,294.90","9,747,500.00",91282CAH4,US91282CAH43,BMV9TY6,95.42,United States,-,USD,5.54,1.34,1.0,"Aug 31, 2027",0.5,5.54,-,1.34,5.54,1.34,USD,"Aug 31, 2020","Aug 31, 2020"
TREASURY NOTE,Treasury,Fixed Income,"3,152,962.64",10.04,"3,152,962.64","2,995,000.00",9128283F5,US9128283F58,BF92XX5,104.99,United States,-,USD,5.49,1.36,1.0,"Nov 15, 2027",2.25,5.49,-,1.36,5.49,1.36,USD,"Nov 15, 2017","Nov 15, 2017"
TREASURY NOTE,Treasury,Fixed Income,"2,917,346.28",9.29,"2,917,346.28","2,762,700.00",912828V98,US912828V988,BYPG9T2,104.75,United States,-,USD,4.81,1.29,1.0,"Feb 15, 2027",2.25,4.81,-,1.29,4.81,1.29,USD,"Feb 15, 2017","Feb 15, 2017"
TREASURY NOTE,Treasury,Fixed Income,"2,831,223.73",9.02,"2,831,223.73","2,783,100.00",912828Z78,US912828Z781,BK9RKM3,101.11,United States,-,USD,4.86,1.27,1.0,"Jan 31, 2027",1.5,4.85,-,1.27,4.85,1.27,USD,"Jan 31, 2020","Jan 31, 2020"
TREASURY NOTE,Treasury,Fixed Income,"1,530,776.87",4.87,"1,530,776.87","1,446,300.00",912828X88,US912828X885,BF0T9Y8,105.54,United States,-,USD,5.04,1.3,1.0,"May 15, 2027",2.38,5.04,-,1.3,5.04,1.3,USD,"May 15, 2017","May 15, 2017"
TREASURY NOTE,Treasury,Fixed Income,"1,111,365.01",3.54,"1,111,365.01","1,161,500.00",91282CBB6,US91282CBB63,BNNXCL1,95.68,United States,-,USD,5.85,1.38,1.0,"Dec 31, 2027",0.63,5.86,-,1.38,5.86,1.38,USD,"Dec 31, 2020","Dec 31, 2020"
TREASURY NOTE,Treasury,Fixed Income,"841,008.71",2.68,"841,008.71","877,600.00",91282CAY7,US91282CAY75,BLH34Q2,95.78,United States,-,USD,5.77,1.37,1.0,"Nov 30, 2027",0.63,5.77,-,1.37,5.77,1.37,USD,"Nov 30, 2020","Nov 30, 2020"
TREASURY NOTE,Treasury,Fixed Income,"123,385.87",0.39,"123,385.87","128,800.00",912828ZS2,US912828ZS21,BLB6SP4,95.75,United States,-,USD,5.31,1.31,1.0,"May 31, 2027",0.5,5.31,-,1.31,5.31,1.31,USD,"May 31, 2020","Jun 01, 2020"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"50,000.00",0.16,"50,000.00","50,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
USD CASH,Cash and/or Derivatives,Cash,"9,577.29",0.03,"9,577.29","9,577.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
