,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY NOTE,TNOTE,US912828Z781,912828Z78,United States,2783100,2832,2832,USD,ISHIBT27,1/31/2020,
12/30/2021,TREASURY NOTE,TNOTE,US912828V988,912828V98,United States,2762700,2918,2918,USD,ISHIBT27,2/15/2017,
12/30/2021,TREASURY NOTE,TNOTE,US912828X885,912828X88,United States,1446300,1531,1531,USD,ISHIBT27,5/15/2017,
12/30/2021,TREASURY NOTE,TNOTE,US912828ZS21,912828ZS2,United States,128800,123,123,USD,ISHIBT27,6/1/2020,
12/30/2021,TREASURY NOTE,TNOTE,US9128282R06,9128282R0,United States,9000000,9519,9519,USD,ISHIBT27,8/15/2017,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAH43,91282CAH4,United States,9747500,9319,9319,USD,ISHIBT27,8/31/2020,
12/30/2021,TREASURY NOTE,TNOTE,US9128283F58,9128283F5,United States,2995000,3154,3154,USD,ISHIBT27,11/15/2017,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAY75,91282CAY7,United States,877600,841,841,USD,ISHIBT27,11/30/2020,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBB63,91282CBB6,United States,1161500,1115,1115,USD,ISHIBT27,12/31/2020,
12/30/2021,USD CASH,USD,,,United States,5948,6,6,USD,ISHIBT27,1/1/1989,
12/30/2021,BLK CSH FND TREASURY SL AGENCY,XTSLA,US0669224778,066922477,United States,50000,50,50,USD,ISHIBT27,2/4/2009,
