,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2028 Term Treasury ETF
TREASURY NOTE,Treasury,Fixed Income,"3,085,293.34",16.36,"3,085,293.34","2,822,400.00",9128284N7,US9128284N73,BD59D36,108.95,United States,-,USD,5.83,1.4,1.0,"May 15, 2028",2.88,5.83,-,1.4,5.83,1.4,USD,"May 15, 2018","May 15, 2018"
TREASURY NOTE,Treasury,Fixed Income,"2,549,684.62",13.52,"2,549,684.62","2,285,700.00",9128285M8,US9128285M81,BGRW840,111.15,United States,-,USD,6.21,1.42,1.0,"Nov 15, 2028",3.13,6.21,-,1.42,6.21,1.42,USD,"Nov 15, 2018","Nov 15, 2018"
TREASURY NOTE,Treasury,Fixed Income,"1,802,135.74",9.55,"1,802,135.74","1,821,700.00",91282CBP5,US91282CBP59,BMH2JV6,98.55,United States,-,USD,5.91,1.37,1.0,"Feb 29, 2028",1.13,5.91,-,1.37,5.91,1.37,USD,"Feb 28, 2021","Mar 01, 2021"
TREASURY NOTE (OLD),Treasury,Fixed Income,"1,784,420.10",9.46,"1,784,420.10","1,775,000.00",91282CDL2,US91282CDL28,BP39M35,100.39,United States,-,USD,6.54,1.44,1.0,"Nov 30, 2028",1.5,6.54,-,1.44,6.54,1.44,USD,"Nov 30, 2021","Nov 30, 2021"
TREASURY NOTE,Treasury,Fixed Income,"1,706,688.45",9.05,"1,706,688.45","1,564,200.00",9128283W8,US9128283W81,BG0D0D3,108.08,United States,-,USD,5.6,1.37,1.0,"Feb 15, 2028",2.75,5.61,-,1.37,5.61,1.37,USD,"Feb 15, 2018","Feb 15, 2018"
TREASURY NOTE,Treasury,Fixed Income,"1,693,157.11",8.98,"1,693,157.11","1,535,200.00",9128284V9,US9128284V99,BFZLQP9,109.21,United States,-,USD,6.0,1.41,1.0,"Aug 15, 2028",2.88,6.01,-,1.41,6.01,1.41,USD,"Aug 15, 2018","Aug 15, 2018"
TREASURY NOTE,Treasury,Fixed Income,"1,603,122.17",8.5,"1,603,122.17","1,628,500.00",91282CCV1,US91282CCV19,BN4FTZ9,98.06,United States,-,USD,6.37,1.43,1.0,"Aug 31, 2028",1.13,6.37,-,1.43,6.37,1.43,USD,"Aug 31, 2021","Aug 31, 2021"
TREASURY NOTE,Treasury,Fixed Income,"1,524,338.62",8.08,"1,524,338.62","1,540,100.00",91282CCH2,US91282CCH25,BMBYXD8,98.98,United States,-,USD,6.21,1.42,1.0,"Jun 30, 2028",1.25,6.22,-,1.42,6.22,1.42,USD,"Jun 30, 2021","Jun 30, 2021"
TREASURY NOTE,Treasury,Fixed Income,"1,486,416.48",7.88,"1,486,416.48","1,520,300.00",91282CCR0,US91282CCR07,BMD9ZD5,97.36,United States,-,USD,6.31,1.42,1.0,"Jul 31, 2028",1.0,6.31,-,1.42,6.31,1.42,USD,"Jul 31, 2021","Aug 02, 2021"
TREASURY NOTE,Treasury,Fixed Income,"966,148.35",5.12,"966,148.35","1,000,000.00",91282CBJ9,US91282CBJ99,BMZ2XM7,96.3,United States,-,USD,5.9,1.39,1.0,"Jan 31, 2028",0.75,5.9,-,1.39,5.9,1.39,USD,"Jan 31, 2021","Feb 01, 2021"
TREASURY NOTE,Treasury,Fixed Income,"555,184.75",2.94,"555,184.75","560,000.00",91282CCY5,US91282CCY57,BMXJTY4,98.82,United States,-,USD,6.43,1.43,1.0,"Sep 30, 2028",1.25,6.42,-,1.43,6.42,1.43,USD,"Sep 30, 2021","Sep 30, 2021"
TREASURY NOTE,Treasury,Fixed Income,"87,991.42",0.47,"87,991.42","88,500.00",91282CBS9,US91282CBS98,BMDNPR1,99.11,United States,-,USD,5.97,1.4,1.0,"Mar 31, 2028",1.25,5.97,-,1.4,5.97,1.4,USD,"Mar 31, 2021","Mar 31, 2021"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"30,000.00",0.16,"30,000.00","30,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
USD CASH,Cash and/or Derivatives,Cash,"-12,718.61",-0.07,"-12,718.61","-12,719.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
