,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY NOTE,TNOTE,US9128283W81,9128283W8,United States,1564200,1707,1707,USD,ISHIBT28,2/15/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBP59,91282CBP5,United States,1821700,1802,1802,USD,ISHIBT28,3/1/2021,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBS98,91282CBS9,United States,88500,88,88,USD,ISHIBT28,3/31/2021,
12/30/2021,TREASURY NOTE,TNOTE,US9128284N73,9128284N7,United States,2822400,3087,3087,USD,ISHIBT28,5/15/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCH25,91282CCH2,United States,1540100,1534,1534,USD,ISHIBT28,6/30/2021,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCR07,91282CCR0,United States,1520300,1487,1487,USD,ISHIBT28,8/2/2021,
12/30/2021,TREASURY NOTE,TNOTE,US9128284V99,9128284V9,United States,1535200,1694,1694,USD,ISHIBT28,8/15/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCV19,91282CCV1,United States,1628500,1604,1604,USD,ISHIBT28,8/31/2021,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCY57,91282CCY5,United States,560000,555,555,USD,ISHIBT28,9/30/2021,
12/30/2021,TREASURY NOTE,TNOTE,US9128285M81,9128285M8,United States,4285700,4783,4783,USD,ISHIBT28,11/15/2018,
12/30/2021,TREASURY NOTE (OLD),TNOTE,US91282CDL28,91282CDL2,United States,500000,503,503,USD,ISHIBT28,11/30/2021,
12/30/2021,USD CASH,USD,,,United States,4324,4,4,USD,ISHIBT28,1/1/1989,
12/30/2021,BLK CSH FND TREASURY SL AGENCY,XTSLA,US0669224778,066922477,United States,20000,20,20,USD,ISHIBT28,2/4/2009,
